# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خندېدلی مخ;خندېدلی مخ|مخ|مسکا|مسکېدلی مخ
	🤌🏻;چونګ ګوتې: د روڼ پوستکي ټون;تفتيش|تنزيه|چونګ|چونګ ګوتې: د روڼ پوستکي ټون|د روڼ پوستکي ټون|د لاس اشاره|ګوتې
	🤌🏼;چونګ ګوتې: غنمی-روښانه پوستکۍ;تفتيش|تنزيه|چونګ|چونګ ګوتې: غنمی-روښانه پوستکۍ|د لاس اشاره|غنمی-روښانه پوستکۍ|ګوتې
	🤌🏽;چونګ ګوتې: غنم رنګه;تفتيش|تنزيه|چونګ|چونګ ګوتې: غنم رنګه|د لاس اشاره|غنم رنګه|ګوتې
	🤌🏾;چونګ ګوتې: غنمی-تورنګه پوستکۍ;تفتيش|تنزيه|چونګ|چونګ ګوتې: غنمی-تورنګه پوستکۍ|د لاس اشاره|غنمی-تورنګه پوستکۍ|ګوتې
	🤌🏿;چونګ ګوتې: تور پوستکۍ;تفتيش|تنزيه|تور پوستکۍ|چونګ|چونګ ګوتې: تور پوستکۍ|د لاس اشاره|ګوتې
🤏;سکونډونکی لاس;سکونډونکی لاس|کوچنی مقدار
	🤏🏻;سکونډونکی لاس: د روڼ پوستکي ټون;د روڼ پوستکي ټون|سکونډونکی لاس|سکونډونکی لاس: د روڼ پوستکي ټون|کوچنی مقدار
	🤏🏼;سکونډونکی لاس: غنمی-روښانه پوستکۍ;سکونډونکی لاس|سکونډونکی لاس: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|کوچنی مقدار
	🤏🏽;سکونډونکی لاس: غنم رنګه;سکونډونکی لاس|سکونډونکی لاس: غنم رنګه|غنم رنګه|کوچنی مقدار
	🤏🏾;سکونډونکی لاس: غنمی-تورنګه پوستکۍ;سکونډونکی لاس|سکونډونکی لاس: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|کوچنی مقدار
	🤏🏿;سکونډونکی لاس: تور پوستکۍ;تور پوستکۍ|سکونډونکی لاس|سکونډونکی لاس: تور پوستکۍ|کوچنی مقدار
✌️;د بریا نښه;v|بریا|د بریا نښه|لاس
	✌🏻;د بریا نښه: د روڼ پوستکي ټون;v|بریا|د بریا نښه|د بریا نښه: د روڼ پوستکي ټون|د روڼ پوستکي ټون|لاس
	✌🏼;د بریا نښه: غنمی-روښانه پوستکۍ;v|بریا|د بریا نښه|د بریا نښه: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|لاس
	✌🏽;د بریا نښه: غنم رنګه;v|بریا|د بریا نښه|د بریا نښه: غنم رنګه|غنم رنګه|لاس
	✌🏾;د بریا نښه: غنمی-تورنګه پوستکۍ;v|بریا|د بریا نښه|د بریا نښه: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|لاس
	✌🏿;د بریا نښه: تور پوستکۍ;v|بریا|تور پوستکۍ|د بریا نښه|د بریا نښه: تور پوستکۍ|لاس
🤞;متقاطع ګوتي;بخت|ګوتي|لاس|متقاطع
	🤞🏻;متقاطع ګوتي: د روڼ پوستکي ټون;بخت|د روڼ پوستکي ټون|ګوتي|لاس|متقاطع|متقاطع ګوتي: د روڼ پوستکي ټون
	🤞🏼;متقاطع ګوتي: غنمی-روښانه پوستکۍ;بخت|غنمی-روښانه پوستکۍ|ګوتي|لاس|متقاطع|متقاطع ګوتي: غنمی-روښانه پوستکۍ
	🤞🏽;متقاطع ګوتي: غنم رنګه;بخت|غنم رنګه|ګوتي|لاس|متقاطع|متقاطع ګوتي: غنم رنګه
	🤞🏾;متقاطع ګوتي: غنمی-تورنګه پوستکۍ;بخت|غنمی-تورنګه پوستکۍ|ګوتي|لاس|متقاطع|متقاطع ګوتي: غنمی-تورنګه پوستکۍ
	🤞🏿;متقاطع ګوتي: تور پوستکۍ;بخت|تور پوستکۍ|ګوتي|لاس|متقاطع|متقاطع ګوتي: تور پوستکۍ
🫰;د شاخص د ګوتو او ګوتو سره لاس تېر شو;پیسې|د شاخص د ګوتو او ګوتو سره لاس تېر شو|زړه|سنیپ|ګران|مینه
	🫰🏻;د شاخص د ګوتو او ګوتو سره لاس تېر شو: د روڼ پوستکي ټون;پیسې|د روڼ پوستکي ټون|د شاخص د ګوتو او ګوتو سره لاس تېر شو|د شاخص د ګوتو او ګوتو سره لاس تېر شو: د روڼ پوستکي ټون|زړه|سنیپ|ګران|مینه
	🫰🏼;د شاخص د ګوتو او ګوتو سره لاس تېر شو: غنمی-روښانه پوستکۍ;پیسې|د شاخص د ګوتو او ګوتو سره لاس تېر شو|د شاخص د ګوتو او ګوتو سره لاس تېر شو: غنمی-روښانه پوستکۍ|زړه|سنیپ|غنمی-روښانه پوستکۍ|ګران|مینه
	🫰🏽;د شاخص د ګوتو او ګوتو سره لاس تېر شو: غنم رنګه;پیسې|د شاخص د ګوتو او ګوتو سره لاس تېر شو|د شاخص د ګوتو او ګوتو سره لاس تېر شو: غنم رنګه|زړه|سنیپ|غنم رنګه|ګران|مینه
	🫰🏾;د شاخص د ګوتو او ګوتو سره لاس تېر شو: غنمی-تورنګه پوستکۍ;پیسې|د شاخص د ګوتو او ګوتو سره لاس تېر شو|د شاخص د ګوتو او ګوتو سره لاس تېر شو: غنمی-تورنګه پوستکۍ|زړه|سنیپ|غنمی-تورنګه پوستکۍ|ګران|مینه
	🫰🏿;د شاخص د ګوتو او ګوتو سره لاس تېر شو: تور پوستکۍ;پیسې|تور پوستکۍ|د شاخص د ګوتو او ګوتو سره لاس تېر شو|د شاخص د ګوتو او ګوتو سره لاس تېر شو: تور پوستکۍ|زړه|سنیپ|ګران|مینه
🤟;د مینې اشاره;ILY|د مینې اشاره|لاس
	🤟🏻;د مینې اشاره: د روڼ پوستکي ټون;ILY|د روڼ پوستکي ټون|د مینې اشاره|د مینې اشاره: د روڼ پوستکي ټون|لاس
	🤟🏼;د مینې اشاره: غنمی-روښانه پوستکۍ;ILY|د مینې اشاره|د مینې اشاره: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|لاس
	🤟🏽;د مینې اشاره: غنم رنګه;ILY|د مینې اشاره|د مینې اشاره: غنم رنګه|غنم رنګه|لاس
	🤟🏾;د مینې اشاره: غنمی-تورنګه پوستکۍ;ILY|د مینې اشاره|د مینې اشاره: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|لاس
	🤟🏿;د مینې اشاره: تور پوستکۍ;ILY|تور پوستکۍ|د مینې اشاره|د مینې اشاره: تور پوستکۍ|لاس
🤘;دوشاخه;دوشاخ|دوشاخه|ګوتي|لاس|مست
	🤘🏻;دوشاخه: د روڼ پوستکي ټون;د روڼ پوستکي ټون|دوشاخ|دوشاخه|دوشاخه: د روڼ پوستکي ټون|ګوتي|لاس|مست
	🤘🏼;دوشاخه: غنمی-روښانه پوستکۍ;دوشاخ|دوشاخه|دوشاخه: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|ګوتي|لاس|مست
	🤘🏽;دوشاخه: غنم رنګه;دوشاخ|دوشاخه|دوشاخه: غنم رنګه|غنم رنګه|ګوتي|لاس|مست
	🤘🏾;دوشاخه: غنمی-تورنګه پوستکۍ;دوشاخ|دوشاخه|دوشاخه: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|ګوتي|لاس|مست
	🤘🏿;دوشاخه: تور پوستکۍ;تور پوستکۍ|دوشاخ|دوشاخه|دوشاخه: تور پوستکۍ|ګوتي|لاس|مست
🤙;زنګ وهلو اشاره;زنګ|زنګ وهلو اشاره|لاس
	🤙🏻;زنګ وهلو اشاره: د روڼ پوستکي ټون;د روڼ پوستکي ټون|زنګ|زنګ وهلو اشاره|زنګ وهلو اشاره: د روڼ پوستکي ټون|لاس
	🤙🏼;زنګ وهلو اشاره: غنمی-روښانه پوستکۍ;زنګ|زنګ وهلو اشاره|زنګ وهلو اشاره: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|لاس
	🤙🏽;زنګ وهلو اشاره: غنم رنګه;زنګ|زنګ وهلو اشاره|زنګ وهلو اشاره: غنم رنګه|غنم رنګه|لاس
	🤙🏾;زنګ وهلو اشاره: غنمی-تورنګه پوستکۍ;زنګ|زنګ وهلو اشاره|زنګ وهلو اشاره: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|لاس
	🤙🏿;زنګ وهلو اشاره: تور پوستکۍ;تور پوستکۍ|زنګ|زنګ وهلو اشاره|زنګ وهلو اشاره: تور پوستکۍ|لاس
👈;په چپ لاس په شهادت ګوته اشاره کول;اشاره|په چپ لاس په شهادت ګوته اشاره کول|د لاس شا|شهادت ګوته|ګوته|لاس
	👈🏻;په چپ لاس په شهادت ګوته اشاره کول: د روڼ پوستکي ټون;اشاره|په چپ لاس په شهادت ګوته اشاره کول|په چپ لاس په شهادت ګوته اشاره کول: د روڼ پوستکي ټون|د روڼ پوستکي ټون|د لاس شا|شهادت ګوته|ګوته|لاس
	👈🏼;په چپ لاس په شهادت ګوته اشاره کول: غنمی-روښانه پوستکۍ;اشاره|په چپ لاس په شهادت ګوته اشاره کول|په چپ لاس په شهادت ګوته اشاره کول: غنمی-روښانه پوستکۍ|د لاس شا|شهادت ګوته|غنمی-روښانه پوستکۍ|ګوته|لاس
	👈🏽;په چپ لاس په شهادت ګوته اشاره کول: غنم رنګه;اشاره|په چپ لاس په شهادت ګوته اشاره کول|په چپ لاس په شهادت ګوته اشاره کول: غنم رنګه|د لاس شا|شهادت ګوته|غنم رنګه|ګوته|لاس
	👈🏾;په چپ لاس په شهادت ګوته اشاره کول: غنمی-تورنګه پوستکۍ;اشاره|په چپ لاس په شهادت ګوته اشاره کول|په چپ لاس په شهادت ګوته اشاره کول: غنمی-تورنګه پوستکۍ|د لاس شا|شهادت ګوته|غنمی-تورنګه پوستکۍ|ګوته|لاس
	👈🏿;په چپ لاس په شهادت ګوته اشاره کول: تور پوستکۍ;اشاره|په چپ لاس په شهادت ګوته اشاره کول|په چپ لاس په شهادت ګوته اشاره کول: تور پوستکۍ|تور پوستکۍ|د لاس شا|شهادت ګوته|ګوته|لاس
👉;په ښي لاس په شهادت ګوته اشاره کول;اشاره|په ښي لاس په شهادت ګوته اشاره کول|د لاس شا|شهادت ګوته|ګوته|لاس
	👉🏻;په ښي لاس په شهادت ګوته اشاره کول: د روڼ پوستکي ټون;اشاره|په ښي لاس په شهادت ګوته اشاره کول|په ښي لاس په شهادت ګوته اشاره کول: د روڼ پوستکي ټون|د روڼ پوستکي ټون|د لاس شا|شهادت ګوته|ګوته|لاس
	👉🏼;په ښي لاس په شهادت ګوته اشاره کول: غنمی-روښانه پوستکۍ;اشاره|په ښي لاس په شهادت ګوته اشاره کول|په ښي لاس په شهادت ګوته اشاره کول: غنمی-روښانه پوستکۍ|د لاس شا|شهادت ګوته|غنمی-روښانه پوستکۍ|ګوته|لاس
	👉🏽;په ښي لاس په شهادت ګوته اشاره کول: غنم رنګه;اشاره|په ښي لاس په شهادت ګوته اشاره کول|په ښي لاس په شهادت ګوته اشاره کول: غنم رنګه|د لاس شا|شهادت ګوته|غنم رنګه|ګوته|لاس
	👉🏾;په ښي لاس په شهادت ګوته اشاره کول: غنمی-تورنګه پوستکۍ;اشاره|په ښي لاس په شهادت ګوته اشاره کول|په ښي لاس په شهادت ګوته اشاره کول: غنمی-تورنګه پوستکۍ|د لاس شا|شهادت ګوته|غنمی-تورنګه پوستکۍ|ګوته|لاس
	👉🏿;په ښي لاس په شهادت ګوته اشاره کول: تور پوستکۍ;اشاره|په ښي لاس په شهادت ګوته اشاره کول|په ښي لاس په شهادت ګوته اشاره کول: تور پوستکۍ|تور پوستکۍ|د لاس شا|شهادت ګوته|ګوته|لاس
👆;شهادت ګوته لاس شاخوا پورته نیول;پورته|شهادت ګوته|شهادت ګوته پورته نیول|شهادت ګوته لاس شاخوا پورته نیول|ګوته|لاس
	👆🏻;شهادت ګوته لاس شاخوا پورته نیول: د روڼ پوستکي ټون;پورته|د روڼ پوستکي ټون|شهادت ګوته|شهادت ګوته پورته نیول|شهادت ګوته لاس شاخوا پورته نیول|شهادت ګوته لاس شاخوا پورته نیول: د روڼ پوستکي ټون|ګوته|لاس
	👆🏼;شهادت ګوته لاس شاخوا پورته نیول: غنمی-روښانه پوستکۍ;پورته|شهادت ګوته|شهادت ګوته پورته نیول|شهادت ګوته لاس شاخوا پورته نیول|شهادت ګوته لاس شاخوا پورته نیول: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|ګوته|لاس
	👆🏽;شهادت ګوته لاس شاخوا پورته نیول: غنم رنګه;پورته|شهادت ګوته|شهادت ګوته پورته نیول|شهادت ګوته لاس شاخوا پورته نیول|شهادت ګوته لاس شاخوا پورته نیول: غنم رنګه|غنم رنګه|ګوته|لاس
	👆🏾;شهادت ګوته لاس شاخوا پورته نیول: غنمی-تورنګه پوستکۍ;پورته|شهادت ګوته|شهادت ګوته پورته نیول|شهادت ګوته لاس شاخوا پورته نیول|شهادت ګوته لاس شاخوا پورته نیول: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|ګوته|لاس
	👆🏿;شهادت ګوته لاس شاخوا پورته نیول: تور پوستکۍ;پورته|تور پوستکۍ|شهادت ګوته|شهادت ګوته پورته نیول|شهادت ګوته لاس شاخوا پورته نیول|شهادت ګوته لاس شاخوا پورته نیول: تور پوستکۍ|ګوته|لاس
🖕;منځنې ګوته;ګوته|لاس|منځنې ګوته
	🖕🏻;منځنې ګوته: د روڼ پوستکي ټون;د روڼ پوستکي ټون|ګوته|لاس|منځنې ګوته|منځنې ګوته: د روڼ پوستکي ټون
	🖕🏼;منځنې ګوته: غنمی-روښانه پوستکۍ;غنمی-روښانه پوستکۍ|ګوته|لاس|منځنې ګوته|منځنې ګوته: غنمی-روښانه پوستکۍ
	🖕🏽;منځنې ګوته: غنم رنګه;غنم رنګه|ګوته|لاس|منځنې ګوته|منځنې ګوته: غنم رنګه
	🖕🏾;منځنې ګوته: غنمی-تورنګه پوستکۍ;غنمی-تورنګه پوستکۍ|ګوته|لاس|منځنې ګوته|منځنې ګوته: غنمی-تورنګه پوستکۍ
	🖕🏿;منځنې ګوته: تور پوستکۍ;تور پوستکۍ|ګوته|لاس|منځنې ګوته|منځنې ګوته: تور پوستکۍ
👇;په شهادت ګوته لاس شاخوا لاندي اشاره کول;اشاره|په شهادت ګوته لاس شاخوا لاندي اشاره کول|شهادت ګوته|ګوته|لاس|لاس شاخوا|لاندي
	👇🏻;په شهادت ګوته لاس شاخوا لاندي اشاره کول: د روڼ پوستکي ټون;اشاره|په شهادت ګوته لاس شاخوا لاندي اشاره کول|په شهادت ګوته لاس شاخوا لاندي اشاره کول: د روڼ پوستکي ټون|د روڼ پوستکي ټون|شهادت ګوته|ګوته|لاس|لاس شاخوا|لاندي
	👇🏼;په شهادت ګوته لاس شاخوا لاندي اشاره کول: غنمی-روښانه پوستکۍ;اشاره|په شهادت ګوته لاس شاخوا لاندي اشاره کول|په شهادت ګوته لاس شاخوا لاندي اشاره کول: غنمی-روښانه پوستکۍ|شهادت ګوته|غنمی-روښانه پوستکۍ|ګوته|لاس|لاس شاخوا|لاندي
	👇🏽;په شهادت ګوته لاس شاخوا لاندي اشاره کول: غنم رنګه;اشاره|په شهادت ګوته لاس شاخوا لاندي اشاره کول|په شهادت ګوته لاس شاخوا لاندي اشاره کول: غنم رنګه|شهادت ګوته|غنم رنګه|ګوته|لاس|لاس شاخوا|لاندي
	👇🏾;په شهادت ګوته لاس شاخوا لاندي اشاره کول: غنمی-تورنګه پوستکۍ;اشاره|په شهادت ګوته لاس شاخوا لاندي اشاره کول|په شهادت ګوته لاس شاخوا لاندي اشاره کول: غنمی-تورنګه پوستکۍ|شهادت ګوته|غنمی-تورنګه پوستکۍ|ګوته|لاس|لاس شاخوا|لاندي
	👇🏿;په شهادت ګوته لاس شاخوا لاندي اشاره کول: تور پوستکۍ;اشاره|په شهادت ګوته لاس شاخوا لاندي اشاره کول|په شهادت ګوته لاس شاخوا لاندي اشاره کول: تور پوستکۍ|تور پوستکۍ|شهادت ګوته|ګوته|لاس|لاس شاخوا|لاندي
☝️;شهادت ګوته پورته نیول;پورته|شهادت ګوته|شهادت ګوته پورته نیول|ګوته|لاس
