# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;nevető arc;arc|nevetés|nevető arc
	🫰🏽;keresztezett mutató- és hüvelykujjú kéz: közepes bőrtónus;csettint|drága|keresztezett mutató- és hüvelykujjú kéz|keresztezett mutató- és hüvelykujjú kéz: közepes bőrtónus|közepes bőrtónus|pénz|szeretet|szív
	🫰🏾;keresztezett mutató- és hüvelykujjú kéz: közepesen sötét bőrtónus;csettint|drága|keresztezett mutató- és hüvelykujjú kéz|keresztezett mutató- és hüvelykujjú kéz: közepesen sötét bőrtónus|közepesen sötét bőrtónus|pénz|szeretet|szív
	🫰🏿;keresztezett mutató- és hüvelykujjú kéz: sötét bőrtónus;csettint|drága|keresztezett mutató- és hüvelykujjú kéz|keresztezett mutató- és hüvelykujjú kéz: sötét bőrtónus|pénz|sötét bőrtónus|szeretet|szív
🤟;szeretlek kézmozdulat;kéz|szeretlek|szeretlek kézmozdulat
	🤟🏻;szeretlek kézmozdulat: világos bőrtónus;kéz|szeretlek|szeretlek kézmozdulat|szeretlek kézmozdulat: világos bőrtónus|világos bőrtónus
	🤟🏼;szeretlek kézmozdulat: közepesen világos bőrtónus;kéz|közepesen világos bőrtónus|szeretlek|szeretlek kézmozdulat|szeretlek kézmozdulat: közepesen világos bőrtónus
	🤟🏽;szeretlek kézmozdulat: közepes bőrtónus;kéz|közepes bőrtónus|szeretlek|szeretlek kézmozdulat|szeretlek kézmozdulat: közepes bőrtónus
	🤟🏾;szeretlek kézmozdulat: közepesen sötét bőrtónus;kéz|közepesen sötét bőrtónus|szeretlek|szeretlek kézmozdulat|szeretlek kézmozdulat: közepesen sötét bőrtónus
	🤟🏿;szeretlek kézmozdulat: sötét bőrtónus;kéz|sötét bőrtónus|szeretlek|szeretlek kézmozdulat|szeretlek kézmozdulat: sötét bőrtónus
🤘;metálvilla;kéz|metál|metálvilla|ördögvilla|szarvak
	🤘🏻;metálvilla: világos bőrtónus;kéz|metál|metálvilla|metálvilla: világos bőrtónus|ördögvilla|szarvak|világos bőrtónus
	🤘🏼;metálvilla: közepesen világos bőrtónus;kéz|közepesen világos bőrtónus|metál|metálvilla|metálvilla: közepesen világos bőrtónus|ördögvilla|szarvak
	🤘🏽;metálvilla: közepes bőrtónus;kéz|közepes bőrtónus|metál|metálvilla|metálvilla: közepes bőrtónus|ördögvilla|szarvak
	🤘🏾;metálvilla: közepesen sötét bőrtónus;kéz|közepesen sötét bőrtónus|metál|metálvilla|metálvilla: közepesen sötét bőrtónus|ördögvilla|szarvak
	🤘🏿;metálvilla: sötét bőrtónus;kéz|metál|metálvilla|metálvilla: sötét bőrtónus|ördögvilla|sötét bőrtónus|szarvak
🤙;„hívj fel” kézjel;„hívj fel” kézjel|hívás|kéz
	🤙🏻;„hívj fel” kézjel: világos bőrtónus;„hívj fel” kézjel|„hívj fel” kézjel: világos bőrtónus|hívás|kéz|világos bőrtónus
	🤙🏼;„hívj fel” kézjel: közepesen világos bőrtónus;„hívj fel” kézjel|„hívj fel” kézjel: közepesen világos bőrtónus|hívás|kéz|közepesen világos bőrtónus
	🤙🏽;„hívj fel” kézjel: közepes bőrtónus;„hívj fel” kézjel|„hívj fel” kézjel: közepes bőrtónus|hívás|kéz|közepes bőrtónus
	🤙🏾;„hívj fel” kézjel: közepesen sötét bőrtónus;„hívj fel” kézjel|„hívj fel” kézjel: közepesen sötét bőrtónus|hívás|kéz|közepesen sötét bőrtónus
	🤙🏿;„hívj fel” kézjel: sötét bőrtónus;„hívj fel” kézjel|„hívj fel” kézjel: sötét bőrtónus|hívás|kéz|sötét bőrtónus
👈;kéz balra mutató ujjal;kéz|kéz balra mutató ujjal|mutatóujj|tenyér|test|ujj
	👈🏻;kéz balra mutató ujjal: világos bőrtónus;kéz|kéz balra mutató ujjal|kéz balra mutató ujjal: világos bőrtónus|mutatóujj|tenyér|test|ujj|világos bőrtónus
	👈🏼;kéz balra mutató ujjal: közepesen világos bőrtónus;kéz|kéz balra mutató ujjal|kéz balra mutató ujjal: közepesen világos bőrtónus|közepesen világos bőrtónus|mutatóujj|tenyér|test|ujj
	👈🏽;kéz balra mutató ujjal: közepes bőrtónus;kéz|kéz balra mutató ujjal|kéz balra mutató ujjal: közepes bőrtónus|közepes bőrtónus|mutatóujj|tenyér|test|ujj
	👈🏾;kéz balra mutató ujjal: közepesen sötét bőrtónus;kéz|kéz balra mutató ujjal|kéz balra mutató ujjal: közepesen sötét bőrtónus|közepesen sötét bőrtónus|mutatóujj|tenyér|test|ujj
	👈🏿;kéz balra mutató ujjal: sötét bőrtónus;kéz|kéz balra mutató ujjal|kéz balra mutató ujjal: sötét bőrtónus|mutatóujj|sötét bőrtónus|tenyér|test|ujj
👉;kéz jobbra mutató ujjal;kéz|kéz jobbra mutató ujjal|mutatóujj|tenyér|test|ujj
	👉🏻;kéz jobbra mutató ujjal: világos bőrtónus;kéz|kéz jobbra mutató ujjal|kéz jobbra mutató ujjal: világos bőrtónus|mutatóujj|tenyér|test|ujj|világos bőrtónus
	👉🏼;kéz jobbra mutató ujjal: közepesen világos bőrtónus;kéz|kéz jobbra mutató ujjal|kéz jobbra mutató ujjal: közepesen világos bőrtónus|közepesen világos bőrtónus|mutatóujj|tenyér|test|ujj
	👉🏽;kéz jobbra mutató ujjal: közepes bőrtónus;kéz|kéz jobbra mutató ujjal|kéz jobbra mutató ujjal: közepes bőrtónus|közepes bőrtónus|mutatóujj|tenyér|test|ujj
	👉🏾;kéz jobbra mutató ujjal: közepesen sötét bőrtónus;kéz|kéz jobbra mutató ujjal|kéz jobbra mutató ujjal: közepesen sötét bőrtónus|közepesen sötét bőrtónus|mutatóujj|tenyér|test|ujj
	👉🏿;kéz jobbra mutató ujjal: sötét bőrtónus;kéz|kéz jobbra mutató ujjal|kéz jobbra mutató ujjal: sötét bőrtónus|mutatóujj|sötét bőrtónus|tenyér|test|ujj
👆;tenyér felfelé mutató ujjal;felfelé|kéz|mutatóujj|tenyér|tenyér felfelé mutató ujjal|test|ujj
	👆🏻;tenyér felfelé mutató ujjal: világos bőrtónus;felfelé|kéz|mutatóujj|tenyér|tenyér felfelé mutató ujjal|tenyér felfelé mutató ujjal: világos bőrtónus|test|ujj|világos bőrtónus
	👆🏼;tenyér felfelé mutató ujjal: közepesen világos bőrtónus;felfelé|kéz|közepesen világos bőrtónus|mutatóujj|tenyér|tenyér felfelé mutató ujjal|tenyér felfelé mutató ujjal: közepesen világos bőrtónus|test|ujj
	👆🏽;tenyér felfelé mutató ujjal: közepes bőrtónus;felfelé|kéz|közepes bőrtónus|mutatóujj|tenyér|tenyér felfelé mutató ujjal|tenyér felfelé mutató ujjal: közepes bőrtónus|test|ujj
	👆🏾;tenyér felfelé mutató ujjal: közepesen sötét bőrtónus;felfelé|kéz|közepesen sötét bőrtónus|mutatóujj|tenyér|tenyér felfelé mutató ujjal|tenyér felfelé mutató ujjal: közepesen sötét bőrtónus|test|ujj
	👆🏿;tenyér felfelé mutató ujjal: sötét bőrtónus;felfelé|kéz|mutatóujj|sötét bőrtónus|tenyér|tenyér felfelé mutató ujjal|tenyér felfelé mutató ujjal: sötét bőrtónus|test|ujj
🖕;középső ujj;kéz|középső ujj|test|ujj
	🖕🏻;középső ujj: világos bőrtónus;kéz|középső ujj|középső ujj: világos bőrtónus|test|ujj|világos bőrtónus
	🖕🏼;középső ujj: közepesen világos bőrtónus;kéz|közepesen világos bőrtónus|középső ujj|középső ujj: közepesen világos bőrtónus|test|ujj
	🖕🏽;középső ujj: közepes bőrtónus;kéz|közepes bőrtónus|középső ujj|középső ujj: közepes bőrtónus|test|ujj
	🖕🏾;középső ujj: közepesen sötét bőrtónus;kéz|közepesen sötét bőrtónus|középső ujj|középső ujj: közepesen sötét bőrtónus|test|ujj
	🖕🏿;középső ujj: sötét bőrtónus;kéz|középső ujj|középső ujj: sötét bőrtónus|sötét bőrtónus|test|ujj
👇;tenyér lefelé mutató ujjal;kéz|lefelé|mutatóujj|tenyér|tenyér lefelé mutató ujjal|test|ujj
	👇🏻;tenyér lefelé mutató ujjal: világos bőrtónus;kéz|lefelé|mutatóujj|tenyér|tenyér lefelé mutató ujjal|tenyér lefelé mutató ujjal: világos bőrtónus|test|ujj|világos bőrtónus
	👇🏼;tenyér lefelé mutató ujjal: közepesen világos bőrtónus;kéz|közepesen világos bőrtónus|lefelé|mutatóujj|tenyér|tenyér lefelé mutató ujjal|tenyér lefelé mutató ujjal: közepesen világos bőrtónus|test|ujj
	👇🏽;tenyér lefelé mutató ujjal: közepes bőrtónus;kéz|közepes bőrtónus|lefelé|mutatóujj|tenyér|tenyér lefelé mutató ujjal|tenyér lefelé mutató ujjal: közepes bőrtónus|test|ujj
	👇🏾;tenyér lefelé mutató ujjal: közepesen sötét bőrtónus;kéz|közepesen sötét bőrtónus|lefelé|mutatóujj|tenyér|tenyér lefelé mutató ujjal|tenyér lefelé mutató ujjal: közepesen sötét bőrtónus|test|ujj
	👇🏿;tenyér lefelé mutató ujjal: sötét bőrtónus;kéz|lefelé|mutatóujj|sötét bőrtónus|tenyér|tenyér lefelé mutató ujjal|tenyér lefelé mutató ujjal: sötét bőrtónus|test|ujj
☝️;kéz felfelé mutató ujjal;felfelé|kéz|kéz felfelé mutató ujjal|mutatóujj|test|ujj
	☝🏻;kéz felfelé mutató ujjal: világos bőrtónus;felfelé|kéz|kéz felfelé mutató ujjal|kéz felfelé mutató ujjal: világos bőrtónus|mutatóujj|test|ujj|világos bőrtónus
	☝🏼;kéz felfelé mutató ujjal: közepesen világos bőrtónus;felfelé|kéz|kéz felfelé mutató ujjal|kéz felfelé mutató ujjal: közepesen világos bőrtónus|közepesen világos bőrtónus|mutatóujj|test|ujj
	☝🏽;kéz felfelé mutató ujjal: közepes bőrtónus;felfelé|kéz|kéz felfelé mutató ujjal|kéz felfelé mutató ujjal: közepes bőrtónus|közepes bőrtónus|mutatóujj|test|ujj
	☝🏾;kéz felfelé mutató ujjal: közepesen sötét bőrtónus;felfelé|kéz|kéz felfelé mutató ujjal|kéz felfelé mutató ujjal: közepesen sötét bőrtónus|közepesen sötét bőrtónus|mutatóujj|test|ujj
	☝🏿;kéz felfelé mutató ujjal: sötét bőrtónus;felfelé|kéz|kéz felfelé mutató ujjal|kéz felfelé mutató ujjal: sötét bőrtónus|mutatóujj|sötét bőrtónus|test|ujj
🫵;felhasználóra mutató ujj;felhasználóra mutató ujj|mutat|te
	🫵🏻;felhasználóra mutató ujj: világos bőrtónus;felhasználóra mutató ujj|felhasználóra mutató ujj: világos bőrtónus|mutat|te|világos bőrtónus
	🫵🏼;felhasználóra mutató ujj: közepesen világos bőrtónus;felhasználóra mutató ujj|felhasználóra mutató ujj: közepesen világos bőrtónus|közepesen világos bőrtónus|mutat|te
	🫵🏽;felhasználóra mutató ujj: közepes bőrtónus;felhasználóra mutató ujj|felhasználóra mutató ujj: közepes bőrtónus|közepes bőrtónus|mutat|te
	🫵🏾;felhasználóra mutató ujj: közepesen sötét bőrtónus;felhasználóra mutató ujj|felhasználóra mutató ujj: közepesen sötét bőrtónus|közepesen sötét bőrtónus|mutat|te
	🫵🏿;felhasználóra mutató ujj: sötét bőrtónus;felhasználóra mutató ujj|felhasználóra mutató ujj: sötét bőrtónus|mutat|sötét bőrtónus|te
👍;felfelé mutató hüvelykujj;felfelé mutató hüvelykujj|hüvelykujj felfelé|kéz|oké|rendben|test
	👍🏻;felfelé mutató hüvelykujj: világos bőrtónus;felfelé mutató hüvelykujj|felfelé mutató hüvelykujj: világos bőrtónus|hüvelykujj felfelé|kéz|oké|rendben|test|világos bőrtónus
	👍🏼;felfelé mutató hüvelykujj: közepesen világos bőrtónus;felfelé mutató hüvelykujj|felfelé mutató hüvelykujj: közepesen világos bőrtónus|hüvelykujj felfelé|kéz|közepesen világos bőrtónus|oké|rendben|test
	👍🏽;felfelé mutató hüvelykujj: közepes bőrtónus;felfelé mutató hüvelykujj|felfelé mutató hüvelykujj: közepes bőrtónus|hüvelykujj felfelé|kéz|közepes bőrtónus|oké|rendben|test
	👍🏾;felfelé mutató hüvelykujj: közepesen sötét bőrtónus;felfelé mutató hüvelykujj|felfelé mutató hüvelykujj: közepesen sötét bőrtónus|hüvelykujj felfelé|kéz|közepesen sötét bőrtónus|oké|rendben|test
	👍🏿;felfelé mutató hüvelykujj: sötét bőrtónus;felfelé mutató hüvelykujj|felfelé mutató hüvelykujj: sötét bőrtónus|hüvelykujj felfelé|kéz|oké|rendben|sötét bőrtónus|test
👎;lefelé mutató hüvelykujj;hüvelykujj lefelé|kéz|lefelé mutató hüvelykujj|test
	👎🏻;lefelé mutató hüvelykujj: világos bőrtónus;hüvelykujj lefelé|kéz|lefelé mutató hüvelykujj|lefelé mutató hüvelykujj: világos bőrtónus|test|világos bőrtónus
	👎🏼;lefelé mutató hüvelykujj: közepesen világos bőrtónus;hüvelykujj lefelé|kéz|közepesen világos bőrtónus|lefelé mutató hüvelykujj|lefelé mutató hüvelykujj: közepesen világos bőrtónus|test
	👎🏽;lefelé mutató hüvelykujj: közepes bőrtónus;hüvelykujj lefelé|kéz|közepes bőrtónus|lefelé mutató hüvelykujj|lefelé mutató hüvelykujj: közepes bőrtónus|test
	👎🏾;lefelé mutató hüvelykujj: közepesen sötét bőrtónus;hüvelykujj lefelé|kéz|közepesen sötét bőrtónus|lefelé mutató hüvelykujj|lefelé mutató hüvelykujj: közepesen sötét bőrtónus|test
	👎🏿;lefelé mutató hüvelykujj: sötét bőrtónus;hüvelykujj lefelé|kéz|lefelé mutató hüvelykujj|lefelé mutató hüvelykujj: sötét bőrtónus|sötét bőrtónus|test
✊;felemelt ököl;felemelt|ököl|test|ütés
	✊🏻;felemelt ököl: világos bőrtónus;felemelt|felemelt ököl: világos bőrtónus|ököl|test|ütés|világos bőrtónus
	✊🏼;felemelt ököl: közepesen világos bőrtónus;felemelt|felemelt ököl: közepesen világos bőrtónus|közepesen világos bőrtónus|ököl|test|ütés
	✊🏽;felemelt ököl: közepes bőrtónus;felemelt|felemelt ököl: közepes bőrtónus|közepes bőrtónus|ököl|test|ütés
	✊🏾;felemelt ököl: közepesen sötét bőrtónus;felemelt|felemelt ököl: közepesen sötét bőrtónus|közepesen sötét bőrtónus|ököl|test|ütés
	✊🏿;felemelt ököl: sötét bőrtónus;felemelt|felemelt ököl: sötét bőrtónus|ököl|sötét bőrtónus|test|ütés
👊;ütésre emelt ököl;felemelt|ököl|test|ütés|ütésre emelt ököl
	👊🏻;ütésre emelt ököl: világos bőrtónus;felemelt|ököl|test|ütés|ütésre emelt ököl|ütésre emelt ököl: világos bőrtónus|világos bőrtónus
	👊🏼;ütésre emelt ököl: közepesen világos bőrtónus;felemelt|közepesen világos bőrtónus|ököl|test|ütés|ütésre emelt ököl|ütésre emelt ököl: közepesen világos bőrtónus
	👊🏽;ütésre emelt ököl: közepes bőrtónus;felemelt|közepes bőrtónus|ököl|test|ütés|ütésre emelt ököl|ütésre emelt ököl: közepes bőrtónus
	👊🏾;ütésre emelt ököl: közepesen sötét bőrtónus;felemelt|közepesen sötét bőrtónus|ököl|test|ütés|ütésre emelt ököl|ütésre emelt ököl: közepesen sötét bőrtónus
	👊🏿;ütésre emelt ököl: sötét bőrtónus;felemelt|ököl|sötét bőrtónus|test|ütés|ütésre emelt ököl|ütésre emelt ököl: sötét bőrtónus
🤛;balra néző ököl;bal szélső|balra néző ököl|ököl
	🤛🏻;balra néző ököl: világos bőrtónus;bal szélső|balra néző ököl|balra néző ököl: világos bőrtónus|ököl|világos bőrtónus
	🤛🏼;balra néző ököl: közepesen világos bőrtónus;bal szélső|balra néző ököl|balra néző ököl: közepesen világos bőrtónus|közepesen világos bőrtónus|ököl
	🤛🏽;balra néző ököl: közepes bőrtónus;bal szélső|balra néző ököl|balra néző ököl: közepes bőrtónus|közepes bőrtónus|ököl
	🤛🏾;balra néző ököl: közepesen sötét bőrtónus;bal szélső|balra néző ököl|balra néző ököl: közepesen sötét bőrtónus|közepesen sötét bőrtónus|ököl
	🤛🏿;balra néző ököl: sötét bőrtónus;bal szélső|balra néző ököl|balra néző ököl: sötét bőrtónus|ököl|sötét bőrtónus
🤜;jobbra néző ököl;jobb szélső|jobbra néző ököl|ököl
	🤜🏻;jobbra néző ököl: világos bőrtónus;jobb szélső|jobbra néző ököl|jobbra néző ököl: világos bőrtónus|ököl|világos bőrtónus
	🤜🏼;jobbra néző ököl: közepesen világos bőrtónus;jobb szélső|jobbra néző ököl|jobbra néző ököl: közepesen világos bőrtónus|közepesen világos bőrtónus|ököl
	🤜🏽;jobbra néző ököl: közepes bőrtónus;jobb szélső|jobbra néző ököl|jobbra néző ököl: közepes bőrtónus|közepes bőrtónus|ököl
	🤜🏾;jobbra néző ököl: közepesen sötét bőrtónus;jobb szélső|jobbra néző ököl|jobbra néző ököl: közepesen sötét bőrtónus|közepesen sötét bőrtónus|ököl
	🤜🏿;jobbra néző ököl: sötét bőrtónus;jobb szélső|jobbra néző ököl|jobbra néző ököl: sötét bőrtónus|ököl|sötét bőrtónus
👏;tapsoló kéz;kéz|taps|tapsoló kéz|test
	👏🏻;tapsoló kéz: világos bőrtónus;kéz|taps|tapsoló kéz|tapsoló kéz: világos bőrtónus|test|világos bőrtónus
	👏🏼;tapsoló kéz: közepesen világos bőrtónus;kéz|közepesen világos bőrtónus|taps|tapsoló kéz|tapsoló kéz: közepesen világos bőrtónus|test
	👏🏽;tapsoló kéz: közepes bőrtónus;kéz|közepes bőrtónus|taps|tapsoló kéz|tapsoló kéz: közepes bőrtónus|test
	👏🏾;tapsoló kéz: közepesen sötét bőrtónus;kéz|közepesen sötét bőrtónus|taps|tapsoló kéz|tapsoló kéz: közepesen sötét bőrtónus|test
	👏🏿;tapsoló kéz: sötét bőrtónus;kéz|sötét bőrtónus|taps|tapsoló kéz|tapsoló kéz: sötét bőrtónus|test
🙌;kezét felemelő ember;kéz|kezét felemelő ember|test|ünneplés|vidámság
	🙌🏻;kezét felemelő ember: világos bőrtónus;kéz|kezét felemelő ember|kezét felemelő ember: világos bőrtónus|test|ünneplés|vidámság|világos bőrtónus
	🙌🏼;kezét felemelő ember: közepesen világos bőrtónus;kéz|kezét felemelő ember|kezét felemelő ember: közepesen világos bőrtónus|közepesen világos bőrtónus|test|ünneplés|vidámság
	🙌🏽;kezét felemelő ember: közepes bőrtónus;kéz|kezét felemelő ember|kezét felemelő ember: közepes bőrtónus|közepes bőrtónus|test|ünneplés|vidámság
	🙌🏾;kezét felemelő ember: közepesen sötét bőrtónus;kéz|kezét felemelő ember|kezét felemelő ember: közepesen sötét bőrtónus|közepesen sötét bőrtónus|test|ünneplés|vidámság
	🙌🏿;kezét felemelő ember: sötét bőrtónus;kéz|kezét felemelő ember|kezét felemelő ember: sötét bőrtónus|sötét bőrtónus|test|ünneplés|vidámság
🫶;szívet formázó kezek;szeretet|szívet formázó kezek
	🫶🏻;szívet formázó kezek: világos bőrtónus;szeretet|szívet formázó kezek|szívet formázó kezek: világos bőrtónus|világos bőrtónus
	🫶🏼;szívet formázó kezek: közepesen világos bőrtónus;közepesen világos bőrtónus|szeretet|szívet formázó kezek|szívet formázó kezek: közepesen világos bőrtónus
