# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;کھل کے ہنستا چہرہ;چہرہ|کھل کے ہنستا چہرہ|کھلا|منہ|ہنسی
	🫲🏿;بائیں اشارہ کرتا ہاتھ: جلد کی سیاہ رنگت;بائیں|بائیں اشارہ کرتا ہاتھ|بائیں اشارہ کرتا ہاتھ: جلد کی سیاہ رنگت|بائیں طرف|جلد کی سیاہ رنگت|ہاتھ
🫳;ہتھیلی نیچے کیے ہاتھ;برخاست|بھگانا|گرانا|ہتھیلی نیچے کیے ہاتھ
	🫳🏻;ہتھیلی نیچے کیے ہاتھ: جلد کی ہلکی رنگت;برخاست|بھگانا|جلد کی ہلکی رنگت|گرانا|ہتھیلی نیچے کیے ہاتھ|ہتھیلی نیچے کیے ہاتھ: جلد کی ہلکی رنگت
	🫳🏼;ہتھیلی نیچے کیے ہاتھ: جلد کی درمیانی -ہلکی رنگت;برخاست|بھگانا|جلد کی درمیانی -ہلکی رنگت|گرانا|ہتھیلی نیچے کیے ہاتھ|ہتھیلی نیچے کیے ہاتھ: جلد کی درمیانی -ہلکی رنگت
	🫳🏽;ہتھیلی نیچے کیے ہاتھ: جلد کی درمیانی رنگت;برخاست|بھگانا|جلد کی درمیانی رنگت|گرانا|ہتھیلی نیچے کیے ہاتھ|ہتھیلی نیچے کیے ہاتھ: جلد کی درمیانی رنگت
	🫳🏾;ہتھیلی نیچے کیے ہاتھ: جلد کی درمیانی سیاہ رنگت;برخاست|بھگانا|جلد کی درمیانی سیاہ رنگت|گرانا|ہتھیلی نیچے کیے ہاتھ|ہتھیلی نیچے کیے ہاتھ: جلد کی درمیانی سیاہ رنگت
	🫳🏿;ہتھیلی نیچے کیے ہاتھ: جلد کی سیاہ رنگت;برخاست|بھگانا|جلد کی سیاہ رنگت|گرانا|ہتھیلی نیچے کیے ہاتھ|ہتھیلی نیچے کیے ہاتھ: جلد کی سیاہ رنگت
🫴;ہتھیلی اوپر کیے ہاتھ;آنا|اشارے سے بلانا|پکڑنا|پیش کش کرنا|ہتھیلی اوپر کیے ہاتھ
	🫴🏻;ہتھیلی اوپر کیے ہاتھ: جلد کی ہلکی رنگت;آنا|اشارے سے بلانا|پکڑنا|پیش کش کرنا|جلد کی ہلکی رنگت|ہتھیلی اوپر کیے ہاتھ|ہتھیلی اوپر کیے ہاتھ: جلد کی ہلکی رنگت
	🫴🏼;ہتھیلی اوپر کیے ہاتھ: جلد کی درمیانی -ہلکی رنگت;آنا|اشارے سے بلانا|پکڑنا|پیش کش کرنا|جلد کی درمیانی -ہلکی رنگت|ہتھیلی اوپر کیے ہاتھ|ہتھیلی اوپر کیے ہاتھ: جلد کی درمیانی -ہلکی رنگت
	🫴🏽;ہتھیلی اوپر کیے ہاتھ: جلد کی درمیانی رنگت;آنا|اشارے سے بلانا|پکڑنا|پیش کش کرنا|جلد کی درمیانی رنگت|ہتھیلی اوپر کیے ہاتھ|ہتھیلی اوپر کیے ہاتھ: جلد کی درمیانی رنگت
	🫴🏾;ہتھیلی اوپر کیے ہاتھ: جلد کی درمیانی سیاہ رنگت;آنا|اشارے سے بلانا|پکڑنا|پیش کش کرنا|جلد کی درمیانی سیاہ رنگت|ہتھیلی اوپر کیے ہاتھ|ہتھیلی اوپر کیے ہاتھ: جلد کی درمیانی سیاہ رنگت
	🫴🏿;ہتھیلی اوپر کیے ہاتھ: جلد کی سیاہ رنگت;آنا|اشارے سے بلانا|پکڑنا|پیش کش کرنا|جلد کی سیاہ رنگت|ہتھیلی اوپر کیے ہاتھ|ہتھیلی اوپر کیے ہاتھ: جلد کی سیاہ رنگت
🫷;بائیں طرف دھکیلتے ہوئے ہاتھ;انتظار کرنا|انکار|بائیں طرف|بائیں طرف دھکیلتے ہوئے ہاتھ|دھکا|روکنا|ہائی فائیو
	🫷🏻;بائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی ہلکی رنگت;انتظار کرنا|انکار|بائیں طرف|بائیں طرف دھکیلتے ہوئے ہاتھ|بائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی ہلکی رنگت|جلد کی ہلکی رنگت|دھکا|روکنا|ہائی فائیو
	🫷🏼;بائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی درمیانی -ہلکی رنگت;انتظار کرنا|انکار|بائیں طرف|بائیں طرف دھکیلتے ہوئے ہاتھ|بائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی درمیانی -ہلکی رنگت|جلد کی درمیانی -ہلکی رنگت|دھکا|روکنا|ہائی فائیو
	🫷🏽;بائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی درمیانی رنگت;انتظار کرنا|انکار|بائیں طرف|بائیں طرف دھکیلتے ہوئے ہاتھ|بائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی درمیانی رنگت|جلد کی درمیانی رنگت|دھکا|روکنا|ہائی فائیو
	🫷🏾;بائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی درمیانی سیاہ رنگت;انتظار کرنا|انکار|بائیں طرف|بائیں طرف دھکیلتے ہوئے ہاتھ|بائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی درمیانی سیاہ رنگت|جلد کی درمیانی سیاہ رنگت|دھکا|روکنا|ہائی فائیو
	🫷🏿;بائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی سیاہ رنگت;انتظار کرنا|انکار|بائیں طرف|بائیں طرف دھکیلتے ہوئے ہاتھ|بائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی سیاہ رنگت|جلد کی سیاہ رنگت|دھکا|روکنا|ہائی فائیو
🫸;دائیں طرف دھکیلتے ہوئے ہاتھ;انتظار کرنا|انکار|دائیں طرف|دائیں طرف دھکیلتے ہوئے ہاتھ|دھکا|روکنا|ہائی فائیو
	🫸🏻;دائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی ہلکی رنگت;انتظار کرنا|انکار|جلد کی ہلکی رنگت|دائیں طرف|دائیں طرف دھکیلتے ہوئے ہاتھ|دائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی ہلکی رنگت|دھکا|روکنا|ہائی فائیو
	🫸🏼;دائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی درمیانی -ہلکی رنگت;انتظار کرنا|انکار|جلد کی درمیانی -ہلکی رنگت|دائیں طرف|دائیں طرف دھکیلتے ہوئے ہاتھ|دائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی درمیانی -ہلکی رنگت|دھکا|روکنا|ہائی فائیو
	🫸🏽;دائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی درمیانی رنگت;انتظار کرنا|انکار|جلد کی درمیانی رنگت|دائیں طرف|دائیں طرف دھکیلتے ہوئے ہاتھ|دائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی درمیانی رنگت|دھکا|روکنا|ہائی فائیو
	🫸🏾;دائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی درمیانی سیاہ رنگت;انتظار کرنا|انکار|جلد کی درمیانی سیاہ رنگت|دائیں طرف|دائیں طرف دھکیلتے ہوئے ہاتھ|دائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی درمیانی سیاہ رنگت|دھکا|روکنا|ہائی فائیو
	🫸🏿;دائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی سیاہ رنگت;انتظار کرنا|انکار|جلد کی سیاہ رنگت|دائیں طرف|دائیں طرف دھکیلتے ہوئے ہاتھ|دائیں طرف دھکیلتے ہوئے ہاتھ: جلد کی سیاہ رنگت|دھکا|روکنا|ہائی فائیو
👌;اوکے کا نشان بناتا ہاتھ;اوکے|اوکے کا نشان بناتا ہاتھ
	👌🏻;اوکے کا نشان بناتا ہاتھ: جلد کی ہلکی رنگت;اوکے|اوکے کا نشان بناتا ہاتھ|اوکے کا نشان بناتا ہاتھ: جلد کی ہلکی رنگت|جلد کی ہلکی رنگت
	👌🏼;اوکے کا نشان بناتا ہاتھ: جلد کی درمیانی -ہلکی رنگت;اوکے|اوکے کا نشان بناتا ہاتھ|اوکے کا نشان بناتا ہاتھ: جلد کی درمیانی -ہلکی رنگت|جلد کی درمیانی -ہلکی رنگت
	👌🏽;اوکے کا نشان بناتا ہاتھ: جلد کی درمیانی رنگت;اوکے|اوکے کا نشان بناتا ہاتھ|اوکے کا نشان بناتا ہاتھ: جلد کی درمیانی رنگت|جلد کی درمیانی رنگت
	👌🏾;اوکے کا نشان بناتا ہاتھ: جلد کی درمیانی سیاہ رنگت;اوکے|اوکے کا نشان بناتا ہاتھ|اوکے کا نشان بناتا ہاتھ: جلد کی درمیانی سیاہ رنگت|جلد کی درمیانی سیاہ رنگت
	👌🏿;اوکے کا نشان بناتا ہاتھ: جلد کی سیاہ رنگت;اوکے|اوکے کا نشان بناتا ہاتھ|اوکے کا نشان بناتا ہاتھ: جلد کی سیاہ رنگت|جلد کی سیاہ رنگت
🤌;بھینچی ہوئی انگلیاں;انگلیاں|بھینچی ہوئی انگلیاں|تفتیش|طنزیہ|ہاتھ کا اشارہ
	🤌🏻;بھینچی ہوئی انگلیاں: جلد کی ہلکی رنگت;انگلیاں|بھینچی ہوئی انگلیاں|بھینچی ہوئی انگلیاں: جلد کی ہلکی رنگت|تفتیش|جلد کی ہلکی رنگت|طنزیہ|ہاتھ کا اشارہ
	🤌🏼;بھینچی ہوئی انگلیاں: جلد کی درمیانی -ہلکی رنگت;انگلیاں|بھینچی ہوئی انگلیاں|بھینچی ہوئی انگلیاں: جلد کی درمیانی -ہلکی رنگت|تفتیش|جلد کی درمیانی -ہلکی رنگت|طنزیہ|ہاتھ کا اشارہ
	🤌🏽;بھینچی ہوئی انگلیاں: جلد کی درمیانی رنگت;انگلیاں|بھینچی ہوئی انگلیاں|بھینچی ہوئی انگلیاں: جلد کی درمیانی رنگت|تفتیش|جلد کی درمیانی رنگت|طنزیہ|ہاتھ کا اشارہ
	🤌🏾;بھینچی ہوئی انگلیاں: جلد کی درمیانی سیاہ رنگت;انگلیاں|بھینچی ہوئی انگلیاں|بھینچی ہوئی انگلیاں: جلد کی درمیانی سیاہ رنگت|تفتیش|جلد کی درمیانی سیاہ رنگت|طنزیہ|ہاتھ کا اشارہ
	🤌🏿;بھینچی ہوئی انگلیاں: جلد کی سیاہ رنگت;انگلیاں|بھینچی ہوئی انگلیاں|بھینچی ہوئی انگلیاں: جلد کی سیاہ رنگت|تفتیش|جلد کی سیاہ رنگت|طنزیہ|ہاتھ کا اشارہ
🤏;چٹکی لیتا ہوا ہاتھ;تھوڑی مقدار|چٹکی لیتا ہوا ہاتھ
	🤏🏻;چٹکی لیتا ہوا ہاتھ: جلد کی ہلکی رنگت;تھوڑی مقدار|جلد کی ہلکی رنگت|چٹکی لیتا ہوا ہاتھ|چٹکی لیتا ہوا ہاتھ: جلد کی ہلکی رنگت
	🤏🏼;چٹکی لیتا ہوا ہاتھ: جلد کی درمیانی -ہلکی رنگت;تھوڑی مقدار|جلد کی درمیانی -ہلکی رنگت|چٹکی لیتا ہوا ہاتھ|چٹکی لیتا ہوا ہاتھ: جلد کی درمیانی -ہلکی رنگت
	🤏🏽;چٹکی لیتا ہوا ہاتھ: جلد کی درمیانی رنگت;تھوڑی مقدار|جلد کی درمیانی رنگت|چٹکی لیتا ہوا ہاتھ|چٹکی لیتا ہوا ہاتھ: جلد کی درمیانی رنگت
	🤏🏾;چٹکی لیتا ہوا ہاتھ: جلد کی درمیانی سیاہ رنگت;تھوڑی مقدار|جلد کی درمیانی سیاہ رنگت|چٹکی لیتا ہوا ہاتھ|چٹکی لیتا ہوا ہاتھ: جلد کی درمیانی سیاہ رنگت
	🤏🏿;چٹکی لیتا ہوا ہاتھ: جلد کی سیاہ رنگت;تھوڑی مقدار|جلد کی سیاہ رنگت|چٹکی لیتا ہوا ہاتھ|چٹکی لیتا ہوا ہاتھ: جلد کی سیاہ رنگت
✌️;فتح کا نشان بناتا ہاتھ;جسم|فتح|فتح کا نشان بناتا ہاتھ|نشان|ہاتھ
	✌🏻;فتح کا نشان بناتا ہاتھ: جلد کی ہلکی رنگت;جسم|جلد کی ہلکی رنگت|فتح|فتح کا نشان بناتا ہاتھ|فتح کا نشان بناتا ہاتھ: جلد کی ہلکی رنگت|نشان|ہاتھ
	✌🏼;فتح کا نشان بناتا ہاتھ: جلد کی درمیانی -ہلکی رنگت;جسم|جلد کی درمیانی -ہلکی رنگت|فتح|فتح کا نشان بناتا ہاتھ|فتح کا نشان بناتا ہاتھ: جلد کی درمیانی -ہلکی رنگت|نشان|ہاتھ
	✌🏽;فتح کا نشان بناتا ہاتھ: جلد کی درمیانی رنگت;جسم|جلد کی درمیانی رنگت|فتح|فتح کا نشان بناتا ہاتھ|فتح کا نشان بناتا ہاتھ: جلد کی درمیانی رنگت|نشان|ہاتھ
	✌🏾;فتح کا نشان بناتا ہاتھ: جلد کی درمیانی سیاہ رنگت;جسم|جلد کی درمیانی سیاہ رنگت|فتح|فتح کا نشان بناتا ہاتھ|فتح کا نشان بناتا ہاتھ: جلد کی درمیانی سیاہ رنگت|نشان|ہاتھ
	✌🏿;فتح کا نشان بناتا ہاتھ: جلد کی سیاہ رنگت;جسم|جلد کی سیاہ رنگت|فتح|فتح کا نشان بناتا ہاتھ|فتح کا نشان بناتا ہاتھ: جلد کی سیاہ رنگت|نشان|ہاتھ
🤞;کراس بناتی انگلیاں;امید|انگلی|قسمت|کراس|کراس بناتی انگلیاں
	🤞🏻;کراس بناتی انگلیاں: جلد کی ہلکی رنگت;امید|انگلی|جلد کی ہلکی رنگت|قسمت|کراس|کراس بناتی انگلیاں|کراس بناتی انگلیاں: جلد کی ہلکی رنگت
	🤞🏼;کراس بناتی انگلیاں: جلد کی درمیانی -ہلکی رنگت;امید|انگلی|جلد کی درمیانی -ہلکی رنگت|قسمت|کراس|کراس بناتی انگلیاں|کراس بناتی انگلیاں: جلد کی درمیانی -ہلکی رنگت
	🤞🏽;کراس بناتی انگلیاں: جلد کی درمیانی رنگت;امید|انگلی|جلد کی درمیانی رنگت|قسمت|کراس|کراس بناتی انگلیاں|کراس بناتی انگلیاں: جلد کی درمیانی رنگت
	🤞🏾;کراس بناتی انگلیاں: جلد کی درمیانی سیاہ رنگت;امید|انگلی|جلد کی درمیانی سیاہ رنگت|قسمت|کراس|کراس بناتی انگلیاں|کراس بناتی انگلیاں: جلد کی درمیانی سیاہ رنگت
	🤞🏿;کراس بناتی انگلیاں: جلد کی سیاہ رنگت;امید|انگلی|جلد کی سیاہ رنگت|قسمت|کراس|کراس بناتی انگلیاں|کراس بناتی انگلیاں: جلد کی سیاہ رنگت
🫰;شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ;چٹکی بجانا|دل|رقم|شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ|محبت|مہنگا
	🫰🏻;شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ: جلد کی ہلکی رنگت;جلد کی ہلکی رنگت|چٹکی بجانا|دل|رقم|شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ|شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ: جلد کی ہلکی رنگت|محبت|مہنگا
	🫰🏼;شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ: جلد کی درمیانی -ہلکی رنگت;جلد کی درمیانی -ہلکی رنگت|چٹکی بجانا|دل|رقم|شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ|شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ: جلد کی درمیانی -ہلکی رنگت|محبت|مہنگا
	🫰🏽;شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ: جلد کی درمیانی رنگت;جلد کی درمیانی رنگت|چٹکی بجانا|دل|رقم|شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ|شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ: جلد کی درمیانی رنگت|محبت|مہنگا
	🫰🏾;شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ: جلد کی درمیانی سیاہ رنگت;جلد کی درمیانی سیاہ رنگت|چٹکی بجانا|دل|رقم|شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ|شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ: جلد کی درمیانی سیاہ رنگت|محبت|مہنگا
	🫰🏿;شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ: جلد کی سیاہ رنگت;جلد کی سیاہ رنگت|چٹکی بجانا|دل|رقم|شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ|شہادت کی انگلی اور انگوٹھہ کراس کیے ہوئے ہاتھ: جلد کی سیاہ رنگت|محبت|مہنگا
🤟;آپ سے محبت کا اشارہ;آپ سے محبت|آپ سے محبت کا اشارہ|ہاتھ
	🤟🏻;آپ سے محبت کا اشارہ: جلد کی ہلکی رنگت;آپ سے محبت|آپ سے محبت کا اشارہ|آپ سے محبت کا اشارہ: جلد کی ہلکی رنگت|جلد کی ہلکی رنگت|ہاتھ
	🤟🏼;آپ سے محبت کا اشارہ: جلد کی درمیانی -ہلکی رنگت;آپ سے محبت|آپ سے محبت کا اشارہ|آپ سے محبت کا اشارہ: جلد کی درمیانی -ہلکی رنگت|جلد کی درمیانی -ہلکی رنگت|ہاتھ
	🤟🏽;آپ سے محبت کا اشارہ: جلد کی درمیانی رنگت;آپ سے محبت|آپ سے محبت کا اشارہ|آپ سے محبت کا اشارہ: جلد کی درمیانی رنگت|جلد کی درمیانی رنگت|ہاتھ
