# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
	👈🏻;ангушти ишорат ба тарафи чап ишора карда истода: ранги равшани пӯст;ангушт|ангушти ишорат ба тарафи чап ишора карда истода|ангушти ишорат ба тарафи чап ишора карда истода: ранги равшани пӯст|даст|нишондиҳанда|нуқта|пушти даст|ранги равшани пӯст
	👈🏼;ангушти ишорат ба тарафи чап ишора карда истода: ранги равшании миёнаи пӯст;ангушт|ангушти ишорат ба тарафи чап ишора карда истода|ангушти ишорат ба тарафи чап ишора карда истода: ранги равшании миёнаи пӯст|даст|нишондиҳанда|нуқта|пушти даст|ранги равшании миёнаи пӯст
	👈🏽;ангушти ишорат ба тарафи чап ишора карда истода: ранги миёнаи пӯст;ангушт|ангушти ишорат ба тарафи чап ишора карда истода|ангушти ишорат ба тарафи чап ишора карда истода: ранги миёнаи пӯст|даст|нишондиҳанда|нуқта|пушти даст|ранги миёнаи пӯст
	👈🏾;ангушти ишорат ба тарафи чап ишора карда истода: ранги торики миёнаи пӯст;ангушт|ангушти ишорат ба тарафи чап ишора карда истода|ангушти ишорат ба тарафи чап ишора карда истода: ранги торики миёнаи пӯст|даст|нишондиҳанда|нуқта|пушти даст|ранги торики миёнаи пӯст
	👈🏿;ангушти ишорат ба тарафи чап ишора карда истода: ранги торики пӯст;ангушт|ангушти ишорат ба тарафи чап ишора карда истода|ангушти ишорат ба тарафи чап ишора карда истода: ранги торики пӯст|даст|нишондиҳанда|нуқта|пушти даст|ранги торики пӯст
👉;ангушти ишорат ба тарафи рост ишора карда истода;ангушт|ангушти ишорат ба тарафи рост ишора карда истода|даст|нишондиҳанда|нуқта|пушти даст
	👉🏻;ангушти ишорат ба тарафи рост ишора карда истода: ранги равшани пӯст;ангушт|ангушти ишорат ба тарафи рост ишора карда истода|ангушти ишорат ба тарафи рост ишора карда истода: ранги равшани пӯст|даст|нишондиҳанда|нуқта|пушти даст|ранги равшани пӯст
	👉🏼;ангушти ишорат ба тарафи рост ишора карда истода: ранги равшании миёнаи пӯст;ангушт|ангушти ишорат ба тарафи рост ишора карда истода|ангушти ишорат ба тарафи рост ишора карда истода: ранги равшании миёнаи пӯст|даст|нишондиҳанда|нуқта|пушти даст|ранги равшании миёнаи пӯст
	👉🏽;ангушти ишорат ба тарафи рост ишора карда истода: ранги миёнаи пӯст;ангушт|ангушти ишорат ба тарафи рост ишора карда истода|ангушти ишорат ба тарафи рост ишора карда истода: ранги миёнаи пӯст|даст|нишондиҳанда|нуқта|пушти даст|ранги миёнаи пӯст
	👉🏾;ангушти ишорат ба тарафи рост ишора карда истода: ранги торики миёнаи пӯст;ангушт|ангушти ишорат ба тарафи рост ишора карда истода|ангушти ишорат ба тарафи рост ишора карда истода: ранги торики миёнаи пӯст|даст|нишондиҳанда|нуқта|пушти даст|ранги торики миёнаи пӯст
	👉🏿;ангушти ишорат ба тарафи рост ишора карда истода: ранги торики пӯст;ангушт|ангушти ишорат ба тарафи рост ишора карда истода|ангушти ишорат ба тарафи рост ишора карда истода: ранги торики пӯст|даст|нишондиҳанда|нуқта|пушти даст|ранги торики пӯст
👆;пушти даст ангушти ишорат ба боло ишора карда истода;ангушт|боло|даст|нишондиҳанда|пушти даст|пушти даст ангушти ишорат ба боло ишора карда истода
	👆🏻;пушти даст ангушти ишорат ба боло ишора карда истода: ранги равшани пӯст;ангушт|боло|даст|нишондиҳанда|пушти даст|пушти даст ангушти ишорат ба боло ишора карда истода|пушти даст ангушти ишорат ба боло ишора карда истода: ранги равшани пӯст|ранги равшани пӯст
	👆🏼;пушти даст ангушти ишорат ба боло ишора карда истода: ранги равшании миёнаи пӯст;ангушт|боло|даст|нишондиҳанда|пушти даст|пушти даст ангушти ишорат ба боло ишора карда истода|пушти даст ангушти ишорат ба боло ишора карда истода: ранги равшании миёнаи пӯст|ранги равшании миёнаи пӯст
	👆🏽;пушти даст ангушти ишорат ба боло ишора карда истода: ранги миёнаи пӯст;ангушт|боло|даст|нишондиҳанда|пушти даст|пушти даст ангушти ишорат ба боло ишора карда истода|пушти даст ангушти ишорат ба боло ишора карда истода: ранги миёнаи пӯст|ранги миёнаи пӯст
	👆🏾;пушти даст ангушти ишорат ба боло ишора карда истода: ранги торики миёнаи пӯст;ангушт|боло|даст|нишондиҳанда|пушти даст|пушти даст ангушти ишорат ба боло ишора карда истода|пушти даст ангушти ишорат ба боло ишора карда истода: ранги торики миёнаи пӯст|ранги торики миёнаи пӯст
	👆🏿;пушти даст ангушти ишорат ба боло ишора карда истода: ранги торики пӯст;ангушт|боло|даст|нишондиҳанда|пушти даст|пушти даст ангушти ишорат ба боло ишора карда истода|пушти даст ангушти ишорат ба боло ишора карда истода: ранги торики пӯст|ранги торики пӯст
🖕;ангушти байн;ангушт|ангушти байн|даст
	🖕🏻;ангушти байн: ранги равшани пӯст;ангушт|ангушти байн|ангушти байн: ранги равшани пӯст|даст|ранги равшани пӯст
	🖕🏼;ангушти байн: ранги равшании миёнаи пӯст;ангушт|ангушти байн|ангушти байн: ранги равшании миёнаи пӯст|даст|ранги равшании миёнаи пӯст
	🖕🏽;ангушти байн: ранги миёнаи пӯст;ангушт|ангушти байн|ангушти байн: ранги миёнаи пӯст|даст|ранги миёнаи пӯст
	🖕🏾;ангушти байн: ранги торики миёнаи пӯст;ангушт|ангушти байн|ангушти байн: ранги торики миёнаи пӯст|даст|ранги торики миёнаи пӯст
	🖕🏿;ангушти байн: ранги торики пӯст;ангушт|ангушти байн|ангушти байн: ранги торики пӯст|даст|ранги торики пӯст
👇;ангушти ишорат ба поён ишора карда истода;ангушт|ангушти ишорат ба поён ишора карда истода|даст|нишондиҳанда|нуқта|поён|пушти даст
	👇🏻;ангушти ишорат ба поён ишора карда истода: ранги равшани пӯст;ангушт|ангушти ишорат ба поён ишора карда истода|ангушти ишорат ба поён ишора карда истода: ранги равшани пӯст|даст|нишондиҳанда|нуқта|поён|пушти даст|ранги равшани пӯст
