# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;रमाएको अनुहार;अनुहार|रमाएको अनुहार|हँसिलो
♻️;रिसाइकलिङ्को प्रतिक;रिसाइकल|रिसाइकलिङ्को प्रतिक
⚜️;फ्लिउर-डे-लिस;फ्लिउर-डे-लिस
🔱;ट्रिडेन्ट राजचिन्ह;उद्घोषक|उपकरण|ट्रिडेन्ट|ट्रिडेन्ट राजचिन्ह|डुङ्गा|प्रतिक
📛;नामको ब्याड्ज;नाम|नामको ब्याड्ज|ब्याड्ज
🔰;सुरुवातकर्ताको लागि जापानिज प्रतिक;चेभरोन|जापानिज|पहेँलो|पात|साधन|सुरुवात गर्ने|सुरुवातकर्ताको लागि जापानिज प्रतिक
⭕;खाली रातो वृत्त;ओ|खाली रातो वृत्त|ठूलो|रातो|वृत्त
✅;सेतो भारी ठूलो चिन्ह;चिन्ह|जाँच|सेतो भारी ठूलो चिन्ह
☑️;चेकको साथ मतदान बक्स;चेकको साथ मतदान बक्स|जाँच|बक्स|मतदान
✔️;भारी चेक चिन्ह;चिन्ह|जाँच|भारी चेक चिन्ह
❌;क्रस चिन्ह;एक्स|क्रस चिन्ह|गुणाङ्क|गुणान|चिन्ह|रद्द
❎;क्रम चिन्ह बटन;क्रम चिन्ह बटन|चिन्ह|वर्ग
➰;कर्ली लुप;कर्ली|लुप
➿;दोहोरो कर्ली लुप;कर्ली|दोहोरो|लुप
〽️;भाग प्रत्यावर्तन चिन्ह;चिन्ह|भाग|भाग प्रत्यावर्तन चिन्ह
✳️;आठवटा-बोलेको तारांकन चिन्ह;आठवटा-बोलेको तारांकन चिन्ह|तारांकन चिन्ह
✴️;आठवटा-विन्दू भएको तारा;आठवटा-विन्दू भएको तारा|तारा
❇️;चम्किने;चम्किने
©️;प्रतिलिपि अधिकार;प्रतिलिपि अधिकार
®️;दर्ता गरिएको;दर्ता गरिएको
™️;व्यापार चिन्ह;चिन्ह|टिएम|व्यापार चिन्ह
#️⃣;किक्याप: #;किक्याप|किक्याप: #
*️⃣;किक्याप: *;किक्याप|किक्याप: *
0️⃣;किक्याप: 0;किक्याप|किक्याप: 0
1️⃣;किक्याप: 1;किक्याप|किक्याप: 1
2️⃣;किक्याप: 2;किक्याप|किक्याप: 2
3️⃣;किक्याप: 3;किक्याप|किक्याप: 3
4️⃣;किक्याप: 4;किक्याप|किक्याप: 4
5️⃣;किक्याप: 5;किक्याप|किक्याप: 5
6️⃣;किक्याप: 6;किक्याप|किक्याप: 6
7️⃣;किक्याप: 7;किक्याप|किक्याप: 7
8️⃣;किक्याप: 8;किक्याप|किक्याप: 8
9️⃣;किक्याप: 9;किक्याप|किक्याप: 9
🔟;किक्याप: 10;किक्याप|किक्याप: 10
🔠;ल्याटिन ठूलो अक्षर राख्न;अक्षरहरू|ठूलो अक्षर|राख्न|ल्याटिन|ल्याटिन ठूलो अक्षर राख्न
🔡;ल्याटिन सानो अक्षर राख्न;अक्षरहरू|एबीसीडी|राख्न|ल्याटिन|ल्याटिन सानो अक्षर राख्न|सानो अक्षर
🔢;अंकहरू राख्न;१२३४|अंकहरू राख्न|राख्न|संख्याहरू
🔣;संकेतहरू राख्न;राख्न|संकेतहरू राख्न
🔤;ल्याटिन अक्षर राख्न;अक्षर|अक्षरहरू|एबीसी|राख्न|ल्याटिन
🅰️;ए बटन;ए|ए बटन|रगत
🆎;एबी बटन;एबी|एबी बटन|रगत
🅱️;बि बटन;बि|बि बटन|रगत
🆑;स्क्वायर्ड सीएल;सिएल|स्क्वायर्ड सीएल
🆒;स्क्वायर्ड्ड कुल;कूल|स्क्वायर्ड्ड कुल
🆓;स्कावायर्ड फ्री;निःशुल्क|स्कावायर्ड फ्री
ℹ️;जानकारीको श्रोत;आई|जानकारी|जानकारीको श्रोत
🆔;स्क्वायर्ड आइडी;आईडी|पहिचान|स्क्वायर्ड आइडी
Ⓜ️;एम अक्षरको गोलोको अक्षर;एम|एम अक्षरको गोलोको अक्षर|गोलो
