# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;وجه بابتسامة عريضة;ابتسام|ضحك|وجه بابتسامة عريضة|وجه مبتسم
	👌🏿;يد تشير للموافقة: بشرة بلون غامق;بشرة بلون غامق|علامة|موافقة|يد تشير للموافقة|يد تشير للموافقة: بشرة بلون غامق
🤌;أصابع مضمومة;أصابع|أصابع مضمومة|إيماءة باليد|تهكّم|ضم
	🤌🏻;أصابع مضمومة: بشرة بلون فاتح;أصابع|أصابع مضمومة|أصابع مضمومة: بشرة بلون فاتح|إيماءة باليد|بشرة بلون فاتح|تهكّم|ضم
	🤌🏼;أصابع مضمومة: بشرة بلون فاتح ومعتدل;أصابع|أصابع مضمومة|أصابع مضمومة: بشرة بلون فاتح ومعتدل|إيماءة باليد|بشرة بلون فاتح ومعتدل|تهكّم|ضم
	🤌🏽;أصابع مضمومة: بشرة بلون معتدل;أصابع|أصابع مضمومة|أصابع مضمومة: بشرة بلون معتدل|إيماءة باليد|بشرة بلون معتدل|تهكّم|ضم
	🤌🏾;أصابع مضمومة: بشرة بلون معتدل مائل للغامق;أصابع|أصابع مضمومة|أصابع مضمومة: بشرة بلون معتدل مائل للغامق|إيماءة باليد|بشرة بلون معتدل مائل للغامق|تهكّم|ضم
	🤌🏿;أصابع مضمومة: بشرة بلون غامق;أصابع|أصابع مضمومة|أصابع مضمومة: بشرة بلون غامق|إيماءة باليد|بشرة بلون غامق|تهكّم|ضم
🤏;يد تشير بمقدار ضئيل;كمية صغيرة|مقدار صغير|مقدار ضئيل|يد تشير بمقدار ضئيل
	🤏🏻;يد تشير بمقدار ضئيل: بشرة بلون فاتح;بشرة بلون فاتح|كمية صغيرة|مقدار صغير|مقدار ضئيل|يد تشير بمقدار ضئيل|يد تشير بمقدار ضئيل: بشرة بلون فاتح
	🤏🏼;يد تشير بمقدار ضئيل: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|كمية صغيرة|مقدار صغير|مقدار ضئيل|يد تشير بمقدار ضئيل|يد تشير بمقدار ضئيل: بشرة بلون فاتح ومعتدل
	🤏🏽;يد تشير بمقدار ضئيل: بشرة بلون معتدل;بشرة بلون معتدل|كمية صغيرة|مقدار صغير|مقدار ضئيل|يد تشير بمقدار ضئيل|يد تشير بمقدار ضئيل: بشرة بلون معتدل
	🤏🏾;يد تشير بمقدار ضئيل: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|كمية صغيرة|مقدار صغير|مقدار ضئيل|يد تشير بمقدار ضئيل|يد تشير بمقدار ضئيل: بشرة بلون معتدل مائل للغامق
	🤏🏿;يد تشير بمقدار ضئيل: بشرة بلون غامق;بشرة بلون غامق|كمية صغيرة|مقدار صغير|مقدار ضئيل|يد تشير بمقدار ضئيل|يد تشير بمقدار ضئيل: بشرة بلون غامق
✌️;علامة النصر;انتصار|علامة النصر|مقص
	✌🏻;علامة النصر: بشرة بلون فاتح;انتصار|بشرة بلون فاتح|علامة النصر|علامة النصر: بشرة بلون فاتح|مقص
	✌🏼;علامة النصر: بشرة بلون فاتح ومعتدل;انتصار|بشرة بلون فاتح ومعتدل|علامة النصر|علامة النصر: بشرة بلون فاتح ومعتدل|مقص
	✌🏽;علامة النصر: بشرة بلون معتدل;انتصار|بشرة بلون معتدل|علامة النصر|علامة النصر: بشرة بلون معتدل|مقص
	✌🏾;علامة النصر: بشرة بلون معتدل مائل للغامق;انتصار|بشرة بلون معتدل مائل للغامق|علامة النصر|علامة النصر: بشرة بلون معتدل مائل للغامق|مقص
	✌🏿;علامة النصر: بشرة بلون غامق;انتصار|بشرة بلون غامق|علامة النصر|علامة النصر: بشرة بلون غامق|مقص
🤞;أصابع مشبكة;أصابع|أصابع مشبكة|حظ
	🤞🏻;أصابع مشبكة: بشرة بلون فاتح;أصابع|أصابع مشبكة|أصابع مشبكة: بشرة بلون فاتح|بشرة بلون فاتح|حظ
	🤞🏼;أصابع مشبكة: بشرة بلون فاتح ومعتدل;أصابع|أصابع مشبكة|أصابع مشبكة: بشرة بلون فاتح ومعتدل|بشرة بلون فاتح ومعتدل|حظ
	🤞🏽;أصابع مشبكة: بشرة بلون معتدل;أصابع|أصابع مشبكة|أصابع مشبكة: بشرة بلون معتدل|بشرة بلون معتدل|حظ
	🤞🏾;أصابع مشبكة: بشرة بلون معتدل مائل للغامق;أصابع|أصابع مشبكة|أصابع مشبكة: بشرة بلون معتدل مائل للغامق|بشرة بلون معتدل مائل للغامق|حظ
	🤞🏿;أصابع مشبكة: بشرة بلون غامق;أصابع|أصابع مشبكة|أصابع مشبكة: بشرة بلون غامق|بشرة بلون غامق|حظ
🫰;يد مع تقاطع السبابة والإبهام;أموال|انطباق|حب|غالٍ|قلب|يد مع تقاطع السبابة والإبهام
	🫰🏻;يد مع تقاطع السبابة والإبهام: بشرة بلون فاتح;أموال|انطباق|بشرة بلون فاتح|حب|غالٍ|قلب|يد مع تقاطع السبابة والإبهام|يد مع تقاطع السبابة والإبهام: بشرة بلون فاتح
	🫰🏼;يد مع تقاطع السبابة والإبهام: بشرة بلون فاتح ومعتدل;أموال|انطباق|بشرة بلون فاتح ومعتدل|حب|غالٍ|قلب|يد مع تقاطع السبابة والإبهام|يد مع تقاطع السبابة والإبهام: بشرة بلون فاتح ومعتدل
	🫰🏽;يد مع تقاطع السبابة والإبهام: بشرة بلون معتدل;أموال|انطباق|بشرة بلون معتدل|حب|غالٍ|قلب|يد مع تقاطع السبابة والإبهام|يد مع تقاطع السبابة والإبهام: بشرة بلون معتدل
	🫰🏾;يد مع تقاطع السبابة والإبهام: بشرة بلون معتدل مائل للغامق;أموال|انطباق|بشرة بلون معتدل مائل للغامق|حب|غالٍ|قلب|يد مع تقاطع السبابة والإبهام|يد مع تقاطع السبابة والإبهام: بشرة بلون معتدل مائل للغامق
	🫰🏿;يد مع تقاطع السبابة والإبهام: بشرة بلون غامق;أموال|انطباق|بشرة بلون غامق|حب|غالٍ|قلب|يد مع تقاطع السبابة والإبهام|يد مع تقاطع السبابة والإبهام: بشرة بلون غامق
🤟;إشارة أحبك;أحبك|إشارة أحبك|بحبك
	🤟🏻;إشارة أحبك: بشرة بلون فاتح;أحبك|إشارة أحبك|إشارة أحبك: بشرة بلون فاتح|بحبك|بشرة بلون فاتح
	🤟🏼;إشارة أحبك: بشرة بلون فاتح ومعتدل;أحبك|إشارة أحبك|إشارة أحبك: بشرة بلون فاتح ومعتدل|بحبك|بشرة بلون فاتح ومعتدل
	🤟🏽;إشارة أحبك: بشرة بلون معتدل;أحبك|إشارة أحبك|إشارة أحبك: بشرة بلون معتدل|بحبك|بشرة بلون معتدل
	🤟🏾;إشارة أحبك: بشرة بلون معتدل مائل للغامق;أحبك|إشارة أحبك|إشارة أحبك: بشرة بلون معتدل مائل للغامق|بحبك|بشرة بلون معتدل مائل للغامق
	🤟🏿;إشارة أحبك: بشرة بلون غامق;أحبك|إشارة أحبك|إشارة أحبك: بشرة بلون غامق|بحبك|بشرة بلون غامق
🤘;إشارة قرون;إشارة قرون|إصبع|جسد|قرون|يد
	🤘🏻;إشارة قرون: بشرة بلون فاتح;إشارة قرون|إشارة قرون: بشرة بلون فاتح|إصبع|بشرة بلون فاتح|جسد|قرون|يد
	🤘🏼;إشارة قرون: بشرة بلون فاتح ومعتدل;إشارة قرون|إشارة قرون: بشرة بلون فاتح ومعتدل|إصبع|بشرة بلون فاتح ومعتدل|جسد|قرون|يد
	🤘🏽;إشارة قرون: بشرة بلون معتدل;إشارة قرون|إشارة قرون: بشرة بلون معتدل|إصبع|بشرة بلون معتدل|جسد|قرون|يد
	🤘🏾;إشارة قرون: بشرة بلون معتدل مائل للغامق;إشارة قرون|إشارة قرون: بشرة بلون معتدل مائل للغامق|إصبع|بشرة بلون معتدل مائل للغامق|جسد|قرون|يد
	🤘🏿;إشارة قرون: بشرة بلون غامق;إشارة قرون|إشارة قرون: بشرة بلون غامق|إصبع|بشرة بلون غامق|جسد|قرون|يد
🤙;إشارة للاتصال;إشارة للاتصال|اتصال|يد
	🤙🏻;إشارة للاتصال: بشرة بلون فاتح;إشارة للاتصال|إشارة للاتصال: بشرة بلون فاتح|اتصال|بشرة بلون فاتح|يد
	🤙🏼;إشارة للاتصال: بشرة بلون فاتح ومعتدل;إشارة للاتصال|إشارة للاتصال: بشرة بلون فاتح ومعتدل|اتصال|بشرة بلون فاتح ومعتدل|يد
	🤙🏽;إشارة للاتصال: بشرة بلون معتدل;إشارة للاتصال|إشارة للاتصال: بشرة بلون معتدل|اتصال|بشرة بلون معتدل|يد
	🤙🏾;إشارة للاتصال: بشرة بلون معتدل مائل للغامق;إشارة للاتصال|إشارة للاتصال: بشرة بلون معتدل مائل للغامق|اتصال|بشرة بلون معتدل مائل للغامق|يد
	🤙🏿;إشارة للاتصال: بشرة بلون غامق;إشارة للاتصال|إشارة للاتصال: بشرة بلون غامق|اتصال|بشرة بلون غامق|يد
👈;إصبع لليسار;إصبع|إصبع لليسار|السبابة
	👈🏻;إصبع لليسار: بشرة بلون فاتح;إصبع|إصبع لليسار|إصبع لليسار: بشرة بلون فاتح|السبابة|بشرة بلون فاتح
	👈🏼;إصبع لليسار: بشرة بلون فاتح ومعتدل;إصبع|إصبع لليسار|إصبع لليسار: بشرة بلون فاتح ومعتدل|السبابة|بشرة بلون فاتح ومعتدل
	👈🏽;إصبع لليسار: بشرة بلون معتدل;إصبع|إصبع لليسار|إصبع لليسار: بشرة بلون معتدل|السبابة|بشرة بلون معتدل
	👈🏾;إصبع لليسار: بشرة بلون معتدل مائل للغامق;إصبع|إصبع لليسار|إصبع لليسار: بشرة بلون معتدل مائل للغامق|السبابة|بشرة بلون معتدل مائل للغامق
	👈🏿;إصبع لليسار: بشرة بلون غامق;إصبع|إصبع لليسار|إصبع لليسار: بشرة بلون غامق|السبابة|بشرة بلون غامق
👉;إصبع لليمين;إصبع|إصبع لليمين|السبابة
	👉🏻;إصبع لليمين: بشرة بلون فاتح;إصبع|إصبع لليمين|إصبع لليمين: بشرة بلون فاتح|السبابة|بشرة بلون فاتح
	👉🏼;إصبع لليمين: بشرة بلون فاتح ومعتدل;إصبع|إصبع لليمين|إصبع لليمين: بشرة بلون فاتح ومعتدل|السبابة|بشرة بلون فاتح ومعتدل
	👉🏽;إصبع لليمين: بشرة بلون معتدل;إصبع|إصبع لليمين|إصبع لليمين: بشرة بلون معتدل|السبابة|بشرة بلون معتدل
	👉🏾;إصبع لليمين: بشرة بلون معتدل مائل للغامق;إصبع|إصبع لليمين|إصبع لليمين: بشرة بلون معتدل مائل للغامق|السبابة|بشرة بلون معتدل مائل للغامق
	👉🏿;إصبع لليمين: بشرة بلون غامق;إصبع|إصبع لليمين|إصبع لليمين: بشرة بلون غامق|السبابة|بشرة بلون غامق
👆;إصبع لأعلى;إصبع|إصبع لأعلى|السبابة
	👆🏻;إصبع لأعلى: بشرة بلون فاتح;إصبع|إصبع لأعلى|إصبع لأعلى: بشرة بلون فاتح|السبابة|بشرة بلون فاتح
	👆🏼;إصبع لأعلى: بشرة بلون فاتح ومعتدل;إصبع|إصبع لأعلى|إصبع لأعلى: بشرة بلون فاتح ومعتدل|السبابة|بشرة بلون فاتح ومعتدل
	👆🏽;إصبع لأعلى: بشرة بلون معتدل;إصبع|إصبع لأعلى|إصبع لأعلى: بشرة بلون معتدل|السبابة|بشرة بلون معتدل
	👆🏾;إصبع لأعلى: بشرة بلون معتدل مائل للغامق;إصبع|إصبع لأعلى|إصبع لأعلى: بشرة بلون معتدل مائل للغامق|السبابة|بشرة بلون معتدل مائل للغامق
	👆🏿;إصبع لأعلى: بشرة بلون غامق;إصبع|إصبع لأعلى|إصبع لأعلى: بشرة بلون غامق|السبابة|بشرة بلون غامق
🖕;إصبع الوسطى;إصبع|إصبع الوسطى|جسد|يد
	🖕🏻;إصبع الوسطى: بشرة بلون فاتح;إصبع|إصبع الوسطى|إصبع الوسطى: بشرة بلون فاتح|بشرة بلون فاتح|جسد|يد
	🖕🏼;إصبع الوسطى: بشرة بلون فاتح ومعتدل;إصبع|إصبع الوسطى|إصبع الوسطى: بشرة بلون فاتح ومعتدل|بشرة بلون فاتح ومعتدل|جسد|يد
	🖕🏽;إصبع الوسطى: بشرة بلون معتدل;إصبع|إصبع الوسطى|إصبع الوسطى: بشرة بلون معتدل|بشرة بلون معتدل|جسد|يد
	🖕🏾;إصبع الوسطى: بشرة بلون معتدل مائل للغامق;إصبع|إصبع الوسطى|إصبع الوسطى: بشرة بلون معتدل مائل للغامق|بشرة بلون معتدل مائل للغامق|جسد|يد
	🖕🏿;إصبع الوسطى: بشرة بلون غامق;إصبع|إصبع الوسطى|إصبع الوسطى: بشرة بلون غامق|بشرة بلون غامق|جسد|يد
