# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;چىشلىق كۈلگەن چىراي;چىراي|چىشلىق|چىشلىق كۈلگەن چىراي
	🤙🏻;تېلېفون قىلىڭ: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|تېلېفون قىلىڭ|چاقىرىش|قول
	🤙🏼;تېلېفون قىلىڭ: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|تېلېفون قىلىڭ|چاقىرىش|قول
	🤙🏽;تېلېفون قىلىڭ: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|تېلېفون قىلىڭ|چاقىرىش|قول
	🤙🏾;تېلېفون قىلىڭ: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|تېلېفون قىلىڭ|چاقىرىش|قول
	🤙🏿;تېلېفون قىلىڭ: توق تېرە رەڭ;توق تېرە رەڭ|تېلېفون قىلىڭ|چاقىرىش|قول
👈;ئارقىچە سولنى كۆرسەتكەن كۆرسەتكۈچ بارماق;ئارقىچە سولنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👈🏻;ئارقىچە سولنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارقىچە سولنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👈🏼;ئارقىچە سولنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارقىچە سولنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👈🏽;ئارقىچە سولنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئارقىچە سولنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👈🏾;ئارقىچە سولنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارقىچە سولنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👈🏿;ئارقىچە سولنى كۆرسەتكەن كۆرسەتكۈچ بارماق: توق تېرە رەڭ;ئارقىچە سولنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|توق تېرە رەڭ|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
👉;ئارقىچە ئوڭنى كۆرسەتكەن كۆرسەتكۈچ بارماق;ئارقىچە ئوڭنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👉🏻;ئارقىچە ئوڭنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارقىچە ئوڭنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👉🏼;ئارقىچە ئوڭنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارقىچە ئوڭنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👉🏽;ئارقىچە ئوڭنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئارقىچە ئوڭنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👉🏾;ئارقىچە ئوڭنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارقىچە ئوڭنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👉🏿;ئارقىچە ئوڭنى كۆرسەتكەن كۆرسەتكۈچ بارماق: توق تېرە رەڭ;ئارقىچە ئوڭنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|توق تېرە رەڭ|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
👆;ئارقىچە ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق;ئارقىچە ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|ئۈستى|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👆🏻;ئارقىچە ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارقىچە ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|ئۈستى|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👆🏼;ئارقىچە ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارقىچە ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|ئۈستى|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👆🏽;ئارقىچە ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئارقىچە ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|ئۈستى|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👆🏾;ئارقىچە ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارقىچە ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|ئۈستى|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👆🏿;ئارقىچە ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق: توق تېرە رەڭ;ئارقىچە ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|ئۈستى|بارماق|توق تېرە رەڭ|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
🖕;ئوتتۇرا بارماق;ئوتتۇرا بارماق|بارماق|قول
	🖕🏻;ئوتتۇرا بارماق: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئوتتۇرا بارماق|بارماق|قول
	🖕🏼;ئوتتۇرا بارماق: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئوتتۇرا بارماق|بارماق|قول
	🖕🏽;ئوتتۇرا بارماق: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئوتتۇرا بارماق|بارماق|قول
	🖕🏾;ئوتتۇرا بارماق: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئوتتۇرا بارماق|بارماق|قول
	🖕🏿;ئوتتۇرا بارماق: توق تېرە رەڭ;ئوتتۇرا بارماق|بارماق|توق تېرە رەڭ|قول
👇;ئارقىچە ئاستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق;ئارقىچە ئاستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|ئاستى|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👇🏻;ئارقىچە ئاستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارقىچە ئاستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|ئاستى|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👇🏼;ئارقىچە ئاستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارقىچە ئاستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|ئاستى|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👇🏽;ئارقىچە ئاستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئارقىچە ئاستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|ئاستى|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👇🏾;ئارقىچە ئاستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارقىچە ئاستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|ئاستى|بارماق|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
	👇🏿;ئارقىچە ئاستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق: توق تېرە رەڭ;ئارقىچە ئاستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|ئاستى|بارماق|توق تېرە رەڭ|قول|قولنىڭ ئارقىسى|كۆرسەتكۈچ بارماق|كۆرسىتىش
☝️;ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق;ئۈستى|ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|قول|كۆرسەتكۈچ بارماق|كۆرسىتىش
	☝🏻;ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئۈستى|ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|قول|كۆرسەتكۈچ بارماق|كۆرسىتىش
	☝🏼;ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئۈستى|ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|قول|كۆرسەتكۈچ بارماق|كۆرسىتىش
	☝🏽;ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئۈستى|ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|قول|كۆرسەتكۈچ بارماق|كۆرسىتىش
	☝🏾;ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئۈستى|ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|قول|كۆرسەتكۈچ بارماق|كۆرسىتىش
	☝🏿;ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق: توق تېرە رەڭ;ئۈستى|ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق|بارماق|توق تېرە رەڭ|قول|كۆرسەتكۈچ بارماق|كۆرسىتىش
🫵;;
	🫵🏻;;
	🫵🏼;;
	🫵🏽;;
	🫵🏾;;
	🫵🏿;;
👍;قوللاش;+1|ئۈستى|باش بارما|قول|قوللاش
	👍🏻;قوللاش: ئاچ تېرە رەڭ;+1|ئاچ تېرە رەڭ|ئۈستى|باش بارما|قول|قوللاش
	👍🏼;قوللاش: ئارا ئاچ تېرە رەڭگى;+1|ئارا ئاچ تېرە رەڭگى|ئۈستى|باش بارما|قول|قوللاش
	👍🏽;قوللاش: ئارا تېرە رەڭگى;+1|ئارا تېرە رەڭگى|ئۈستى|باش بارما|قول|قوللاش
	👍🏾;قوللاش: ئارا توق تېرە رەڭگى;+1|ئارا توق تېرە رەڭگى|ئۈستى|باش بارما|قول|قوللاش
	👍🏿;قوللاش: توق تېرە رەڭ;+1|ئۈستى|باش بارما|توق تېرە رەڭ|قول|قوللاش
👎;پۇتلاش;-1|ئاستى|باش بارماق|پۇتلاش|قول
	👎🏻;پۇتلاش: ئاچ تېرە رەڭ;-1|ئاچ تېرە رەڭ|ئاستى|باش بارماق|پۇتلاش|قول
	👎🏼;پۇتلاش: ئارا ئاچ تېرە رەڭگى;-1|ئارا ئاچ تېرە رەڭگى|ئاستى|باش بارماق|پۇتلاش|قول
	👎🏽;پۇتلاش: ئارا تېرە رەڭگى;-1|ئارا تېرە رەڭگى|ئاستى|باش بارماق|پۇتلاش|قول
	👎🏾;پۇتلاش: ئارا توق تېرە رەڭگى;-1|ئارا توق تېرە رەڭگى|ئاستى|باش بارماق|پۇتلاش|قول
	👎🏿;پۇتلاش: توق تېرە رەڭ;-1|ئاستى|باش بارماق|پۇتلاش|توق تېرە رەڭ|قول
✊;كۆتۈرگەن مۇشت;تەستەك|تۈگكەن|قول|كۆتۈرگەن مۇشت|مۇشت
	✊🏻;كۆتۈرگەن مۇشت: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|تەستەك|تۈگكەن|قول|كۆتۈرگەن مۇشت|مۇشت
	✊🏼;كۆتۈرگەن مۇشت: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|تەستەك|تۈگكەن|قول|كۆتۈرگەن مۇشت|مۇشت
	✊🏽;كۆتۈرگەن مۇشت: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|تەستەك|تۈگكەن|قول|كۆتۈرگەن مۇشت|مۇشت
	✊🏾;كۆتۈرگەن مۇشت: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|تەستەك|تۈگكەن|قول|كۆتۈرگەن مۇشت|مۇشت
	✊🏿;كۆتۈرگەن مۇشت: توق تېرە رەڭ;تەستەك|توق تېرە رەڭ|تۈگكەن|قول|كۆتۈرگەن مۇشت|مۇشت
👊;كەلگەن مۇشت;تەستەك|تۈگكەن|قول|كەلگەن مۇشت|مۇشت
	👊🏻;كەلگەن مۇشت: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|تەستەك|تۈگكەن|قول|كەلگەن مۇشت|مۇشت
	👊🏼;كەلگەن مۇشت: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|تەستەك|تۈگكەن|قول|كەلگەن مۇشت|مۇشت
	👊🏽;كەلگەن مۇشت: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|تەستەك|تۈگكەن|قول|كەلگەن مۇشت|مۇشت
	👊🏾;كەلگەن مۇشت: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|تەستەك|تۈگكەن|قول|كەلگەن مۇشت|مۇشت
	👊🏿;كەلگەن مۇشت: توق تېرە رەڭ;تەستەك|توق تېرە رەڭ|تۈگكەن|قول|كەلگەن مۇشت|مۇشت
🤛;سول مۇشت;سول مۇشت|سولغا|مۇشت
	🤛🏻;سول مۇشت: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|سول مۇشت|سولغا|مۇشت
	🤛🏼;سول مۇشت: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|سول مۇشت|سولغا|مۇشت
	🤛🏽;سول مۇشت: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|سول مۇشت|سولغا|مۇشت
	🤛🏾;سول مۇشت: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|سول مۇشت|سولغا|مۇشت
	🤛🏿;سول مۇشت: توق تېرە رەڭ;توق تېرە رەڭ|سول مۇشت|سولغا|مۇشت
🤜;ئوڭ مۇشت;ئوڭ مۇشت|ئوڭغا|مۇشت
	🤜🏻;ئوڭ مۇشت: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئوڭ مۇشت|ئوڭغا|مۇشت
	🤜🏼;ئوڭ مۇشت: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئوڭ مۇشت|ئوڭغا|مۇشت
	🤜🏽;ئوڭ مۇشت: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئوڭ مۇشت|ئوڭغا|مۇشت
	🤜🏾;ئوڭ مۇشت: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئوڭ مۇشت|ئوڭغا|مۇشت
	🤜🏿;ئوڭ مۇشت: توق تېرە رەڭ;ئوڭ مۇشت|ئوڭغا|توق تېرە رەڭ|مۇشت
👏;چاۋاك;چاۋاك|قول
	👏🏻;چاۋاك: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|چاۋاك|قول
	👏🏼;چاۋاك: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|چاۋاك|قول
	👏🏽;چاۋاك: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|چاۋاك|قول
	👏🏾;چاۋاك: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|چاۋاك|قول
	👏🏿;چاۋاك: توق تېرە رەڭ;توق تېرە رەڭ|چاۋاك|قول
🙌;قول كۆتۈرۈش;ئۇررا|ئىشارە|تەبرىكلەش|قول|كۆتۈرۈش
	🙌🏻;قول كۆتۈرۈش: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئۇررا|ئىشارە|تەبرىكلەش|قول|كۆتۈرۈش
	🙌🏼;قول كۆتۈرۈش: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئۇررا|ئىشارە|تەبرىكلەش|قول|كۆتۈرۈش
	🙌🏽;قول كۆتۈرۈش: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئۇررا|ئىشارە|تەبرىكلەش|قول|كۆتۈرۈش
	🙌🏾;قول كۆتۈرۈش: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئۇررا|ئىشارە|تەبرىكلەش|قول|كۆتۈرۈش
	🙌🏿;قول كۆتۈرۈش: توق تېرە رەڭ;ئۇررا|ئىشارە|تەبرىكلەش|توق تېرە رەڭ|قول|كۆتۈرۈش
🫶;;
	🫶🏻;;
	🫶🏼;;
	🫶🏽;;
	🫶🏾;;
	🫶🏿;;
👐;ئوچۇق قول;ئوچۇق|قول
	👐🏻;ئوچۇق قول: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئوچۇق|قول
	👐🏼;ئوچۇق قول: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئوچۇق|قول
	👐🏽;ئوچۇق قول: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئوچۇق|قول
	👐🏾;ئوچۇق قول: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئوچۇق|قول
	👐🏿;ئوچۇق قول: توق تېرە رەڭ;ئوچۇق|توق تېرە رەڭ|قول
🤲;ئوچۇم;ئوچۇم|دۇئا
	🤲🏻;ئوچۇم: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئوچۇم|دۇئا
	🤲🏼;ئوچۇم: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئوچۇم|دۇئا
	🤲🏽;ئوچۇم: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئوچۇم|دۇئا
	🤲🏾;ئوچۇم: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئوچۇم|دۇئا
	🤲🏿;ئوچۇم: توق تېرە رەڭ;ئوچۇم|توق تېرە رەڭ|دۇئا
🤝;قول قىسىش;ئۇچرىشىش|قوشۇلۇش|قول|قول ئېلىشىش|قول قىسىش
	🤝🏻;قول قىسىش: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئۇچرىشىش|قوشۇلۇش|قول|قول ئېلىشىش|قول قىسىش
	🤝🏼;قول قىسىش: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئۇچرىشىش|قوشۇلۇش|قول|قول ئېلىشىش|قول قىسىش
	🤝🏽;قول قىسىش: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئۇچرىشىش|قوشۇلۇش|قول|قول ئېلىشىش|قول قىسىش
	🤝🏾;قول قىسىش: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئۇچرىشىش|قوشۇلۇش|قول|قول ئېلىشىش|قول قىسىش
	🤝🏿;قول قىسىش: توق تېرە رەڭ;ئۇچرىشىش|توق تېرە رەڭ|قوشۇلۇش|قول|قول ئېلىشىش|قول قىسىش
	🫱🏻‍🫲🏼;قول قىسىش: ئاچ تېرە رەڭ and ئارا ئاچ تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|ئۇچرىشىش|قوشۇلۇش|قول|قول ئېلىشىش|قول قىسىش
	🫱🏻‍🫲🏽;قول قىسىش: ئاچ تېرە رەڭ and ئارا تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|ئۇچرىشىش|قوشۇلۇش|قول|قول ئېلىشىش|قول قىسىش
	🫱🏻‍🫲🏾;قول قىسىش: ئاچ تېرە رەڭ and ئارا توق تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|ئۇچرىشىش|قوشۇلۇش|قول|قول ئېلىشىش|قول قىسىش
