# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grínandi andlit;andlit|grín|grínandi andlit
	🚣🏿‍♂️;maður í árabáti: myrkur húðarlitur;árabátur|maður|maður í árabáti|maður í árabáti: myrkur húðarlitur|myrkur húðarlitur|rógva|rør
🚣‍♀️;kvinna í árabáti;kvinna í árabáti
	🚣🏻‍♀️;kvinna í árabáti: ljósur húðarlitur;kvinna í árabáti|kvinna í árabáti: ljósur húðarlitur|ljósur húðarlitur
	🚣🏼‍♀️;kvinna í árabáti: miðalljósur húðarlitur;kvinna í árabáti|kvinna í árabáti: miðalljósur húðarlitur|miðalljósur húðarlitur
	🚣🏽‍♀️;kvinna í árabáti: miðal húðarlitur;kvinna í árabáti|kvinna í árabáti: miðal húðarlitur|miðal húðarlitur
	🚣🏾‍♀️;kvinna í árabáti: miðalmyrkur húðarlitur;kvinna í árabáti|kvinna í árabáti: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur
	🚣🏿‍♀️;kvinna í árabáti: myrkur húðarlitur;kvinna í árabáti|kvinna í árabáti: myrkur húðarlitur|myrkur húðarlitur
🏊;persónur sum svimur;fólk|persónur|persónur sum svimur|svimjari|svimur
	🏊🏻;persónur sum svimur: ljósur húðarlitur;fólk|ljósur húðarlitur|persónur|persónur sum svimur|persónur sum svimur: ljósur húðarlitur|svimjari|svimur
	🏊🏼;persónur sum svimur: miðalljósur húðarlitur;fólk|miðalljósur húðarlitur|persónur|persónur sum svimur|persónur sum svimur: miðalljósur húðarlitur|svimjari|svimur
	🏊🏽;persónur sum svimur: miðal húðarlitur;fólk|miðal húðarlitur|persónur|persónur sum svimur|persónur sum svimur: miðal húðarlitur|svimjari|svimur
	🏊🏾;persónur sum svimur: miðalmyrkur húðarlitur;fólk|miðalmyrkur húðarlitur|persónur|persónur sum svimur|persónur sum svimur: miðalmyrkur húðarlitur|svimjari|svimur
	🏊🏿;persónur sum svimur: myrkur húðarlitur;fólk|myrkur húðarlitur|persónur|persónur sum svimur|persónur sum svimur: myrkur húðarlitur|svimjari|svimur
🏊‍♂️;maður sum svimur;maður|maður sum svimur|svimjari|svimur
	🏊🏻‍♂️;maður sum svimur: ljósur húðarlitur;ljósur húðarlitur|maður|maður sum svimur|maður sum svimur: ljósur húðarlitur|svimjari|svimur
	🏊🏼‍♂️;maður sum svimur: miðalljósur húðarlitur;maður|maður sum svimur|maður sum svimur: miðalljósur húðarlitur|miðalljósur húðarlitur|svimjari|svimur
	🏊🏽‍♂️;maður sum svimur: miðal húðarlitur;maður|maður sum svimur|maður sum svimur: miðal húðarlitur|miðal húðarlitur|svimjari|svimur
	🏊🏾‍♂️;maður sum svimur: miðalmyrkur húðarlitur;maður|maður sum svimur|maður sum svimur: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|svimjari|svimur
	🏊🏿‍♂️;maður sum svimur: myrkur húðarlitur;maður|maður sum svimur|maður sum svimur: myrkur húðarlitur|myrkur húðarlitur|svimjari|svimur
🏊‍♀️;kvinna sum svimur;kona|kvinna|kvinna sum svimur|svimjari|svimur
	🏊🏻‍♀️;kvinna sum svimur: ljósur húðarlitur;kona|kvinna|kvinna sum svimur|kvinna sum svimur: ljósur húðarlitur|ljósur húðarlitur|svimjari|svimur
	🏊🏼‍♀️;kvinna sum svimur: miðalljósur húðarlitur;kona|kvinna|kvinna sum svimur|kvinna sum svimur: miðalljósur húðarlitur|miðalljósur húðarlitur|svimjari|svimur
	🏊🏽‍♀️;kvinna sum svimur: miðal húðarlitur;kona|kvinna|kvinna sum svimur|kvinna sum svimur: miðal húðarlitur|miðal húðarlitur|svimjari|svimur
	🏊🏾‍♀️;kvinna sum svimur: miðalmyrkur húðarlitur;kona|kvinna|kvinna sum svimur|kvinna sum svimur: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|svimjari|svimur
	🏊🏿‍♀️;kvinna sum svimur: myrkur húðarlitur;kona|kvinna|kvinna sum svimur|kvinna sum svimur: myrkur húðarlitur|myrkur húðarlitur|svimjari|svimur
⛹️;persónur sum spælir kurvabólt;fólk|kurvabóltur|persónur|persónur sum spælir kurvabólt
	⛹🏻;persónur sum spælir kurvabólt: ljósur húðarlitur;fólk|kurvabóltur|ljósur húðarlitur|persónur|persónur sum spælir kurvabólt|persónur sum spælir kurvabólt: ljósur húðarlitur
	⛹🏼;persónur sum spælir kurvabólt: miðalljósur húðarlitur;fólk|kurvabóltur|miðalljósur húðarlitur|persónur|persónur sum spælir kurvabólt|persónur sum spælir kurvabólt: miðalljósur húðarlitur
	⛹🏽;persónur sum spælir kurvabólt: miðal húðarlitur;fólk|kurvabóltur|miðal húðarlitur|persónur|persónur sum spælir kurvabólt|persónur sum spælir kurvabólt: miðal húðarlitur
	⛹🏾;persónur sum spælir kurvabólt: miðalmyrkur húðarlitur;fólk|kurvabóltur|miðalmyrkur húðarlitur|persónur|persónur sum spælir kurvabólt|persónur sum spælir kurvabólt: miðalmyrkur húðarlitur
	⛹🏿;persónur sum spælir kurvabólt: myrkur húðarlitur;fólk|kurvabóltur|myrkur húðarlitur|persónur|persónur sum spælir kurvabólt|persónur sum spælir kurvabólt: myrkur húðarlitur
⛹️‍♂️;maður sum spælir kurvabólt;kurvabóltur|maður|maður sum spælir kurvabólt
	⛹🏻‍♂️;maður sum spælir kurvabólt: ljósur húðarlitur;kurvabóltur|ljósur húðarlitur|maður|maður sum spælir kurvabólt|maður sum spælir kurvabólt: ljósur húðarlitur
	⛹🏼‍♂️;maður sum spælir kurvabólt: miðalljósur húðarlitur;kurvabóltur|maður|maður sum spælir kurvabólt|maður sum spælir kurvabólt: miðalljósur húðarlitur|miðalljósur húðarlitur
	⛹🏽‍♂️;maður sum spælir kurvabólt: miðal húðarlitur;kurvabóltur|maður|maður sum spælir kurvabólt|maður sum spælir kurvabólt: miðal húðarlitur|miðal húðarlitur
	⛹🏾‍♂️;maður sum spælir kurvabólt: miðalmyrkur húðarlitur;kurvabóltur|maður|maður sum spælir kurvabólt|maður sum spælir kurvabólt: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur
	⛹🏿‍♂️;maður sum spælir kurvabólt: myrkur húðarlitur;kurvabóltur|maður|maður sum spælir kurvabólt|maður sum spælir kurvabólt: myrkur húðarlitur|myrkur húðarlitur
⛹️‍♀️;kvinna sum spælir kurvabólt;kona|kurvabóltur|kvinna|kvinna sum spælir kurvabólt
	⛹🏻‍♀️;kvinna sum spælir kurvabólt: ljósur húðarlitur;kona|kurvabóltur|kvinna|kvinna sum spælir kurvabólt|kvinna sum spælir kurvabólt: ljósur húðarlitur|ljósur húðarlitur
	⛹🏼‍♀️;kvinna sum spælir kurvabólt: miðalljósur húðarlitur;kona|kurvabóltur|kvinna|kvinna sum spælir kurvabólt|kvinna sum spælir kurvabólt: miðalljósur húðarlitur|miðalljósur húðarlitur
	⛹🏽‍♀️;kvinna sum spælir kurvabólt: miðal húðarlitur;kona|kurvabóltur|kvinna|kvinna sum spælir kurvabólt|kvinna sum spælir kurvabólt: miðal húðarlitur|miðal húðarlitur
	⛹🏾‍♀️;kvinna sum spælir kurvabólt: miðalmyrkur húðarlitur;kona|kurvabóltur|kvinna|kvinna sum spælir kurvabólt|kvinna sum spælir kurvabólt: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur
	⛹🏿‍♀️;kvinna sum spælir kurvabólt: myrkur húðarlitur;kona|kurvabóltur|kvinna|kvinna sum spælir kurvabólt|kvinna sum spælir kurvabólt: myrkur húðarlitur|myrkur húðarlitur
🏋️;vektlyftari;fólk|lyftingarítrótt|persónur|vektlyftari|vektlyfting
	🏋🏻;vektlyftari: ljósur húðarlitur;fólk|ljósur húðarlitur|lyftingarítrótt|persónur|vektlyftari|vektlyftari: ljósur húðarlitur|vektlyfting
	🏋🏼;vektlyftari: miðalljósur húðarlitur;fólk|lyftingarítrótt|miðalljósur húðarlitur|persónur|vektlyftari|vektlyftari: miðalljósur húðarlitur|vektlyfting
	🏋🏽;vektlyftari: miðal húðarlitur;fólk|lyftingarítrótt|miðal húðarlitur|persónur|vektlyftari|vektlyftari: miðal húðarlitur|vektlyfting
	🏋🏾;vektlyftari: miðalmyrkur húðarlitur;fólk|lyftingarítrótt|miðalmyrkur húðarlitur|persónur|vektlyftari|vektlyftari: miðalmyrkur húðarlitur|vektlyfting
	🏋🏿;vektlyftari: myrkur húðarlitur;fólk|lyftingarítrótt|myrkur húðarlitur|persónur|vektlyftari|vektlyftari: myrkur húðarlitur|vektlyfting
🏋️‍♂️;mannligur vektlyftari;lyftingarítrótt|maður|mannligur vektlyftari|vektlyftari|vektlyfting
	🏋🏻‍♂️;mannligur vektlyftari: ljósur húðarlitur;ljósur húðarlitur|lyftingarítrótt|maður|mannligur vektlyftari|mannligur vektlyftari: ljósur húðarlitur|vektlyftari|vektlyfting
	🏋🏼‍♂️;mannligur vektlyftari: miðalljósur húðarlitur;lyftingarítrótt|maður|mannligur vektlyftari|mannligur vektlyftari: miðalljósur húðarlitur|miðalljósur húðarlitur|vektlyftari|vektlyfting
	🏋🏽‍♂️;mannligur vektlyftari: miðal húðarlitur;lyftingarítrótt|maður|mannligur vektlyftari|mannligur vektlyftari: miðal húðarlitur|miðal húðarlitur|vektlyftari|vektlyfting
	🏋🏾‍♂️;mannligur vektlyftari: miðalmyrkur húðarlitur;lyftingarítrótt|maður|mannligur vektlyftari|mannligur vektlyftari: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|vektlyftari|vektlyfting
	🏋🏿‍♂️;mannligur vektlyftari: myrkur húðarlitur;lyftingarítrótt|maður|mannligur vektlyftari|mannligur vektlyftari: myrkur húðarlitur|myrkur húðarlitur|vektlyftari|vektlyfting
🏋️‍♀️;kvinnuligur vektlyftari;kona|kvinna|kvinnuligur vektlyftari|lyftingarítrótt|vektlyftari|vektlyfting
	🏋🏻‍♀️;kvinnuligur vektlyftari: ljósur húðarlitur;kona|kvinna|kvinnuligur vektlyftari|kvinnuligur vektlyftari: ljósur húðarlitur|ljósur húðarlitur|lyftingarítrótt|vektlyftari|vektlyfting
	🏋🏼‍♀️;kvinnuligur vektlyftari: miðalljósur húðarlitur;kona|kvinna|kvinnuligur vektlyftari|kvinnuligur vektlyftari: miðalljósur húðarlitur|lyftingarítrótt|miðalljósur húðarlitur|vektlyftari|vektlyfting
	🏋🏽‍♀️;kvinnuligur vektlyftari: miðal húðarlitur;kona|kvinna|kvinnuligur vektlyftari|kvinnuligur vektlyftari: miðal húðarlitur|lyftingarítrótt|miðal húðarlitur|vektlyftari|vektlyfting
	🏋🏾‍♀️;kvinnuligur vektlyftari: miðalmyrkur húðarlitur;kona|kvinna|kvinnuligur vektlyftari|kvinnuligur vektlyftari: miðalmyrkur húðarlitur|lyftingarítrótt|miðalmyrkur húðarlitur|vektlyftari|vektlyfting
	🏋🏿‍♀️;kvinnuligur vektlyftari: myrkur húðarlitur;kona|kvinna|kvinnuligur vektlyftari|kvinnuligur vektlyftari: myrkur húðarlitur|lyftingarítrótt|myrkur húðarlitur|vektlyftari|vektlyfting
🚴;persónur sum súkklar;fólk|persónur|persónur sum súkklar|súkkla|súkklar|súkklari
	🚴🏻;persónur sum súkklar: ljósur húðarlitur;fólk|ljósur húðarlitur|persónur|persónur sum súkklar|persónur sum súkklar: ljósur húðarlitur|súkkla|súkklar|súkklari
	🚴🏼;persónur sum súkklar: miðalljósur húðarlitur;fólk|miðalljósur húðarlitur|persónur|persónur sum súkklar|persónur sum súkklar: miðalljósur húðarlitur|súkkla|súkklar|súkklari
	🚴🏽;persónur sum súkklar: miðal húðarlitur;fólk|miðal húðarlitur|persónur|persónur sum súkklar|persónur sum súkklar: miðal húðarlitur|súkkla|súkklar|súkklari
	🚴🏾;persónur sum súkklar: miðalmyrkur húðarlitur;fólk|miðalmyrkur húðarlitur|persónur|persónur sum súkklar|persónur sum súkklar: miðalmyrkur húðarlitur|súkkla|súkklar|súkklari
	🚴🏿;persónur sum súkklar: myrkur húðarlitur;fólk|myrkur húðarlitur|persónur|persónur sum súkklar|persónur sum súkklar: myrkur húðarlitur|súkkla|súkklar|súkklari
🚴‍♂️;maður sum súkklar;maður|maður sum súkklar|súkkla|súkklar|súkklari
	🚴🏻‍♂️;maður sum súkklar: ljósur húðarlitur;ljósur húðarlitur|maður|maður sum súkklar|maður sum súkklar: ljósur húðarlitur|súkkla|súkklar|súkklari
	🚴🏼‍♂️;maður sum súkklar: miðalljósur húðarlitur;maður|maður sum súkklar|maður sum súkklar: miðalljósur húðarlitur|miðalljósur húðarlitur|súkkla|súkklar|súkklari
	🚴🏽‍♂️;maður sum súkklar: miðal húðarlitur;maður|maður sum súkklar|maður sum súkklar: miðal húðarlitur|miðal húðarlitur|súkkla|súkklar|súkklari
	🚴🏾‍♂️;maður sum súkklar: miðalmyrkur húðarlitur;maður|maður sum súkklar|maður sum súkklar: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|súkkla|súkklar|súkklari
	🚴🏿‍♂️;maður sum súkklar: myrkur húðarlitur;maður|maður sum súkklar|maður sum súkklar: myrkur húðarlitur|myrkur húðarlitur|súkkla|súkklar|súkklari
🚴‍♀️;kvinna sum súkklar;kona|kvinna|kvinna sum súkklar|súkkla|súkklar|súkklari
	🚴🏻‍♀️;kvinna sum súkklar: ljósur húðarlitur;kona|kvinna|kvinna sum súkklar|kvinna sum súkklar: ljósur húðarlitur|ljósur húðarlitur|súkkla|súkklar|súkklari
	🚴🏼‍♀️;kvinna sum súkklar: miðalljósur húðarlitur;kona|kvinna|kvinna sum súkklar|kvinna sum súkklar: miðalljósur húðarlitur|miðalljósur húðarlitur|súkkla|súkklar|súkklari
	🚴🏽‍♀️;kvinna sum súkklar: miðal húðarlitur;kona|kvinna|kvinna sum súkklar|kvinna sum súkklar: miðal húðarlitur|miðal húðarlitur|súkkla|súkklar|súkklari
	🚴🏾‍♀️;kvinna sum súkklar: miðalmyrkur húðarlitur;kona|kvinna|kvinna sum súkklar|kvinna sum súkklar: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|súkkla|súkklar|súkklari
	🚴🏿‍♀️;kvinna sum súkklar: myrkur húðarlitur;kona|kvinna|kvinna sum súkklar|kvinna sum súkklar: myrkur húðarlitur|myrkur húðarlitur|súkkla|súkklar|súkklari
🚵;persónur á fjallasúkklu;fjallasúkkla|fólk|persónur|persónur á fjallasúkklu|súkkla|súkklar|súkklari
	🚵🏻;persónur á fjallasúkklu: ljósur húðarlitur;fjallasúkkla|fólk|ljósur húðarlitur|persónur|persónur á fjallasúkklu|persónur á fjallasúkklu: ljósur húðarlitur|súkkla|súkklar|súkklari
	🚵🏼;persónur á fjallasúkklu: miðalljósur húðarlitur;fjallasúkkla|fólk|miðalljósur húðarlitur|persónur|persónur á fjallasúkklu|persónur á fjallasúkklu: miðalljósur húðarlitur|súkkla|súkklar|súkklari
	🚵🏽;persónur á fjallasúkklu: miðal húðarlitur;fjallasúkkla|fólk|miðal húðarlitur|persónur|persónur á fjallasúkklu|persónur á fjallasúkklu: miðal húðarlitur|súkkla|súkklar|súkklari
	🚵🏾;persónur á fjallasúkklu: miðalmyrkur húðarlitur;fjallasúkkla|fólk|miðalmyrkur húðarlitur|persónur|persónur á fjallasúkklu|persónur á fjallasúkklu: miðalmyrkur húðarlitur|súkkla|súkklar|súkklari
	🚵🏿;persónur á fjallasúkklu: myrkur húðarlitur;fjallasúkkla|fólk|myrkur húðarlitur|persónur|persónur á fjallasúkklu|persónur á fjallasúkklu: myrkur húðarlitur|súkkla|súkklar|súkklari
🚵‍♂️;maður á fjallasúkklu;fjallasúkkla|maður|maður á fjallasúkklu|súkkla|súkklar|súkklari
	🚵🏻‍♂️;maður á fjallasúkklu: ljósur húðarlitur;fjallasúkkla|ljósur húðarlitur|maður|maður á fjallasúkklu|maður á fjallasúkklu: ljósur húðarlitur|súkkla|súkklar|súkklari
	🚵🏼‍♂️;maður á fjallasúkklu: miðalljósur húðarlitur;fjallasúkkla|maður|maður á fjallasúkklu|maður á fjallasúkklu: miðalljósur húðarlitur|miðalljósur húðarlitur|súkkla|súkklar|súkklari
	🚵🏽‍♂️;maður á fjallasúkklu: miðal húðarlitur;fjallasúkkla|maður|maður á fjallasúkklu|maður á fjallasúkklu: miðal húðarlitur|miðal húðarlitur|súkkla|súkklar|súkklari
	🚵🏾‍♂️;maður á fjallasúkklu: miðalmyrkur húðarlitur;fjallasúkkla|maður|maður á fjallasúkklu|maður á fjallasúkklu: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|súkkla|súkklar|súkklari
	🚵🏿‍♂️;maður á fjallasúkklu: myrkur húðarlitur;fjallasúkkla|maður|maður á fjallasúkklu|maður á fjallasúkklu: myrkur húðarlitur|myrkur húðarlitur|súkkla|súkklar|súkklari
🚵‍♀️;kvinna á fjallasúkklu;fjallasúkkla|kona|kvinna|kvinna á fjallasúkklu|súkkla|súkklar|súkklari
	🚵🏻‍♀️;kvinna á fjallasúkklu: ljósur húðarlitur;fjallasúkkla|kona|kvinna|kvinna á fjallasúkklu|kvinna á fjallasúkklu: ljósur húðarlitur|ljósur húðarlitur|súkkla|súkklar|súkklari
	🚵🏼‍♀️;kvinna á fjallasúkklu: miðalljósur húðarlitur;fjallasúkkla|kona|kvinna|kvinna á fjallasúkklu|kvinna á fjallasúkklu: miðalljósur húðarlitur|miðalljósur húðarlitur|súkkla|súkklar|súkklari
	🚵🏽‍♀️;kvinna á fjallasúkklu: miðal húðarlitur;fjallasúkkla|kona|kvinna|kvinna á fjallasúkklu|kvinna á fjallasúkklu: miðal húðarlitur|miðal húðarlitur|súkkla|súkklar|súkklari
	🚵🏾‍♀️;kvinna á fjallasúkklu: miðalmyrkur húðarlitur;fjallasúkkla|kona|kvinna|kvinna á fjallasúkklu|kvinna á fjallasúkklu: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|súkkla|súkklar|súkklari
	🚵🏿‍♀️;kvinna á fjallasúkklu: myrkur húðarlitur;fjallasúkkla|kona|kvinna|kvinna á fjallasúkklu|kvinna á fjallasúkklu: myrkur húðarlitur|myrkur húðarlitur|súkkla|súkklar|súkklari
🤸;persónur sum ger myllulop;fimleik|fimleikur|fólk|myllulop|persónur|persónur sum ger myllulop
	🤸🏻;persónur sum ger myllulop: ljósur húðarlitur;fimleik|fimleikur|fólk|ljósur húðarlitur|myllulop|persónur|persónur sum ger myllulop|persónur sum ger myllulop: ljósur húðarlitur
	🤸🏼;persónur sum ger myllulop: miðalljósur húðarlitur;fimleik|fimleikur|fólk|miðalljósur húðarlitur|myllulop|persónur|persónur sum ger myllulop|persónur sum ger myllulop: miðalljósur húðarlitur
	🤸🏽;persónur sum ger myllulop: miðal húðarlitur;fimleik|fimleikur|fólk|miðal húðarlitur|myllulop|persónur|persónur sum ger myllulop|persónur sum ger myllulop: miðal húðarlitur
	🤸🏾;persónur sum ger myllulop: miðalmyrkur húðarlitur;fimleik|fimleikur|fólk|miðalmyrkur húðarlitur|myllulop|persónur|persónur sum ger myllulop|persónur sum ger myllulop: miðalmyrkur húðarlitur
	🤸🏿;persónur sum ger myllulop: myrkur húðarlitur;fimleik|fimleikur|fólk|myllulop|myrkur húðarlitur|persónur|persónur sum ger myllulop|persónur sum ger myllulop: myrkur húðarlitur
🤸‍♂️;maður sum ger myllulop;fimleik|fimleikur|maður|maður sum ger myllulop|myllulop
	🤸🏻‍♂️;maður sum ger myllulop: ljósur húðarlitur;fimleik|fimleikur|ljósur húðarlitur|maður|maður sum ger myllulop|maður sum ger myllulop: ljósur húðarlitur|myllulop
	🤸🏼‍♂️;maður sum ger myllulop: miðalljósur húðarlitur;fimleik|fimleikur|maður|maður sum ger myllulop|maður sum ger myllulop: miðalljósur húðarlitur|miðalljósur húðarlitur|myllulop
	🤸🏽‍♂️;maður sum ger myllulop: miðal húðarlitur;fimleik|fimleikur|maður|maður sum ger myllulop|maður sum ger myllulop: miðal húðarlitur|miðal húðarlitur|myllulop
	🤸🏾‍♂️;maður sum ger myllulop: miðalmyrkur húðarlitur;fimleik|fimleikur|maður|maður sum ger myllulop|maður sum ger myllulop: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|myllulop
	🤸🏿‍♂️;maður sum ger myllulop: myrkur húðarlitur;fimleik|fimleikur|maður|maður sum ger myllulop|maður sum ger myllulop: myrkur húðarlitur|myllulop|myrkur húðarlitur
🤸‍♀️;kvinna sum ger myllulop;fimleik|fimleikur|kona|kvinna|kvinna sum ger myllulop|myllulop
