[smileys_emotion]
😀;ಹಾಸ್ಯದ ಮುಖ;ಮುಖ|ಹಾಸ್ಯ|ಹಾಸ್ಯದ ಮುಖ
👻;ದೆವ್ವ;ಕಾಲ್ಪನಿಕ ಕಥೆ|ದೆವ್ವ|ದೈತ್ಯಾಕಾರ|ಪ್ರೇತ|ಫ್ಯಾಂಟಸಿ
👽;ಏಲಿಯನ್;ಏಲಿಯನ್|ಯುಎಫ್ಒ
👾;ಏಲಿಯನ್ ಮಾನ್‌ಸ್ಟರ್;ಅನ್ಯಲೋಕದ ದೈತ್ಯ|ಏಲಿಯನ್ ಮಾನ್‌ಸ್ಟರ್|ದೈತ್ಯ
🤖;ರೋಬೋಟ್;ಮುಖ|ರಾಕ್ಷಸ|ರೋಬೋಟ್
😺;ನಗುತ್ತಿರುವ ಬೆಕ್ಕು;ತೆರೆದ|ನಗು|ನಗುತ್ತಿರುವ|ಬಾಯಿ|ಬೆಕ್ಕು|ಮುಖ
😸;ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ನಗುತ್ತಿರುವ ಬೆಕ್ಕು;ಕಣ್ಣು|ನಗು|ನಗುತ್ತಿರುವ ಕಣ್ಣುಗಳೊಂದಿಗೆ ನಗುತ್ತಿರುವ ಬೆಕ್ಕು|ನಗುವ ಕಣ್ಣುಗಳಿರುವ ನಗುವ ಬೆಕ್ಕು|ಬೆಕ್ಕು|ಮುಖ|ಮುಗುಳ್ನಗೆ
😹;ಆನಂದ ಬಾಷ್ಪದೊಂದಿಗಿರುವ ಬೆಕ್ಕಿನ ಮುಖ;ಆನಂದ ಬಾಷ್ಪದೊಂದಿಗಿರುವ ಬೆಕ್ಕಿನ ಮುಖ|ಬೆಕ್ಕಿನ ಮುಖ|ಸಂತೋಷದ ಕಣ್ಣೀರು
😻;ಹೃದಯಾಕಾರದ ಕಣ್ಣುಗಳಲ್ಲಿ ನಗುತ್ತಿರುವ ಬೆಕ್ಕಿನ ಮುಖ;ಕಣ್ಣು|ಪ್ರೀತಿ|ಬೆಕ್ಕು|ಮುಖ|ಹೃದಯ|ಹೃದಯ ಕಣ್ಣುಗಳೊಂದಿಗೆ ನಗುತ್ತಿರುವ ಬೆಕ್ಕು|ಹೃದಯಾಕಾರದ ಕಣ್ಣುಗಳಲ್ಲಿ ನಗುತ್ತಿರುವ ಬೆಕ್ಕಿನ ಮುಖ
😼;ವಕ್ರ ನಗೆಯೊಂದಿಗೆ ಬೆಕ್ಕಿನ ಮುಖ;ವಕ್ರ ನಗೆ|ವಕ್ರ ನಗೆಯ ಬೆಕ್ಕು|ವಕ್ರ ನಗೆಯೊಂದಿಗೆ ಬೆಕ್ಕಿನ ಮುಖ
😽;ಚುಂಬಿಸುತ್ತಿರುವ ಬೆಕ್ಕು;ಕಣ್ಣು|ಚುಂಬಿಸುತ್ತಿರುವ ಬೆಕ್ಕು|ಬೆಕ್ಕು|ಮುಖ|ಮುತ್ತು
🙀;ಅಸಹನೆಯ ಬೆಕ್ಕಿನ ಮುಖ;ಅಸಹನೆಯ ಬೆಕ್ಕಿನ ಮುಖ|ಆಶ್ಚರ್ಯ|ಓಹ್|ದಣಿದ|ಬೆಕ್ಕು|ಮುಖ
😿;ಅಳುತ್ತಿರುವ ಬೆಕ್ಕು;ಅಳು|ಅಳುತ್ತಿರುವ ಬೆಕ್ಕು|ಕಣ್ಣೀರು|ದುಃಖ|ಬೆಕ್ಕು|ಮುಖ
😾;ಮೊಂಡುತನದ ಬೆಕ್ಕು;ಬೆಕ್ಕು|ಮುಖ|ಮೊಂಡುತನದ
🙈;ಯಾವುದೇ ಕೆಟ್ಟದ್ದನ್ನು ನೋಡಬೇಡ;ಕೆಟ್ಟದ್ದನ್ನು ನೋಡಬೇಡಿ|ಯಾವುದೇ ಕೆಟ್ಟದ್ದನ್ನು ನೋಡಬೇಡ
🙉;ಯಾವುದೇ ಕೆಟ್ಟದ್ದನ್ನು ಕೇಳಬೇಡ;ಕೆಟ್ಟದ್ದನ್ನು ಕೇಳಬೇಡಿ|ಯಾವುದೇ ಕೆಟ್ಟದ್ದನ್ನು ಕೇಳಬೇಡ
🙊;ಯಾವುದೇ ಕೆಟ್ಟದ್ದನ್ನು ಮಾತನಾಡಬೇಡ;ಕೆಟ್ಟದ್ದನ್ನು ಮಾತನಾಡಬೇಡಿ|ಯಾವುದೇ ಕೆಟ್ಟದ್ದನ್ನು ಮಾತನಾಡಬೇಡ
💌;ಪ್ರೇಮ ಪತ್ರ;ಪ್ರಣಯ|ಪ್ರೇಮ ಪತ್ರ
💘;ಬಾಣದೊಂದಿಗೆ ಹೃದಯ;ಬಾಣದೊಂದಿಗೆ ಹೃದಯ|ಹೃದಯ|ಹೃದಯ ಮತ್ತು ಬಾಣ
💝;ರಿಬ್ಬನ್‌ನೊಂದಿಗೆ ಹೃದಯ;ಪ್ರೇಮಿಗಳು|ರಿಬ್ಬನ್|ರಿಬ್ಬನ್‌ನೊಂದಿಗೆ ಹೃದಯ|ಹೃದಯ
💖;ಮಿಣುಗುತ್ತಿರುವ ಹೃದಯ;ಮಿಣುಗುತ್ತಿರುವ ಹೃದಯ|ಹರ್ಷ|ಹೊಳೆಯುವ ಹೃದಯ
💗;ಬೆಳೆಯುತ್ತಿರುವ ಹೃದಯ;ಬೆಳೆಯುತ್ತಿರುವ ಹೃದಯ|ಮಾನಸಿಕ ಒತ್ತಡ
💓;ಮಿಡಿಯುತ್ತಿರುವ ಹೃದಯ;ಮಿಡಿತ|ಮಿಡಿಯುತ್ತಿರುವ ಹೃದಯ|ಹೃದಯ ಸ್ಪಂದನ
💞;ಸುತ್ತುತ್ತಿರುವ ಹೃದಯಗಳು;ಪರಿಭ್ರಮಿಸುವ ಹೃದಯಗಳು|ಸುತ್ತುತ್ತಿರುವ ಹೃದಯಗಳು|ಹೃದಯ
💕;ಎರಡು ಹೃದಯಗಳು;ಎರಡು ಹೃದಯಗಳು|ಪ್ರೇಮಿಗಳು
💟;ಹೃದಯ ಅಲಂಕಾರ;ಅಲಂಕರಿತ ಹೃದಯ|ಹೃದಯ ಅಲಂಕಾರ
❣️;ಹೃದಯ ಆಶ್ಚರ್ಯ ಗುರುತು;ಉದ್ಗಾರ|ಗುರುತು|ವಿರಾಮಚಿಹ್ನೆ|ಹೃದಯ ಆಶ್ಚರ್ಯ ಗುರುತು|ಹೃದಯದ ಉದ್ಗಾರ
💔;ಒಡೆದಿರುವ ಹೃದಯ;ಒಡೆದ ಹೃದಯ|ಒಡೆದಿರುವ ಹೃದಯ|ಹೃದಯ ಮುರಿಯುವಿಕೆ
❤️‍🔥;ಬೆಂಕಿಯಲ್ಲಿ ಹೃದಯ;ಕಾಮ|ಪವಿತ್ರ ಹೃದಯ|ಪ್ರೀತಿ|ಬೆಂಕಿಯಲ್ಲಿ ಹೃದಯ|ಸುಡುವುದು|ಹೃದಯ
❤️‍🩹;ಹೃದಯ ಹತೋಟಿಯಲ್ಲಿಡುವುದು;ಆರಾಮಾಗುತ್ತಿರುವುದು|ಆರೋಗ್ಯವಂತ|ಒಳ್ಳೆಯದು|ಚೇತರಿಕೆ|ಸುಧಾರಿಸುವುದು|ಹತೋಟಿಯಲ್ಲಿಡುವುದು|ಹೃದಯ ಹತೋಟಿಯಲ್ಲಿಡುವುದು
❤️;ಕೆಂಪು ಹೃದಯ;ಕೆಂಪು ಹೃದಯ|ಹೃದಯ
🩷;ಗುಲಾಬಿ ಬಣ್ಣದ ಹೃದಯ;ಇಷ್ಟ|ಗುಲಾಬಿ|ಗುಲಾಬಿ ಬಣ್ಣದ ಹೃದಯ|ಪ್ರೀತಿ|ಮುದ್ದಾದ|ಹೃದಯ
🧡;ಕಿತ್ತಳೆ ಹೃದಯ;ಕಿತ್ತಳೆ|ಕಿತ್ತಳೆ ಹೃದಯ
💛;ಹಳದಿ ಹೃದಯ;ಹಳದಿ|ಹಳದಿ ಹೃದಯ
💚;ಹಸಿರು ಹೃದಯ;ಹಸಿರು|ಹಸಿರು ಹೃದಯ
💙;ನೀಲಿ ಹೃದಯ;ನೀಲಿ ಹೃದಯ|ಭಾವನೆ
🩵;ತಿಳಿ ನೀಲಿ ಹೃದಯ;ಟೀಲ್|ತಿಳಿ ನೀಲಿ|ತಿಳಿ ನೀಲಿ ಹೃದಯ|ಸಯಾನ್|ಹೃದಯ
💜;ನೇರಳೆ ಹೃದಯ;ನೇರಳೆ ಹೃದಯ|ಪರ್ಪಲ್ ಹಾರ್ಟ್|ಪರ್ಪಲ್ ಹೃದಯ
🤎;ಕಂದುಬಣ್ಣದ ಹೃದಯ;ಕಂದು|ಕಂದುಬಣ್ಣದ ಹೃದಯ|ಹೃದಯ
🖤;ನಿರ್ದಯ ಹೃದಯ;ಕಪ್ಪು|ಕೆಡುಕು|ದುಷ್ಟ|ನಿರ್ದಯ ಹೃದಯ|ಹೃದಯ
🩶;ಬೂದು ಬಣ್ಣದ ಹೃದಯ;ಬೂದು|ಬೂದು ಬಣ್ಣದ ಹೃದಯ|ಬೆಳ್ಳಿ|ಸ್ಲೇಟ್|ಹೃದಯ
🤍;ಬಿಳಿಯ ಹೃದಯ;ಬಿಳಿ|ಬಿಳಿಯ ಹೃದಯ|ಹೃದಯ
💋;ಚುಂಬನದ ಗುರುತು;ಚುಂಬನದ ಗುರುತು|ತುಟಿಗಳು
💯;ನೂರು ಪಾಯಿಂಟ್‌ಗಳು;100 ಅಂಕಗಳು|ನೂರು ಪಾಯಿಂಟ್‌ಗಳು|ಪೂರ್ಣ ಸ್ಕೋರ್
💢;ಕೋಪದ ಚಿಹ್ನೆ;ಉದ್ವೇಗ|ಕೋಪ|ಕೋಪದ ಚಿಹ್ನೆ
💥;ಘರ್ಷಣೆ;ಘರ್ಷಣೆ|ಘರ್ಷಣೆ ಚಿಹ್ನೆ
💫;ತಿರುುಗುವಿಕೆ;ಕಾಮಿಕ್|ಡಿಝಿ|ತಿರುುಗುವಿಕೆ|ನಕ್ಷತ್ರಗಳು
💦;ಬೆವರಿನ ಹನಿಗಳು;ತೊಟ್ಟಿಕ್ಕುವ ಬೆವರು|ಬೆವರಿನ ಹನಿಗಳು|ಬೆವರು
💨;ಗುದ್ದುವಿಕೆ;ಕಾಮಿಕ್|ಗುದ್ದುವಿಕೆ|ಚಾಲನೆಯಲ್ಲಿದೆ|ಡ್ಯಾಶ್
🕳️;ರಂಧ್ರ;ಕುಳಿ|ರಂಧ್ರ
💬;ಧ್ವನಿ ಬಲೂನ್;ಧ್ವನಿ ಬಲೂನ್|ಮಾತಿನ ಬಬಲ್|ಮಾತಿನ ಬಲೂನ್
👁️‍🗨️;ಮಾತಿನ ಬಬಲ್‌ನಲ್ಲಿ ಕಣ್ಣು;ಕಣ್ಣು|ನೋಡು|ಮಾತಿನ ಬಬಲ್‌ನಲ್ಲಿ ಕಣ್ಣು|ಮಾತು ಬಬಲ್
🗨️;ಎಡ ಧ್ವನಿ ಬಬಲ್;ಎಡ ಧ್ವನಿ ಬಬಲ್|ಮಾತು|ಸಂವಾದ
🗯️;ಬಲಭಾಗದ ಕೋಪದ ಬಬಲ್;ಕೋಪ|ಬಲಭಾಗದ ಕೋಪದ ಬಬಲ್|ಬಲೂನ್
💭;ಆಲೋಚನೆ ಬಲೂನ್;ಆಲೋಚನೆ ಬಲೂನ್|ಚಿಂತನೆಯ ಬಬಲ್|ಚಿಂತನೆಯ ಬಲೂನ್
💤;ನಿದ್ರೆ;ಗೊರಕೆ|ನಿದ್ರೆ|ನಿದ್ರೆ ಮಂಪರು

[people_body]
👋;ಕೈ ಬೀಸುತ್ತಿರುವುದು;ಕೈ ಬೀಸುತ್ತಿರುವುದು|ಕೈ ಬೀಸುವ
	👋🏻;ಕೈ ಬೀಸುತ್ತಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಕೈ ಬೀಸುತ್ತಿರುವುದು|ಕೈ ಬೀಸುತ್ತಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಬೀಸುವ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👋🏼;ಕೈ ಬೀಸುತ್ತಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಕೈ ಬೀಸುತ್ತಿರುವುದು|ಕೈ ಬೀಸುತ್ತಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಬೀಸುವ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👋🏽;ಕೈ ಬೀಸುತ್ತಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಕೈ ಬೀಸುತ್ತಿರುವುದು|ಕೈ ಬೀಸುತ್ತಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಬೀಸುವ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	👋🏾;ಕೈ ಬೀಸುತ್ತಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಕೈ ಬೀಸುತ್ತಿರುವುದು|ಕೈ ಬೀಸುತ್ತಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಬೀಸುವ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	👋🏿;ಕೈ ಬೀಸುತ್ತಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಕೈ ಬೀಸುತ್ತಿರುವುದು|ಕೈ ಬೀಸುತ್ತಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಬೀಸುವ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤚;ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು;ಅಂಗೈ ಹಿಂಭಾಗ|ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು|ತೋರಿಸು
	🤚🏻;ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಅಂಗೈ ಹಿಂಭಾಗ|ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು|ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ತೋರಿಸು
	🤚🏼;ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಅಂಗೈ ಹಿಂಭಾಗ|ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು|ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ತೋರಿಸು|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🤚🏽;ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಅಂಗೈ ಹಿಂಭಾಗ|ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು|ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ತೋರಿಸು|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	🤚🏾;ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಅಂಗೈ ಹಿಂಭಾಗ|ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು|ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ತೋರಿಸು|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	🤚🏿;ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಅಂಗೈ ಹಿಂಭಾಗ|ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು|ಅಂಗೈ ಹಿಂಭಾಗ ತೋರಿಸು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ತೋರಿಸು
🖐️;ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ;ಕೈ ಎತ್ತಿರುವುದು|ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ
	🖐🏻;ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಕೈ ಎತ್ತಿರುವುದು|ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ|ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🖐🏼;ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಕೈ ಎತ್ತಿರುವುದು|ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ|ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🖐🏽;ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಕೈ ಎತ್ತಿರುವುದು|ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ|ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	🖐🏾;ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಕೈ ಎತ್ತಿರುವುದು|ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ|ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	🖐🏿;ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಕೈ ಎತ್ತಿರುವುದು|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ|ಚಾಚಿರುವ ಬೆರಳುಗಳೊಂದಿಗೆ ಎತ್ತಿರುವ ಕೈ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
✋;ಎತ್ತಿರುವ ಕೈ;ಎತ್ತಿದ ಕೈ|ಎತ್ತಿರುವ ಕೈ
	✋🏻;ಎತ್ತಿರುವ ಕೈ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಎತ್ತಿದ ಕೈ|ಎತ್ತಿರುವ ಕೈ|ಎತ್ತಿರುವ ಕೈ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	✋🏼;ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಎತ್ತಿದ ಕೈ|ಎತ್ತಿರುವ ಕೈ|ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	✋🏽;ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಎತ್ತಿದ ಕೈ|ಎತ್ತಿರುವ ಕೈ|ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	✋🏾;ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಎತ್ತಿದ ಕೈ|ಎತ್ತಿರುವ ಕೈ|ಎತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	✋🏿;ಎತ್ತಿರುವ ಕೈ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಎತ್ತಿದ ಕೈ|ಎತ್ತಿರುವ ಕೈ|ಎತ್ತಿರುವ ಕೈ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🖖;ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್;ವಲ್ಕೇನ್ ಸಲ್ಕೂಟ್|ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್|ಸಲ್ಯೂಟ್
	🖖🏻;ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವಲ್ಕೇನ್ ಸಲ್ಕೂಟ್|ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್|ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಸಲ್ಯೂಟ್
	🖖🏼;ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವಲ್ಕೇನ್ ಸಲ್ಕೂಟ್|ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್|ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಸಲ್ಯೂಟ್
	🖖🏽;ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ವಲ್ಕೇನ್ ಸಲ್ಕೂಟ್|ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್|ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಸಲ್ಯೂಟ್
	🖖🏾;ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವಲ್ಕೇನ್ ಸಲ್ಕೂಟ್|ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್|ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಸಲ್ಯೂಟ್
	🖖🏿;ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವಲ್ಕೇನ್ ಸಲ್ಕೂಟ್|ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್|ವಲ್ಕೇನ್ ಸಲ್ಯೂಟ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಸಲ್ಯೂಟ್
🫱;ಬಲದಿಕ್ಕನ್ನು ತೋರಿಸುತ್ತಿರುವ ಕೈ;ಕೈ|ಬಲ|ಬಲಕ್ಕೆ|ಬಲದಿಕ್ಕನ್ನು ತೋರಿಸುತ್ತಿರುವ ಕೈ
	🫱🏻;ಬಲದಿಕ್ಕನ್ನು ತೋರಿಸುತ್ತಿರುವ ಕೈ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಕೈ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಬಲ|ಬಲಕ್ಕೆ|ಬಲದಿಕ್ಕನ್ನು ತೋರಿಸುತ್ತಿರುವ ಕೈ|ಬಲದಿಕ್ಕನ್ನು ತೋರಿಸುತ್ತಿರುವ ಕೈ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🫱🏼;ಬಲದಿಕ್ಕನ್ನು ತೋರಿಸುತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಕೈ|ಬಲ|ಬಲಕ್ಕೆ|ಬಲದಿಕ್ಕನ್ನು ತೋರಿಸುತ್ತಿರುವ ಕೈ|ಬಲದಿಕ್ಕನ್ನು ತೋರಿಸುತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🫱🏽;ಬಲದಿಕ್ಕನ್ನು ತೋರಿಸುತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಕೈ|ಬಲ|ಬಲಕ್ಕೆ|ಬಲದಿಕ್ಕನ್ನು ತೋರಿಸುತ್ತಿರುವ ಕೈ|ಬಲದಿಕ್ಕನ್ನು ತೋರಿಸುತ್ತಿರುವ ಕೈ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
