# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;dareenka wajiga;dareenka wajiga|gariir|wajiga
	🧑🏽‍🎨;fanaan: jidh nooc dhexe;fanaan|fanaan: jidh nooc dhexe|jidh nooc dhexe|laxan
	🧑🏾‍🎨;fanaan: jidh nooc madaw oo dhexe;fanaan|fanaan: jidh nooc madaw oo dhexe|jidh nooc madaw oo dhexe|laxan
	🧑🏿‍🎨;fanaan: jidh madaw;fanaan|fanaan: jidh madaw|jidh madaw|laxan
👨‍🎨;nin farsama yaqaan ah;farsama yaqaan|nin|nin farsama yaqaan ah|qalab farsamo
	👨🏻‍🎨;nin farsama yaqaan ah: jidh fudud;farsama yaqaan|jidh fudud|nin|nin farsama yaqaan ah|nin farsama yaqaan ah: jidh fudud|qalab farsamo
	👨🏼‍🎨;nin farsama yaqaan ah: jidh fudud oo dhexe;farsama yaqaan|jidh fudud oo dhexe|nin|nin farsama yaqaan ah|nin farsama yaqaan ah: jidh fudud oo dhexe|qalab farsamo
	👨🏽‍🎨;nin farsama yaqaan ah: jidh nooc dhexe;farsama yaqaan|jidh nooc dhexe|nin|nin farsama yaqaan ah|nin farsama yaqaan ah: jidh nooc dhexe|qalab farsamo
	👨🏾‍🎨;nin farsama yaqaan ah: jidh nooc madaw oo dhexe;farsama yaqaan|jidh nooc madaw oo dhexe|nin|nin farsama yaqaan ah|nin farsama yaqaan ah: jidh nooc madaw oo dhexe|qalab farsamo
	👨🏿‍🎨;nin farsama yaqaan ah: jidh madaw;farsama yaqaan|jidh madaw|nin|nin farsama yaqaan ah|nin farsama yaqaan ah: jidh madaw|qalab farsamo
👩‍🎨;naag farsama yaqaan ah;farsama yaqaan|naag|naag farsama yaqaan ah|qalab farsamo
	👩🏻‍🎨;naag farsama yaqaan ah: jidh fudud;farsama yaqaan|jidh fudud|naag|naag farsama yaqaan ah|naag farsama yaqaan ah: jidh fudud|qalab farsamo
	👩🏼‍🎨;naag farsama yaqaan ah: jidh fudud oo dhexe;farsama yaqaan|jidh fudud oo dhexe|naag|naag farsama yaqaan ah|naag farsama yaqaan ah: jidh fudud oo dhexe|qalab farsamo
	👩🏽‍🎨;naag farsama yaqaan ah: jidh nooc dhexe;farsama yaqaan|jidh nooc dhexe|naag|naag farsama yaqaan ah|naag farsama yaqaan ah: jidh nooc dhexe|qalab farsamo
	👩🏾‍🎨;naag farsama yaqaan ah: jidh nooc madaw oo dhexe;farsama yaqaan|jidh nooc madaw oo dhexe|naag|naag farsama yaqaan ah|naag farsama yaqaan ah: jidh nooc madaw oo dhexe|qalab farsamo
	👩🏿‍🎨;naag farsama yaqaan ah: jidh madaw;farsama yaqaan|jidh madaw|naag|naag farsama yaqaan ah|naag farsama yaqaan ah: jidh madaw|qalab farsamo
🧑‍✈️;darawal dayuurad;darawal dayuurad|dayuurad
	🧑🏻‍✈️;darawal dayuurad: jidh fudud;darawal dayuurad|darawal dayuurad: jidh fudud|dayuurad|jidh fudud
	🧑🏼‍✈️;darawal dayuurad: jidh fudud oo dhexe;darawal dayuurad|darawal dayuurad: jidh fudud oo dhexe|dayuurad|jidh fudud oo dhexe
	🧑🏽‍✈️;darawal dayuurad: jidh nooc dhexe;darawal dayuurad|darawal dayuurad: jidh nooc dhexe|dayuurad|jidh nooc dhexe
	🧑🏾‍✈️;darawal dayuurad: jidh nooc madaw oo dhexe;darawal dayuurad|darawal dayuurad: jidh nooc madaw oo dhexe|dayuurad|jidh nooc madaw oo dhexe
	🧑🏿‍✈️;darawal dayuurad: jidh madaw;darawal dayuurad|darawal dayuurad: jidh madaw|dayuurad|jidh madaw
👨‍✈️;nin duuliye ah;diyaarad|duuliye|nin|nin duuliye ah
	👨🏻‍✈️;nin duuliye ah: jidh fudud;diyaarad|duuliye|jidh fudud|nin|nin duuliye ah|nin duuliye ah: jidh fudud
	👨🏼‍✈️;nin duuliye ah: jidh fudud oo dhexe;diyaarad|duuliye|jidh fudud oo dhexe|nin|nin duuliye ah|nin duuliye ah: jidh fudud oo dhexe
	👨🏽‍✈️;nin duuliye ah: jidh nooc dhexe;diyaarad|duuliye|jidh nooc dhexe|nin|nin duuliye ah|nin duuliye ah: jidh nooc dhexe
	👨🏾‍✈️;nin duuliye ah: jidh nooc madaw oo dhexe;diyaarad|duuliye|jidh nooc madaw oo dhexe|nin|nin duuliye ah|nin duuliye ah: jidh nooc madaw oo dhexe
	👨🏿‍✈️;nin duuliye ah: jidh madaw;diyaarad|duuliye|jidh madaw|nin|nin duuliye ah|nin duuliye ah: jidh madaw
👩‍✈️;naag duuliye ah;diyaarad|duuliye|naag|naag duuliye ah
	👩🏻‍✈️;naag duuliye ah: jidh fudud;diyaarad|duuliye|jidh fudud|naag|naag duuliye ah|naag duuliye ah: jidh fudud
	👩🏼‍✈️;naag duuliye ah: jidh fudud oo dhexe;diyaarad|duuliye|jidh fudud oo dhexe|naag|naag duuliye ah|naag duuliye ah: jidh fudud oo dhexe
	👩🏽‍✈️;naag duuliye ah: jidh nooc dhexe;diyaarad|duuliye|jidh nooc dhexe|naag|naag duuliye ah|naag duuliye ah: jidh nooc dhexe
	👩🏾‍✈️;naag duuliye ah: jidh nooc madaw oo dhexe;diyaarad|duuliye|jidh nooc madaw oo dhexe|naag|naag duuliye ah|naag duuliye ah: jidh nooc madaw oo dhexe
	👩🏿‍✈️;naag duuliye ah: jidh madaw;diyaarad|duuliye|jidh madaw|naag|naag duuliye ah|naag duuliye ah: jidh madaw
🧑‍🚀;dayax u safre;dayax u safre|gantaal
	🧑🏻‍🚀;dayax u safre: jidh fudud;dayax u safre|dayax u safre: jidh fudud|gantaal|jidh fudud
	🧑🏼‍🚀;dayax u safre: jidh fudud oo dhexe;dayax u safre|dayax u safre: jidh fudud oo dhexe|gantaal|jidh fudud oo dhexe
	🧑🏽‍🚀;dayax u safre: jidh nooc dhexe;dayax u safre|dayax u safre: jidh nooc dhexe|gantaal|jidh nooc dhexe
	🧑🏾‍🚀;dayax u safre: jidh nooc madaw oo dhexe;dayax u safre|dayax u safre: jidh nooc madaw oo dhexe|gantaal|jidh nooc madaw oo dhexe
	🧑🏿‍🚀;dayax u safre: jidh madaw;dayax u safre|dayax u safre: jidh madaw|gantaal|jidh madaw
👨‍🚀;nin cirbixiyeen ah;cir bixiyeen|gantaal|nin|nin cirbixiyeen ah
	👨🏻‍🚀;nin cirbixiyeen ah: jidh fudud;cir bixiyeen|gantaal|jidh fudud|nin|nin cirbixiyeen ah|nin cirbixiyeen ah: jidh fudud
	👨🏼‍🚀;nin cirbixiyeen ah: jidh fudud oo dhexe;cir bixiyeen|gantaal|jidh fudud oo dhexe|nin|nin cirbixiyeen ah|nin cirbixiyeen ah: jidh fudud oo dhexe
	👨🏽‍🚀;nin cirbixiyeen ah: jidh nooc dhexe;cir bixiyeen|gantaal|jidh nooc dhexe|nin|nin cirbixiyeen ah|nin cirbixiyeen ah: jidh nooc dhexe
	👨🏾‍🚀;nin cirbixiyeen ah: jidh nooc madaw oo dhexe;cir bixiyeen|gantaal|jidh nooc madaw oo dhexe|nin|nin cirbixiyeen ah|nin cirbixiyeen ah: jidh nooc madaw oo dhexe
	👨🏿‍🚀;nin cirbixiyeen ah: jidh madaw;cir bixiyeen|gantaal|jidh madaw|nin|nin cirbixiyeen ah|nin cirbixiyeen ah: jidh madaw
👩‍🚀;naag cir bixiyeenad ah;cir bixiyeen|gantaal|naag|naag cir bixiyeenad ah
	👩🏻‍🚀;naag cir bixiyeenad ah: jidh fudud;cir bixiyeen|gantaal|jidh fudud|naag|naag cir bixiyeenad ah|naag cir bixiyeenad ah: jidh fudud
	👩🏼‍🚀;naag cir bixiyeenad ah: jidh fudud oo dhexe;cir bixiyeen|gantaal|jidh fudud oo dhexe|naag|naag cir bixiyeenad ah|naag cir bixiyeenad ah: jidh fudud oo dhexe
	👩🏽‍🚀;naag cir bixiyeenad ah: jidh nooc dhexe;cir bixiyeen|gantaal|jidh nooc dhexe|naag|naag cir bixiyeenad ah|naag cir bixiyeenad ah: jidh nooc dhexe
	👩🏾‍🚀;naag cir bixiyeenad ah: jidh nooc madaw oo dhexe;cir bixiyeen|gantaal|jidh nooc madaw oo dhexe|naag|naag cir bixiyeenad ah|naag cir bixiyeenad ah: jidh nooc madaw oo dhexe
	👩🏿‍🚀;naag cir bixiyeenad ah: jidh madaw;cir bixiyeen|gantaal|jidh madaw|naag|naag cir bixiyeenad ah|naag cir bixiyeenad ah: jidh madaw
🧑‍🚒;dab damis;dab damis|taraaga dabka
	🧑🏻‍🚒;dab damis: jidh fudud;dab damis|dab damis: jidh fudud|jidh fudud|taraaga dabka
	🧑🏼‍🚒;dab damis: jidh fudud oo dhexe;dab damis|dab damis: jidh fudud oo dhexe|jidh fudud oo dhexe|taraaga dabka
	🧑🏽‍🚒;dab damis: jidh nooc dhexe;dab damis|dab damis: jidh nooc dhexe|jidh nooc dhexe|taraaga dabka
	🧑🏾‍🚒;dab damis: jidh nooc madaw oo dhexe;dab damis|dab damis: jidh nooc madaw oo dhexe|jidh nooc madaw oo dhexe|taraaga dabka
	🧑🏿‍🚒;dab damis: jidh madaw;dab damis|dab damis: jidh madaw|jidh madaw|taraaga dabka
👨‍🚒;ninka dab-demiska ah;dab-demis|gaariga dab-demiska|nin|ninka dab-demiska ah
	👨🏻‍🚒;ninka dab-demiska ah: jidh fudud;dab-demis|gaariga dab-demiska|jidh fudud|nin|ninka dab-demiska ah|ninka dab-demiska ah: jidh fudud
	👨🏼‍🚒;ninka dab-demiska ah: jidh fudud oo dhexe;dab-demis|gaariga dab-demiska|jidh fudud oo dhexe|nin|ninka dab-demiska ah|ninka dab-demiska ah: jidh fudud oo dhexe
	👨🏽‍🚒;ninka dab-demiska ah: jidh nooc dhexe;dab-demis|gaariga dab-demiska|jidh nooc dhexe|nin|ninka dab-demiska ah|ninka dab-demiska ah: jidh nooc dhexe
	👨🏾‍🚒;ninka dab-demiska ah: jidh nooc madaw oo dhexe;dab-demis|gaariga dab-demiska|jidh nooc madaw oo dhexe|nin|ninka dab-demiska ah|ninka dab-demiska ah: jidh nooc madaw oo dhexe
	👨🏿‍🚒;ninka dab-demiska ah: jidh madaw;dab-demis|gaariga dab-demiska|jidh madaw|nin|ninka dab-demiska ah|ninka dab-demiska ah: jidh madaw
👩‍🚒;naag dab-demis ah;dab-demis|gaariga dab-demiska|naag|naag dab-demis ah
	👩🏻‍🚒;naag dab-demis ah: jidh fudud;dab-demis|gaariga dab-demiska|jidh fudud|naag|naag dab-demis ah|naag dab-demis ah: jidh fudud
	👩🏼‍🚒;naag dab-demis ah: jidh fudud oo dhexe;dab-demis|gaariga dab-demiska|jidh fudud oo dhexe|naag|naag dab-demis ah|naag dab-demis ah: jidh fudud oo dhexe
	👩🏽‍🚒;naag dab-demis ah: jidh nooc dhexe;dab-demis|gaariga dab-demiska|jidh nooc dhexe|naag|naag dab-demis ah|naag dab-demis ah: jidh nooc dhexe
	👩🏾‍🚒;naag dab-demis ah: jidh nooc madaw oo dhexe;dab-demis|gaariga dab-demiska|jidh nooc madaw oo dhexe|naag|naag dab-demis ah|naag dab-demis ah: jidh nooc madaw oo dhexe
	👩🏿‍🚒;naag dab-demis ah: jidh madaw;dab-demis|gaariga dab-demiska|jidh madaw|naag|naag dab-demis ah|naag dab-demis ah: jidh madaw
👮;sarkaal boolis;booliska|sarkaal|sarkaal boolis
	👮🏻;sarkaal boolis: jidh fudud;booliska|jidh fudud|sarkaal|sarkaal boolis|sarkaal boolis: jidh fudud
	👮🏼;sarkaal boolis: jidh fudud oo dhexe;booliska|jidh fudud oo dhexe|sarkaal|sarkaal boolis|sarkaal boolis: jidh fudud oo dhexe
	👮🏽;sarkaal boolis: jidh nooc dhexe;booliska|jidh nooc dhexe|sarkaal|sarkaal boolis|sarkaal boolis: jidh nooc dhexe
	👮🏾;sarkaal boolis: jidh nooc madaw oo dhexe;booliska|jidh nooc madaw oo dhexe|sarkaal|sarkaal boolis|sarkaal boolis: jidh nooc madaw oo dhexe
	👮🏿;sarkaal boolis: jidh madaw;booliska|jidh madaw|sarkaal|sarkaal boolis|sarkaal boolis: jidh madaw
👮‍♂️;nin sarkaal boolis ah;booliska|nin|nin sarkaal boolis ah|sarkaal|sarkaal boolis
	👮🏻‍♂️;nin sarkaal boolis ah: jidh fudud;booliska|jidh fudud|nin|nin sarkaal boolis ah|nin sarkaal boolis ah: jidh fudud|sarkaal|sarkaal boolis
	👮🏼‍♂️;nin sarkaal boolis ah: jidh fudud oo dhexe;booliska|jidh fudud oo dhexe|nin|nin sarkaal boolis ah|nin sarkaal boolis ah: jidh fudud oo dhexe|sarkaal|sarkaal boolis
	👮🏽‍♂️;nin sarkaal boolis ah: jidh nooc dhexe;booliska|jidh nooc dhexe|nin|nin sarkaal boolis ah|nin sarkaal boolis ah: jidh nooc dhexe|sarkaal|sarkaal boolis
	👮🏾‍♂️;nin sarkaal boolis ah: jidh nooc madaw oo dhexe;booliska|jidh nooc madaw oo dhexe|nin|nin sarkaal boolis ah|nin sarkaal boolis ah: jidh nooc madaw oo dhexe|sarkaal|sarkaal boolis
	👮🏿‍♂️;nin sarkaal boolis ah: jidh madaw;booliska|jidh madaw|nin|nin sarkaal boolis ah|nin sarkaal boolis ah: jidh madaw|sarkaal|sarkaal boolis
👮‍♀️;haweeney sarkaal boolis ah;booliska|haweeney sarkaal boolis ah|naag|sarkaal|sarkaal boolis ah
	👮🏻‍♀️;haweeney sarkaal boolis ah: jidh fudud;booliska|haweeney sarkaal boolis ah|haweeney sarkaal boolis ah: jidh fudud|jidh fudud|naag|sarkaal|sarkaal boolis ah
	👮🏼‍♀️;haweeney sarkaal boolis ah: jidh fudud oo dhexe;booliska|haweeney sarkaal boolis ah|haweeney sarkaal boolis ah: jidh fudud oo dhexe|jidh fudud oo dhexe|naag|sarkaal|sarkaal boolis ah
	👮🏽‍♀️;haweeney sarkaal boolis ah: jidh nooc dhexe;booliska|haweeney sarkaal boolis ah|haweeney sarkaal boolis ah: jidh nooc dhexe|jidh nooc dhexe|naag|sarkaal|sarkaal boolis ah
	👮🏾‍♀️;haweeney sarkaal boolis ah: jidh nooc madaw oo dhexe;booliska|haweeney sarkaal boolis ah|haweeney sarkaal boolis ah: jidh nooc madaw oo dhexe|jidh nooc madaw oo dhexe|naag|sarkaal|sarkaal boolis ah
	👮🏿‍♀️;haweeney sarkaal boolis ah: jidh madaw;booliska|haweeney sarkaal boolis ah|haweeney sarkaal boolis ah: jidh madaw|jidh madaw|naag|sarkaal|sarkaal boolis ah
🕵️;dambi-baare;dambi-baare|dambi-baare gaar ah|jaajuus
	🕵🏻;dambi-baare: jidh fudud;dambi-baare|dambi-baare gaar ah|dambi-baare: jidh fudud|jaajuus|jidh fudud
	🕵🏼;dambi-baare: jidh fudud oo dhexe;dambi-baare|dambi-baare gaar ah|dambi-baare: jidh fudud oo dhexe|jaajuus|jidh fudud oo dhexe
	🕵🏽;dambi-baare: jidh nooc dhexe;dambi-baare|dambi-baare gaar ah|dambi-baare: jidh nooc dhexe|jaajuus|jidh nooc dhexe
	🕵🏾;dambi-baare: jidh nooc madaw oo dhexe;dambi-baare|dambi-baare gaar ah|dambi-baare: jidh nooc madaw oo dhexe|jaajuus|jidh nooc madaw oo dhexe
	🕵🏿;dambi-baare: jidh madaw;dambi-baare|dambi-baare gaar ah|dambi-baare: jidh madaw|jaajuus|jidh madaw
🕵️‍♂️;nin dambi-baare ah;dambi-baare|dambi-baare gaar ah|jaajuus|nin|nin dambi-baare ah
	🕵🏻‍♂️;nin dambi-baare ah: jidh fudud;dambi-baare|dambi-baare gaar ah|jaajuus|jidh fudud|nin|nin dambi-baare ah|nin dambi-baare ah: jidh fudud
	🕵🏼‍♂️;nin dambi-baare ah: jidh fudud oo dhexe;dambi-baare|dambi-baare gaar ah|jaajuus|jidh fudud oo dhexe|nin|nin dambi-baare ah|nin dambi-baare ah: jidh fudud oo dhexe
	🕵🏽‍♂️;nin dambi-baare ah: jidh nooc dhexe;dambi-baare|dambi-baare gaar ah|jaajuus|jidh nooc dhexe|nin|nin dambi-baare ah|nin dambi-baare ah: jidh nooc dhexe
	🕵🏾‍♂️;nin dambi-baare ah: jidh nooc madaw oo dhexe;dambi-baare|dambi-baare gaar ah|jaajuus|jidh nooc madaw oo dhexe|nin|nin dambi-baare ah|nin dambi-baare ah: jidh nooc madaw oo dhexe
	🕵🏿‍♂️;nin dambi-baare ah: jidh madaw;dambi-baare|dambi-baare gaar ah|jaajuus|jidh madaw|nin|nin dambi-baare ah|nin dambi-baare ah: jidh madaw
🕵️‍♀️;naag dambi-baarto ah;dambi-baar gaar ah|dambi-baare|jaajuus|naag|naag dambi-baarto ah
	🕵🏻‍♀️;naag dambi-baarto ah: jidh fudud;dambi-baar gaar ah|dambi-baare|jaajuus|jidh fudud|naag|naag dambi-baarto ah|naag dambi-baarto ah: jidh fudud
	🕵🏼‍♀️;naag dambi-baarto ah: jidh fudud oo dhexe;dambi-baar gaar ah|dambi-baare|jaajuus|jidh fudud oo dhexe|naag|naag dambi-baarto ah|naag dambi-baarto ah: jidh fudud oo dhexe
	🕵🏽‍♀️;naag dambi-baarto ah: jidh nooc dhexe;dambi-baar gaar ah|dambi-baare|jaajuus|jidh nooc dhexe|naag|naag dambi-baarto ah|naag dambi-baarto ah: jidh nooc dhexe
	🕵🏾‍♀️;naag dambi-baarto ah: jidh nooc madaw oo dhexe;dambi-baar gaar ah|dambi-baare|jaajuus|jidh nooc madaw oo dhexe|naag|naag dambi-baarto ah|naag dambi-baarto ah: jidh nooc madaw oo dhexe
	🕵🏿‍♀️;naag dambi-baarto ah: jidh madaw;dambi-baar gaar ah|dambi-baare|jaajuus|jidh madaw|naag|naag dambi-baarto ah|naag dambi-baarto ah: jidh madaw
💂;ilaaliye;ilaaliye
	💂🏻;ilaaliye: jidh fudud;ilaaliye|ilaaliye: jidh fudud|jidh fudud
	💂🏼;ilaaliye: jidh fudud oo dhexe;ilaaliye|ilaaliye: jidh fudud oo dhexe|jidh fudud oo dhexe
	💂🏽;ilaaliye: jidh nooc dhexe;ilaaliye|ilaaliye: jidh nooc dhexe|jidh nooc dhexe
	💂🏾;ilaaliye: jidh nooc madaw oo dhexe;ilaaliye|ilaaliye: jidh nooc madaw oo dhexe|jidh nooc madaw oo dhexe
	💂🏿;ilaaliye: jidh madaw;ilaaliye|ilaaliye: jidh madaw|jidh madaw
💂‍♂️;nin illaaliye ah;ilaaliye|nin|nin illaaliye ah
	💂🏻‍♂️;nin illaaliye ah: jidh fudud;ilaaliye|jidh fudud|nin|nin illaaliye ah|nin illaaliye ah: jidh fudud
	💂🏼‍♂️;nin illaaliye ah: jidh fudud oo dhexe;ilaaliye|jidh fudud oo dhexe|nin|nin illaaliye ah|nin illaaliye ah: jidh fudud oo dhexe
	💂🏽‍♂️;nin illaaliye ah: jidh nooc dhexe;ilaaliye|jidh nooc dhexe|nin|nin illaaliye ah|nin illaaliye ah: jidh nooc dhexe
	💂🏾‍♂️;nin illaaliye ah: jidh nooc madaw oo dhexe;ilaaliye|jidh nooc madaw oo dhexe|nin|nin illaaliye ah|nin illaaliye ah: jidh nooc madaw oo dhexe
	💂🏿‍♂️;nin illaaliye ah: jidh madaw;ilaaliye|jidh madaw|nin|nin illaaliye ah|nin illaaliye ah: jidh madaw
💂‍♀️;haweeney ilaaliye ah;haweeney|haweeney ilaaliye ah|ilaaliye
	💂🏻‍♀️;haweeney ilaaliye ah: jidh fudud;haweeney|haweeney ilaaliye ah|haweeney ilaaliye ah: jidh fudud|ilaaliye|jidh fudud
	💂🏼‍♀️;haweeney ilaaliye ah: jidh fudud oo dhexe;haweeney|haweeney ilaaliye ah|haweeney ilaaliye ah: jidh fudud oo dhexe|ilaaliye|jidh fudud oo dhexe
	💂🏽‍♀️;haweeney ilaaliye ah: jidh nooc dhexe;haweeney|haweeney ilaaliye ah|haweeney ilaaliye ah: jidh nooc dhexe|ilaaliye|jidh nooc dhexe
	💂🏾‍♀️;haweeney ilaaliye ah: jidh nooc madaw oo dhexe;haweeney|haweeney ilaaliye ah|haweeney ilaaliye ah: jidh nooc madaw oo dhexe|ilaaliye|jidh nooc madaw oo dhexe
	💂🏿‍♀️;haweeney ilaaliye ah: jidh madaw;haweeney|haweeney ilaaliye ah|haweeney ilaaliye ah: jidh madaw|ilaaliye|jidh madaw
🥷;ninja;dagaalyahan|ninja|qarsoon|sir ah
	🥷🏻;ninja: jidh fudud;dagaalyahan|jidh fudud|ninja|ninja: jidh fudud|qarsoon|sir ah
	🥷🏼;ninja: jidh fudud oo dhexe;dagaalyahan|jidh fudud oo dhexe|ninja|ninja: jidh fudud oo dhexe|qarsoon|sir ah
	🥷🏽;ninja: jidh nooc dhexe;dagaalyahan|jidh nooc dhexe|ninja|ninja: jidh nooc dhexe|qarsoon|sir ah
	🥷🏾;ninja: jidh nooc madaw oo dhexe;dagaalyahan|jidh nooc madaw oo dhexe|ninja|ninja: jidh nooc madaw oo dhexe|qarsoon|sir ah
	🥷🏿;ninja: jidh madaw;dagaalyahan|jidh madaw|ninja|ninja: jidh madaw|qarsoon|sir ah
👷;shaqaale dhismo;dhismo|koofiyad|shaqaale
	👷🏻;shaqaale dhismo: jidh fudud;dhismo|jidh fudud|koofiyad|shaqaale|shaqaale dhismo: jidh fudud
	👷🏼;shaqaale dhismo: jidh fudud oo dhexe;dhismo|jidh fudud oo dhexe|koofiyad|shaqaale|shaqaale dhismo: jidh fudud oo dhexe
	👷🏽;shaqaale dhismo: jidh nooc dhexe;dhismo|jidh nooc dhexe|koofiyad|shaqaale|shaqaale dhismo: jidh nooc dhexe
	👷🏾;shaqaale dhismo: jidh nooc madaw oo dhexe;dhismo|jidh nooc madaw oo dhexe|koofiyad|shaqaale|shaqaale dhismo: jidh nooc madaw oo dhexe
	👷🏿;shaqaale dhismo: jidh madaw;dhismo|jidh madaw|koofiyad|shaqaale|shaqaale dhismo: jidh madaw
👷‍♂️;nin shaqaale dhismo ah;dhismo|nin|nin shaqaale dhismo ah|shaqaale
	👷🏻‍♂️;nin shaqaale dhismo ah: jidh fudud;dhismo|jidh fudud|nin|nin shaqaale dhismo ah|nin shaqaale dhismo ah: jidh fudud|shaqaale
	👷🏼‍♂️;nin shaqaale dhismo ah: jidh fudud oo dhexe;dhismo|jidh fudud oo dhexe|nin|nin shaqaale dhismo ah|nin shaqaale dhismo ah: jidh fudud oo dhexe|shaqaale
	👷🏽‍♂️;nin shaqaale dhismo ah: jidh nooc dhexe;dhismo|jidh nooc dhexe|nin|nin shaqaale dhismo ah|nin shaqaale dhismo ah: jidh nooc dhexe|shaqaale
	👷🏾‍♂️;nin shaqaale dhismo ah: jidh nooc madaw oo dhexe;dhismo|jidh nooc madaw oo dhexe|nin|nin shaqaale dhismo ah|nin shaqaale dhismo ah: jidh nooc madaw oo dhexe|shaqaale
	👷🏿‍♂️;nin shaqaale dhismo ah: jidh madaw;dhismo|jidh madaw|nin|nin shaqaale dhismo ah|nin shaqaale dhismo ah: jidh madaw|shaqaale
👷‍♀️;naag shaqaale dhismo ah;dhismo|naag|naag shaqaale dhismo ah|shaqaale
	👷🏻‍♀️;naag shaqaale dhismo ah: jidh fudud;dhismo|jidh fudud|naag|naag shaqaale dhismo ah|naag shaqaale dhismo ah: jidh fudud|shaqaale
	👷🏼‍♀️;naag shaqaale dhismo ah: jidh fudud oo dhexe;dhismo|jidh fudud oo dhexe|naag|naag shaqaale dhismo ah|naag shaqaale dhismo ah: jidh fudud oo dhexe|shaqaale
	👷🏽‍♀️;naag shaqaale dhismo ah: jidh nooc dhexe;dhismo|jidh nooc dhexe|naag|naag shaqaale dhismo ah|naag shaqaale dhismo ah: jidh nooc dhexe|shaqaale
	👷🏾‍♀️;naag shaqaale dhismo ah: jidh nooc madaw oo dhexe;dhismo|jidh nooc madaw oo dhexe|naag|naag shaqaale dhismo ah|naag shaqaale dhismo ah: jidh nooc madaw oo dhexe|shaqaale
	👷🏿‍♀️;naag shaqaale dhismo ah: jidh madaw;dhismo|jidh madaw|naag|naag shaqaale dhismo ah|naag shaqaale dhismo ah: jidh madaw|shaqaale
🫅;qof leh taaj;boqortooyada|gob|qof leh taaj|xukun
	🫅🏻;qof leh taaj: jidh fudud;boqortooyada|gob|jidh fudud|qof leh taaj|qof leh taaj: jidh fudud|xukun
	🫅🏼;qof leh taaj: jidh fudud oo dhexe;boqortooyada|gob|jidh fudud oo dhexe|qof leh taaj|qof leh taaj: jidh fudud oo dhexe|xukun
	🫅🏽;qof leh taaj: jidh nooc dhexe;boqortooyada|gob|jidh nooc dhexe|qof leh taaj|qof leh taaj: jidh nooc dhexe|xukun
	🫅🏾;qof leh taaj: jidh nooc madaw oo dhexe;boqortooyada|gob|jidh nooc madaw oo dhexe|qof leh taaj|qof leh taaj: jidh nooc madaw oo dhexe|xukun
	🫅🏿;qof leh taaj: jidh madaw;boqortooyada|gob|jidh madaw|qof leh taaj|qof leh taaj: jidh madaw|xukun
🤴;boqor;boqor
	🤴🏻;boqor: jidh fudud;boqor|boqor: jidh fudud|jidh fudud
	🤴🏼;boqor: jidh fudud oo dhexe;boqor|boqor: jidh fudud oo dhexe|jidh fudud oo dhexe
	🤴🏽;boqor: jidh nooc dhexe;boqor|boqor: jidh nooc dhexe|jidh nooc dhexe
	🤴🏾;boqor: jidh nooc madaw oo dhexe;boqor|boqor: jidh nooc madaw oo dhexe|jidh nooc madaw oo dhexe
	🤴🏿;boqor: jidh madaw;boqor|boqor: jidh madaw|jidh madaw
👸;boqorad;boqorad|khiyaali|sheeko cirfiid
	👸🏻;boqorad: jidh fudud;boqorad|boqorad: jidh fudud|jidh fudud|khiyaali|sheeko cirfiid
	👸🏼;boqorad: jidh fudud oo dhexe;boqorad|boqorad: jidh fudud oo dhexe|jidh fudud oo dhexe|khiyaali|sheeko cirfiid
	👸🏽;boqorad: jidh nooc dhexe;boqorad|boqorad: jidh nooc dhexe|jidh nooc dhexe|khiyaali|sheeko cirfiid
	👸🏾;boqorad: jidh nooc madaw oo dhexe;boqorad|boqorad: jidh nooc madaw oo dhexe|jidh nooc madaw oo dhexe|khiyaali|sheeko cirfiid
	👸🏿;boqorad: jidh madaw;boqorad|boqorad: jidh madaw|jidh madaw|khiyaali|sheeko cirfiid
👳;qof cammaamad xiran;cammaamad|qof cammaamad xiran|qof xiran cammaamad
	👳🏻;qof cammaamad xiran: jidh fudud;cammaamad|jidh fudud|qof cammaamad xiran|qof cammaamad xiran: jidh fudud|qof xiran cammaamad
	👳🏼;qof cammaamad xiran: jidh fudud oo dhexe;cammaamad|jidh fudud oo dhexe|qof cammaamad xiran|qof cammaamad xiran: jidh fudud oo dhexe|qof xiran cammaamad
	👳🏽;qof cammaamad xiran: jidh nooc dhexe;cammaamad|jidh nooc dhexe|qof cammaamad xiran|qof cammaamad xiran: jidh nooc dhexe|qof xiran cammaamad
	👳🏾;qof cammaamad xiran: jidh nooc madaw oo dhexe;cammaamad|jidh nooc madaw oo dhexe|qof cammaamad xiran|qof cammaamad xiran: jidh nooc madaw oo dhexe|qof xiran cammaamad
	👳🏿;qof cammaamad xiran: jidh madaw;cammaamad|jidh madaw|qof cammaamad xiran|qof cammaamad xiran: jidh madaw|qof xiran cammaamad
👳‍♂️;nin cammaamad xiran;cammaamad|nin|nin cammaamad xiran
	👳🏻‍♂️;nin cammaamad xiran: jidh fudud;cammaamad|jidh fudud|nin|nin cammaamad xiran|nin cammaamad xiran: jidh fudud
