[smileys_emotion]
😀;ծիծաղող դեմք;դեմք|ծիծաղող դեմք|քմծիծաղել
	🫷🏼;դեպի ձախ հրող ձեռք․ միջին բաց գույնի մաշկ;գնա|դեպի ձախ|դեպի ձախ հրող ձեռք|դեպի ձախ հրող ձեռք․ միջին բաց գույնի մաշկ|կանգնիր|հրաժարվել|հրել|միջին բաց գույնի մաշկ|ոչ|սպասիր
	🫷🏽;դեպի ձախ հրող ձեռք․ միջին գույնի մաշկ;գնա|դեպի ձախ|դեպի ձախ հրող ձեռք|դեպի ձախ հրող ձեռք․ միջին գույնի մաշկ|կանգնիր|հրաժարվել|հրել|միջին գույնի մաշկ|ոչ|սպասիր
	🫷🏾;դեպի ձախ հրող ձեռք․ միջին մուգ գույնի մաշկ;գնա|դեպի ձախ|դեպի ձախ հրող ձեռք|դեպի ձախ հրող ձեռք․ միջին մուգ գույնի մաշկ|կանգնիր|հրաժարվել|հրել|միջին մուգ գույնի մաշկ|ոչ|սպասիր
	🫷🏿;դեպի ձախ հրող ձեռք․ մուգ գույնի մաշկ;գնա|դեպի ձախ|դեպի ձախ հրող ձեռք|դեպի ձախ հրող ձեռք․ մուգ գույնի մաշկ|կանգնիր|հրաժարվել|հրել|մուգ գույնի մաշկ|ոչ|սպասիր
🫸;դեպի աջ հրող ձեռք;գնա|դեպի աջ|դեպի աջ հրող ձեռք|կանգնիր|հրաժարվել|հրել|ոչ|սպասիր
	🫸🏻;դեպի աջ հրող ձեռք․ բաց գույնի մաշկ;բաց գույնի մաշկ|գնա|դեպի աջ|դեպի աջ հրող ձեռք|դեպի աջ հրող ձեռք․ բաց գույնի մաշկ|կանգնիր|հրաժարվել|հրել|ոչ|սպասիր
	🫸🏼;դեպի աջ հրող ձեռք․ միջին բաց գույնի մաշկ;գնա|դեպի աջ|դեպի աջ հրող ձեռք|դեպի աջ հրող ձեռք․ միջին բաց գույնի մաշկ|կանգնիր|հրաժարվել|հրել|միջին բաց գույնի մաշկ|ոչ|սպասիր
	🫸🏽;դեպի աջ հրող ձեռք․ միջին գույնի մաշկ;գնա|դեպի աջ|դեպի աջ հրող ձեռք|դեպի աջ հրող ձեռք․ միջին գույնի մաշկ|կանգնիր|հրաժարվել|հրել|միջին գույնի մաշկ|ոչ|սպասիր
	🫸🏾;դեպի աջ հրող ձեռք․ միջին մուգ գույնի մաշկ;գնա|դեպի աջ|դեպի աջ հրող ձեռք|դեպի աջ հրող ձեռք․ միջին մուգ գույնի մաշկ|կանգնիր|հրաժարվել|հրել|միջին մուգ գույնի մաշկ|ոչ|սպասիր
	🫸🏿;դեպի աջ հրող ձեռք․ մուգ գույնի մաշկ;գնա|դեպի աջ|դեպի աջ հրող ձեռք|դեպի աջ հրող ձեռք․ մուգ գույնի մաշկ|կանգնիր|հրաժարվել|հրել|մուգ գույնի մաշկ|ոչ|սպասիր
👌;ok ցույց տվող ձեռք;ok|ok ցույց տվող ձեռք|ձեռք|մարմին
	👌🏻;ok ցույց տվող ձեռք․ բաց գույնի մաշկ;ok|ok ցույց տվող ձեռք|ok ցույց տվող ձեռք․ բաց գույնի մաշկ|բաց գույնի մաշկ|ձեռք|մարմին
	👌🏼;ok ցույց տվող ձեռք․ միջին բաց գույնի մաշկ;ok|ok ցույց տվող ձեռք|ok ցույց տվող ձեռք․ միջին բաց գույնի մաշկ|ձեռք|մարմին|միջին բաց գույնի մաշկ
	👌🏽;ok ցույց տվող ձեռք․ միջին գույնի մաշկ;ok|ok ցույց տվող ձեռք|ok ցույց տվող ձեռք․ միջին գույնի մաշկ|ձեռք|մարմին|միջին գույնի մաշկ
	👌🏾;ok ցույց տվող ձեռք․ միջին մուգ գույնի մաշկ;ok|ok ցույց տվող ձեռք|ok ցույց տվող ձեռք․ միջին մուգ գույնի մաշկ|ձեռք|մարմին|միջին մուգ գույնի մաշկ
	👌🏿;ok ցույց տվող ձեռք․ մուգ գույնի մաշկ;ok|ok ցույց տվող ձեռք|ok ցույց տվող ձեռք․ մուգ գույնի մաշկ|ձեռք|մարմին|մուգ գույնի մաշկ
🤌;պտղունց;բացատրություն|ժեստ|հեգնանք|մատներ|պտղունց
	🤌🏻;պտղունց․ բաց գույնի մաշկ;բաց գույնի մաշկ|բացատրություն|ժեստ|հեգնանք|մատներ|պտղունց|պտղունց․ բաց գույնի մաշկ
	🤌🏼;պտղունց․ միջին բաց գույնի մաշկ;բացատրություն|ժեստ|հեգնանք|մատներ|միջին բաց գույնի մաշկ|պտղունց|պտղունց․ միջին բաց գույնի մաշկ
	🤌🏽;պտղունց․ միջին գույնի մաշկ;բացատրություն|ժեստ|հեգնանք|մատներ|միջին գույնի մաշկ|պտղունց|պտղունց․ միջին գույնի մաշկ
	🤌🏾;պտղունց․ միջին մուգ գույնի մաշկ;բացատրություն|ժեստ|հեգնանք|մատներ|միջին մուգ գույնի մաշկ|պտղունց|պտղունց․ միջին մուգ գույնի մաշկ
	🤌🏿;պտղունց․ մուգ գույնի մաշկ;բացատրություն|ժեստ|հեգնանք|մատներ|մուգ գույնի մաշկ|պտղունց|պտղունց․ մուգ գույնի մաշկ
🤏;պտղունց ցույց տվող ձեռք;պտղունց ցույց տվող ձեռք|փոքր քանակ|քիչ
	🤏🏻;պտղունց ցույց տվող ձեռք․ բաց գույնի մաշկ;բաց գույնի մաշկ|պտղունց ցույց տվող ձեռք|պտղունց ցույց տվող ձեռք․ բաց գույնի մաշկ|փոքր քանակ|քիչ
	🤏🏼;պտղունց ցույց տվող ձեռք․ միջին բաց գույնի մաշկ;միջին բաց գույնի մաշկ|պտղունց ցույց տվող ձեռք|պտղունց ցույց տվող ձեռք․ միջին բաց գույնի մաշկ|փոքր քանակ|քիչ
	🤏🏽;պտղունց ցույց տվող ձեռք․ միջին գույնի մաշկ;միջին գույնի մաշկ|պտղունց ցույց տվող ձեռք|պտղունց ցույց տվող ձեռք․ միջին գույնի մաշկ|փոքր քանակ|քիչ
	🤏🏾;պտղունց ցույց տվող ձեռք․ միջին մուգ գույնի մաշկ;միջին մուգ գույնի մաշկ|պտղունց ցույց տվող ձեռք|պտղունց ցույց տվող ձեռք․ միջին մուգ գույնի մաշկ|փոքր քանակ|քիչ
	🤏🏿;պտղունց ցույց տվող ձեռք․ մուգ գույնի մաշկ;մուգ գույնի մաշկ|պտղունց ցույց տվող ձեռք|պտղունց ցույց տվող ձեռք․ մուգ գույնի մաշկ|փոքր քանակ|քիչ
✌️;հաղթական ձեռք;v|հաղթական ձեռք|հաղթանակ|ձեռք|մարմին
	✌🏻;հաղթական ձեռք․ բաց գույնի մաշկ;v|բաց գույնի մաշկ|հաղթական ձեռք|հաղթական ձեռք․ բաց գույնի մաշկ|հաղթանակ|ձեռք|մարմին
	✌🏼;հաղթական ձեռք․ միջին բաց գույնի մաշկ;v|հաղթական ձեռք|հաղթական ձեռք․ միջին բաց գույնի մաշկ|հաղթանակ|ձեռք|մարմին|միջին բաց գույնի մաշկ
	✌🏽;հաղթական ձեռք․ միջին գույնի մաշկ;v|հաղթական ձեռք|հաղթական ձեռք․ միջին գույնի մաշկ|հաղթանակ|ձեռք|մարմին|միջին գույնի մաշկ
	✌🏾;հաղթական ձեռք․ միջին մուգ գույնի մաշկ;v|հաղթական ձեռք|հաղթական ձեռք․ միջին մուգ գույնի մաշկ|հաղթանակ|ձեռք|մարմին|միջին մուգ գույնի մաշկ
	✌🏿;հաղթական ձեռք․ մուգ գույնի մաշկ;v|հաղթական ձեռք|հաղթական ձեռք․ մուգ գույնի մաշկ|հաղթանակ|ձեռք|մարմին|մուգ գույնի մաշկ
🤞;խաչած մատներ;խաչած մատներ|խաչել|հաջողություն|ձեռք|մատ
	🤞🏻;խաչած մատներ․ բաց գույնի մաշկ;բաց գույնի մաշկ|խաչած մատներ|խաչած մատներ․ բաց գույնի մաշկ|խաչել|հաջողություն|ձեռք|մատ
	🤞🏼;խաչած մատներ․ միջին բաց գույնի մաշկ;խաչած մատներ|խաչած մատներ․ միջին բաց գույնի մաշկ|խաչել|հաջողություն|ձեռք|մատ|միջին բաց գույնի մաշկ
	🤞🏽;խաչած մատներ․ միջին գույնի մաշկ;խաչած մատներ|խաչած մատներ․ միջին գույնի մաշկ|խաչել|հաջողություն|ձեռք|մատ|միջին գույնի մաշկ
	🤞🏾;խաչած մատներ․ միջին մուգ գույնի մաշկ;խաչած մատներ|խաչած մատներ․ միջին մուգ գույնի մաշկ|խաչել|հաջողություն|ձեռք|մատ|միջին մուգ գույնի մաշկ
	🤞🏿;խաչած մատներ․ մուգ գույնի մաշկ;խաչած մատներ|խաչած մատներ․ մուգ գույնի մաշկ|խաչել|հաջողություն|ձեռք|մատ|մուգ գույնի մաշկ
🫰;ցուցամատը եւ բութը խաչած ձեռք;դրամ|թանկ|ճտտացնել|սեր|սիրտ|ցուցամատը եւ բութը խաչած ձեռք
	🫰🏻;ցուցամատը եւ բութը խաչած ձեռք․ բաց գույնի մաշկ;բաց գույնի մաշկ|դրամ|թանկ|ճտտացնել|սեր|սիրտ|ցուցամատը եւ բութը խաչած ձեռք|ցուցամատը եւ բութը խաչած ձեռք․ բաց գույնի մաշկ
	🫰🏼;ցուցամատը եւ բութը խաչած ձեռք․ միջին բաց գույնի մաշկ;դրամ|թանկ|ճտտացնել|միջին բաց գույնի մաշկ|սեր|սիրտ|ցուցամատը եւ բութը խաչած ձեռք|ցուցամատը եւ բութը խաչած ձեռք․ միջին բաց գույնի մաշկ
	🫰🏽;ցուցամատը եւ բութը խաչած ձեռք․ միջին գույնի մաշկ;դրամ|թանկ|ճտտացնել|միջին գույնի մաշկ|սեր|սիրտ|ցուցամատը եւ բութը խաչած ձեռք|ցուցամատը եւ բութը խաչած ձեռք․ միջին գույնի մաշկ
	🫰🏾;ցուցամատը եւ բութը խաչած ձեռք․ միջին մուգ գույնի մաշկ;դրամ|թանկ|ճտտացնել|միջին մուգ գույնի մաշկ|սեր|սիրտ|ցուցամատը եւ բութը խաչած ձեռք|ցուցամատը եւ բութը խաչած ձեռք․ միջին մուգ գույնի մաշկ
	🫰🏿;ցուցամատը եւ բութը խաչած ձեռք․ մուգ գույնի մաշկ;դրամ|թանկ|ճտտացնել|մուգ գույնի մաշկ|սեր|սիրտ|ցուցամատը եւ բութը խաչած ձեռք|ցուցամատը եւ բութը խաչած ձեռք․ մուգ գույնի մաշկ
🤟;«սիրում եմ քեզ» նշան;«սիրում եմ քեզ» նշան|ձեռք|սեռ
	🤟🏻;«սիրում եմ քեզ» նշան․ բաց գույնի մաշկ;«սիրում եմ քեզ» նշան|«սիրում եմ քեզ» նշան․ բաց գույնի մաշկ|բաց գույնի մաշկ|ձեռք|սեռ
	🤟🏼;«սիրում եմ քեզ» նշան․ միջին բաց գույնի մաշկ;«սիրում եմ քեզ» նշան|«սիրում եմ քեզ» նշան․ միջին բաց գույնի մաշկ|ձեռք|միջին բաց գույնի մաշկ|սեռ
	🤟🏽;«սիրում եմ քեզ» նշան․ միջին գույնի մաշկ;«սիրում եմ քեզ» նշան|«սիրում եմ քեզ» նշան․ միջին գույնի մաշկ|ձեռք|միջին գույնի մաշկ|սեռ
	🤟🏾;«սիրում եմ քեզ» նշան․ միջին մուգ գույնի մաշկ;«սիրում եմ քեզ» նշան|«սիրում եմ քեզ» նշան․ միջին մուգ գույնի մաշկ|ձեռք|միջին մուգ գույնի մաշկ|սեռ
	🤟🏿;«սիրում եմ քեզ» նշան․ մուգ գույնի մաշկ;«սիրում եմ քեզ» նշան|«սիրում եմ քեզ» նշան․ մուգ գույնի մաշկ|ձեռք|մուգ գույնի մաշկ|սեռ
🤘;եղջյուրների նշան;եղջյուրներ|եղջյուրների նշան|ձեռք|մատ|մարմին
	🤘🏻;եղջյուրների նշան․ բաց գույնի մաշկ;բաց գույնի մաշկ|եղջյուրներ|եղջյուրների նշան|եղջյուրների նշան․ բաց գույնի մաշկ|ձեռք|մատ|մարմին
	🤘🏼;եղջյուրների նշան․ միջին բաց գույնի մաշկ;եղջյուրներ|եղջյուրների նշան|եղջյուրների նշան․ միջին բաց գույնի մաշկ|ձեռք|մատ|մարմին|միջին բաց գույնի մաշկ
	🤘🏽;եղջյուրների նշան․ միջին գույնի մաշկ;եղջյուրներ|եղջյուրների նշան|եղջյուրների նշան․ միջին գույնի մաշկ|ձեռք|մատ|մարմին|միջին գույնի մաշկ
	🤘🏾;եղջյուրների նշան․ միջին մուգ գույնի մաշկ;եղջյուրներ|եղջյուրների նշան|եղջյուրների նշան․ միջին մուգ գույնի մաշկ|ձեռք|մատ|մարմին|միջին մուգ գույնի մաշկ
