[smileys_emotion]
😀;ubuso obusinekile;osinekile|ubuso obusinekile
	🤏🏻;isandla esincinzayo: uhlobo-1-2;inani elincane|isandla esincinzayo|isandla esincinzayo: uhlobo-1-2|uhlobo-1-2
	🤏🏼;isandla esincinzayo: uhlobo-3;inani elincane|isandla esincinzayo|isandla esincinzayo: uhlobo-3|uhlobo-3
	🤏🏽;isandla esincinzayo: uhlobo-4;inani elincane|isandla esincinzayo|isandla esincinzayo: uhlobo-4|uhlobo-4
	🤏🏾;isandla esincinzayo: uhlobo-5;inani elincane|isandla esincinzayo|isandla esincinzayo: uhlobo-5|uhlobo-5
	🤏🏿;isandla esincinzayo: uhlobo-6;inani elincane|isandla esincinzayo|isandla esincinzayo: uhlobo-6|uhlobo-6
✌️;isandla sokunqoba;isandla|isandla sokunqoba|ukunqoba|umzimba
	✌🏻;isandla sokunqoba: uhlobo-1-2;isandla|isandla sokunqoba|isandla sokunqoba: uhlobo-1-2|uhlobo-1-2|ukunqoba|umzimba
	✌🏼;isandla sokunqoba: uhlobo-3;isandla|isandla sokunqoba|isandla sokunqoba: uhlobo-3|uhlobo-3|ukunqoba|umzimba
	✌🏽;isandla sokunqoba: uhlobo-4;isandla|isandla sokunqoba|isandla sokunqoba: uhlobo-4|uhlobo-4|ukunqoba|umzimba
	✌🏾;isandla sokunqoba: uhlobo-5;isandla|isandla sokunqoba|isandla sokunqoba: uhlobo-5|uhlobo-5|ukunqoba|umzimba
	✌🏿;isandla sokunqoba: uhlobo-6;isandla|isandla sokunqoba|isandla sokunqoba: uhlobo-6|uhlobo-6|ukunqoba|umzimba
🤞;iminwe ebhanqiwe;bhanqa|iminwe ebhanqiwe|inhlanhla|isandla|umunwe
	🤞🏻;iminwe ebhanqiwe: uhlobo-1-2;bhanqa|iminwe ebhanqiwe|iminwe ebhanqiwe: uhlobo-1-2|inhlanhla|isandla|uhlobo-1-2|umunwe
	🤞🏼;iminwe ebhanqiwe: uhlobo-3;bhanqa|iminwe ebhanqiwe|iminwe ebhanqiwe: uhlobo-3|inhlanhla|isandla|uhlobo-3|umunwe
	🤞🏽;iminwe ebhanqiwe: uhlobo-4;bhanqa|iminwe ebhanqiwe|iminwe ebhanqiwe: uhlobo-4|inhlanhla|isandla|uhlobo-4|umunwe
	🤞🏾;iminwe ebhanqiwe: uhlobo-5;bhanqa|iminwe ebhanqiwe|iminwe ebhanqiwe: uhlobo-5|inhlanhla|isandla|uhlobo-5|umunwe
	🤞🏿;iminwe ebhanqiwe: uhlobo-6;bhanqa|iminwe ebhanqiwe|iminwe ebhanqiwe: uhlobo-6|inhlanhla|isandla|uhlobo-6|umunwe
🫰;hand with index finger and thumb crossed;expensive|hand with index finger and thumb crossed|heart|love|money|snap
	🫰🏻;hand with index finger and thumb crossed: uhlobo-1-2;expensive|hand with index finger and thumb crossed|hand with index finger and thumb crossed: uhlobo-1-2|heart|love|money|snap|uhlobo-1-2
	🫰🏼;hand with index finger and thumb crossed: uhlobo-3;expensive|hand with index finger and thumb crossed|hand with index finger and thumb crossed: uhlobo-3|heart|love|money|snap|uhlobo-3
	🫰🏽;hand with index finger and thumb crossed: uhlobo-4;expensive|hand with index finger and thumb crossed|hand with index finger and thumb crossed: uhlobo-4|heart|love|money|snap|uhlobo-4
	🫰🏾;hand with index finger and thumb crossed: uhlobo-5;expensive|hand with index finger and thumb crossed|hand with index finger and thumb crossed: uhlobo-5|heart|love|money|snap|uhlobo-5
	🫰🏿;hand with index finger and thumb crossed: uhlobo-6;expensive|hand with index finger and thumb crossed|hand with index finger and thumb crossed: uhlobo-6|heart|love|money|snap|uhlobo-6
🤟;ukukhombisa uthando;ILY|isandla|ukukhombisa uthando
	🤟🏻;ukukhombisa uthando: uhlobo-1-2;ILY|isandla|uhlobo-1-2|ukukhombisa uthando|ukukhombisa uthando: uhlobo-1-2
	🤟🏼;ukukhombisa uthando: uhlobo-3;ILY|isandla|uhlobo-3|ukukhombisa uthando|ukukhombisa uthando: uhlobo-3
	🤟🏽;ukukhombisa uthando: uhlobo-4;ILY|isandla|uhlobo-4|ukukhombisa uthando|ukukhombisa uthando: uhlobo-4
	🤟🏾;ukukhombisa uthando: uhlobo-5;ILY|isandla|uhlobo-5|ukukhombisa uthando|ukukhombisa uthando: uhlobo-5
	🤟🏿;ukukhombisa uthando: uhlobo-6;ILY|isandla|uhlobo-6|ukukhombisa uthando|ukukhombisa uthando: uhlobo-6
🤘;uphawu lwezimpondo;isandla|izimpondo|umunwe|umzimba|uphawu lwezimpondo
	🤘🏻;uphawu lwezimpondo: uhlobo-1-2;isandla|izimpondo|uhlobo-1-2|umunwe|umzimba|uphawu lwezimpondo|uphawu lwezimpondo: uhlobo-1-2
	🤘🏼;uphawu lwezimpondo: uhlobo-3;isandla|izimpondo|uhlobo-3|umunwe|umzimba|uphawu lwezimpondo|uphawu lwezimpondo: uhlobo-3
	🤘🏽;uphawu lwezimpondo: uhlobo-4;isandla|izimpondo|uhlobo-4|umunwe|umzimba|uphawu lwezimpondo|uphawu lwezimpondo: uhlobo-4
	🤘🏾;uphawu lwezimpondo: uhlobo-5;isandla|izimpondo|uhlobo-5|umunwe|umzimba|uphawu lwezimpondo|uphawu lwezimpondo: uhlobo-5
	🤘🏿;uphawu lwezimpondo: uhlobo-6;isandla|izimpondo|uhlobo-6|umunwe|umzimba|uphawu lwezimpondo|uphawu lwezimpondo: uhlobo-6
🤙;ngifonele;fona|isandla|ngifonele
	🤙🏻;ngifonele: uhlobo-1-2;fona|isandla|ngifonele|ngifonele: uhlobo-1-2|uhlobo-1-2
	🤙🏼;ngifonele: uhlobo-3;fona|isandla|ngifonele|ngifonele: uhlobo-3|uhlobo-3
	🤙🏽;ngifonele: uhlobo-4;fona|isandla|ngifonele|ngifonele: uhlobo-4|uhlobo-4
	🤙🏾;ngifonele: uhlobo-5;fona|isandla|ngifonele|ngifonele: uhlobo-5|uhlobo-5
	🤙🏿;ngifonele: uhlobo-6;fona|isandla|ngifonele|ngifonele: uhlobo-6|uhlobo-6
👈;ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba;isandla|ukukhomba|ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba|umunwe|umunwe wokukhomba|umzimba
	👈🏻;ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba: uhlobo-1-2;isandla|uhlobo-1-2|ukukhomba|ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba|ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba: uhlobo-1-2|umunwe|umunwe wokukhomba|umzimba
	👈🏼;ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba: uhlobo-3;isandla|uhlobo-3|ukukhomba|ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba|ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba: uhlobo-3|umunwe|umunwe wokukhomba|umzimba
	👈🏽;ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba: uhlobo-4;isandla|uhlobo-4|ukukhomba|ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba|ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba: uhlobo-4|umunwe|umunwe wokukhomba|umzimba
	👈🏾;ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba: uhlobo-5;isandla|uhlobo-5|ukukhomba|ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba|ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba: uhlobo-5|umunwe|umunwe wokukhomba|umzimba
	👈🏿;ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba: uhlobo-6;isandla|uhlobo-6|ukukhomba|ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba|ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba: uhlobo-6|umunwe|umunwe wokukhomba|umzimba
👉;ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba;isandla|ukukhomba|ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba|umunwe|umunwe wokukhomba|umzimba
	👉🏻;ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba: uhlobo-1-2;isandla|uhlobo-1-2|ukukhomba|ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba|ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba: uhlobo-1-2|umunwe|umunwe wokukhomba|umzimba
	👉🏼;ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba: uhlobo-3;isandla|uhlobo-3|ukukhomba|ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba|ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba: uhlobo-3|umunwe|umunwe wokukhomba|umzimba
	👉🏽;ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba: uhlobo-4;isandla|uhlobo-4|ukukhomba|ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba|ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba: uhlobo-4|umunwe|umunwe wokukhomba|umzimba
	👉🏾;ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba: uhlobo-5;isandla|uhlobo-5|ukukhomba|ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba|ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba: uhlobo-5|umunwe|umunwe wokukhomba|umzimba
	👉🏿;ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba: uhlobo-6;isandla|uhlobo-6|ukukhomba|ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba|ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba: uhlobo-6|umunwe|umunwe wokukhomba|umzimba
👆;ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba;isandla|phezulu|ukukhomba|ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba|umunwe|umunwe wokukhomba|umzimba
	👆🏻;ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba: uhlobo-1-2;isandla|phezulu|uhlobo-1-2|ukukhomba|ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba|ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba: uhlobo-1-2|umunwe|umunwe wokukhomba|umzimba
	👆🏼;ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba: uhlobo-3;isandla|phezulu|uhlobo-3|ukukhomba|ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba|ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba: uhlobo-3|umunwe|umunwe wokukhomba|umzimba
	👆🏽;ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba: uhlobo-4;isandla|phezulu|uhlobo-4|ukukhomba|ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba|ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba: uhlobo-4|umunwe|umunwe wokukhomba|umzimba
	👆🏾;ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba: uhlobo-5;isandla|phezulu|uhlobo-5|ukukhomba|ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba|ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba: uhlobo-5|umunwe|umunwe wokukhomba|umzimba
	👆🏿;ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba: uhlobo-6;isandla|phezulu|uhlobo-6|ukukhomba|ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba|ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba: uhlobo-6|umunwe|umunwe wokukhomba|umzimba
🖕;umunwe omaphakathi;isandla|umunwe|umunwe omaphakathi|umzimba
	🖕🏻;umunwe omaphakathi: uhlobo-1-2;isandla|uhlobo-1-2|umunwe|umunwe omaphakathi|umunwe omaphakathi: uhlobo-1-2|umzimba
	🖕🏼;umunwe omaphakathi: uhlobo-3;isandla|uhlobo-3|umunwe|umunwe omaphakathi|umunwe omaphakathi: uhlobo-3|umzimba
	🖕🏽;umunwe omaphakathi: uhlobo-4;isandla|uhlobo-4|umunwe|umunwe omaphakathi|umunwe omaphakathi: uhlobo-4|umzimba
	🖕🏾;umunwe omaphakathi: uhlobo-5;isandla|uhlobo-5|umunwe|umunwe omaphakathi|umunwe omaphakathi: uhlobo-5|umzimba
	🖕🏿;umunwe omaphakathi: uhlobo-6;isandla|uhlobo-6|umunwe|umunwe omaphakathi|umunwe omaphakathi: uhlobo-6|umzimba
👇;ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba;isandla|phansi|ukukhomba|ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba|umunwe|umunwe wokukhomba|umzimba
	👇🏻;ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba: uhlobo-1-2;isandla|phansi|uhlobo-1-2|ukukhomba|ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba|ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba: uhlobo-1-2|umunwe|umunwe wokukhomba|umzimba
	👇🏼;ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba: uhlobo-3;isandla|phansi|uhlobo-3|ukukhomba|ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba|ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba: uhlobo-3|umunwe|umunwe wokukhomba|umzimba
	👇🏽;ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba: uhlobo-4;isandla|phansi|uhlobo-4|ukukhomba|ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba|ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba: uhlobo-4|umunwe|umunwe wokukhomba|umzimba
	👇🏾;ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba: uhlobo-5;isandla|phansi|uhlobo-5|ukukhomba|ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba|ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba: uhlobo-5|umunwe|umunwe wokukhomba|umzimba
	👇🏿;ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba: uhlobo-6;isandla|phansi|uhlobo-6|ukukhomba|ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba|ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba: uhlobo-6|umunwe|umunwe wokukhomba|umzimba
☝️;umunwe wokukhomba okhombe phezulu;isandla|ukukhomba|umunwe|umunwe wokukhomba|umunwe wokukhomba okhombe phezulu|umzimba
	☝🏻;umunwe wokukhomba okhombe phezulu: uhlobo-1-2;isandla|uhlobo-1-2|ukukhomba|umunwe|umunwe wokukhomba|umunwe wokukhomba okhombe phezulu|umunwe wokukhomba okhombe phezulu: uhlobo-1-2|umzimba
	☝🏼;umunwe wokukhomba okhombe phezulu: uhlobo-3;isandla|uhlobo-3|ukukhomba|umunwe|umunwe wokukhomba|umunwe wokukhomba okhombe phezulu|umunwe wokukhomba okhombe phezulu: uhlobo-3|umzimba
	☝🏽;umunwe wokukhomba okhombe phezulu: uhlobo-4;isandla|uhlobo-4|ukukhomba|umunwe|umunwe wokukhomba|umunwe wokukhomba okhombe phezulu|umunwe wokukhomba okhombe phezulu: uhlobo-4|umzimba
	☝🏾;umunwe wokukhomba okhombe phezulu: uhlobo-5;isandla|uhlobo-5|ukukhomba|umunwe|umunwe wokukhomba|umunwe wokukhomba okhombe phezulu|umunwe wokukhomba okhombe phezulu: uhlobo-5|umzimba
	☝🏿;umunwe wokukhomba okhombe phezulu: uhlobo-6;isandla|uhlobo-6|ukukhomba|umunwe|umunwe wokukhomba|umunwe wokukhomba okhombe phezulu|umunwe wokukhomba okhombe phezulu: uhlobo-6|umzimba
🫵;umunwe ukhomba umbukeli;iphoyinti|umunwe ukhomba umbukeli|wena
	🫵🏻;umunwe ukhomba umbukeli: uhlobo-1-2;iphoyinti|uhlobo-1-2|umunwe ukhomba umbukeli|umunwe ukhomba umbukeli: uhlobo-1-2|wena
	🫵🏼;umunwe ukhomba umbukeli: uhlobo-3;iphoyinti|uhlobo-3|umunwe ukhomba umbukeli|umunwe ukhomba umbukeli: uhlobo-3|wena
	🫵🏽;umunwe ukhomba umbukeli: uhlobo-4;iphoyinti|uhlobo-4|umunwe ukhomba umbukeli|umunwe ukhomba umbukeli: uhlobo-4|wena
	🫵🏾;umunwe ukhomba umbukeli: uhlobo-5;iphoyinti|uhlobo-5|umunwe ukhomba umbukeli|umunwe ukhomba umbukeli: uhlobo-5|wena
	🫵🏿;umunwe ukhomba umbukeli: uhlobo-6;iphoyinti|uhlobo-6|umunwe ukhomba umbukeli|umunwe ukhomba umbukeli: uhlobo-6|wena
👍;ukumisa isithupha;+1|isandla|isithupha|phezulu|ukumisa isithupha
	👍🏻;ukumisa isithupha: uhlobo-1-2;+1|isandla|isithupha|phezulu|uhlobo-1-2|ukumisa isithupha|ukumisa isithupha: uhlobo-1-2
	👍🏼;ukumisa isithupha: uhlobo-3;+1|isandla|isithupha|phezulu|uhlobo-3|ukumisa isithupha|ukumisa isithupha: uhlobo-3
	👍🏽;ukumisa isithupha: uhlobo-4;+1|isandla|isithupha|phezulu|uhlobo-4|ukumisa isithupha|ukumisa isithupha: uhlobo-4
	👍🏾;ukumisa isithupha: uhlobo-5;+1|isandla|isithupha|phezulu|uhlobo-5|ukumisa isithupha|ukumisa isithupha: uhlobo-5
	👍🏿;ukumisa isithupha: uhlobo-6;+1|isandla|isithupha|phezulu|uhlobo-6|ukumisa isithupha|ukumisa isithupha: uhlobo-6
👎;ukubhekisa phansi isithupha;-1|isandla|isithupha|phansi|ukubhekisa phansi isithupha|umzimba
	👎🏻;ukubhekisa phansi isithupha: uhlobo-1-2;-1|isandla|isithupha|phansi|uhlobo-1-2|ukubhekisa phansi isithupha|ukubhekisa phansi isithupha: uhlobo-1-2|umzimba
	👎🏼;ukubhekisa phansi isithupha: uhlobo-3;-1|isandla|isithupha|phansi|uhlobo-3|ukubhekisa phansi isithupha|ukubhekisa phansi isithupha: uhlobo-3|umzimba
	👎🏽;ukubhekisa phansi isithupha: uhlobo-4;-1|isandla|isithupha|phansi|uhlobo-4|ukubhekisa phansi isithupha|ukubhekisa phansi isithupha: uhlobo-4|umzimba
	👎🏾;ukubhekisa phansi isithupha: uhlobo-5;-1|isandla|isithupha|phansi|uhlobo-5|ukubhekisa phansi isithupha|ukubhekisa phansi isithupha: uhlobo-5|umzimba
	👎🏿;ukubhekisa phansi isithupha: uhlobo-6;-1|isandla|isithupha|phansi|uhlobo-6|ukubhekisa phansi isithupha|ukubhekisa phansi isithupha: uhlobo-6|umzimba
✊;iqupha elimisiwe;iqupha|iqupha elimisiwe|isandla|ukufumbatha isibhakela|umzimba
	✊🏻;iqupha elimisiwe: uhlobo-1-2;iqupha|iqupha elimisiwe|iqupha elimisiwe: uhlobo-1-2|isandla|uhlobo-1-2|ukufumbatha isibhakela|umzimba
	✊🏼;iqupha elimisiwe: uhlobo-3;iqupha|iqupha elimisiwe|iqupha elimisiwe: uhlobo-3|isandla|uhlobo-3|ukufumbatha isibhakela|umzimba
	✊🏽;iqupha elimisiwe: uhlobo-4;iqupha|iqupha elimisiwe|iqupha elimisiwe: uhlobo-4|isandla|uhlobo-4|ukufumbatha isibhakela|umzimba
	✊🏾;iqupha elimisiwe: uhlobo-5;iqupha|iqupha elimisiwe|iqupha elimisiwe: uhlobo-5|isandla|uhlobo-5|ukufumbatha isibhakela|umzimba
	✊🏿;iqupha elimisiwe: uhlobo-6;iqupha|iqupha elimisiwe|iqupha elimisiwe: uhlobo-6|isandla|uhlobo-6|ukufumbatha isibhakela|umzimba
👊;iqupha elizayo;iqupha|iqupha elizayo|isandla|ukufumbatha isibhakela|umzimba
	👊🏻;iqupha elizayo: uhlobo-1-2;iqupha|iqupha elizayo|iqupha elizayo: uhlobo-1-2|isandla|uhlobo-1-2|ukufumbatha isibhakela|umzimba
	👊🏼;iqupha elizayo: uhlobo-3;iqupha|iqupha elizayo|iqupha elizayo: uhlobo-3|isandla|uhlobo-3|ukufumbatha isibhakela|umzimba
	👊🏽;iqupha elizayo: uhlobo-4;iqupha|iqupha elizayo|iqupha elizayo: uhlobo-4|isandla|uhlobo-4|ukufumbatha isibhakela|umzimba
	👊🏾;iqupha elizayo: uhlobo-5;iqupha|iqupha elizayo|iqupha elizayo: uhlobo-5|isandla|uhlobo-5|ukufumbatha isibhakela|umzimba
	👊🏿;iqupha elizayo: uhlobo-6;iqupha|iqupha elizayo|iqupha elizayo: uhlobo-6|isandla|uhlobo-6|ukufumbatha isibhakela|umzimba
🤛;inqindi ebheke kwesokunxele;inqindi|inqindi ebheke kwesokunxele|kwesokunxele
	🤛🏻;inqindi ebheke kwesokunxele: uhlobo-1-2;inqindi|inqindi ebheke kwesokunxele|inqindi ebheke kwesokunxele: uhlobo-1-2|kwesokunxele|uhlobo-1-2
	🤛🏼;inqindi ebheke kwesokunxele: uhlobo-3;inqindi|inqindi ebheke kwesokunxele|inqindi ebheke kwesokunxele: uhlobo-3|kwesokunxele|uhlobo-3
	🤛🏽;inqindi ebheke kwesokunxele: uhlobo-4;inqindi|inqindi ebheke kwesokunxele|inqindi ebheke kwesokunxele: uhlobo-4|kwesokunxele|uhlobo-4
	🤛🏾;inqindi ebheke kwesokunxele: uhlobo-5;inqindi|inqindi ebheke kwesokunxele|inqindi ebheke kwesokunxele: uhlobo-5|kwesokunxele|uhlobo-5
	🤛🏿;inqindi ebheke kwesokunxele: uhlobo-6;inqindi|inqindi ebheke kwesokunxele|inqindi ebheke kwesokunxele: uhlobo-6|kwesokunxele|uhlobo-6
🤜;inqindi ebheke kwesokudla;inqindi|inqindi ebheke kwesokudla|kwesokudla
	🤜🏻;inqindi ebheke kwesokudla: uhlobo-1-2;inqindi|inqindi ebheke kwesokudla|inqindi ebheke kwesokudla: uhlobo-1-2|kwesokudla|uhlobo-1-2
	🤜🏼;inqindi ebheke kwesokudla: uhlobo-3;inqindi|inqindi ebheke kwesokudla|inqindi ebheke kwesokudla: uhlobo-3|kwesokudla|uhlobo-3
	🤜🏽;inqindi ebheke kwesokudla: uhlobo-4;inqindi|inqindi ebheke kwesokudla|inqindi ebheke kwesokudla: uhlobo-4|kwesokudla|uhlobo-4
	🤜🏾;inqindi ebheke kwesokudla: uhlobo-5;inqindi|inqindi ebheke kwesokudla|inqindi ebheke kwesokudla: uhlobo-5|kwesokudla|uhlobo-5
	🤜🏿;inqindi ebheke kwesokudla: uhlobo-6;inqindi|inqindi ebheke kwesokudla|inqindi ebheke kwesokudla: uhlobo-6|kwesokudla|uhlobo-6
👏;ukushaya izandla;izindla|ukushaya izandla|umzimba
	👏🏻;ukushaya izandla: uhlobo-1-2;izindla|uhlobo-1-2|ukushaya izandla|ukushaya izandla: uhlobo-1-2|umzimba
	👏🏼;ukushaya izandla: uhlobo-3;izindla|uhlobo-3|ukushaya izandla|ukushaya izandla: uhlobo-3|umzimba
	👏🏽;ukushaya izandla: uhlobo-4;izindla|uhlobo-4|ukushaya izandla|ukushaya izandla: uhlobo-4|umzimba
	👏🏾;ukushaya izandla: uhlobo-5;izindla|uhlobo-5|ukushaya izandla|ukushaya izandla: uhlobo-5|umzimba
	👏🏿;ukushaya izandla: uhlobo-6;izindla|uhlobo-6|ukushaya izandla|ukushaya izandla: uhlobo-6|umzimba
🙌;umuntu ophakamise izandla;halala|isandla|ukuphakamisa|umbungazo|umuntu ophakamise izandla|umzimba|uphawu
	🙌🏻;umuntu ophakamise izandla: uhlobo-1-2;halala|isandla|uhlobo-1-2|ukuphakamisa|umbungazo|umuntu ophakamise izandla|umuntu ophakamise izandla: uhlobo-1-2|umzimba|uphawu
	🙌🏼;umuntu ophakamise izandla: uhlobo-3;halala|isandla|uhlobo-3|ukuphakamisa|umbungazo|umuntu ophakamise izandla|umuntu ophakamise izandla: uhlobo-3|umzimba|uphawu
	🙌🏽;umuntu ophakamise izandla: uhlobo-4;halala|isandla|uhlobo-4|ukuphakamisa|umbungazo|umuntu ophakamise izandla|umuntu ophakamise izandla: uhlobo-4|umzimba|uphawu
	🙌🏾;umuntu ophakamise izandla: uhlobo-5;halala|isandla|uhlobo-5|ukuphakamisa|umbungazo|umuntu ophakamise izandla|umuntu ophakamise izandla: uhlobo-5|umzimba|uphawu
	🙌🏿;umuntu ophakamise izandla: uhlobo-6;halala|isandla|uhlobo-6|ukuphakamisa|umbungazo|umuntu ophakamise izandla|umuntu ophakamise izandla: uhlobo-6|umzimba|uphawu
🫶;thanda izandla;thanda izandla|uthando
	🫶🏻;thanda izandla: uhlobo-1-2;thanda izandla|thanda izandla: uhlobo-1-2|uhlobo-1-2|uthando
	🫶🏼;thanda izandla: uhlobo-3;thanda izandla|thanda izandla: uhlobo-3|uhlobo-3|uthando
	🫶🏽;thanda izandla: uhlobo-4;thanda izandla|thanda izandla: uhlobo-4|uhlobo-4|uthando
	🫶🏾;thanda izandla: uhlobo-5;thanda izandla|thanda izandla: uhlobo-5|uhlobo-5|uthando
	🫶🏿;thanda izandla: uhlobo-6;thanda izandla|thanda izandla: uhlobo-6|uhlobo-6|uthando
👐;izandla ezivuliwe;isandla|izandla ezivuliwe|ukuvula|umzimba
	👐🏻;izandla ezivuliwe: uhlobo-1-2;isandla|izandla ezivuliwe|izandla ezivuliwe: uhlobo-1-2|uhlobo-1-2|ukuvula|umzimba
	👐🏼;izandla ezivuliwe: uhlobo-3;isandla|izandla ezivuliwe|izandla ezivuliwe: uhlobo-3|uhlobo-3|ukuvula|umzimba
	👐🏽;izandla ezivuliwe: uhlobo-4;isandla|izandla ezivuliwe|izandla ezivuliwe: uhlobo-4|uhlobo-4|ukuvula|umzimba
	👐🏾;izandla ezivuliwe: uhlobo-5;isandla|izandla ezivuliwe|izandla ezivuliwe: uhlobo-5|uhlobo-5|ukuvula|umzimba
	👐🏿;izandla ezivuliwe: uhlobo-6;isandla|izandla ezivuliwe|izandla ezivuliwe: uhlobo-6|uhlobo-6|ukuvula|umzimba
🤲;izandla zombili phezulu;izandla zombili phezulu|umthandazo
	🤲🏻;izandla zombili phezulu: uhlobo-1-2;izandla zombili phezulu|izandla zombili phezulu: uhlobo-1-2|uhlobo-1-2|umthandazo
	🤲🏼;izandla zombili phezulu: uhlobo-3;izandla zombili phezulu|izandla zombili phezulu: uhlobo-3|uhlobo-3|umthandazo
	🤲🏽;izandla zombili phezulu: uhlobo-4;izandla zombili phezulu|izandla zombili phezulu: uhlobo-4|uhlobo-4|umthandazo
	🤲🏾;izandla zombili phezulu: uhlobo-5;izandla zombili phezulu|izandla zombili phezulu: uhlobo-5|uhlobo-5|umthandazo
	🤲🏿;izandla zombili phezulu: uhlobo-6;izandla zombili phezulu|izandla zombili phezulu: uhlobo-6|uhlobo-6|umthandazo
🤝;xhawula;isandla|isivumelwano|nyakazisa|ukuxhawula|umhlangano|xhawula
	🤝🏻;xhawula: uhlobo-1-2;isandla|isivumelwano|nyakazisa|uhlobo-1-2|ukuxhawula|umhlangano|xhawula|xhawula: uhlobo-1-2
	🤝🏼;xhawula: uhlobo-3;isandla|isivumelwano|nyakazisa|uhlobo-3|ukuxhawula|umhlangano|xhawula|xhawula: uhlobo-3
	🤝🏽;xhawula: uhlobo-4;isandla|isivumelwano|nyakazisa|uhlobo-4|ukuxhawula|umhlangano|xhawula|xhawula: uhlobo-4
	🤝🏾;xhawula: uhlobo-5;isandla|isivumelwano|nyakazisa|uhlobo-5|ukuxhawula|umhlangano|xhawula|xhawula: uhlobo-5
	🤝🏿;xhawula: uhlobo-6;isandla|isivumelwano|nyakazisa|uhlobo-6|ukuxhawula|umhlangano|xhawula|xhawula: uhlobo-6
