[smileys_emotion]
😀;шырока ўсміхаецца;зубы|усмешка|шырока ўсміхаецца
	🤞🏿;скрыжаваныя пальцы: цёмны тон скуры;скрыжаваныя пальцы|скрыжаваныя пальцы: цёмны тон скуры|удача|цёмны тон скуры
🫰;рука са скрыжаванымі вялікім і ўказальным пальцамі;грошы|дорага|каханне|пстрычка|рука са скрыжаванымі вялікім і ўказальным пальцамі|сэрца
	🫰🏻;рука са скрыжаванымі вялікім і ўказальным пальцамі: светлы тон скуры;грошы|дорага|каханне|пстрычка|рука са скрыжаванымі вялікім і ўказальным пальцамі|рука са скрыжаванымі вялікім і ўказальным пальцамі: светлы тон скуры|светлы тон скуры|сэрца
	🫰🏼;рука са скрыжаванымі вялікім і ўказальным пальцамі: сярэднясветлы тон скуры;грошы|дорага|каханне|пстрычка|рука са скрыжаванымі вялікім і ўказальным пальцамі|рука са скрыжаванымі вялікім і ўказальным пальцамі: сярэднясветлы тон скуры|сэрца|сярэднясветлы тон скуры
	🫰🏽;рука са скрыжаванымі вялікім і ўказальным пальцамі: сярэдні тон скуры;грошы|дорага|каханне|пстрычка|рука са скрыжаванымі вялікім і ўказальным пальцамі|рука са скрыжаванымі вялікім і ўказальным пальцамі: сярэдні тон скуры|сэрца|сярэдні тон скуры
	🫰🏾;рука са скрыжаванымі вялікім і ўказальным пальцамі: сярэдняцёмны тон скуры;грошы|дорага|каханне|пстрычка|рука са скрыжаванымі вялікім і ўказальным пальцамі|рука са скрыжаванымі вялікім і ўказальным пальцамі: сярэдняцёмны тон скуры|сэрца|сярэдняцёмны тон скуры
	🫰🏿;рука са скрыжаванымі вялікім і ўказальным пальцамі: цёмны тон скуры;грошы|дорага|каханне|пстрычка|рука са скрыжаванымі вялікім і ўказальным пальцамі|рука са скрыжаванымі вялікім і ўказальным пальцамі: цёмны тон скуры|сэрца|цёмны тон скуры
🤟;жэст «люблю цябе»;ILY|жэст «люблю цябе»|рука
	🤟🏻;жэст «люблю цябе»: светлы тон скуры;ILY|жэст «люблю цябе»|жэст «люблю цябе»: светлы тон скуры|рука|светлы тон скуры
	🤟🏼;жэст «люблю цябе»: сярэднясветлы тон скуры;ILY|жэст «люблю цябе»|жэст «люблю цябе»: сярэднясветлы тон скуры|рука|сярэднясветлы тон скуры
	🤟🏽;жэст «люблю цябе»: сярэдні тон скуры;ILY|жэст «люблю цябе»|жэст «люблю цябе»: сярэдні тон скуры|рука|сярэдні тон скуры
