[smileys_emotion]
😀;સ્મિત કરતો ચહેરો;ચહેરો|સ્મિત|સ્મિત કરતો ચહેરો
	🖐🏿;ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ: ઘેરો ચામડીનો રંગ;આંગળી|ઘેરો ચામડીનો રંગ|ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ|ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ: ઘેરો ચામડીનો રંગ|ફેલાવેલું|શરીર|હાથ
✋;ઉઠાવેલો હાથ;ઉઠાવેલો હાથ|હાથ
	✋🏻;ઉઠાવેલો હાથ: ચામડીનો આછો રંગ;ઉઠાવેલો હાથ|ઉઠાવેલો હાથ: ચામડીનો આછો રંગ|ચામડીનો આછો રંગ|હાથ
	✋🏼;ઉઠાવેલો હાથ: ચામડીનો મધ્યમ આછો રંગ;ઉઠાવેલો હાથ|ઉઠાવેલો હાથ: ચામડીનો મધ્યમ આછો રંગ|ચામડીનો મધ્યમ આછો રંગ|હાથ
	✋🏽;ઉઠાવેલો હાથ: મધ્યમ ચામડીનો રંગ;ઉઠાવેલો હાથ|ઉઠાવેલો હાથ: મધ્યમ ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|હાથ
	✋🏾;ઉઠાવેલો હાથ: મધ્યમ ઘેરો ચામડીનો રંગ;ઉઠાવેલો હાથ|ઉઠાવેલો હાથ: મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|હાથ
	✋🏿;ઉઠાવેલો હાથ: ઘેરો ચામડીનો રંગ;ઉઠાવેલો હાથ|ઉઠાવેલો હાથ: ઘેરો ચામડીનો રંગ|ઘેરો ચામડીનો રંગ|હાથ
🖖;સેલ્યુટની એક રીત;આંગળી|વલ્કન|શરીર|સેલ્યુટની એક રીત|સ્પોઅક|હાથ
	🖖🏻;સેલ્યુટની એક રીત: ચામડીનો આછો રંગ;આંગળી|ચામડીનો આછો રંગ|વલ્કન|શરીર|સેલ્યુટની એક રીત|સેલ્યુટની એક રીત: ચામડીનો આછો રંગ|સ્પોઅક|હાથ
	🖖🏼;સેલ્યુટની એક રીત: ચામડીનો મધ્યમ આછો રંગ;આંગળી|ચામડીનો મધ્યમ આછો રંગ|વલ્કન|શરીર|સેલ્યુટની એક રીત|સેલ્યુટની એક રીત: ચામડીનો મધ્યમ આછો રંગ|સ્પોઅક|હાથ
	🖖🏽;સેલ્યુટની એક રીત: મધ્યમ ચામડીનો રંગ;આંગળી|મધ્યમ ચામડીનો રંગ|વલ્કન|શરીર|સેલ્યુટની એક રીત|સેલ્યુટની એક રીત: મધ્યમ ચામડીનો રંગ|સ્પોઅક|હાથ
	🖖🏾;સેલ્યુટની એક રીત: મધ્યમ ઘેરો ચામડીનો રંગ;આંગળી|મધ્યમ ઘેરો ચામડીનો રંગ|વલ્કન|શરીર|સેલ્યુટની એક રીત|સેલ્યુટની એક રીત: મધ્યમ ઘેરો ચામડીનો રંગ|સ્પોઅક|હાથ
	🖖🏿;સેલ્યુટની એક રીત: ઘેરો ચામડીનો રંગ;આંગળી|ઘેરો ચામડીનો રંગ|વલ્કન|શરીર|સેલ્યુટની એક રીત|સેલ્યુટની એક રીત: ઘેરો ચામડીનો રંગ|સ્પોઅક|હાથ
🫱;જમણેરી હાથ;જમણેરી|જમણો|હાથ
	🫱🏻;જમણેરી હાથ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|જમણેરી|જમણેરી હાથ: ચામડીનો આછો રંગ|જમણો|હાથ
	🫱🏼;જમણેરી હાથ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|જમણેરી|જમણેરી હાથ: ચામડીનો મધ્યમ આછો રંગ|જમણો|હાથ
	🫱🏽;જમણેરી હાથ: મધ્યમ ચામડીનો રંગ;જમણેરી|જમણેરી હાથ: મધ્યમ ચામડીનો રંગ|જમણો|મધ્યમ ચામડીનો રંગ|હાથ
	🫱🏾;જમણેરી હાથ: મધ્યમ ઘેરો ચામડીનો રંગ;જમણેરી|જમણેરી હાથ: મધ્યમ ઘેરો ચામડીનો રંગ|જમણો|મધ્યમ ઘેરો ચામડીનો રંગ|હાથ
	🫱🏿;જમણેરી હાથ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|જમણેરી|જમણેરી હાથ: ઘેરો ચામડીનો રંગ|જમણો|હાથ
🫲;ડાબેરી હાથ;ડાબેરી|ડાબો|હાથ
	🫲🏻;ડાબેરી હાથ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|ડાબેરી|ડાબેરી હાથ: ચામડીનો આછો રંગ|ડાબો|હાથ
	🫲🏼;ડાબેરી હાથ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|ડાબેરી|ડાબેરી હાથ: ચામડીનો મધ્યમ આછો રંગ|ડાબો|હાથ
	🫲🏽;ડાબેરી હાથ: મધ્યમ ચામડીનો રંગ;ડાબેરી|ડાબેરી હાથ: મધ્યમ ચામડીનો રંગ|ડાબો|મધ્યમ ચામડીનો રંગ|હાથ
	🫲🏾;ડાબેરી હાથ: મધ્યમ ઘેરો ચામડીનો રંગ;ડાબેરી|ડાબેરી હાથ: મધ્યમ ઘેરો ચામડીનો રંગ|ડાબો|મધ્યમ ઘેરો ચામડીનો રંગ|હાથ
	🫲🏿;ડાબેરી હાથ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|ડાબેરી|ડાબેરી હાથ: ઘેરો ચામડીનો રંગ|ડાબો|હાથ
🫳;નીચી હથેળીવાળો હાથ;છોડો|નીચી હથેળીવાળો હાથ|બરતરફ|શૂ
	🫳🏻;નીચી હથેળીવાળો હાથ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|છોડો|નીચી હથેળીવાળો હાથ|નીચી હથેળીવાળો હાથ: ચામડીનો આછો રંગ|બરતરફ|શૂ
	🫳🏼;નીચી હથેળીવાળો હાથ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|છોડો|નીચી હથેળીવાળો હાથ|નીચી હથેળીવાળો હાથ: ચામડીનો મધ્યમ આછો રંગ|બરતરફ|શૂ
	🫳🏽;નીચી હથેળીવાળો હાથ: મધ્યમ ચામડીનો રંગ;છોડો|નીચી હથેળીવાળો હાથ|નીચી હથેળીવાળો હાથ: મધ્યમ ચામડીનો રંગ|બરતરફ|મધ્યમ ચામડીનો રંગ|શૂ
	🫳🏾;નીચી હથેળીવાળો હાથ: મધ્યમ ઘેરો ચામડીનો રંગ;છોડો|નીચી હથેળીવાળો હાથ|નીચી હથેળીવાળો હાથ: મધ્યમ ઘેરો ચામડીનો રંગ|બરતરફ|મધ્યમ ઘેરો ચામડીનો રંગ|શૂ
	🫳🏿;નીચી હથેળીવાળો હાથ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|છોડો|નીચી હથેળીવાળો હાથ|નીચી હથેળીવાળો હાથ: ઘેરો ચામડીનો રંગ|બરતરફ|શૂ
🫴;ઉપર હથેળીવાળો હાથ;આવો|ઉપર હથેળીવાળો હાથ|ઓફર|કેચ|બેકન
	🫴🏻;ઉપર હથેળીવાળો હાથ: ચામડીનો આછો રંગ;આવો|ઉપર હથેળીવાળો હાથ|ઉપર હથેળીવાળો હાથ: ચામડીનો આછો રંગ|ઓફર|કેચ|ચામડીનો આછો રંગ|બેકન
	🫴🏼;ઉપર હથેળીવાળો હાથ: ચામડીનો મધ્યમ આછો રંગ;આવો|ઉપર હથેળીવાળો હાથ|ઉપર હથેળીવાળો હાથ: ચામડીનો મધ્યમ આછો રંગ|ઓફર|કેચ|ચામડીનો મધ્યમ આછો રંગ|બેકન
	🫴🏽;ઉપર હથેળીવાળો હાથ: મધ્યમ ચામડીનો રંગ;આવો|ઉપર હથેળીવાળો હાથ|ઉપર હથેળીવાળો હાથ: મધ્યમ ચામડીનો રંગ|ઓફર|કેચ|બેકન|મધ્યમ ચામડીનો રંગ
	🫴🏾;ઉપર હથેળીવાળો હાથ: મધ્યમ ઘેરો ચામડીનો રંગ;આવો|ઉપર હથેળીવાળો હાથ|ઉપર હથેળીવાળો હાથ: મધ્યમ ઘેરો ચામડીનો રંગ|ઓફર|કેચ|બેકન|મધ્યમ ઘેરો ચામડીનો રંગ
	🫴🏿;ઉપર હથેળીવાળો હાથ: ઘેરો ચામડીનો રંગ;આવો|ઉપર હથેળીવાળો હાથ|ઉપર હથેળીવાળો હાથ: ઘેરો ચામડીનો રંગ|ઓફર|કેચ|ઘેરો ચામડીનો રંગ|બેકન
