[smileys_emotion]
😀;tirjaygan yuz;tirjaygan yuz|tirjayish|yuz
	👌🏿;qo‘lda qilingan ok: 6-teri turi;6-teri turi|OK|qo‘lda qilingan ok|qo‘lda qilingan ok: 6-teri turi|qoʻl|yaxshi
🤌;chimdilgan barmoqlar;barmoqlar|chimdilgan|istehzoli|juftlangan|qoʻl ishorasi|soʻroq
	🤌🏻;chimdilgan barmoqlar: 1–2-teri turi;1–2-teri turi|barmoqlar|chimdilgan|chimdilgan barmoqlar: 1–2-teri turi|istehzoli|juftlangan|qoʻl ishorasi|soʻroq
	🤌🏼;chimdilgan barmoqlar: 3-teri turi;3-teri turi|barmoqlar|chimdilgan|chimdilgan barmoqlar: 3-teri turi|istehzoli|juftlangan|qoʻl ishorasi|soʻroq
	🤌🏽;chimdilgan barmoqlar: 4-teri turi;4-teri turi|barmoqlar|chimdilgan|chimdilgan barmoqlar: 4-teri turi|istehzoli|juftlangan|qoʻl ishorasi|soʻroq
	🤌🏾;chimdilgan barmoqlar: 5-teri turi;5-teri turi|barmoqlar|chimdilgan|chimdilgan barmoqlar: 5-teri turi|istehzoli|juftlangan|qoʻl ishorasi|soʻroq
	🤌🏿;chimdilgan barmoqlar: 6-teri turi;6-teri turi|barmoqlar|chimdilgan|chimdilgan barmoqlar: 6-teri turi|istehzoli|juftlangan|qoʻl ishorasi|soʻroq
🤏;chimduvchi qoʻl;biroz|chimduvchi qoʻl|kam|kichik|ozgina
	🤏🏻;chimduvchi qoʻl: 1–2-teri turi;1–2-teri turi|biroz|chimduvchi qoʻl|chimduvchi qoʻl: 1–2-teri turi|kam|kichik|ozgina
	🤏🏼;chimduvchi qoʻl: 3-teri turi;3-teri turi|biroz|chimduvchi qoʻl|chimduvchi qoʻl: 3-teri turi|kam|kichik|ozgina
	🤏🏽;chimduvchi qoʻl: 4-teri turi;4-teri turi|biroz|chimduvchi qoʻl|chimduvchi qoʻl: 4-teri turi|kam|kichik|ozgina
	🤏🏾;chimduvchi qoʻl: 5-teri turi;5-teri turi|biroz|chimduvchi qoʻl|chimduvchi qoʻl: 5-teri turi|kam|kichik|ozgina
	🤏🏿;chimduvchi qoʻl: 6-teri turi;6-teri turi|biroz|chimduvchi qoʻl|chimduvchi qoʻl: 6-teri turi|kam|kichik|ozgina
✌️;v harfini ko‘rsatib turgan qo‘l;gʻalaba|qoʻl|v|v harfini ko‘rsatib turgan qo‘l
	✌🏻;v harfini ko‘rsatib turgan qo‘l: 1–2-teri turi;1–2-teri turi|gʻalaba|qoʻl|v|v harfini ko‘rsatib turgan qo‘l|v harfini ko‘rsatib turgan qo‘l: 1–2-teri turi
	✌🏼;v harfini ko‘rsatib turgan qo‘l: 3-teri turi;3-teri turi|gʻalaba|qoʻl|v|v harfini ko‘rsatib turgan qo‘l|v harfini ko‘rsatib turgan qo‘l: 3-teri turi
	✌🏽;v harfini ko‘rsatib turgan qo‘l: 4-teri turi;4-teri turi|gʻalaba|qoʻl|v|v harfini ko‘rsatib turgan qo‘l|v harfini ko‘rsatib turgan qo‘l: 4-teri turi
	✌🏾;v harfini ko‘rsatib turgan qo‘l: 5-teri turi;5-teri turi|gʻalaba|qoʻl|v|v harfini ko‘rsatib turgan qo‘l|v harfini ko‘rsatib turgan qo‘l: 5-teri turi
	✌🏿;v harfini ko‘rsatib turgan qo‘l: 6-teri turi;6-teri turi|gʻalaba|qoʻl|v|v harfini ko‘rsatib turgan qo‘l|v harfini ko‘rsatib turgan qo‘l: 6-teri turi
🤞;kesishgan barmoqlar;kesishgan barmoqlar|omad
	🤞🏻;kesishgan barmoqlar: 1–2-teri turi;1–2-teri turi|kesishgan barmoqlar|kesishgan barmoqlar: 1–2-teri turi|omad
	🤞🏼;kesishgan barmoqlar: 3-teri turi;3-teri turi|kesishgan barmoqlar|kesishgan barmoqlar: 3-teri turi|omad
	🤞🏽;kesishgan barmoqlar: 4-teri turi;4-teri turi|kesishgan barmoqlar|kesishgan barmoqlar: 4-teri turi|omad
	🤞🏾;kesishgan barmoqlar: 5-teri turi;5-teri turi|kesishgan barmoqlar|kesishgan barmoqlar: 5-teri turi|omad
	🤞🏿;kesishgan barmoqlar: 6-teri turi;6-teri turi|kesishgan barmoqlar|kesishgan barmoqlar: 6-teri turi|omad
🫰;bosh va koʻrsatkich barmoqlar kesishgan qoʻl;bosh va koʻrsatkich barmoqlar kesishgan qoʻl|chertki|pul|qimmat|sevgi|yurak
	🫰🏻;bosh va koʻrsatkich barmoqlar kesishgan qoʻl: 1–2-teri turi;1–2-teri turi|bosh va koʻrsatkich barmoqlar kesishgan qoʻl|bosh va koʻrsatkich barmoqlar kesishgan qoʻl: 1–2-teri turi|chertki|pul|qimmat|sevgi|yurak
	🫰🏼;bosh va koʻrsatkich barmoqlar kesishgan qoʻl: 3-teri turi;3-teri turi|bosh va koʻrsatkich barmoqlar kesishgan qoʻl|bosh va koʻrsatkich barmoqlar kesishgan qoʻl: 3-teri turi|chertki|pul|qimmat|sevgi|yurak
	🫰🏽;bosh va koʻrsatkich barmoqlar kesishgan qoʻl: 4-teri turi;4-teri turi|bosh va koʻrsatkich barmoqlar kesishgan qoʻl|bosh va koʻrsatkich barmoqlar kesishgan qoʻl: 4-teri turi|chertki|pul|qimmat|sevgi|yurak
	🫰🏾;bosh va koʻrsatkich barmoqlar kesishgan qoʻl: 5-teri turi;5-teri turi|bosh va koʻrsatkich barmoqlar kesishgan qoʻl|bosh va koʻrsatkich barmoqlar kesishgan qoʻl: 5-teri turi|chertki|pul|qimmat|sevgi|yurak
	🫰🏿;bosh va koʻrsatkich barmoqlar kesishgan qoʻl: 6-teri turi;6-teri turi|bosh va koʻrsatkich barmoqlar kesishgan qoʻl|bosh va koʻrsatkich barmoqlar kesishgan qoʻl: 6-teri turi|chertki|pul|qimmat|sevgi|yurak
🤟;sevaman degan ishora;sevaman degan ishora
	🤟🏻;sevaman degan ishora: 1–2-teri turi;1–2-teri turi|sevaman degan ishora|sevaman degan ishora: 1–2-teri turi
	🤟🏼;sevaman degan ishora: 3-teri turi;3-teri turi|sevaman degan ishora|sevaman degan ishora: 3-teri turi
	🤟🏽;sevaman degan ishora: 4-teri turi;4-teri turi|sevaman degan ishora|sevaman degan ishora: 4-teri turi
	🤟🏾;sevaman degan ishora: 5-teri turi;5-teri turi|sevaman degan ishora|sevaman degan ishora: 5-teri turi
	🤟🏿;sevaman degan ishora: 6-teri turi;6-teri turi|sevaman degan ishora|sevaman degan ishora: 6-teri turi
🤘;shox belgisi;barmoq|qo‘l|rok|shox belgisi|shoxlar|tana
	🤘🏻;shox belgisi: 1–2-teri turi;1–2-teri turi|barmoq|qo‘l|rok|shox belgisi|shox belgisi: 1–2-teri turi|shoxlar|tana
	🤘🏼;shox belgisi: 3-teri turi;3-teri turi|barmoq|qo‘l|rok|shox belgisi|shox belgisi: 3-teri turi|shoxlar|tana
	🤘🏽;shox belgisi: 4-teri turi;4-teri turi|barmoq|qo‘l|rok|shox belgisi|shox belgisi: 4-teri turi|shoxlar|tana
	🤘🏾;shox belgisi: 5-teri turi;5-teri turi|barmoq|qo‘l|rok|shox belgisi|shox belgisi: 5-teri turi|shoxlar|tana
	🤘🏿;shox belgisi: 6-teri turi;6-teri turi|barmoq|qo‘l|rok|shox belgisi|shox belgisi: 6-teri turi|shoxlar|tana
🤙;menga telefon qil;ishora|menga telefon qil|qo‘l|Shaka|telefon qil
	🤙🏻;menga telefon qil: 1–2-teri turi;1–2-teri turi|ishora|menga telefon qil|menga telefon qil: 1–2-teri turi|qo‘l|Shaka|telefon qil
	🤙🏼;menga telefon qil: 3-teri turi;3-teri turi|ishora|menga telefon qil|menga telefon qil: 3-teri turi|qo‘l|Shaka|telefon qil
	🤙🏽;menga telefon qil: 4-teri turi;4-teri turi|ishora|menga telefon qil|menga telefon qil: 4-teri turi|qo‘l|Shaka|telefon qil
	🤙🏾;menga telefon qil: 5-teri turi;5-teri turi|ishora|menga telefon qil|menga telefon qil: 5-teri turi|qo‘l|Shaka|telefon qil
	🤙🏿;menga telefon qil: 6-teri turi;6-teri turi|ishora|menga telefon qil|menga telefon qil: 6-teri turi|qo‘l|Shaka|telefon qil
👈;ko‘rsatkich barmoq chapga;barmoq|ko‘rsatkich|ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l|ko‘rsatkich barmoq chapga|qo‘l|qo‘l orqa tomoni|yo‘naltirish
	👈🏻;ko‘rsatkich barmoq chapga: 1–2-teri turi;1–2-teri turi|barmoq|ko‘rsatkich|ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l|ko‘rsatkich barmoq chapga|ko‘rsatkich barmoq chapga: 1–2-teri turi|qo‘l|qo‘l orqa tomoni|yo‘naltirish
	👈🏼;ko‘rsatkich barmoq chapga: 3-teri turi;3-teri turi|barmoq|ko‘rsatkich|ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l|ko‘rsatkich barmoq chapga|ko‘rsatkich barmoq chapga: 3-teri turi|qo‘l|qo‘l orqa tomoni|yo‘naltirish
	👈🏽;ko‘rsatkich barmoq chapga: 4-teri turi;4-teri turi|barmoq|ko‘rsatkich|ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l|ko‘rsatkich barmoq chapga|ko‘rsatkich barmoq chapga: 4-teri turi|qo‘l|qo‘l orqa tomoni|yo‘naltirish
	👈🏾;ko‘rsatkich barmoq chapga: 5-teri turi;5-teri turi|barmoq|ko‘rsatkich|ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l|ko‘rsatkich barmoq chapga|ko‘rsatkich barmoq chapga: 5-teri turi|qo‘l|qo‘l orqa tomoni|yo‘naltirish
	👈🏿;ko‘rsatkich barmoq chapga: 6-teri turi;6-teri turi|barmoq|ko‘rsatkich|ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l|ko‘rsatkich barmoq chapga|ko‘rsatkich barmoq chapga: 6-teri turi|qo‘l|qo‘l orqa tomoni|yo‘naltirish
👉;ko‘rsatkich barmoq oʻngga;barmoq|barmoq orqa tomoni|ko‘rsatkich|ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l|ko‘rsatkich barmoq oʻngga|qo‘l|yo‘naltirish
	👉🏻;ko‘rsatkich barmoq oʻngga: 1–2-teri turi;1–2-teri turi|barmoq|barmoq orqa tomoni|ko‘rsatkich|ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l|ko‘rsatkich barmoq oʻngga|ko‘rsatkich barmoq oʻngga: 1–2-teri turi|qo‘l|yo‘naltirish
	👉🏼;ko‘rsatkich barmoq oʻngga: 3-teri turi;3-teri turi|barmoq|barmoq orqa tomoni|ko‘rsatkich|ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l|ko‘rsatkich barmoq oʻngga|ko‘rsatkich barmoq oʻngga: 3-teri turi|qo‘l|yo‘naltirish
	👉🏽;ko‘rsatkich barmoq oʻngga: 4-teri turi;4-teri turi|barmoq|barmoq orqa tomoni|ko‘rsatkich|ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l|ko‘rsatkich barmoq oʻngga|ko‘rsatkich barmoq oʻngga: 4-teri turi|qo‘l|yo‘naltirish
	👉🏾;ko‘rsatkich barmoq oʻngga: 5-teri turi;5-teri turi|barmoq|barmoq orqa tomoni|ko‘rsatkich|ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l|ko‘rsatkich barmoq oʻngga|ko‘rsatkich barmoq oʻngga: 5-teri turi|qo‘l|yo‘naltirish
	👉🏿;ko‘rsatkich barmoq oʻngga: 6-teri turi;6-teri turi|barmoq|barmoq orqa tomoni|ko‘rsatkich|ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l|ko‘rsatkich barmoq oʻngga|ko‘rsatkich barmoq oʻngga: 6-teri turi|qo‘l|yo‘naltirish
👆;ko‘rsatkich barmoq tepaga;barmoq|ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l|ko‘rsatkich barmoq tepaga|koʻrsatish|qoʻl|qoʻl orqasi|qoʻl orqasi va tepaga qaratilgan koʻrsatkich barmoq|tepaga
	👆🏻;ko‘rsatkich barmoq tepaga: 1–2-teri turi;1–2-teri turi|barmoq|ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l|ko‘rsatkich barmoq tepaga|ko‘rsatkich barmoq tepaga: 1–2-teri turi|koʻrsatish|qoʻl|qoʻl orqasi|qoʻl orqasi va tepaga qaratilgan koʻrsatkich barmoq|tepaga
	👆🏼;ko‘rsatkich barmoq tepaga: 3-teri turi;3-teri turi|barmoq|ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l|ko‘rsatkich barmoq tepaga|ko‘rsatkich barmoq tepaga: 3-teri turi|koʻrsatish|qoʻl|qoʻl orqasi|qoʻl orqasi va tepaga qaratilgan koʻrsatkich barmoq|tepaga
	👆🏽;ko‘rsatkich barmoq tepaga: 4-teri turi;4-teri turi|barmoq|ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l|ko‘rsatkich barmoq tepaga|ko‘rsatkich barmoq tepaga: 4-teri turi|koʻrsatish|qoʻl|qoʻl orqasi|qoʻl orqasi va tepaga qaratilgan koʻrsatkich barmoq|tepaga
	👆🏾;ko‘rsatkich barmoq tepaga: 5-teri turi;5-teri turi|barmoq|ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l|ko‘rsatkich barmoq tepaga|ko‘rsatkich barmoq tepaga: 5-teri turi|koʻrsatish|qoʻl|qoʻl orqasi|qoʻl orqasi va tepaga qaratilgan koʻrsatkich barmoq|tepaga
	👆🏿;ko‘rsatkich barmoq tepaga: 6-teri turi;6-teri turi|barmoq|ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l|ko‘rsatkich barmoq tepaga|ko‘rsatkich barmoq tepaga: 6-teri turi|koʻrsatish|qoʻl|qoʻl orqasi|qoʻl orqasi va tepaga qaratilgan koʻrsatkich barmoq|tepaga
🖕;o‘rta barmoq;barmoq|o‘rta barmoq|qo‘l|tana
	🖕🏻;o‘rta barmoq: 1–2-teri turi;1–2-teri turi|barmoq|o‘rta barmoq|o‘rta barmoq: 1–2-teri turi|qo‘l|tana
	🖕🏼;o‘rta barmoq: 3-teri turi;3-teri turi|barmoq|o‘rta barmoq|o‘rta barmoq: 3-teri turi|qo‘l|tana
	🖕🏽;o‘rta barmoq: 4-teri turi;4-teri turi|barmoq|o‘rta barmoq|o‘rta barmoq: 4-teri turi|qo‘l|tana
	🖕🏾;o‘rta barmoq: 5-teri turi;5-teri turi|barmoq|o‘rta barmoq|o‘rta barmoq: 5-teri turi|qo‘l|tana
	🖕🏿;o‘rta barmoq: 6-teri turi;6-teri turi|barmoq|o‘rta barmoq|o‘rta barmoq: 6-teri turi|qo‘l|tana
👇;ko‘rsatkich barmoq pastga;barmoq|ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l|ko‘rsatkich barmoq pastga|koʻrsatish|pastga|qoʻl|qoʻl orqasi|qoʻl orqasi va pastga qaratilgan koʻrsatkich barmoq
	👇🏻;ko‘rsatkich barmoq pastga: 1–2-teri turi;1–2-teri turi|barmoq|ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l|ko‘rsatkich barmoq pastga|ko‘rsatkich barmoq pastga: 1–2-teri turi|koʻrsatish|pastga|qoʻl|qoʻl orqasi|qoʻl orqasi va pastga qaratilgan koʻrsatkich barmoq
	👇🏼;ko‘rsatkich barmoq pastga: 3-teri turi;3-teri turi|barmoq|ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l|ko‘rsatkich barmoq pastga|ko‘rsatkich barmoq pastga: 3-teri turi|koʻrsatish|pastga|qoʻl|qoʻl orqasi|qoʻl orqasi va pastga qaratilgan koʻrsatkich barmoq
	👇🏽;ko‘rsatkich barmoq pastga: 4-teri turi;4-teri turi|barmoq|ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l|ko‘rsatkich barmoq pastga|ko‘rsatkich barmoq pastga: 4-teri turi|koʻrsatish|pastga|qoʻl|qoʻl orqasi|qoʻl orqasi va pastga qaratilgan koʻrsatkich barmoq
	👇🏾;ko‘rsatkich barmoq pastga: 5-teri turi;5-teri turi|barmoq|ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l|ko‘rsatkich barmoq pastga|ko‘rsatkich barmoq pastga: 5-teri turi|koʻrsatish|pastga|qoʻl|qoʻl orqasi|qoʻl orqasi va pastga qaratilgan koʻrsatkich barmoq
	👇🏿;ko‘rsatkich barmoq pastga: 6-teri turi;6-teri turi|barmoq|ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l|ko‘rsatkich barmoq pastga|ko‘rsatkich barmoq pastga: 6-teri turi|koʻrsatish|pastga|qoʻl|qoʻl orqasi|qoʻl orqasi va pastga qaratilgan koʻrsatkich barmoq
☝️;ko‘rsatkich barmoq tepada;barmoq|ko‘rsatkich|ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l|ko‘rsatkich barmoq tepada|qo‘l|tana|tepaga|yo‘naltirish
	☝🏻;ko‘rsatkich barmoq tepada: 1–2-teri turi;1–2-teri turi|barmoq|ko‘rsatkich|ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l|ko‘rsatkich barmoq tepada|ko‘rsatkich barmoq tepada: 1–2-teri turi|qo‘l|tana|tepaga|yo‘naltirish
	☝🏼;ko‘rsatkich barmoq tepada: 3-teri turi;3-teri turi|barmoq|ko‘rsatkich|ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l|ko‘rsatkich barmoq tepada|ko‘rsatkich barmoq tepada: 3-teri turi|qo‘l|tana|tepaga|yo‘naltirish
	☝🏽;ko‘rsatkich barmoq tepada: 4-teri turi;4-teri turi|barmoq|ko‘rsatkich|ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l|ko‘rsatkich barmoq tepada|ko‘rsatkich barmoq tepada: 4-teri turi|qo‘l|tana|tepaga|yo‘naltirish
	☝🏾;ko‘rsatkich barmoq tepada: 5-teri turi;5-teri turi|barmoq|ko‘rsatkich|ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l|ko‘rsatkich barmoq tepada|ko‘rsatkich barmoq tepada: 5-teri turi|qo‘l|tana|tepaga|yo‘naltirish
	☝🏿;ko‘rsatkich barmoq tepada: 6-teri turi;6-teri turi|barmoq|ko‘rsatkich|ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l|ko‘rsatkich barmoq tepada|ko‘rsatkich barmoq tepada: 6-teri turi|qo‘l|tana|tepaga|yo‘naltirish
🫵;tomoshabinga qaragan koʻrsatkich barmoq;nuqtai nazar|senga qaragan|tomoshabinga qaragan koʻrsatkich barmoq
	🫵🏻;tomoshabinga qaragan koʻrsatkich barmoq: 1–2-teri turi;1–2-teri turi|nuqtai nazar|senga qaragan|tomoshabinga qaragan koʻrsatkich barmoq|tomoshabinga qaragan koʻrsatkich barmoq: 1–2-teri turi
	🫵🏼;tomoshabinga qaragan koʻrsatkich barmoq: 3-teri turi;3-teri turi|nuqtai nazar|senga qaragan|tomoshabinga qaragan koʻrsatkich barmoq|tomoshabinga qaragan koʻrsatkich barmoq: 3-teri turi
	🫵🏽;tomoshabinga qaragan koʻrsatkich barmoq: 4-teri turi;4-teri turi|nuqtai nazar|senga qaragan|tomoshabinga qaragan koʻrsatkich barmoq|tomoshabinga qaragan koʻrsatkich barmoq: 4-teri turi
	🫵🏾;tomoshabinga qaragan koʻrsatkich barmoq: 5-teri turi;5-teri turi|nuqtai nazar|senga qaragan|tomoshabinga qaragan koʻrsatkich barmoq|tomoshabinga qaragan koʻrsatkich barmoq: 5-teri turi
	🫵🏿;tomoshabinga qaragan koʻrsatkich barmoq: 6-teri turi;6-teri turi|nuqtai nazar|senga qaragan|tomoshabinga qaragan koʻrsatkich barmoq|tomoshabinga qaragan koʻrsatkich barmoq: 6-teri turi
👍;tepaga qaragan bosh barmoq;+1|bosh barmoq|qo‘l|tana|tepaga|tepaga qaragan bosh barmoq
	👍🏻;tepaga qaragan bosh barmoq: 1–2-teri turi;+1|1–2-teri turi|bosh barmoq|qo‘l|tana|tepaga|tepaga qaragan bosh barmoq|tepaga qaragan bosh barmoq: 1–2-teri turi
	👍🏼;tepaga qaragan bosh barmoq: 3-teri turi;+1|3-teri turi|bosh barmoq|qo‘l|tana|tepaga|tepaga qaragan bosh barmoq|tepaga qaragan bosh barmoq: 3-teri turi
	👍🏽;tepaga qaragan bosh barmoq: 4-teri turi;+1|4-teri turi|bosh barmoq|qo‘l|tana|tepaga|tepaga qaragan bosh barmoq|tepaga qaragan bosh barmoq: 4-teri turi
	👍🏾;tepaga qaragan bosh barmoq: 5-teri turi;+1|5-teri turi|bosh barmoq|qo‘l|tana|tepaga|tepaga qaragan bosh barmoq|tepaga qaragan bosh barmoq: 5-teri turi
	👍🏿;tepaga qaragan bosh barmoq: 6-teri turi;+1|6-teri turi|bosh barmoq|qo‘l|tana|tepaga|tepaga qaragan bosh barmoq|tepaga qaragan bosh barmoq: 6-teri turi
👎;pastga qaragan bosh barmoq;-1|bosh barmoq|pastga|pastga qaragan bosh barmoq|qo‘l|tana
	👎🏻;pastga qaragan bosh barmoq: 1–2-teri turi;-1|1–2-teri turi|bosh barmoq|pastga|pastga qaragan bosh barmoq|pastga qaragan bosh barmoq: 1–2-teri turi|qo‘l|tana
	👎🏼;pastga qaragan bosh barmoq: 3-teri turi;-1|3-teri turi|bosh barmoq|pastga|pastga qaragan bosh barmoq|pastga qaragan bosh barmoq: 3-teri turi|qo‘l|tana
	👎🏽;pastga qaragan bosh barmoq: 4-teri turi;-1|4-teri turi|bosh barmoq|pastga|pastga qaragan bosh barmoq|pastga qaragan bosh barmoq: 4-teri turi|qo‘l|tana
	👎🏾;pastga qaragan bosh barmoq: 5-teri turi;-1|5-teri turi|bosh barmoq|pastga|pastga qaragan bosh barmoq|pastga qaragan bosh barmoq: 5-teri turi|qo‘l|tana
	👎🏿;pastga qaragan bosh barmoq: 6-teri turi;-1|6-teri turi|bosh barmoq|pastga|pastga qaragan bosh barmoq|pastga qaragan bosh barmoq: 6-teri turi|qo‘l|tana
✊;ko‘tarilgan musht;ko‘tarilgan musht|musht|qo‘l|tana|tugilgan
	✊🏻;ko‘tarilgan musht: 1–2-teri turi;1–2-teri turi|ko‘tarilgan musht|ko‘tarilgan musht: 1–2-teri turi|musht|qo‘l|tana|tugilgan
	✊🏼;ko‘tarilgan musht: 3-teri turi;3-teri turi|ko‘tarilgan musht|ko‘tarilgan musht: 3-teri turi|musht|qo‘l|tana|tugilgan
	✊🏽;ko‘tarilgan musht: 4-teri turi;4-teri turi|ko‘tarilgan musht|ko‘tarilgan musht: 4-teri turi|musht|qo‘l|tana|tugilgan
	✊🏾;ko‘tarilgan musht: 5-teri turi;5-teri turi|ko‘tarilgan musht|ko‘tarilgan musht: 5-teri turi|musht|qo‘l|tana|tugilgan
	✊🏿;ko‘tarilgan musht: 6-teri turi;6-teri turi|ko‘tarilgan musht|ko‘tarilgan musht: 6-teri turi|musht|qo‘l|tana|tugilgan
👊;yaqinlashayotgan musht;musht|tana|tugilgan|yaqinlashayotgan musht
	👊🏻;yaqinlashayotgan musht: 1–2-teri turi;1–2-teri turi|musht|tana|tugilgan|yaqinlashayotgan musht|yaqinlashayotgan musht: 1–2-teri turi
	👊🏼;yaqinlashayotgan musht: 3-teri turi;3-teri turi|musht|tana|tugilgan|yaqinlashayotgan musht|yaqinlashayotgan musht: 3-teri turi
	👊🏽;yaqinlashayotgan musht: 4-teri turi;4-teri turi|musht|tana|tugilgan|yaqinlashayotgan musht|yaqinlashayotgan musht: 4-teri turi
	👊🏾;yaqinlashayotgan musht: 5-teri turi;5-teri turi|musht|tana|tugilgan|yaqinlashayotgan musht|yaqinlashayotgan musht: 5-teri turi
	👊🏿;yaqinlashayotgan musht: 6-teri turi;6-teri turi|musht|tana|tugilgan|yaqinlashayotgan musht|yaqinlashayotgan musht: 6-teri turi
🤛;chapga qaragan musht;chap|chapga qaragan musht|musht
	🤛🏻;chapga qaragan musht: 1–2-teri turi;1–2-teri turi|chap|chapga qaragan musht|chapga qaragan musht: 1–2-teri turi|musht
	🤛🏼;chapga qaragan musht: 3-teri turi;3-teri turi|chap|chapga qaragan musht|chapga qaragan musht: 3-teri turi|musht
	🤛🏽;chapga qaragan musht: 4-teri turi;4-teri turi|chap|chapga qaragan musht|chapga qaragan musht: 4-teri turi|musht
	🤛🏾;chapga qaragan musht: 5-teri turi;5-teri turi|chap|chapga qaragan musht|chapga qaragan musht: 5-teri turi|musht
	🤛🏿;chapga qaragan musht: 6-teri turi;6-teri turi|chap|chapga qaragan musht|chapga qaragan musht: 6-teri turi|musht
🤜;o‘ngga qaragan musht;musht|o‘ng|o‘ngga qaragan musht
	🤜🏻;o‘ngga qaragan musht: 1–2-teri turi;1–2-teri turi|musht|o‘ng|o‘ngga qaragan musht|o‘ngga qaragan musht: 1–2-teri turi
	🤜🏼;o‘ngga qaragan musht: 3-teri turi;3-teri turi|musht|o‘ng|o‘ngga qaragan musht|o‘ngga qaragan musht: 3-teri turi
	🤜🏽;o‘ngga qaragan musht: 4-teri turi;4-teri turi|musht|o‘ng|o‘ngga qaragan musht|o‘ngga qaragan musht: 4-teri turi
	🤜🏾;o‘ngga qaragan musht: 5-teri turi;5-teri turi|musht|o‘ng|o‘ngga qaragan musht|o‘ngga qaragan musht: 5-teri turi
	🤜🏿;o‘ngga qaragan musht: 6-teri turi;6-teri turi|musht|o‘ng|o‘ngga qaragan musht|o‘ngga qaragan musht: 6-teri turi
👏;chapak;chapak|qo‘l|tana
	👏🏻;chapak: 1–2-teri turi;1–2-teri turi|chapak|chapak: 1–2-teri turi|qo‘l|tana
	👏🏼;chapak: 3-teri turi;3-teri turi|chapak|chapak: 3-teri turi|qo‘l|tana
	👏🏽;chapak: 4-teri turi;4-teri turi|chapak|chapak: 4-teri turi|qo‘l|tana
	👏🏾;chapak: 5-teri turi;5-teri turi|chapak|chapak: 5-teri turi|qo‘l|tana
	👏🏿;chapak: 6-teri turi;6-teri turi|chapak|chapak: 6-teri turi|qo‘l|tana
🙌;qo‘llarini ko‘targan odam;imo-ishora|ko‘tarilgan|nishonlash|qo‘l|qo‘llarini ko‘targan odam|tan|urra
	🙌🏻;qo‘llarini ko‘targan odam: 1–2-teri turi;1–2-teri turi|imo-ishora|ko‘tarilgan|nishonlash|qo‘l|qo‘llarini ko‘targan odam|qo‘llarini ko‘targan odam: 1–2-teri turi|tan|urra
	🙌🏼;qo‘llarini ko‘targan odam: 3-teri turi;3-teri turi|imo-ishora|ko‘tarilgan|nishonlash|qo‘l|qo‘llarini ko‘targan odam|qo‘llarini ko‘targan odam: 3-teri turi|tan|urra
	🙌🏽;qo‘llarini ko‘targan odam: 4-teri turi;4-teri turi|imo-ishora|ko‘tarilgan|nishonlash|qo‘l|qo‘llarini ko‘targan odam|qo‘llarini ko‘targan odam: 4-teri turi|tan|urra
	🙌🏾;qo‘llarini ko‘targan odam: 5-teri turi;5-teri turi|imo-ishora|ko‘tarilgan|nishonlash|qo‘l|qo‘llarini ko‘targan odam|qo‘llarini ko‘targan odam: 5-teri turi|tan|urra
