[smileys_emotion]
😀;glottandi andlit;andlit|glott|glottandi andlit
	🫰🏿;hendi með vísifingur og þumal í kross: dökkur húðlitur;ást|dökkur húðlitur|dýr|hendi með vísifingur og þumal í kross|hendi með vísifingur og þumal í kross: dökkur húðlitur|hjarta|peningar|smella
🤟;elska-þig merki;elska-þig merki|hendi|ILY
	🤟🏻;elska-þig merki: ljós húðlitur;elska-þig merki|elska-þig merki: ljós húðlitur|hendi|ILY|ljós húðlitur
	🤟🏼;elska-þig merki: meðalljós húðlitur;elska-þig merki|elska-þig merki: meðalljós húðlitur|hendi|ILY|meðalljós húðlitur
	🤟🏽;elska-þig merki: millihúðlitur;elska-þig merki|elska-þig merki: millihúðlitur|hendi|ILY|millihúðlitur
	🤟🏾;elska-þig merki: meðaldökkur húðlitur;elska-þig merki|elska-þig merki: meðaldökkur húðlitur|hendi|ILY|meðaldökkur húðlitur
	🤟🏿;elska-þig merki: dökkur húðlitur;dökkur húðlitur|elska-þig merki|elska-þig merki: dökkur húðlitur|hendi|ILY
🤘;rokkmerki;fingur|glennt|hönd|líkami|rokkmerki
	🤘🏻;rokkmerki: ljós húðlitur;fingur|glennt|hönd|líkami|ljós húðlitur|rokkmerki|rokkmerki: ljós húðlitur
	🤘🏼;rokkmerki: meðalljós húðlitur;fingur|glennt|hönd|líkami|meðalljós húðlitur|rokkmerki|rokkmerki: meðalljós húðlitur
	🤘🏽;rokkmerki: millihúðlitur;fingur|glennt|hönd|líkami|millihúðlitur|rokkmerki|rokkmerki: millihúðlitur
	🤘🏾;rokkmerki: meðaldökkur húðlitur;fingur|glennt|hönd|líkami|meðaldökkur húðlitur|rokkmerki|rokkmerki: meðaldökkur húðlitur
	🤘🏿;rokkmerki: dökkur húðlitur;dökkur húðlitur|fingur|glennt|hönd|líkami|rokkmerki|rokkmerki: dökkur húðlitur
🤙;hringdu;hönd|hringdu|hringitákn|hringja
	🤙🏻;hringdu: ljós húðlitur;hönd|hringdu|hringdu: ljós húðlitur|hringitákn|hringja|ljós húðlitur
	🤙🏼;hringdu: meðalljós húðlitur;hönd|hringdu|hringdu: meðalljós húðlitur|hringitákn|hringja|meðalljós húðlitur
	🤙🏽;hringdu: millihúðlitur;hönd|hringdu|hringdu: millihúðlitur|hringitákn|hringja|millihúðlitur
	🤙🏾;hringdu: meðaldökkur húðlitur;hönd|hringdu|hringdu: meðaldökkur húðlitur|hringitákn|hringja|meðaldökkur húðlitur
	🤙🏿;hringdu: dökkur húðlitur;dökkur húðlitur|hönd|hringdu|hringdu: dökkur húðlitur|hringitákn|hringja
👈;fingur bendir til vinstri;benda|benda til vinstri|fingur|fingur bendir til vinstri|hönd|vísifingur
	👈🏻;fingur bendir til vinstri: ljós húðlitur;benda|benda til vinstri|fingur|fingur bendir til vinstri|fingur bendir til vinstri: ljós húðlitur|hönd|ljós húðlitur|vísifingur
	👈🏼;fingur bendir til vinstri: meðalljós húðlitur;benda|benda til vinstri|fingur|fingur bendir til vinstri|fingur bendir til vinstri: meðalljós húðlitur|hönd|meðalljós húðlitur|vísifingur
	👈🏽;fingur bendir til vinstri: millihúðlitur;benda|benda til vinstri|fingur|fingur bendir til vinstri|fingur bendir til vinstri: millihúðlitur|hönd|millihúðlitur|vísifingur
	👈🏾;fingur bendir til vinstri: meðaldökkur húðlitur;benda|benda til vinstri|fingur|fingur bendir til vinstri|fingur bendir til vinstri: meðaldökkur húðlitur|hönd|meðaldökkur húðlitur|vísifingur
	👈🏿;fingur bendir til vinstri: dökkur húðlitur;benda|benda til vinstri|dökkur húðlitur|fingur|fingur bendir til vinstri|fingur bendir til vinstri: dökkur húðlitur|hönd|vísifingur
👉;fingur bendir til hægri;benda|benda til hægri|fingur|fingur bendir til hægri|hönd|vísifingur
	👉🏻;fingur bendir til hægri: ljós húðlitur;benda|benda til hægri|fingur|fingur bendir til hægri|fingur bendir til hægri: ljós húðlitur|hönd|ljós húðlitur|vísifingur
	👉🏼;fingur bendir til hægri: meðalljós húðlitur;benda|benda til hægri|fingur|fingur bendir til hægri|fingur bendir til hægri: meðalljós húðlitur|hönd|meðalljós húðlitur|vísifingur
	👉🏽;fingur bendir til hægri: millihúðlitur;benda|benda til hægri|fingur|fingur bendir til hægri|fingur bendir til hægri: millihúðlitur|hönd|millihúðlitur|vísifingur
	👉🏾;fingur bendir til hægri: meðaldökkur húðlitur;benda|benda til hægri|fingur|fingur bendir til hægri|fingur bendir til hægri: meðaldökkur húðlitur|hönd|meðaldökkur húðlitur|vísifingur
	👉🏿;fingur bendir til hægri: dökkur húðlitur;benda|benda til hægri|dökkur húðlitur|fingur|fingur bendir til hægri|fingur bendir til hægri: dökkur húðlitur|hönd|vísifingur
👆;fingur bendir upp;bakhönd bendir upp|benda|fingur|fingur bendir upp|hönd|upp
	👆🏻;fingur bendir upp: ljós húðlitur;bakhönd bendir upp|benda|fingur|fingur bendir upp|fingur bendir upp: ljós húðlitur|hönd|ljós húðlitur|upp
	👆🏼;fingur bendir upp: meðalljós húðlitur;bakhönd bendir upp|benda|fingur|fingur bendir upp|fingur bendir upp: meðalljós húðlitur|hönd|meðalljós húðlitur|upp
	👆🏽;fingur bendir upp: millihúðlitur;bakhönd bendir upp|benda|fingur|fingur bendir upp|fingur bendir upp: millihúðlitur|hönd|millihúðlitur|upp
	👆🏾;fingur bendir upp: meðaldökkur húðlitur;bakhönd bendir upp|benda|fingur|fingur bendir upp|fingur bendir upp: meðaldökkur húðlitur|hönd|meðaldökkur húðlitur|upp
	👆🏿;fingur bendir upp: dökkur húðlitur;bakhönd bendir upp|benda|dökkur húðlitur|fingur|fingur bendir upp|fingur bendir upp: dökkur húðlitur|hönd|upp
🖕;langatöng;fingur|hönd|langatöng|líkami
	🖕🏻;langatöng: ljós húðlitur;fingur|hönd|langatöng|langatöng: ljós húðlitur|líkami|ljós húðlitur
	🖕🏼;langatöng: meðalljós húðlitur;fingur|hönd|langatöng|langatöng: meðalljós húðlitur|líkami|meðalljós húðlitur
	🖕🏽;langatöng: millihúðlitur;fingur|hönd|langatöng|langatöng: millihúðlitur|líkami|millihúðlitur
	🖕🏾;langatöng: meðaldökkur húðlitur;fingur|hönd|langatöng|langatöng: meðaldökkur húðlitur|líkami|meðaldökkur húðlitur
	🖕🏿;langatöng: dökkur húðlitur;dökkur húðlitur|fingur|hönd|langatöng|langatöng: dökkur húðlitur|líkami
👇;fingur bendir niður;bakhönd bendir niður|benda|fingur|fingur bendir niður|hönd|niður
	👇🏻;fingur bendir niður: ljós húðlitur;bakhönd bendir niður|benda|fingur|fingur bendir niður|fingur bendir niður: ljós húðlitur|hönd|ljós húðlitur|niður
	👇🏼;fingur bendir niður: meðalljós húðlitur;bakhönd bendir niður|benda|fingur|fingur bendir niður|fingur bendir niður: meðalljós húðlitur|hönd|meðalljós húðlitur|niður
	👇🏽;fingur bendir niður: millihúðlitur;bakhönd bendir niður|benda|fingur|fingur bendir niður|fingur bendir niður: millihúðlitur|hönd|millihúðlitur|niður
	👇🏾;fingur bendir niður: meðaldökkur húðlitur;bakhönd bendir niður|benda|fingur|fingur bendir niður|fingur bendir niður: meðaldökkur húðlitur|hönd|meðaldökkur húðlitur|niður
	👇🏿;fingur bendir niður: dökkur húðlitur;bakhönd bendir niður|benda|dökkur húðlitur|fingur|fingur bendir niður|fingur bendir niður: dökkur húðlitur|hönd|niður
☝️;vísifingur bendir upp;benda|benda upp|fingur|hönd|vísifingur|vísifingur bendir upp
	☝🏻;vísifingur bendir upp: ljós húðlitur;benda|benda upp|fingur|hönd|ljós húðlitur|vísifingur|vísifingur bendir upp|vísifingur bendir upp: ljós húðlitur
	☝🏼;vísifingur bendir upp: meðalljós húðlitur;benda|benda upp|fingur|hönd|meðalljós húðlitur|vísifingur|vísifingur bendir upp|vísifingur bendir upp: meðalljós húðlitur
	☝🏽;vísifingur bendir upp: millihúðlitur;benda|benda upp|fingur|hönd|millihúðlitur|vísifingur|vísifingur bendir upp|vísifingur bendir upp: millihúðlitur
	☝🏾;vísifingur bendir upp: meðaldökkur húðlitur;benda|benda upp|fingur|hönd|meðaldökkur húðlitur|vísifingur|vísifingur bendir upp|vísifingur bendir upp: meðaldökkur húðlitur
	☝🏿;vísifingur bendir upp: dökkur húðlitur;benda|benda upp|dökkur húðlitur|fingur|hönd|vísifingur|vísifingur bendir upp|vísifingur bendir upp: dökkur húðlitur
🫵;vísifingur bendir á áhorfandann;benda|vísifingur bendir á áhorfandann|þú
	🫵🏻;vísifingur bendir á áhorfandann: ljós húðlitur;benda|ljós húðlitur|vísifingur bendir á áhorfandann|vísifingur bendir á áhorfandann: ljós húðlitur|þú
	🫵🏼;vísifingur bendir á áhorfandann: meðalljós húðlitur;benda|meðalljós húðlitur|vísifingur bendir á áhorfandann|vísifingur bendir á áhorfandann: meðalljós húðlitur|þú
	🫵🏽;vísifingur bendir á áhorfandann: millihúðlitur;benda|millihúðlitur|vísifingur bendir á áhorfandann|vísifingur bendir á áhorfandann: millihúðlitur|þú
	🫵🏾;vísifingur bendir á áhorfandann: meðaldökkur húðlitur;benda|meðaldökkur húðlitur|vísifingur bendir á áhorfandann|vísifingur bendir á áhorfandann: meðaldökkur húðlitur|þú
	🫵🏿;vísifingur bendir á áhorfandann: dökkur húðlitur;benda|dökkur húðlitur|vísifingur bendir á áhorfandann|vísifingur bendir á áhorfandann: dökkur húðlitur|þú
👍;þumall upp;bending|hönd|þumall upp
	👍🏻;þumall upp: ljós húðlitur;bending|hönd|ljós húðlitur|þumall upp|þumall upp: ljós húðlitur
	👍🏼;þumall upp: meðalljós húðlitur;bending|hönd|meðalljós húðlitur|þumall upp|þumall upp: meðalljós húðlitur
	👍🏽;þumall upp: millihúðlitur;bending|hönd|millihúðlitur|þumall upp|þumall upp: millihúðlitur
	👍🏾;þumall upp: meðaldökkur húðlitur;bending|hönd|meðaldökkur húðlitur|þumall upp|þumall upp: meðaldökkur húðlitur
	👍🏿;þumall upp: dökkur húðlitur;bending|dökkur húðlitur|hönd|þumall upp|þumall upp: dökkur húðlitur
👎;þumall niður;bending|hönd|þumall niður
	👎🏻;þumall niður: ljós húðlitur;bending|hönd|ljós húðlitur|þumall niður|þumall niður: ljós húðlitur
	👎🏼;þumall niður: meðalljós húðlitur;bending|hönd|meðalljós húðlitur|þumall niður|þumall niður: meðalljós húðlitur
	👎🏽;þumall niður: millihúðlitur;bending|hönd|millihúðlitur|þumall niður|þumall niður: millihúðlitur
	👎🏾;þumall niður: meðaldökkur húðlitur;bending|hönd|meðaldökkur húðlitur|þumall niður|þumall niður: meðaldökkur húðlitur
	👎🏿;þumall niður: dökkur húðlitur;bending|dökkur húðlitur|hönd|þumall niður|þumall niður: dökkur húðlitur
✊;hnefi;hnefi|uppréttur hnefi
	✊🏻;hnefi: ljós húðlitur;hnefi|hnefi: ljós húðlitur|ljós húðlitur|uppréttur hnefi
	✊🏼;hnefi: meðalljós húðlitur;hnefi|hnefi: meðalljós húðlitur|meðalljós húðlitur|uppréttur hnefi
	✊🏽;hnefi: millihúðlitur;hnefi|hnefi: millihúðlitur|millihúðlitur|uppréttur hnefi
	✊🏾;hnefi: meðaldökkur húðlitur;hnefi|hnefi: meðaldökkur húðlitur|meðaldökkur húðlitur|uppréttur hnefi
	✊🏿;hnefi: dökkur húðlitur;dökkur húðlitur|hnefi|hnefi: dökkur húðlitur|uppréttur hnefi
👊;krepptur hnefi;hnefi|hönd|krepptur hnefi|kýla|samankrepptur hnefi
	👊🏻;krepptur hnefi: ljós húðlitur;hnefi|hönd|krepptur hnefi|krepptur hnefi: ljós húðlitur|kýla|ljós húðlitur|samankrepptur hnefi
	👊🏼;krepptur hnefi: meðalljós húðlitur;hnefi|hönd|krepptur hnefi|krepptur hnefi: meðalljós húðlitur|kýla|meðalljós húðlitur|samankrepptur hnefi
	👊🏽;krepptur hnefi: millihúðlitur;hnefi|hönd|krepptur hnefi|krepptur hnefi: millihúðlitur|kýla|millihúðlitur|samankrepptur hnefi
	👊🏾;krepptur hnefi: meðaldökkur húðlitur;hnefi|hönd|krepptur hnefi|krepptur hnefi: meðaldökkur húðlitur|kýla|meðaldökkur húðlitur|samankrepptur hnefi
	👊🏿;krepptur hnefi: dökkur húðlitur;dökkur húðlitur|hnefi|hönd|krepptur hnefi|krepptur hnefi: dökkur húðlitur|kýla|samankrepptur hnefi
🤛;hægri hnefi;hægri hnefi|hnefi|hönd|krepptur
	🤛🏻;hægri hnefi: ljós húðlitur;hægri hnefi|hægri hnefi: ljós húðlitur|hnefi|hönd|krepptur|ljós húðlitur
	🤛🏼;hægri hnefi: meðalljós húðlitur;hægri hnefi|hægri hnefi: meðalljós húðlitur|hnefi|hönd|krepptur|meðalljós húðlitur
	🤛🏽;hægri hnefi: millihúðlitur;hægri hnefi|hægri hnefi: millihúðlitur|hnefi|hönd|krepptur|millihúðlitur
	🤛🏾;hægri hnefi: meðaldökkur húðlitur;hægri hnefi|hægri hnefi: meðaldökkur húðlitur|hnefi|hönd|krepptur|meðaldökkur húðlitur
	🤛🏿;hægri hnefi: dökkur húðlitur;dökkur húðlitur|hægri hnefi|hægri hnefi: dökkur húðlitur|hnefi|hönd|krepptur
🤜;vinstri hnefi;hnefi|hönd|krepptur|vinstri hnefi
	🤜🏻;vinstri hnefi: ljós húðlitur;hnefi|hönd|krepptur|ljós húðlitur|vinstri hnefi|vinstri hnefi: ljós húðlitur
	🤜🏼;vinstri hnefi: meðalljós húðlitur;hnefi|hönd|krepptur|meðalljós húðlitur|vinstri hnefi|vinstri hnefi: meðalljós húðlitur
	🤜🏽;vinstri hnefi: millihúðlitur;hnefi|hönd|krepptur|millihúðlitur|vinstri hnefi|vinstri hnefi: millihúðlitur
	🤜🏾;vinstri hnefi: meðaldökkur húðlitur;hnefi|hönd|krepptur|meðaldökkur húðlitur|vinstri hnefi|vinstri hnefi: meðaldökkur húðlitur
	🤜🏿;vinstri hnefi: dökkur húðlitur;dökkur húðlitur|hnefi|hönd|krepptur|vinstri hnefi|vinstri hnefi: dökkur húðlitur
👏;lófaklapp;hendur|hendur klappa|klapp|lófaklapp
	👏🏻;lófaklapp: ljós húðlitur;hendur|hendur klappa|klapp|ljós húðlitur|lófaklapp|lófaklapp: ljós húðlitur
	👏🏼;lófaklapp: meðalljós húðlitur;hendur|hendur klappa|klapp|lófaklapp|lófaklapp: meðalljós húðlitur|meðalljós húðlitur
	👏🏽;lófaklapp: millihúðlitur;hendur|hendur klappa|klapp|lófaklapp|lófaklapp: millihúðlitur|millihúðlitur
	👏🏾;lófaklapp: meðaldökkur húðlitur;hendur|hendur klappa|klapp|lófaklapp|lófaklapp: meðaldökkur húðlitur|meðaldökkur húðlitur
	👏🏿;lófaklapp: dökkur húðlitur;dökkur húðlitur|hendur|hendur klappa|klapp|lófaklapp|lófaklapp: dökkur húðlitur
🙌;húrra;báðar hendur|fagna|hendur upp í loft|húrra
	🙌🏻;húrra: ljós húðlitur;báðar hendur|fagna|hendur upp í loft|húrra|húrra: ljós húðlitur|ljós húðlitur
	🙌🏼;húrra: meðalljós húðlitur;báðar hendur|fagna|hendur upp í loft|húrra|húrra: meðalljós húðlitur|meðalljós húðlitur
	🙌🏽;húrra: millihúðlitur;báðar hendur|fagna|hendur upp í loft|húrra|húrra: millihúðlitur|millihúðlitur
	🙌🏾;húrra: meðaldökkur húðlitur;báðar hendur|fagna|hendur upp í loft|húrra|húrra: meðaldökkur húðlitur|meðaldökkur húðlitur
	🙌🏿;húrra: dökkur húðlitur;báðar hendur|dökkur húðlitur|fagna|hendur upp í loft|húrra|húrra: dökkur húðlitur
🫶;hjartahendur;ást|hjartahendur
	🫶🏻;hjartahendur: ljós húðlitur;ást|hjartahendur|hjartahendur: ljós húðlitur|ljós húðlitur
	🫶🏼;hjartahendur: meðalljós húðlitur;ást|hjartahendur|hjartahendur: meðalljós húðlitur|meðalljós húðlitur
	🫶🏽;hjartahendur: millihúðlitur;ást|hjartahendur|hjartahendur: millihúðlitur|millihúðlitur
	🫶🏾;hjartahendur: meðaldökkur húðlitur;ást|hjartahendur|hjartahendur: meðaldökkur húðlitur|meðaldökkur húðlitur
	🫶🏿;hjartahendur: dökkur húðlitur;ást|dökkur húðlitur|hjartahendur|hjartahendur: dökkur húðlitur
👐;opinn lófi;hendur|lófar|opinn lófi|opnir lófar
	👐🏻;opinn lófi: ljós húðlitur;hendur|ljós húðlitur|lófar|opinn lófi|opinn lófi: ljós húðlitur|opnir lófar
	👐🏼;opinn lófi: meðalljós húðlitur;hendur|lófar|meðalljós húðlitur|opinn lófi|opinn lófi: meðalljós húðlitur|opnir lófar
	👐🏽;opinn lófi: millihúðlitur;hendur|lófar|millihúðlitur|opinn lófi|opinn lófi: millihúðlitur|opnir lófar
	👐🏾;opinn lófi: meðaldökkur húðlitur;hendur|lófar|meðaldökkur húðlitur|opinn lófi|opinn lófi: meðaldökkur húðlitur|opnir lófar
	👐🏿;opinn lófi: dökkur húðlitur;dökkur húðlitur|hendur|lófar|opinn lófi|opinn lófi: dökkur húðlitur|opnir lófar
🤲;lófar saman;lófar saman|spenntar greipar
	🤲🏻;lófar saman: ljós húðlitur;ljós húðlitur|lófar saman|lófar saman: ljós húðlitur|spenntar greipar
	🤲🏼;lófar saman: meðalljós húðlitur;lófar saman|lófar saman: meðalljós húðlitur|meðalljós húðlitur|spenntar greipar
	🤲🏽;lófar saman: millihúðlitur;lófar saman|lófar saman: millihúðlitur|millihúðlitur|spenntar greipar
	🤲🏾;lófar saman: meðaldökkur húðlitur;lófar saman|lófar saman: meðaldökkur húðlitur|meðaldökkur húðlitur|spenntar greipar
	🤲🏿;lófar saman: dökkur húðlitur;dökkur húðlitur|lófar saman|lófar saman: dökkur húðlitur|spenntar greipar
🤝;handaband;handaband|heilsa|heilsast|samkomulag
	🤝🏻;handaband: ljós húðlitur;handaband|handaband: ljós húðlitur|heilsa|heilsast|ljós húðlitur|samkomulag
	🤝🏼;handaband: meðalljós húðlitur;handaband|handaband: meðalljós húðlitur|heilsa|heilsast|meðalljós húðlitur|samkomulag
	🤝🏽;handaband: millihúðlitur;handaband|handaband: millihúðlitur|heilsa|heilsast|millihúðlitur|samkomulag
	🤝🏾;handaband: meðaldökkur húðlitur;handaband|handaband: meðaldökkur húðlitur|heilsa|heilsast|meðaldökkur húðlitur|samkomulag
	🤝🏿;handaband: dökkur húðlitur;dökkur húðlitur|handaband|handaband: dökkur húðlitur|heilsa|heilsast|samkomulag
	🫱🏻‍🫲🏼;handaband: ljós húðlitur og meðalljós húðlitur;handaband|handaband: ljós húðlitur og meðalljós húðlitur|heilsa|heilsast|ljós húðlitur|meðalljós húðlitur|samkomulag
	🫱🏻‍🫲🏽;handaband: ljós húðlitur og millihúðlitur;handaband|handaband: ljós húðlitur og millihúðlitur|heilsa|heilsast|ljós húðlitur|millihúðlitur|samkomulag
	🫱🏻‍🫲🏾;handaband: ljós húðlitur og meðaldökkur húðlitur;handaband|handaband: ljós húðlitur og meðaldökkur húðlitur|heilsa|heilsast|ljós húðlitur|meðaldökkur húðlitur|samkomulag
	🫱🏻‍🫲🏿;handaband: ljós húðlitur og dökkur húðlitur;dökkur húðlitur|handaband|handaband: ljós húðlitur og dökkur húðlitur|heilsa|heilsast|ljós húðlitur|samkomulag
	🫱🏼‍🫲🏻;handaband: meðalljós húðlitur og ljós húðlitur;handaband|handaband: meðalljós húðlitur og ljós húðlitur|heilsa|heilsast|ljós húðlitur|meðalljós húðlitur|samkomulag
	🫱🏼‍🫲🏽;handaband: meðalljós húðlitur og millihúðlitur;handaband|handaband: meðalljós húðlitur og millihúðlitur|heilsa|heilsast|meðalljós húðlitur|millihúðlitur|samkomulag
	🫱🏼‍🫲🏾;handaband: meðalljós húðlitur og meðaldökkur húðlitur;handaband|handaband: meðalljós húðlitur og meðaldökkur húðlitur|heilsa|heilsast|meðaldökkur húðlitur|meðalljós húðlitur|samkomulag
	🫱🏼‍🫲🏿;handaband: meðalljós húðlitur og dökkur húðlitur;dökkur húðlitur|handaband|handaband: meðalljós húðlitur og dökkur húðlitur|heilsa|heilsast|meðalljós húðlitur|samkomulag
