[smileys_emotion]
😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|মুখে দেঁতো হাসি
	🖖🏽;ভ্যালকান স্যালুট: মাঝারি ত্বকের রঙ;আকার ইঙ্গিত|আঙ্গুল|ভালকান|ভ্যালকান স্যালুট|ভ্যালকান স্যালুট: মাঝারি ত্বকের রঙ|মাঝারি ত্বকের রঙ|শরীর|হাত
	🖖🏾;ভ্যালকান স্যালুট: মাঝারি-কালো ত্বকের রঙ;আকার ইঙ্গিত|আঙ্গুল|ভালকান|ভ্যালকান স্যালুট|ভ্যালকান স্যালুট: মাঝারি-কালো ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|শরীর|হাত
	🖖🏿;ভ্যালকান স্যালুট: কালো ত্বকের রঙ;আকার ইঙ্গিত|আঙ্গুল|কালো ত্বকের রঙ|ভালকান|ভ্যালকান স্যালুট|ভ্যালকান স্যালুট: কালো ত্বকের রঙ|শরীর|হাত
🫱;ডানদিকে হাত;ডান|ডানদিকে|হাত
	🫱🏻;ডানদিকে হাত: হালকা ত্বকের রঙ;ডান|ডানদিকে|ডানদিকে হাত: হালকা ত্বকের রঙ|হাত|হালকা ত্বকের রঙ
	🫱🏼;ডানদিকে হাত: মাঝারি-হালকা ত্বকের রঙ;ডান|ডানদিকে|ডানদিকে হাত: মাঝারি-হালকা ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|হাত
	🫱🏽;ডানদিকে হাত: মাঝারি ত্বকের রঙ;ডান|ডানদিকে|ডানদিকে হাত: মাঝারি ত্বকের রঙ|মাঝারি ত্বকের রঙ|হাত
	🫱🏾;ডানদিকে হাত: মাঝারি-কালো ত্বকের রঙ;ডান|ডানদিকে|ডানদিকে হাত: মাঝারি-কালো ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|হাত
	🫱🏿;ডানদিকে হাত: কালো ত্বকের রঙ;কালো ত্বকের রঙ|ডান|ডানদিকে|ডানদিকে হাত: কালো ত্বকের রঙ|হাত
🫲;বামদিকে হাত;বাম|বামদিকে|হাত
	🫲🏻;বামদিকে হাত: হালকা ত্বকের রঙ;বাম|বামদিকে|বামদিকে হাত: হালকা ত্বকের রঙ|হাত|হালকা ত্বকের রঙ
	🫲🏼;বামদিকে হাত: মাঝারি-হালকা ত্বকের রঙ;বাম|বামদিকে|বামদিকে হাত: মাঝারি-হালকা ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|হাত
	🫲🏽;বামদিকে হাত: মাঝারি ত্বকের রঙ;বাম|বামদিকে|বামদিকে হাত: মাঝারি ত্বকের রঙ|মাঝারি ত্বকের রঙ|হাত
	🫲🏾;বামদিকে হাত: মাঝারি-কালো ত্বকের রঙ;বাম|বামদিকে|বামদিকে হাত: মাঝারি-কালো ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|হাত
	🫲🏿;বামদিকে হাত: কালো ত্বকের রঙ;কালো ত্বকের রঙ|বাম|বামদিকে|বামদিকে হাত: কালো ত্বকের রঙ|হাত
🫳;হাতের তালু নীচের দিকে করা হাত;খারিজ|তাড়িয়ে দেওয়া|ফেলে দেওয়া|হাতের তালু নীচের দিকে করা হাত
	🫳🏻;হাতের তালু নীচের দিকে করা হাত: হালকা ত্বকের রঙ;খারিজ|তাড়িয়ে দেওয়া|ফেলে দেওয়া|হাতের তালু নীচের দিকে করা হাত|হাতের তালু নীচের দিকে করা হাত: হালকা ত্বকের রঙ|হালকা ত্বকের রঙ
	🫳🏼;হাতের তালু নীচের দিকে করা হাত: মাঝারি-হালকা ত্বকের রঙ;খারিজ|তাড়িয়ে দেওয়া|ফেলে দেওয়া|মাঝারি-হালকা ত্বকের রঙ|হাতের তালু নীচের দিকে করা হাত|হাতের তালু নীচের দিকে করা হাত: মাঝারি-হালকা ত্বকের রঙ
	🫳🏽;হাতের তালু নীচের দিকে করা হাত: মাঝারি ত্বকের রঙ;খারিজ|তাড়িয়ে দেওয়া|ফেলে দেওয়া|মাঝারি ত্বকের রঙ|হাতের তালু নীচের দিকে করা হাত|হাতের তালু নীচের দিকে করা হাত: মাঝারি ত্বকের রঙ
	🫳🏾;হাতের তালু নীচের দিকে করা হাত: মাঝারি-কালো ত্বকের রঙ;খারিজ|তাড়িয়ে দেওয়া|ফেলে দেওয়া|মাঝারি-কালো ত্বকের রঙ|হাতের তালু নীচের দিকে করা হাত|হাতের তালু নীচের দিকে করা হাত: মাঝারি-কালো ত্বকের রঙ
	🫳🏿;হাতের তালু নীচের দিকে করা হাত: কালো ত্বকের রঙ;কালো ত্বকের রঙ|খারিজ|তাড়িয়ে দেওয়া|ফেলে দেওয়া|হাতের তালু নীচের দিকে করা হাত|হাতের তালু নীচের দিকে করা হাত: কালো ত্বকের রঙ
🫴;হাতের তালু উপরের দিকে করা হাত;আসা|প্রস্তাব দেওয়া|বেকন|লুফে নেওয়া|হাতের তালু উপরের দিকে করা হাত
	🫴🏻;হাতের তালু উপরের দিকে করা হাত: হালকা ত্বকের রঙ;আসা|প্রস্তাব দেওয়া|বেকন|লুফে নেওয়া|হাতের তালু উপরের দিকে করা হাত|হাতের তালু উপরের দিকে করা হাত: হালকা ত্বকের রঙ|হালকা ত্বকের রঙ
	🫴🏼;হাতের তালু উপরের দিকে করা হাত: মাঝারি-হালকা ত্বকের রঙ;আসা|প্রস্তাব দেওয়া|বেকন|মাঝারি-হালকা ত্বকের রঙ|লুফে নেওয়া|হাতের তালু উপরের দিকে করা হাত|হাতের তালু উপরের দিকে করা হাত: মাঝারি-হালকা ত্বকের রঙ
	🫴🏽;হাতের তালু উপরের দিকে করা হাত: মাঝারি ত্বকের রঙ;আসা|প্রস্তাব দেওয়া|বেকন|মাঝারি ত্বকের রঙ|লুফে নেওয়া|হাতের তালু উপরের দিকে করা হাত|হাতের তালু উপরের দিকে করা হাত: মাঝারি ত্বকের রঙ
