[smileys_emotion]
😀;ፈገግ ያለ ፊት;ፈገግ ያለ ፊት|ፈገግታ|ፊት
	🖖🏿;ቩልካን ሰላምታ: የቆዳ ዓይነት-6;ቩልካን|ቩልካን ሰላምታ|ቩልካን ሰላምታ: የቆዳ ዓይነት-6|አካል|እጅ|የቆዳ ዓይነት-6|ጣት
🫱;ወደ ቀኝ የዞረ እጅ;ቀኝ|እጅ|ወደ ቀኝ የዞረ|ወደ ቀኝ የዞረ እጅ
	🫱🏻;ወደ ቀኝ የዞረ እጅ: የቆዳ ዓይነት-1-2;ቀኝ|እጅ|ወደ ቀኝ የዞረ|ወደ ቀኝ የዞረ እጅ|ወደ ቀኝ የዞረ እጅ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🫱🏼;ወደ ቀኝ የዞረ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ቀኝ|እጅ|ወደ ቀኝ የዞረ|ወደ ቀኝ የዞረ እጅ|ወደ ቀኝ የዞረ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🫱🏽;ወደ ቀኝ የዞረ እጅ: የቆዳ ዓይነት-4;ቀኝ|እጅ|ወደ ቀኝ የዞረ|ወደ ቀኝ የዞረ እጅ|ወደ ቀኝ የዞረ እጅ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🫱🏾;ወደ ቀኝ የዞረ እጅ: የቆዳ ዓይነት-5;ቀኝ|እጅ|ወደ ቀኝ የዞረ|ወደ ቀኝ የዞረ እጅ|ወደ ቀኝ የዞረ እጅ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🫱🏿;ወደ ቀኝ የዞረ እጅ: የቆዳ ዓይነት-6;ቀኝ|እጅ|ወደ ቀኝ የዞረ|ወደ ቀኝ የዞረ እጅ|ወደ ቀኝ የዞረ እጅ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🫲;ወደ ግራ የዞረ እጅ;እጅ|ወደ ግራ የዞረ እጅ|ግራ|ግራ የዞረ
	🫲🏻;ወደ ግራ የዞረ እጅ: የቆዳ ዓይነት-1-2;እጅ|ወደ ግራ የዞረ እጅ|ወደ ግራ የዞረ እጅ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|ግራ|ግራ የዞረ
	🫲🏼;ወደ ግራ የዞረ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|እጅ|ወደ ግራ የዞረ እጅ|ወደ ግራ የዞረ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ግራ|ግራ የዞረ
	🫲🏽;ወደ ግራ የዞረ እጅ: የቆዳ ዓይነት-4;እጅ|ወደ ግራ የዞረ እጅ|ወደ ግራ የዞረ እጅ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|ግራ|ግራ የዞረ
	🫲🏾;ወደ ግራ የዞረ እጅ: የቆዳ ዓይነት-5;እጅ|ወደ ግራ የዞረ እጅ|ወደ ግራ የዞረ እጅ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|ግራ|ግራ የዞረ
	🫲🏿;ወደ ግራ የዞረ እጅ: የቆዳ ዓይነት-6;እጅ|ወደ ግራ የዞረ እጅ|ወደ ግራ የዞረ እጅ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|ግራ|ግራ የዞረ
🫳;መዳፍ ወደታች እጅ;መዳፍ ወደታች እጅ|መጣል|ማሰናበት|ማባረር
	🫳🏻;መዳፍ ወደታች እጅ: የቆዳ ዓይነት-1-2;መዳፍ ወደታች እጅ|መዳፍ ወደታች እጅ: የቆዳ ዓይነት-1-2|መጣል|ማሰናበት|ማባረር|የቆዳ ዓይነት-1-2
	🫳🏼;መዳፍ ወደታች እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መዳፍ ወደታች እጅ|መዳፍ ወደታች እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መጣል|ማሰናበት|ማባረር
	🫳🏽;መዳፍ ወደታች እጅ: የቆዳ ዓይነት-4;መዳፍ ወደታች እጅ|መዳፍ ወደታች እጅ: የቆዳ ዓይነት-4|መጣል|ማሰናበት|ማባረር|የቆዳ ዓይነት-4
	🫳🏾;መዳፍ ወደታች እጅ: የቆዳ ዓይነት-5;መዳፍ ወደታች እጅ|መዳፍ ወደታች እጅ: የቆዳ ዓይነት-5|መጣል|ማሰናበት|ማባረር|የቆዳ ዓይነት-5
	🫳🏿;መዳፍ ወደታች እጅ: የቆዳ ዓይነት-6;መዳፍ ወደታች እጅ|መዳፍ ወደታች እጅ: የቆዳ ዓይነት-6|መጣል|ማሰናበት|ማባረር|የቆዳ ዓይነት-6
🫴;መዳፍ ወደላይ እጅ;መያዝ|መዳፍ ወደላይ እጅ|ማቅረብ|ማበረታታት|ና
	🫴🏻;መዳፍ ወደላይ እጅ: የቆዳ ዓይነት-1-2;መያዝ|መዳፍ ወደላይ እጅ|መዳፍ ወደላይ እጅ: የቆዳ ዓይነት-1-2|ማቅረብ|ማበረታታት|ና|የቆዳ ዓይነት-1-2
	🫴🏼;መዳፍ ወደላይ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መያዝ|መዳፍ ወደላይ እጅ|መዳፍ ወደላይ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ማቅረብ|ማበረታታት|ና
	🫴🏽;መዳፍ ወደላይ እጅ: የቆዳ ዓይነት-4;መያዝ|መዳፍ ወደላይ እጅ|መዳፍ ወደላይ እጅ: የቆዳ ዓይነት-4|ማቅረብ|ማበረታታት|ና|የቆዳ ዓይነት-4
	🫴🏾;መዳፍ ወደላይ እጅ: የቆዳ ዓይነት-5;መያዝ|መዳፍ ወደላይ እጅ|መዳፍ ወደላይ እጅ: የቆዳ ዓይነት-5|ማቅረብ|ማበረታታት|ና|የቆዳ ዓይነት-5
	🫴🏿;መዳፍ ወደላይ እጅ: የቆዳ ዓይነት-6;መያዝ|መዳፍ ወደላይ እጅ|መዳፍ ወደላይ እጅ: የቆዳ ዓይነት-6|ማቅረብ|ማበረታታት|ና|የቆዳ ዓይነት-6
🫷;ወደግራ የሚገፋ እጅ;ቆይ|አልመቀበል|አቁም|ወደግራ|ወደግራ የሚገፋ እጅ|ግባለት|ግፋ
	🫷🏻;ወደግራ የሚገፋ እጅ: የቆዳ ዓይነት-1-2;ቆይ|አልመቀበል|አቁም|ወደግራ|ወደግራ የሚገፋ እጅ|ወደግራ የሚገፋ እጅ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|ግባለት|ግፋ
	🫷🏼;ወደግራ የሚገፋ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ቆይ|አልመቀበል|አቁም|ወደግራ|ወደግራ የሚገፋ እጅ|ወደግራ የሚገፋ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ግባለት|ግፋ
	🫷🏽;ወደግራ የሚገፋ እጅ: የቆዳ ዓይነት-4;ቆይ|አልመቀበል|አቁም|ወደግራ|ወደግራ የሚገፋ እጅ|ወደግራ የሚገፋ እጅ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|ግባለት|ግፋ
	🫷🏾;ወደግራ የሚገፋ እጅ: የቆዳ ዓይነት-5;ቆይ|አልመቀበል|አቁም|ወደግራ|ወደግራ የሚገፋ እጅ|ወደግራ የሚገፋ እጅ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|ግባለት|ግፋ
	🫷🏿;ወደግራ የሚገፋ እጅ: የቆዳ ዓይነት-6;ቆይ|አልመቀበል|አቁም|ወደግራ|ወደግራ የሚገፋ እጅ|ወደግራ የሚገፋ እጅ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|ግባለት|ግፋ
🫸;ወደቀኝ የሚገፋ እጅ;መቃወም|ቆይ|አቁም|ወደቀኝ|ወደቀኝ የሚገፋ እጅ|ግባለት|ግፋ
	🫸🏻;ወደቀኝ የሚገፋ እጅ: የቆዳ ዓይነት-1-2;መቃወም|ቆይ|አቁም|ወደቀኝ|ወደቀኝ የሚገፋ እጅ|ወደቀኝ የሚገፋ እጅ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|ግባለት|ግፋ
	🫸🏼;ወደቀኝ የሚገፋ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መቃወም|ቆይ|አቁም|ወደቀኝ|ወደቀኝ የሚገፋ እጅ|ወደቀኝ የሚገፋ እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ግባለት|ግፋ
	🫸🏽;ወደቀኝ የሚገፋ እጅ: የቆዳ ዓይነት-4;መቃወም|ቆይ|አቁም|ወደቀኝ|ወደቀኝ የሚገፋ እጅ|ወደቀኝ የሚገፋ እጅ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|ግባለት|ግፋ
	🫸🏾;ወደቀኝ የሚገፋ እጅ: የቆዳ ዓይነት-5;መቃወም|ቆይ|አቁም|ወደቀኝ|ወደቀኝ የሚገፋ እጅ|ወደቀኝ የሚገፋ እጅ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|ግባለት|ግፋ
	🫸🏿;ወደቀኝ የሚገፋ እጅ: የቆዳ ዓይነት-6;መቃወም|ቆይ|አቁም|ወደቀኝ|ወደቀኝ የሚገፋ እጅ|ወደቀኝ የሚገፋ እጅ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|ግባለት|ግፋ
👌;እሺ ምልክት እጅ;አካል|እሺ|እሺ ምልክት እጅ|እጅ
	👌🏻;እሺ ምልክት እጅ: የቆዳ ዓይነት-1-2;አካል|እሺ|እሺ ምልክት እጅ|እሺ ምልክት እጅ: የቆዳ ዓይነት-1-2|እጅ|የቆዳ ዓይነት-1-2
	👌🏼;እሺ ምልክት እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|አካል|እሺ|እሺ ምልክት እጅ|እሺ ምልክት እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|እጅ
	👌🏽;እሺ ምልክት እጅ: የቆዳ ዓይነት-4;አካል|እሺ|እሺ ምልክት እጅ|እሺ ምልክት እጅ: የቆዳ ዓይነት-4|እጅ|የቆዳ ዓይነት-4
	👌🏾;እሺ ምልክት እጅ: የቆዳ ዓይነት-5;አካል|እሺ|እሺ ምልክት እጅ|እሺ ምልክት እጅ: የቆዳ ዓይነት-5|እጅ|የቆዳ ዓይነት-5
	👌🏿;እሺ ምልክት እጅ: የቆዳ ዓይነት-6;አካል|እሺ|እሺ ምልክት እጅ|እሺ ምልክት እጅ: የቆዳ ዓይነት-6|እጅ|የቆዳ ዓይነት-6
🤌;የቆነጠጡ ጣቶች;የቆነጠጡ ጣቶች
	🤌🏻;የቆነጠጡ ጣቶች: የቆዳ ዓይነት-1-2;የቆነጠጡ ጣቶች|የቆነጠጡ ጣቶች: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🤌🏼;የቆነጠጡ ጣቶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|የቆነጠጡ ጣቶች|የቆነጠጡ ጣቶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🤌🏽;የቆነጠጡ ጣቶች: የቆዳ ዓይነት-4;የቆነጠጡ ጣቶች|የቆነጠጡ ጣቶች: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🤌🏾;የቆነጠጡ ጣቶች: የቆዳ ዓይነት-5;የቆነጠጡ ጣቶች|የቆነጠጡ ጣቶች: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🤌🏿;የቆነጠጡ ጣቶች: የቆዳ ዓይነት-6;የቆነጠጡ ጣቶች|የቆነጠጡ ጣቶች: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🤏;እጅ መቆንጠጥ;ትንሽ መጠን|እጅ መቆንጠጥ
	🤏🏻;እጅ መቆንጠጥ: የቆዳ ዓይነት-1-2;ትንሽ መጠን|እጅ መቆንጠጥ|እጅ መቆንጠጥ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🤏🏼;እጅ መቆንጠጥ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ትንሽ መጠን|እጅ መቆንጠጥ|እጅ መቆንጠጥ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🤏🏽;እጅ መቆንጠጥ: የቆዳ ዓይነት-4;ትንሽ መጠን|እጅ መቆንጠጥ|እጅ መቆንጠጥ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🤏🏾;እጅ መቆንጠጥ: የቆዳ ዓይነት-5;ትንሽ መጠን|እጅ መቆንጠጥ|እጅ መቆንጠጥ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🤏🏿;እጅ መቆንጠጥ: የቆዳ ዓይነት-6;ትንሽ መጠን|እጅ መቆንጠጥ|እጅ መቆንጠጥ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
✌️;የድል አድራጊነት ምልክት እጅ;አካል|እጅ|የድል አድራጊነት ምልክት እጅ|ድል
	✌🏻;የድል አድራጊነት ምልክት እጅ: የቆዳ ዓይነት-1-2;አካል|እጅ|የቆዳ ዓይነት-1-2|የድል አድራጊነት ምልክት እጅ|የድል አድራጊነት ምልክት እጅ: የቆዳ ዓይነት-1-2|ድል
	✌🏼;የድል አድራጊነት ምልክት እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|አካል|እጅ|የድል አድራጊነት ምልክት እጅ|የድል አድራጊነት ምልክት እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ድል
	✌🏽;የድል አድራጊነት ምልክት እጅ: የቆዳ ዓይነት-4;አካል|እጅ|የቆዳ ዓይነት-4|የድል አድራጊነት ምልክት እጅ|የድል አድራጊነት ምልክት እጅ: የቆዳ ዓይነት-4|ድል
	✌🏾;የድል አድራጊነት ምልክት እጅ: የቆዳ ዓይነት-5;አካል|እጅ|የቆዳ ዓይነት-5|የድል አድራጊነት ምልክት እጅ|የድል አድራጊነት ምልክት እጅ: የቆዳ ዓይነት-5|ድል
	✌🏿;የድል አድራጊነት ምልክት እጅ: የቆዳ ዓይነት-6;አካል|እጅ|የቆዳ ዓይነት-6|የድል አድራጊነት ምልክት እጅ|የድል አድራጊነት ምልክት እጅ: የቆዳ ዓይነት-6|ድል
🤞;ጣት ማጣመር;ማጣመር|እድል|እጅ|ጣት
	🤞🏻;ጣት ማጣመር: የቆዳ ዓይነት-1-2;ማጣመር|እድል|እጅ|የቆዳ ዓይነት-1-2|ጣት|ጣት ማጣመር: የቆዳ ዓይነት-1-2
	🤞🏼;ጣት ማጣመር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ማጣመር|እድል|እጅ|ጣት|ጣት ማጣመር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🤞🏽;ጣት ማጣመር: የቆዳ ዓይነት-4;ማጣመር|እድል|እጅ|የቆዳ ዓይነት-4|ጣት|ጣት ማጣመር: የቆዳ ዓይነት-4
	🤞🏾;ጣት ማጣመር: የቆዳ ዓይነት-5;ማጣመር|እድል|እጅ|የቆዳ ዓይነት-5|ጣት|ጣት ማጣመር: የቆዳ ዓይነት-5
	🤞🏿;ጣት ማጣመር: የቆዳ ዓይነት-6;ማጣመር|እድል|እጅ|የቆዳ ዓይነት-6|ጣት|ጣት ማጣመር: የቆዳ ዓይነት-6
🫰;አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ;ልብ|ቀልጣፋ|አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ|ውድ|ገንዘብ|ፍቅር
	🫰🏻;አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ: የቆዳ ዓይነት-1-2;ልብ|ቀልጣፋ|አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ|አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ: የቆዳ ዓይነት-1-2|ውድ|የቆዳ ዓይነት-1-2|ገንዘብ|ፍቅር
	🫰🏼;አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;ልብ|መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ቀልጣፋ|አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ|አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ውድ|ገንዘብ|ፍቅር
	🫰🏽;አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ: የቆዳ ዓይነት-4;ልብ|ቀልጣፋ|አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ|አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ: የቆዳ ዓይነት-4|ውድ|የቆዳ ዓይነት-4|ገንዘብ|ፍቅር
	🫰🏾;አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ: የቆዳ ዓይነት-5;ልብ|ቀልጣፋ|አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ|አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ: የቆዳ ዓይነት-5|ውድ|የቆዳ ዓይነት-5|ገንዘብ|ፍቅር
	🫰🏿;አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ: የቆዳ ዓይነት-6;ልብ|ቀልጣፋ|አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ|አውራ እና ጠቋሚ ጣት የተጠመሩበት እጅ: የቆዳ ዓይነት-6|ውድ|የቆዳ ዓይነት-6|ገንዘብ|ፍቅር
🤟;ምልክትህን ወድጀዋለሁ;ምልክትህን ወድጀዋለሁ
	🤟🏻;ምልክትህን ወድጀዋለሁ: የቆዳ ዓይነት-1-2;ምልክትህን ወድጀዋለሁ|ምልክትህን ወድጀዋለሁ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🤟🏼;ምልክትህን ወድጀዋለሁ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ምልክትህን ወድጀዋለሁ|ምልክትህን ወድጀዋለሁ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🤟🏽;ምልክትህን ወድጀዋለሁ: የቆዳ ዓይነት-4;ምልክትህን ወድጀዋለሁ|ምልክትህን ወድጀዋለሁ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🤟🏾;ምልክትህን ወድጀዋለሁ: የቆዳ ዓይነት-5;ምልክትህን ወድጀዋለሁ|ምልክትህን ወድጀዋለሁ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🤟🏿;ምልክትህን ወድጀዋለሁ: የቆዳ ዓይነት-6;ምልክትህን ወድጀዋለሁ|ምልክትህን ወድጀዋለሁ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🤘;የቀንዶች ምልክት;ቀንዶች|አካል|እጅ|የቀንዶች ምልክት|ጣት
	🤘🏻;የቀንዶች ምልክት: የቆዳ ዓይነት-1-2;ቀንዶች|አካል|እጅ|የቀንዶች ምልክት|የቀንዶች ምልክት: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|ጣት
	🤘🏼;የቀንዶች ምልክት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ቀንዶች|አካል|እጅ|የቀንዶች ምልክት|የቀንዶች ምልክት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ጣት
	🤘🏽;የቀንዶች ምልክት: የቆዳ ዓይነት-4;ቀንዶች|አካል|እጅ|የቀንዶች ምልክት|የቀንዶች ምልክት: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|ጣት
	🤘🏾;የቀንዶች ምልክት: የቆዳ ዓይነት-5;ቀንዶች|አካል|እጅ|የቀንዶች ምልክት|የቀንዶች ምልክት: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|ጣት
	🤘🏿;የቀንዶች ምልክት: የቆዳ ዓይነት-6;ቀንዶች|አካል|እጅ|የቀንዶች ምልክት|የቀንዶች ምልክት: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|ጣት
🤙;ደውልልኝ የእጅ ምልክት;እጅ|ደውልልኝ|ደውልልኝ የእጅ ምልክት
	🤙🏻;ደውልልኝ የእጅ ምልክት: የቆዳ ዓይነት-1-2;እጅ|የቆዳ ዓይነት-1-2|ደውልልኝ|ደውልልኝ የእጅ ምልክት|ደውልልኝ የእጅ ምልክት: የቆዳ ዓይነት-1-2
	🤙🏼;ደውልልኝ የእጅ ምልክት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|እጅ|ደውልልኝ|ደውልልኝ የእጅ ምልክት|ደውልልኝ የእጅ ምልክት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🤙🏽;ደውልልኝ የእጅ ምልክት: የቆዳ ዓይነት-4;እጅ|የቆዳ ዓይነት-4|ደውልልኝ|ደውልልኝ የእጅ ምልክት|ደውልልኝ የእጅ ምልክት: የቆዳ ዓይነት-4
	🤙🏾;ደውልልኝ የእጅ ምልክት: የቆዳ ዓይነት-5;እጅ|የቆዳ ዓይነት-5|ደውልልኝ|ደውልልኝ የእጅ ምልክት|ደውልልኝ የእጅ ምልክት: የቆዳ ዓይነት-5
	🤙🏿;ደውልልኝ የእጅ ምልክት: የቆዳ ዓይነት-6;እጅ|የቆዳ ዓይነት-6|ደውልልኝ|ደውልልኝ የእጅ ምልክት|ደውልልኝ የእጅ ምልክት: የቆዳ ዓይነት-6
👈;የግራ አይበሉባ እጅ የተቀሰረ አመልካች ጣት;ነጥብ|እጅ|ወደ ኋላ መገልበጥ|የግራ አይበሉባ እጅ የተቀሰረ አመልካች ጣት|ጣት
	👈🏻;የግራ አይበሉባ እጅ የተቀሰረ አመልካች ጣት: የቆዳ ዓይነት-1-2;ነጥብ|እጅ|ወደ ኋላ መገልበጥ|የቆዳ ዓይነት-1-2|የግራ አይበሉባ እጅ የተቀሰረ አመልካች ጣት|የግራ አይበሉባ እጅ የተቀሰረ አመልካች ጣት: የቆዳ ዓይነት-1-2|ጣት
	👈🏼;የግራ አይበሉባ እጅ የተቀሰረ አመልካች ጣት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ነጥብ|እጅ|ወደ ኋላ መገልበጥ|የግራ አይበሉባ እጅ የተቀሰረ አመልካች ጣት|የግራ አይበሉባ እጅ የተቀሰረ አመልካች ጣት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ጣት
	👈🏽;የግራ አይበሉባ እጅ የተቀሰረ አመልካች ጣት: የቆዳ ዓይነት-4;ነጥብ|እጅ|ወደ ኋላ መገልበጥ|የቆዳ ዓይነት-4|የግራ አይበሉባ እጅ የተቀሰረ አመልካች ጣት|የግራ አይበሉባ እጅ የተቀሰረ አመልካች ጣት: የቆዳ ዓይነት-4|ጣት
	👈🏾;የግራ አይበሉባ እጅ የተቀሰረ አመልካች ጣት: የቆዳ ዓይነት-5;ነጥብ|እጅ|ወደ ኋላ መገልበጥ|የቆዳ ዓይነት-5|የግራ አይበሉባ እጅ የተቀሰረ አመልካች ጣት|የግራ አይበሉባ እጅ የተቀሰረ አመልካች ጣት: የቆዳ ዓይነት-5|ጣት
