# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;wiċċ jidħak ħafna;jidħaq ħafna|wiċċ|wiċċ jidħak ħafna
	👉🏼;indiċi b’lura li jipponta lejn il-lemin: ton medju-ċar tal-ġilda;b’lura|idejn|indiċi|indiċi b’lura li jipponta lejn il-lemin|indiċi b’lura li jipponta lejn il-lemin: ton medju-ċar tal-ġilda|punt|suba’|ton medju-ċar tal-ġilda
	👉🏽;indiċi b’lura li jipponta lejn il-lemin: ton medju tal-ġilda;b’lura|idejn|indiċi|indiċi b’lura li jipponta lejn il-lemin|indiċi b’lura li jipponta lejn il-lemin: ton medju tal-ġilda|punt|suba’|ton medju tal-ġilda
	👉🏾;indiċi b’lura li jipponta lejn il-lemin: ton medju-skur tal-ġilda;b’lura|idejn|indiċi|indiċi b’lura li jipponta lejn il-lemin|indiċi b’lura li jipponta lejn il-lemin: ton medju-skur tal-ġilda|punt|suba’|ton medju-skur tal-ġilda
	👉🏿;indiċi b’lura li jipponta lejn il-lemin: ton skur tal-ġilda;b’lura|idejn|indiċi|indiċi b’lura li jipponta lejn il-lemin|indiċi b’lura li jipponta lejn il-lemin: ton skur tal-ġilda|punt|suba’|ton skur tal-ġilda
👆;indiċi b’lura li jipponta ’l fuq;’l fuq|id|indiċ|indiċi b’lura|indiċi b’lura li jipponta ’l fuq|ipponta|suba’
	👆🏻;indiċi b’lura li jipponta ’l fuq: ton ċar tal-ġilda;’l fuq|id|indiċ|indiċi b’lura|indiċi b’lura li jipponta ’l fuq|indiċi b’lura li jipponta ’l fuq: ton ċar tal-ġilda|ipponta|suba’|ton ċar tal-ġilda
	👆🏼;indiċi b’lura li jipponta ’l fuq: ton medju-ċar tal-ġilda;’l fuq|id|indiċ|indiċi b’lura|indiċi b’lura li jipponta ’l fuq|indiċi b’lura li jipponta ’l fuq: ton medju-ċar tal-ġilda|ipponta|suba’|ton medju-ċar tal-ġilda
	👆🏽;indiċi b’lura li jipponta ’l fuq: ton medju tal-ġilda;’l fuq|id|indiċ|indiċi b’lura|indiċi b’lura li jipponta ’l fuq|indiċi b’lura li jipponta ’l fuq: ton medju tal-ġilda|ipponta|suba’|ton medju tal-ġilda
	👆🏾;indiċi b’lura li jipponta ’l fuq: ton medju-skur tal-ġilda;’l fuq|id|indiċ|indiċi b’lura|indiċi b’lura li jipponta ’l fuq|indiċi b’lura li jipponta ’l fuq: ton medju-skur tal-ġilda|ipponta|suba’|ton medju-skur tal-ġilda
	👆🏿;indiċi b’lura li jipponta ’l fuq: ton skur tal-ġilda;’l fuq|id|indiċ|indiċi b’lura|indiċi b’lura li jipponta ’l fuq|indiċi b’lura li jipponta ’l fuq: ton skur tal-ġilda|ipponta|suba’|ton skur tal-ġilda
🖕;suba’ tan-nofs;id|suba’|suba’ tan-nofs
	🖕🏻;suba’ tan-nofs: ton ċar tal-ġilda;id|suba’|suba’ tan-nofs|suba’ tan-nofs: ton ċar tal-ġilda|ton ċar tal-ġilda
	🖕🏼;suba’ tan-nofs: ton medju-ċar tal-ġilda;id|suba’|suba’ tan-nofs|suba’ tan-nofs: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🖕🏽;suba’ tan-nofs: ton medju tal-ġilda;id|suba’|suba’ tan-nofs|suba’ tan-nofs: ton medju tal-ġilda|ton medju tal-ġilda
	🖕🏾;suba’ tan-nofs: ton medju-skur tal-ġilda;id|suba’|suba’ tan-nofs|suba’ tan-nofs: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🖕🏿;suba’ tan-nofs: ton skur tal-ġilda;id|suba’|suba’ tan-nofs|suba’ tan-nofs: ton skur tal-ġilda|ton skur tal-ġilda
👇;indiċi b’lura li jipponta ’l isfel;’l isfel|id|indiċi|indiċi b’lura|indiċi b’lura li jipponta ’l isfel|punt|suba’
	👇🏻;indiċi b’lura li jipponta ’l isfel: ton ċar tal-ġilda;’l isfel|id|indiċi|indiċi b’lura|indiċi b’lura li jipponta ’l isfel|indiċi b’lura li jipponta ’l isfel: ton ċar tal-ġilda|punt|suba’|ton ċar tal-ġilda
	👇🏼;indiċi b’lura li jipponta ’l isfel: ton medju-ċar tal-ġilda;’l isfel|id|indiċi|indiċi b’lura|indiċi b’lura li jipponta ’l isfel|indiċi b’lura li jipponta ’l isfel: ton medju-ċar tal-ġilda|punt|suba’|ton medju-ċar tal-ġilda
	👇🏽;indiċi b’lura li jipponta ’l isfel: ton medju tal-ġilda;’l isfel|id|indiċi|indiċi b’lura|indiċi b’lura li jipponta ’l isfel|indiċi b’lura li jipponta ’l isfel: ton medju tal-ġilda|punt|suba’|ton medju tal-ġilda
	👇🏾;indiċi b’lura li jipponta ’l isfel: ton medju-skur tal-ġilda;’l isfel|id|indiċi|indiċi b’lura|indiċi b’lura li jipponta ’l isfel|indiċi b’lura li jipponta ’l isfel: ton medju-skur tal-ġilda|punt|suba’|ton medju-skur tal-ġilda
	👇🏿;indiċi b’lura li jipponta ’l isfel: ton skur tal-ġilda;’l isfel|id|indiċi|indiċi b’lura|indiċi b’lura li jipponta ’l isfel|indiċi b’lura li jipponta ’l isfel: ton skur tal-ġilda|punt|suba’|ton skur tal-ġilda
☝️;indiċi li jipponta ’l fuq;’l fuq|id|indiċi|indiċi li jipponta ’l fuq|ipponta|suba’
	☝🏻;indiċi li jipponta ’l fuq: ton ċar tal-ġilda;’l fuq|id|indiċi|indiċi li jipponta ’l fuq|indiċi li jipponta ’l fuq: ton ċar tal-ġilda|ipponta|suba’|ton ċar tal-ġilda
	☝🏼;indiċi li jipponta ’l fuq: ton medju-ċar tal-ġilda;’l fuq|id|indiċi|indiċi li jipponta ’l fuq|indiċi li jipponta ’l fuq: ton medju-ċar tal-ġilda|ipponta|suba’|ton medju-ċar tal-ġilda
	☝🏽;indiċi li jipponta ’l fuq: ton medju tal-ġilda;’l fuq|id|indiċi|indiċi li jipponta ’l fuq|indiċi li jipponta ’l fuq: ton medju tal-ġilda|ipponta|suba’|ton medju tal-ġilda
	☝🏾;indiċi li jipponta ’l fuq: ton medju-skur tal-ġilda;’l fuq|id|indiċi|indiċi li jipponta ’l fuq|indiċi li jipponta ’l fuq: ton medju-skur tal-ġilda|ipponta|suba’|ton medju-skur tal-ġilda
	☝🏿;indiċi li jipponta ’l fuq: ton skur tal-ġilda;’l fuq|id|indiċi|indiċi li jipponta ’l fuq|indiċi li jipponta ’l fuq: ton skur tal-ġilda|ipponta|suba’|ton skur tal-ġilda
🫵;;
	🫵🏻;;
	🫵🏼;;
	🫵🏽;;
	🫵🏾;;
	🫵🏿;;
👍;behem ’il fuq;’il fuq|+1|behem|behem ’il fuq|id
	👍🏻;behem ’il fuq: ton ċar tal-ġilda;’il fuq|+1|behem|behem ’il fuq|behem ’il fuq: ton ċar tal-ġilda|id|ton ċar tal-ġilda
	👍🏼;behem ’il fuq: ton medju-ċar tal-ġilda;’il fuq|+1|behem|behem ’il fuq|behem ’il fuq: ton medju-ċar tal-ġilda|id|ton medju-ċar tal-ġilda
	👍🏽;behem ’il fuq: ton medju tal-ġilda;’il fuq|+1|behem|behem ’il fuq|behem ’il fuq: ton medju tal-ġilda|id|ton medju tal-ġilda
	👍🏾;behem ’il fuq: ton medju-skur tal-ġilda;’il fuq|+1|behem|behem ’il fuq|behem ’il fuq: ton medju-skur tal-ġilda|id|ton medju-skur tal-ġilda
	👍🏿;behem ’il fuq: ton skur tal-ġilda;’il fuq|+1|behem|behem ’il fuq|behem ’il fuq: ton skur tal-ġilda|id|ton skur tal-ġilda
👎;behem ’l isfel;-1|’l isfel|behem|behem ’l isfel|id
	👎🏻;behem ’l isfel: ton ċar tal-ġilda;-1|’l isfel|behem|behem ’l isfel|behem ’l isfel: ton ċar tal-ġilda|id|ton ċar tal-ġilda
	👎🏼;behem ’l isfel: ton medju-ċar tal-ġilda;-1|’l isfel|behem|behem ’l isfel|behem ’l isfel: ton medju-ċar tal-ġilda|id|ton medju-ċar tal-ġilda
	👎🏽;behem ’l isfel: ton medju tal-ġilda;-1|’l isfel|behem|behem ’l isfel|behem ’l isfel: ton medju tal-ġilda|id|ton medju tal-ġilda
	👎🏾;behem ’l isfel: ton medju-skur tal-ġilda;-1|’l isfel|behem|behem ’l isfel|behem ’l isfel: ton medju-skur tal-ġilda|id|ton medju-skur tal-ġilda
	👎🏿;behem ’l isfel: ton skur tal-ġilda;-1|’l isfel|behem|behem ’l isfel|behem ’l isfel: ton skur tal-ġilda|id|ton skur tal-ġilda
✊;ponn mgħolli;daqqa ta’ ponn|ħafen|id|ponn|ponn mgħolli
	✊🏻;ponn mgħolli: ton ċar tal-ġilda;daqqa ta’ ponn|ħafen|id|ponn|ponn mgħolli|ponn mgħolli: ton ċar tal-ġilda|ton ċar tal-ġilda
	✊🏼;ponn mgħolli: ton medju-ċar tal-ġilda;daqqa ta’ ponn|ħafen|id|ponn|ponn mgħolli|ponn mgħolli: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	✊🏽;ponn mgħolli: ton medju tal-ġilda;daqqa ta’ ponn|ħafen|id|ponn|ponn mgħolli|ponn mgħolli: ton medju tal-ġilda|ton medju tal-ġilda
	✊🏾;ponn mgħolli: ton medju-skur tal-ġilda;daqqa ta’ ponn|ħafen|id|ponn|ponn mgħolli|ponn mgħolli: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	✊🏿;ponn mgħolli: ton skur tal-ġilda;daqqa ta’ ponn|ħafen|id|ponn|ponn mgħolli|ponn mgħolli: ton skur tal-ġilda|ton skur tal-ġilda
👊;ponn dieħel;daqqa ta’ ponn|ħafen|id|ponn|ponn dieħel
	👊🏻;ponn dieħel: ton ċar tal-ġilda;daqqa ta’ ponn|ħafen|id|ponn|ponn dieħel|ponn dieħel: ton ċar tal-ġilda|ton ċar tal-ġilda
	👊🏼;ponn dieħel: ton medju-ċar tal-ġilda;daqqa ta’ ponn|ħafen|id|ponn|ponn dieħel|ponn dieħel: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	👊🏽;ponn dieħel: ton medju tal-ġilda;daqqa ta’ ponn|ħafen|id|ponn|ponn dieħel|ponn dieħel: ton medju tal-ġilda|ton medju tal-ġilda
	👊🏾;ponn dieħel: ton medju-skur tal-ġilda;daqqa ta’ ponn|ħafen|id|ponn|ponn dieħel|ponn dieħel: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	👊🏿;ponn dieħel: ton skur tal-ġilda;daqqa ta’ ponn|ħafen|id|ponn|ponn dieħel|ponn dieħel: ton skur tal-ġilda|ton skur tal-ġilda
🤛;ponn iħares lejn ix-xellug;l-ewwel|lejn ix-xellug|ponn iħares lejn ix-xellug
	🤛🏻;ponn iħares lejn ix-xellug: ton ċar tal-ġilda;l-ewwel|lejn ix-xellug|ponn iħares lejn ix-xellug|ponn iħares lejn ix-xellug: ton ċar tal-ġilda|ton ċar tal-ġilda
	🤛🏼;ponn iħares lejn ix-xellug: ton medju-ċar tal-ġilda;l-ewwel|lejn ix-xellug|ponn iħares lejn ix-xellug|ponn iħares lejn ix-xellug: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🤛🏽;ponn iħares lejn ix-xellug: ton medju tal-ġilda;l-ewwel|lejn ix-xellug|ponn iħares lejn ix-xellug|ponn iħares lejn ix-xellug: ton medju tal-ġilda|ton medju tal-ġilda
	🤛🏾;ponn iħares lejn ix-xellug: ton medju-skur tal-ġilda;l-ewwel|lejn ix-xellug|ponn iħares lejn ix-xellug|ponn iħares lejn ix-xellug: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🤛🏿;ponn iħares lejn ix-xellug: ton skur tal-ġilda;l-ewwel|lejn ix-xellug|ponn iħares lejn ix-xellug|ponn iħares lejn ix-xellug: ton skur tal-ġilda|ton skur tal-ġilda
🤜;ponn iħares lemin;l-ewwel|lejn il-lemin|ponn iħares lemin
	🤜🏻;ponn iħares lemin: ton ċar tal-ġilda;l-ewwel|lejn il-lemin|ponn iħares lemin|ponn iħares lemin: ton ċar tal-ġilda|ton ċar tal-ġilda
	🤜🏼;ponn iħares lemin: ton medju-ċar tal-ġilda;l-ewwel|lejn il-lemin|ponn iħares lemin|ponn iħares lemin: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🤜🏽;ponn iħares lemin: ton medju tal-ġilda;l-ewwel|lejn il-lemin|ponn iħares lemin|ponn iħares lemin: ton medju tal-ġilda|ton medju tal-ġilda
	🤜🏾;ponn iħares lemin: ton medju-skur tal-ġilda;l-ewwel|lejn il-lemin|ponn iħares lemin|ponn iħares lemin: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🤜🏿;ponn iħares lemin: ton skur tal-ġilda;l-ewwel|lejn il-lemin|ponn iħares lemin|ponn iħares lemin: ton skur tal-ġilda|ton skur tal-ġilda
👏;idejn iċapċpu;ċapċap|id|idejn iċapċpu
	👏🏻;idejn iċapċpu: ton ċar tal-ġilda;ċapċap|id|idejn iċapċpu|idejn iċapċpu: ton ċar tal-ġilda|ton ċar tal-ġilda
	👏🏼;idejn iċapċpu: ton medju-ċar tal-ġilda;ċapċap|id|idejn iċapċpu|idejn iċapċpu: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	👏🏽;idejn iċapċpu: ton medju tal-ġilda;ċapċap|id|idejn iċapċpu|idejn iċapċpu: ton medju tal-ġilda|ton medju tal-ġilda
	👏🏾;idejn iċapċpu: ton medju-skur tal-ġilda;ċapċap|id|idejn iċapċpu|idejn iċapċpu: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	👏🏿;idejn iċapċpu: ton skur tal-ġilda;ċapċap|id|idejn iċapċpu|idejn iċapċpu: ton skur tal-ġilda|ton skur tal-ġilda
🙌;idejn mgħollija;bl-idejn|ċelebrazzjoni|ġesti|hooray|idejn mgħollija|mgħollija
	🙌🏻;idejn mgħollija: ton ċar tal-ġilda;bl-idejn|ċelebrazzjoni|ġesti|hooray|idejn mgħollija|idejn mgħollija: ton ċar tal-ġilda|mgħollija|ton ċar tal-ġilda
	🙌🏼;idejn mgħollija: ton medju-ċar tal-ġilda;bl-idejn|ċelebrazzjoni|ġesti|hooray|idejn mgħollija|idejn mgħollija: ton medju-ċar tal-ġilda|mgħollija|ton medju-ċar tal-ġilda
	🙌🏽;idejn mgħollija: ton medju tal-ġilda;bl-idejn|ċelebrazzjoni|ġesti|hooray|idejn mgħollija|idejn mgħollija: ton medju tal-ġilda|mgħollija|ton medju tal-ġilda
	🙌🏾;idejn mgħollija: ton medju-skur tal-ġilda;bl-idejn|ċelebrazzjoni|ġesti|hooray|idejn mgħollija|idejn mgħollija: ton medju-skur tal-ġilda|mgħollija|ton medju-skur tal-ġilda
	🙌🏿;idejn mgħollija: ton skur tal-ġilda;bl-idejn|ċelebrazzjoni|ġesti|hooray|idejn mgħollija|idejn mgħollija: ton skur tal-ġilda|mgħollija|ton skur tal-ġilda
🫶;;
	🫶🏻;;
	🫶🏼;;
	🫶🏽;;
	🫶🏾;;
	🫶🏿;;
👐;idejn miftuħa;id|idejn miftuħa|miftuħa
	👐🏻;idejn miftuħa: ton ċar tal-ġilda;id|idejn miftuħa|idejn miftuħa: ton ċar tal-ġilda|miftuħa|ton ċar tal-ġilda
	👐🏼;idejn miftuħa: ton medju-ċar tal-ġilda;id|idejn miftuħa|idejn miftuħa: ton medju-ċar tal-ġilda|miftuħa|ton medju-ċar tal-ġilda
	👐🏽;idejn miftuħa: ton medju tal-ġilda;id|idejn miftuħa|idejn miftuħa: ton medju tal-ġilda|miftuħa|ton medju tal-ġilda
	👐🏾;idejn miftuħa: ton medju-skur tal-ġilda;id|idejn miftuħa|idejn miftuħa: ton medju-skur tal-ġilda|miftuħa|ton medju-skur tal-ġilda
	👐🏿;idejn miftuħa: ton skur tal-ġilda;id|idejn miftuħa|idejn miftuħa: ton skur tal-ġilda|miftuħa|ton skur tal-ġilda
🤲;pali tal-idejn flimkien;pali tal-idejn flimkien|talb
	🤲🏻;pali tal-idejn flimkien: ton ċar tal-ġilda;pali tal-idejn flimkien|pali tal-idejn flimkien: ton ċar tal-ġilda|talb|ton ċar tal-ġilda
	🤲🏼;pali tal-idejn flimkien: ton medju-ċar tal-ġilda;pali tal-idejn flimkien|pali tal-idejn flimkien: ton medju-ċar tal-ġilda|talb|ton medju-ċar tal-ġilda
	🤲🏽;pali tal-idejn flimkien: ton medju tal-ġilda;pali tal-idejn flimkien|pali tal-idejn flimkien: ton medju tal-ġilda|talb|ton medju tal-ġilda
	🤲🏾;pali tal-idejn flimkien: ton medju-skur tal-ġilda;pali tal-idejn flimkien|pali tal-idejn flimkien: ton medju-skur tal-ġilda|talb|ton medju-skur tal-ġilda
	🤲🏿;pali tal-idejn flimkien: ton skur tal-ġilda;pali tal-idejn flimkien|pali tal-idejn flimkien: ton skur tal-ġilda|talb|ton skur tal-ġilda
🤝;ħu bl-idejn;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|laqgħa
	🤝🏻;ħu bl-idejn: ton ċar tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton ċar tal-ġilda|laqgħa|ton ċar tal-ġilda
	🤝🏼;ħu bl-idejn: ton medju-ċar tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton medju-ċar tal-ġilda|laqgħa|ton medju-ċar tal-ġilda
	🤝🏽;ħu bl-idejn: ton medju tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton medju tal-ġilda|laqgħa|ton medju tal-ġilda
	🤝🏾;ħu bl-idejn: ton medju-skur tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton medju-skur tal-ġilda|laqgħa|ton medju-skur tal-ġilda
	🤝🏿;ħu bl-idejn: ton skur tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton skur tal-ġilda|laqgħa|ton skur tal-ġilda
	🫱🏻‍🫲🏼;ħu bl-idejn: ton ċar tal-ġilda u ton medju-ċar tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton ċar tal-ġilda u ton medju-ċar tal-ġilda|laqgħa|ton ċar tal-ġilda|ton medju-ċar tal-ġilda
	🫱🏻‍🫲🏽;ħu bl-idejn: ton ċar tal-ġilda u ton medju tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton ċar tal-ġilda u ton medju tal-ġilda|laqgħa|ton ċar tal-ġilda|ton medju tal-ġilda
	🫱🏻‍🫲🏾;ħu bl-idejn: ton ċar tal-ġilda u ton medju-skur tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton ċar tal-ġilda u ton medju-skur tal-ġilda|laqgħa|ton ċar tal-ġilda|ton medju-skur tal-ġilda
	🫱🏻‍🫲🏿;ħu bl-idejn: ton ċar tal-ġilda u ton skur tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton ċar tal-ġilda u ton skur tal-ġilda|laqgħa|ton ċar tal-ġilda|ton skur tal-ġilda
	🫱🏼‍🫲🏻;ħu bl-idejn: ton medju-ċar tal-ġilda u ton ċar tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton medju-ċar tal-ġilda u ton ċar tal-ġilda|laqgħa|ton ċar tal-ġilda|ton medju-ċar tal-ġilda
	🫱🏼‍🫲🏽;ħu bl-idejn: ton medju-ċar tal-ġilda u ton medju tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton medju-ċar tal-ġilda u ton medju tal-ġilda|laqgħa|ton medju tal-ġilda|ton medju-ċar tal-ġilda
	🫱🏼‍🫲🏾;ħu bl-idejn: ton medju-ċar tal-ġilda u ton medju-skur tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton medju-ċar tal-ġilda u ton medju-skur tal-ġilda|laqgħa|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda
	🫱🏼‍🫲🏿;ħu bl-idejn: ton medju-ċar tal-ġilda u ton skur tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton medju-ċar tal-ġilda u ton skur tal-ġilda|laqgħa|ton medju-ċar tal-ġilda|ton skur tal-ġilda
	🫱🏽‍🫲🏻;ħu bl-idejn: ton medju tal-ġilda u ton ċar tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton medju tal-ġilda u ton ċar tal-ġilda|laqgħa|ton ċar tal-ġilda|ton medju tal-ġilda
	🫱🏽‍🫲🏼;ħu bl-idejn: ton medju tal-ġilda u ton medju-ċar tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton medju tal-ġilda u ton medju-ċar tal-ġilda|laqgħa|ton medju tal-ġilda|ton medju-ċar tal-ġilda
	🫱🏽‍🫲🏾;ħu bl-idejn: ton medju tal-ġilda u ton medju-skur tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton medju tal-ġilda u ton medju-skur tal-ġilda|laqgħa|ton medju tal-ġilda|ton medju-skur tal-ġilda
	🫱🏽‍🫲🏿;ħu bl-idejn: ton medju tal-ġilda u ton skur tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton medju tal-ġilda u ton skur tal-ġilda|laqgħa|ton medju tal-ġilda|ton skur tal-ġilda
	🫱🏾‍🫲🏻;ħu bl-idejn: ton medju-skur tal-ġilda u ton ċar tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton medju-skur tal-ġilda u ton ċar tal-ġilda|laqgħa|ton ċar tal-ġilda|ton medju-skur tal-ġilda
	🫱🏾‍🫲🏼;ħu bl-idejn: ton medju-skur tal-ġilda u ton medju-ċar tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton medju-skur tal-ġilda u ton medju-ċar tal-ġilda|laqgħa|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda
	🫱🏾‍🫲🏽;ħu bl-idejn: ton medju-skur tal-ġilda u ton medju tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton medju-skur tal-ġilda u ton medju tal-ġilda|laqgħa|ton medju tal-ġilda|ton medju-skur tal-ġilda
	🫱🏾‍🫲🏿;ħu bl-idejn: ton medju-skur tal-ġilda u ton skur tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton medju-skur tal-ġilda u ton skur tal-ġilda|laqgħa|ton medju-skur tal-ġilda|ton skur tal-ġilda
	🫱🏿‍🫲🏻;ħu bl-idejn: ton skur tal-ġilda u ton ċar tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton skur tal-ġilda u ton ċar tal-ġilda|laqgħa|ton ċar tal-ġilda|ton skur tal-ġilda
	🫱🏿‍🫲🏼;ħu bl-idejn: ton skur tal-ġilda u ton medju-ċar tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton skur tal-ġilda u ton medju-ċar tal-ġilda|laqgħa|ton medju-ċar tal-ġilda|ton skur tal-ġilda
	🫱🏿‍🫲🏽;ħu bl-idejn: ton skur tal-ġilda u ton medju tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton skur tal-ġilda u ton medju tal-ġilda|laqgħa|ton medju tal-ġilda|ton skur tal-ġilda
	🫱🏿‍🫲🏾;ħu bl-idejn: ton skur tal-ġilda u ton medju-skur tal-ġilda;b’idejn|ftehim|handshake|ħu|ħu bl-idejn|ħu bl-idejn: ton skur tal-ġilda u ton medju-skur tal-ġilda|laqgħa|ton medju-skur tal-ġilda|ton skur tal-ġilda
🙏;idejn magħluqa;bl-idejn|ġesti|grazzi|idejn magħluqa|inkina|jekk jogħġbok|jitolbu|magħluqa|Staqsi
	🙏🏻;idejn magħluqa: ton ċar tal-ġilda;bl-idejn|ġesti|grazzi|idejn magħluqa|idejn magħluqa: ton ċar tal-ġilda|inkina|jekk jogħġbok|jitolbu|magħluqa|Staqsi|ton ċar tal-ġilda
	🙏🏼;idejn magħluqa: ton medju-ċar tal-ġilda;bl-idejn|ġesti|grazzi|idejn magħluqa|idejn magħluqa: ton medju-ċar tal-ġilda|inkina|jekk jogħġbok|jitolbu|magħluqa|Staqsi|ton medju-ċar tal-ġilda
	🙏🏽;idejn magħluqa: ton medju tal-ġilda;bl-idejn|ġesti|grazzi|idejn magħluqa|idejn magħluqa: ton medju tal-ġilda|inkina|jekk jogħġbok|jitolbu|magħluqa|Staqsi|ton medju tal-ġilda
	🙏🏾;idejn magħluqa: ton medju-skur tal-ġilda;bl-idejn|ġesti|grazzi|idejn magħluqa|idejn magħluqa: ton medju-skur tal-ġilda|inkina|jekk jogħġbok|jitolbu|magħluqa|Staqsi|ton medju-skur tal-ġilda
	🙏🏿;idejn magħluqa: ton skur tal-ġilda;bl-idejn|ġesti|grazzi|idejn magħluqa|idejn magħluqa: ton skur tal-ġilda|inkina|jekk jogħġbok|jitolbu|magħluqa|Staqsi|ton skur tal-ġilda
✍️;id li tikteb biha;id|id li tikteb biha|tikteb
	✍🏻;id li tikteb biha: ton ċar tal-ġilda;id|id li tikteb biha|id li tikteb biha: ton ċar tal-ġilda|tikteb|ton ċar tal-ġilda
	✍🏼;id li tikteb biha: ton medju-ċar tal-ġilda;id|id li tikteb biha|id li tikteb biha: ton medju-ċar tal-ġilda|tikteb|ton medju-ċar tal-ġilda
	✍🏽;id li tikteb biha: ton medju tal-ġilda;id|id li tikteb biha|id li tikteb biha: ton medju tal-ġilda|tikteb|ton medju tal-ġilda
	✍🏾;id li tikteb biha: ton medju-skur tal-ġilda;id|id li tikteb biha|id li tikteb biha: ton medju-skur tal-ġilda|tikteb|ton medju-skur tal-ġilda
	✍🏿;id li tikteb biha: ton skur tal-ġilda;id|id li tikteb biha|id li tikteb biha: ton skur tal-ġilda|tikteb|ton skur tal-ġilda
💅;nail polish;dwiefer|kosmetiċi|kura|manicure|nail polish|polish
	💅🏻;nail polish: ton ċar tal-ġilda;dwiefer|kosmetiċi|kura|manicure|nail polish|nail polish: ton ċar tal-ġilda|polish|ton ċar tal-ġilda
	💅🏼;nail polish: ton medju-ċar tal-ġilda;dwiefer|kosmetiċi|kura|manicure|nail polish|nail polish: ton medju-ċar tal-ġilda|polish|ton medju-ċar tal-ġilda
	💅🏽;nail polish: ton medju tal-ġilda;dwiefer|kosmetiċi|kura|manicure|nail polish|nail polish: ton medju tal-ġilda|polish|ton medju tal-ġilda
	💅🏾;nail polish: ton medju-skur tal-ġilda;dwiefer|kosmetiċi|kura|manicure|nail polish|nail polish: ton medju-skur tal-ġilda|polish|ton medju-skur tal-ġilda
	💅🏿;nail polish: ton skur tal-ġilda;dwiefer|kosmetiċi|kura|manicure|nail polish|nail polish: ton skur tal-ġilda|polish|ton skur tal-ġilda
🤳;stessu;kamera|stessu|telefown
	🤳🏻;stessu: ton ċar tal-ġilda;kamera|stessu|stessu: ton ċar tal-ġilda|telefown|ton ċar tal-ġilda
	🤳🏼;stessu: ton medju-ċar tal-ġilda;kamera|stessu|stessu: ton medju-ċar tal-ġilda|telefown|ton medju-ċar tal-ġilda
	🤳🏽;stessu: ton medju tal-ġilda;kamera|stessu|stessu: ton medju tal-ġilda|telefown|ton medju tal-ġilda
