[smileys_emotion]
😀;față încântată;față|față încântată|încântare
	🫰🏻;mână cu degetul mare și arătătorul încrucișate: ton deschis al pielii;bani|ciubuc|mână cu degetul mare și arătătorul încrucișate|mână cu degetul mare și arătătorul încrucișate: ton deschis al pielii|pocnet|scump|ton deschis al pielii
	🫰🏼;mână cu degetul mare și arătătorul încrucișate: ton semi‑deschis al pielii;bani|ciubuc|mână cu degetul mare și arătătorul încrucișate|mână cu degetul mare și arătătorul încrucișate: ton semi‑deschis al pielii|pocnet|scump|ton semi‑deschis al pielii
	🫰🏽;mână cu degetul mare și arătătorul încrucișate: ton mediu al pielii;bani|ciubuc|mână cu degetul mare și arătătorul încrucișate|mână cu degetul mare și arătătorul încrucișate: ton mediu al pielii|pocnet|scump|ton mediu al pielii
	🫰🏾;mână cu degetul mare și arătătorul încrucișate: ton semi‑închis al pielii;bani|ciubuc|mână cu degetul mare și arătătorul încrucișate|mână cu degetul mare și arătătorul încrucișate: ton semi‑închis al pielii|pocnet|scump|ton semi‑închis al pielii
	🫰🏿;mână cu degetul mare și arătătorul încrucișate: ton închis al pielii;bani|ciubuc|mână cu degetul mare și arătătorul încrucișate|mână cu degetul mare și arătătorul încrucișate: ton închis al pielii|pocnet|scump|ton închis al pielii
🤟;gest cu semnificația te iubesc;gest cu semnificația te iubesc|mână|te iubesc
	🤟🏻;gest cu semnificația te iubesc: ton deschis al pielii;gest cu semnificația te iubesc|gest cu semnificația te iubesc: ton deschis al pielii|mână|te iubesc|ton deschis al pielii
	🤟🏼;gest cu semnificația te iubesc: ton semi‑deschis al pielii;gest cu semnificația te iubesc|gest cu semnificația te iubesc: ton semi‑deschis al pielii|mână|te iubesc|ton semi‑deschis al pielii
	🤟🏽;gest cu semnificația te iubesc: ton mediu al pielii;gest cu semnificația te iubesc|gest cu semnificația te iubesc: ton mediu al pielii|mână|te iubesc|ton mediu al pielii
	🤟🏾;gest cu semnificația te iubesc: ton semi‑închis al pielii;gest cu semnificația te iubesc|gest cu semnificația te iubesc: ton semi‑închis al pielii|mână|te iubesc|ton semi‑închis al pielii
	🤟🏿;gest cu semnificația te iubesc: ton închis al pielii;gest cu semnificația te iubesc|gest cu semnificația te iubesc: ton închis al pielii|mână|te iubesc|ton închis al pielii
🤘;semnul cu coarne;coarne|deget|mână|rock|semnul cu coarne
	🤘🏻;semnul cu coarne: ton deschis al pielii;coarne|deget|mână|rock|semnul cu coarne|semnul cu coarne: ton deschis al pielii|ton deschis al pielii
	🤘🏼;semnul cu coarne: ton semi‑deschis al pielii;coarne|deget|mână|rock|semnul cu coarne|semnul cu coarne: ton semi‑deschis al pielii|ton semi‑deschis al pielii
	🤘🏽;semnul cu coarne: ton mediu al pielii;coarne|deget|mână|rock|semnul cu coarne|semnul cu coarne: ton mediu al pielii|ton mediu al pielii
	🤘🏾;semnul cu coarne: ton semi‑închis al pielii;coarne|deget|mână|rock|semnul cu coarne|semnul cu coarne: ton semi‑închis al pielii|ton semi‑închis al pielii
	🤘🏿;semnul cu coarne: ton închis al pielii;coarne|deget|mână|rock|semnul cu coarne|semnul cu coarne: ton închis al pielii|ton închis al pielii
🤙;semnul sună-mă;apela|mână|semnul sună-mă|suna
	🤙🏻;semnul sună-mă: ton deschis al pielii;apela|mână|semnul sună-mă|semnul sună-mă: ton deschis al pielii|suna|ton deschis al pielii
	🤙🏼;semnul sună-mă: ton semi‑deschis al pielii;apela|mână|semnul sună-mă|semnul sună-mă: ton semi‑deschis al pielii|suna|ton semi‑deschis al pielii
	🤙🏽;semnul sună-mă: ton mediu al pielii;apela|mână|semnul sună-mă|semnul sună-mă: ton mediu al pielii|suna|ton mediu al pielii
	🤙🏾;semnul sună-mă: ton semi‑închis al pielii;apela|mână|semnul sună-mă|semnul sună-mă: ton semi‑închis al pielii|suna|ton semi‑închis al pielii
	🤙🏿;semnul sună-mă: ton închis al pielii;apela|mână|semnul sună-mă|semnul sună-mă: ton închis al pielii|suna|ton închis al pielii
👈;dos de mână cu arătătorul spre stânga;arătător|deget|dos de mână cu arătătorul spre stânga|dosul palmei|mână|stânga
	👈🏻;dos de mână cu arătătorul spre stânga: ton deschis al pielii;arătător|deget|dos de mână cu arătătorul spre stânga|dos de mână cu arătătorul spre stânga: ton deschis al pielii|dosul palmei|mână|stânga|ton deschis al pielii
	👈🏼;dos de mână cu arătătorul spre stânga: ton semi‑deschis al pielii;arătător|deget|dos de mână cu arătătorul spre stânga|dos de mână cu arătătorul spre stânga: ton semi‑deschis al pielii|dosul palmei|mână|stânga|ton semi‑deschis al pielii
	👈🏽;dos de mână cu arătătorul spre stânga: ton mediu al pielii;arătător|deget|dos de mână cu arătătorul spre stânga|dos de mână cu arătătorul spre stânga: ton mediu al pielii|dosul palmei|mână|stânga|ton mediu al pielii
	👈🏾;dos de mână cu arătătorul spre stânga: ton semi‑închis al pielii;arătător|deget|dos de mână cu arătătorul spre stânga|dos de mână cu arătătorul spre stânga: ton semi‑închis al pielii|dosul palmei|mână|stânga|ton semi‑închis al pielii
	👈🏿;dos de mână cu arătătorul spre stânga: ton închis al pielii;arătător|deget|dos de mână cu arătătorul spre stânga|dos de mână cu arătătorul spre stânga: ton închis al pielii|dosul palmei|mână|stânga|ton închis al pielii
👉;dos de mână cu arătătorul spre dreapta;arătător|deget|dos de mână cu arătătorul spre dreapta|dosul palmei|dreapta|mână
	👉🏻;dos de mână cu arătătorul spre dreapta: ton deschis al pielii;arătător|deget|dos de mână cu arătătorul spre dreapta|dos de mână cu arătătorul spre dreapta: ton deschis al pielii|dosul palmei|dreapta|mână|ton deschis al pielii
	👉🏼;dos de mână cu arătătorul spre dreapta: ton semi‑deschis al pielii;arătător|deget|dos de mână cu arătătorul spre dreapta|dos de mână cu arătătorul spre dreapta: ton semi‑deschis al pielii|dosul palmei|dreapta|mână|ton semi‑deschis al pielii
	👉🏽;dos de mână cu arătătorul spre dreapta: ton mediu al pielii;arătător|deget|dos de mână cu arătătorul spre dreapta|dos de mână cu arătătorul spre dreapta: ton mediu al pielii|dosul palmei|dreapta|mână|ton mediu al pielii
	👉🏾;dos de mână cu arătătorul spre dreapta: ton semi‑închis al pielii;arătător|deget|dos de mână cu arătătorul spre dreapta|dos de mână cu arătătorul spre dreapta: ton semi‑închis al pielii|dosul palmei|dreapta|mână|ton semi‑închis al pielii
	👉🏿;dos de mână cu arătătorul spre dreapta: ton închis al pielii;arătător|deget|dos de mână cu arătătorul spre dreapta|dos de mână cu arătătorul spre dreapta: ton închis al pielii|dosul palmei|dreapta|mână|ton închis al pielii
👆;dos de mână cu arătătorul în sus;arătător|deget|dos de mână cu arătătorul în sus|dos de mână cu degetul arătător îndreptat în sus|dosul palmei|indica|sus
	👆🏻;dos de mână cu arătătorul în sus: ton deschis al pielii;arătător|deget|dos de mână cu arătătorul în sus|dos de mână cu arătătorul în sus: ton deschis al pielii|dos de mână cu degetul arătător îndreptat în sus|dosul palmei|indica|sus|ton deschis al pielii
	👆🏼;dos de mână cu arătătorul în sus: ton semi‑deschis al pielii;arătător|deget|dos de mână cu arătătorul în sus|dos de mână cu arătătorul în sus: ton semi‑deschis al pielii|dos de mână cu degetul arătător îndreptat în sus|dosul palmei|indica|sus|ton semi‑deschis al pielii
	👆🏽;dos de mână cu arătătorul în sus: ton mediu al pielii;arătător|deget|dos de mână cu arătătorul în sus|dos de mână cu arătătorul în sus: ton mediu al pielii|dos de mână cu degetul arătător îndreptat în sus|dosul palmei|indica|sus|ton mediu al pielii
	👆🏾;dos de mână cu arătătorul în sus: ton semi‑închis al pielii;arătător|deget|dos de mână cu arătătorul în sus|dos de mână cu arătătorul în sus: ton semi‑închis al pielii|dos de mână cu degetul arătător îndreptat în sus|dosul palmei|indica|sus|ton semi‑închis al pielii
	👆🏿;dos de mână cu arătătorul în sus: ton închis al pielii;arătător|deget|dos de mână cu arătătorul în sus|dos de mână cu arătătorul în sus: ton închis al pielii|dos de mână cu degetul arătător îndreptat în sus|dosul palmei|indica|sus|ton închis al pielii
🖕;degetul mijlociu;deget|degetul mijlociu|gest|insultă|mijlociu
	🖕🏻;degetul mijlociu: ton deschis al pielii;deget|degetul mijlociu|degetul mijlociu: ton deschis al pielii|gest|insultă|mijlociu|ton deschis al pielii
	🖕🏼;degetul mijlociu: ton semi‑deschis al pielii;deget|degetul mijlociu|degetul mijlociu: ton semi‑deschis al pielii|gest|insultă|mijlociu|ton semi‑deschis al pielii
	🖕🏽;degetul mijlociu: ton mediu al pielii;deget|degetul mijlociu|degetul mijlociu: ton mediu al pielii|gest|insultă|mijlociu|ton mediu al pielii
	🖕🏾;degetul mijlociu: ton semi‑închis al pielii;deget|degetul mijlociu|degetul mijlociu: ton semi‑închis al pielii|gest|insultă|mijlociu|ton semi‑închis al pielii
	🖕🏿;degetul mijlociu: ton închis al pielii;deget|degetul mijlociu|degetul mijlociu: ton închis al pielii|gest|insultă|mijlociu|ton închis al pielii
👇;dos de mână cu arătătorul în jos;arătător|deget|dos de mână cu arătătorul în jos|dos de mână cu degetul arătător îndreptat în jos|dosul palmei|indica|jos
	👇🏻;dos de mână cu arătătorul în jos: ton deschis al pielii;arătător|deget|dos de mână cu arătătorul în jos|dos de mână cu arătătorul în jos: ton deschis al pielii|dos de mână cu degetul arătător îndreptat în jos|dosul palmei|indica|jos|ton deschis al pielii
	👇🏼;dos de mână cu arătătorul în jos: ton semi‑deschis al pielii;arătător|deget|dos de mână cu arătătorul în jos|dos de mână cu arătătorul în jos: ton semi‑deschis al pielii|dos de mână cu degetul arătător îndreptat în jos|dosul palmei|indica|jos|ton semi‑deschis al pielii
	👇🏽;dos de mână cu arătătorul în jos: ton mediu al pielii;arătător|deget|dos de mână cu arătătorul în jos|dos de mână cu arătătorul în jos: ton mediu al pielii|dos de mână cu degetul arătător îndreptat în jos|dosul palmei|indica|jos|ton mediu al pielii
	👇🏾;dos de mână cu arătătorul în jos: ton semi‑închis al pielii;arătător|deget|dos de mână cu arătătorul în jos|dos de mână cu arătătorul în jos: ton semi‑închis al pielii|dos de mână cu degetul arătător îndreptat în jos|dosul palmei|indica|jos|ton semi‑închis al pielii
	👇🏿;dos de mână cu arătătorul în jos: ton închis al pielii;arătător|deget|dos de mână cu arătătorul în jos|dos de mână cu arătătorul în jos: ton închis al pielii|dos de mână cu degetul arătător îndreptat în jos|dosul palmei|indica|jos|ton închis al pielii
☝️;deget arătător îndreptat în sus;deget|deget arătător îndreptat în sus|indicator|sus
	☝🏻;deget arătător îndreptat în sus: ton deschis al pielii;deget|deget arătător îndreptat în sus|deget arătător îndreptat în sus: ton deschis al pielii|indicator|sus|ton deschis al pielii
	☝🏼;deget arătător îndreptat în sus: ton semi‑deschis al pielii;deget|deget arătător îndreptat în sus|deget arătător îndreptat în sus: ton semi‑deschis al pielii|indicator|sus|ton semi‑deschis al pielii
	☝🏽;deget arătător îndreptat în sus: ton mediu al pielii;deget|deget arătător îndreptat în sus|deget arătător îndreptat în sus: ton mediu al pielii|indicator|sus|ton mediu al pielii
	☝🏾;deget arătător îndreptat în sus: ton semi‑închis al pielii;deget|deget arătător îndreptat în sus|deget arătător îndreptat în sus: ton semi‑închis al pielii|indicator|sus|ton semi‑închis al pielii
	☝🏿;deget arătător îndreptat în sus: ton închis al pielii;deget|deget arătător îndreptat în sus|deget arătător îndreptat în sus: ton închis al pielii|indicator|sus|ton închis al pielii
🫵;deget arătător îndreptat spre privitor;arăta|deget arătător îndreptat spre privitor|indica|tu
	🫵🏻;deget arătător îndreptat spre privitor: ton deschis al pielii;arăta|deget arătător îndreptat spre privitor|deget arătător îndreptat spre privitor: ton deschis al pielii|indica|ton deschis al pielii|tu
	🫵🏼;deget arătător îndreptat spre privitor: ton semi‑deschis al pielii;arăta|deget arătător îndreptat spre privitor|deget arătător îndreptat spre privitor: ton semi‑deschis al pielii|indica|ton semi‑deschis al pielii|tu
	🫵🏽;deget arătător îndreptat spre privitor: ton mediu al pielii;arăta|deget arătător îndreptat spre privitor|deget arătător îndreptat spre privitor: ton mediu al pielii|indica|ton mediu al pielii|tu
	🫵🏾;deget arătător îndreptat spre privitor: ton semi‑închis al pielii;arăta|deget arătător îndreptat spre privitor|deget arătător îndreptat spre privitor: ton semi‑închis al pielii|indica|ton semi‑închis al pielii|tu
	🫵🏿;deget arătător îndreptat spre privitor: ton închis al pielii;arăta|deget arătător îndreptat spre privitor|deget arătător îndreptat spre privitor: ton închis al pielii|indica|ton închis al pielii|tu
👍;semn de aprobare;+1|aprobare|da|mână|pozitiv|semn de aprobare
	👍🏻;semn de aprobare: ton deschis al pielii;+1|aprobare|da|mână|pozitiv|semn de aprobare|semn de aprobare: ton deschis al pielii|ton deschis al pielii
	👍🏼;semn de aprobare: ton semi‑deschis al pielii;+1|aprobare|da|mână|pozitiv|semn de aprobare|semn de aprobare: ton semi‑deschis al pielii|ton semi‑deschis al pielii
	👍🏽;semn de aprobare: ton mediu al pielii;+1|aprobare|da|mână|pozitiv|semn de aprobare|semn de aprobare: ton mediu al pielii|ton mediu al pielii
	👍🏾;semn de aprobare: ton semi‑închis al pielii;+1|aprobare|da|mână|pozitiv|semn de aprobare|semn de aprobare: ton semi‑închis al pielii|ton semi‑închis al pielii
	👍🏿;semn de aprobare: ton închis al pielii;+1|aprobare|da|mână|pozitiv|semn de aprobare|semn de aprobare: ton închis al pielii|ton închis al pielii
👎;semn de dezaprobare;-1|dezaprobare|mână|negativ|nu|semn de dezaprobare
	👎🏻;semn de dezaprobare: ton deschis al pielii;-1|dezaprobare|mână|negativ|nu|semn de dezaprobare|semn de dezaprobare: ton deschis al pielii|ton deschis al pielii
	👎🏼;semn de dezaprobare: ton semi‑deschis al pielii;-1|dezaprobare|mână|negativ|nu|semn de dezaprobare|semn de dezaprobare: ton semi‑deschis al pielii|ton semi‑deschis al pielii
