[smileys_emotion]
😀;išsišiepęs veidas;išsišiepęs veidas|išsišiepti|veidas
	🤏🏾;žnybianti ranka: tamsios odos;mažas kiekis|tamsios odos|žnybianti ranka|žnybianti ranka: tamsios odos
	🤏🏿;žnybianti ranka: itin tamsios odos;itin tamsios odos|mažas kiekis|žnybianti ranka|žnybianti ranka: itin tamsios odos
✌️;pergalės ženklą rodanti ranka;pergalė|pergalės ženklą rodanti ranka|ranka|v
	✌🏻;pergalės ženklą rodanti ranka: šviesios odos;pergalė|pergalės ženklą rodanti ranka|pergalės ženklą rodanti ranka: šviesios odos|ranka|šviesios odos|v
	✌🏼;pergalės ženklą rodanti ranka: vidutinio gymio;pergalė|pergalės ženklą rodanti ranka|pergalės ženklą rodanti ranka: vidutinio gymio|ranka|v|vidutinio gymio
	✌🏽;pergalės ženklą rodanti ranka: rusvos odos;pergalė|pergalės ženklą rodanti ranka|pergalės ženklą rodanti ranka: rusvos odos|ranka|rusvos odos|v
	✌🏾;pergalės ženklą rodanti ranka: tamsios odos;pergalė|pergalės ženklą rodanti ranka|pergalės ženklą rodanti ranka: tamsios odos|ranka|tamsios odos|v
	✌🏿;pergalės ženklą rodanti ranka: itin tamsios odos;itin tamsios odos|pergalė|pergalės ženklą rodanti ranka|pergalės ženklą rodanti ranka: itin tamsios odos|ranka|v
🤞;sukryžiuoti pirštai;kryžius|laimė|pirštai|ranka|sukryžiuoti pirštai
	🤞🏻;sukryžiuoti pirštai: šviesios odos;kryžius|laimė|pirštai|ranka|sukryžiuoti pirštai|sukryžiuoti pirštai: šviesios odos|šviesios odos
	🤞🏼;sukryžiuoti pirštai: vidutinio gymio;kryžius|laimė|pirštai|ranka|sukryžiuoti pirštai|sukryžiuoti pirštai: vidutinio gymio|vidutinio gymio
	🤞🏽;sukryžiuoti pirštai: rusvos odos;kryžius|laimė|pirštai|ranka|rusvos odos|sukryžiuoti pirštai|sukryžiuoti pirštai: rusvos odos
	🤞🏾;sukryžiuoti pirštai: tamsios odos;kryžius|laimė|pirštai|ranka|sukryžiuoti pirštai|sukryžiuoti pirštai: tamsios odos|tamsios odos
	🤞🏿;sukryžiuoti pirštai: itin tamsios odos;itin tamsios odos|kryžius|laimė|pirštai|ranka|sukryžiuoti pirštai|sukryžiuoti pirštai: itin tamsios odos
🫰;ranka sukryžiuotu smiliumi ir nykščiu;brangu|meilė|pinigai|ranka sukryžiuotu smiliumi ir nykščiu|širdis|spragtelėjimas
	🫰🏻;ranka sukryžiuotu smiliumi ir nykščiu: šviesios odos;brangu|meilė|pinigai|ranka sukryžiuotu smiliumi ir nykščiu|ranka sukryžiuotu smiliumi ir nykščiu: šviesios odos|širdis|spragtelėjimas|šviesios odos
	🫰🏼;ranka sukryžiuotu smiliumi ir nykščiu: vidutinio gymio;brangu|meilė|pinigai|ranka sukryžiuotu smiliumi ir nykščiu|ranka sukryžiuotu smiliumi ir nykščiu: vidutinio gymio|širdis|spragtelėjimas|vidutinio gymio
	🫰🏽;ranka sukryžiuotu smiliumi ir nykščiu: rusvos odos;brangu|meilė|pinigai|ranka sukryžiuotu smiliumi ir nykščiu|ranka sukryžiuotu smiliumi ir nykščiu: rusvos odos|rusvos odos|širdis|spragtelėjimas
	🫰🏾;ranka sukryžiuotu smiliumi ir nykščiu: tamsios odos;brangu|meilė|pinigai|ranka sukryžiuotu smiliumi ir nykščiu|ranka sukryžiuotu smiliumi ir nykščiu: tamsios odos|širdis|spragtelėjimas|tamsios odos
	🫰🏿;ranka sukryžiuotu smiliumi ir nykščiu: itin tamsios odos;brangu|itin tamsios odos|meilė|pinigai|ranka sukryžiuotu smiliumi ir nykščiu|ranka sukryžiuotu smiliumi ir nykščiu: itin tamsios odos|širdis|spragtelėjimas
🤟;„myliu tave“ gestas;„myliu tave“ gestas|MYLIU|ranka
	🤟🏻;„myliu tave“ gestas: šviesios odos;„myliu tave“ gestas|„myliu tave“ gestas: šviesios odos|MYLIU|ranka|šviesios odos
	🤟🏼;„myliu tave“ gestas: vidutinio gymio;„myliu tave“ gestas|„myliu tave“ gestas: vidutinio gymio|MYLIU|ranka|vidutinio gymio
	🤟🏽;„myliu tave“ gestas: rusvos odos;„myliu tave“ gestas|„myliu tave“ gestas: rusvos odos|MYLIU|ranka|rusvos odos
	🤟🏾;„myliu tave“ gestas: tamsios odos;„myliu tave“ gestas|„myliu tave“ gestas: tamsios odos|MYLIU|ranka|tamsios odos
	🤟🏿;„myliu tave“ gestas: itin tamsios odos;„myliu tave“ gestas|„myliu tave“ gestas: itin tamsios odos|itin tamsios odos|MYLIU|ranka
🤘;ragų ženklas;pirštas|ragai|ragų ženklas|ranka|rokas
	🤘🏻;ragų ženklas: šviesios odos;pirštas|ragai|ragų ženklas|ragų ženklas: šviesios odos|ranka|rokas|šviesios odos
	🤘🏼;ragų ženklas: vidutinio gymio;pirštas|ragai|ragų ženklas|ragų ženklas: vidutinio gymio|ranka|rokas|vidutinio gymio
	🤘🏽;ragų ženklas: rusvos odos;pirštas|ragai|ragų ženklas|ragų ženklas: rusvos odos|ranka|rokas|rusvos odos
	🤘🏾;ragų ženklas: tamsios odos;pirštas|ragai|ragų ženklas|ragų ženklas: tamsios odos|ranka|rokas|tamsios odos
	🤘🏿;ragų ženklas: itin tamsios odos;itin tamsios odos|pirštas|ragai|ragų ženklas|ragų ženklas: itin tamsios odos|ranka|rokas
🤙;gestas paskambink man;gestas paskambink man|ranka|skambinti
	🤙🏻;gestas paskambink man: šviesios odos;gestas paskambink man|gestas paskambink man: šviesios odos|ranka|skambinti|šviesios odos
	🤙🏼;gestas paskambink man: vidutinio gymio;gestas paskambink man|gestas paskambink man: vidutinio gymio|ranka|skambinti|vidutinio gymio
	🤙🏽;gestas paskambink man: rusvos odos;gestas paskambink man|gestas paskambink man: rusvos odos|ranka|rusvos odos|skambinti
	🤙🏾;gestas paskambink man: tamsios odos;gestas paskambink man|gestas paskambink man: tamsios odos|ranka|skambinti|tamsios odos
	🤙🏿;gestas paskambink man: itin tamsios odos;gestas paskambink man|gestas paskambink man: itin tamsios odos|itin tamsios odos|ranka|skambinti
👈;į kairę pirštu rodanti ranka;į kairę pirštu rodanti ranka|indeksas|pirštas|ranka|rodyti
	👈🏻;į kairę pirštu rodanti ranka: šviesios odos;į kairę pirštu rodanti ranka|į kairę pirštu rodanti ranka: šviesios odos|indeksas|pirštas|ranka|rodyti|šviesios odos
	👈🏼;į kairę pirštu rodanti ranka: vidutinio gymio;į kairę pirštu rodanti ranka|į kairę pirštu rodanti ranka: vidutinio gymio|indeksas|pirštas|ranka|rodyti|vidutinio gymio
	👈🏽;į kairę pirštu rodanti ranka: rusvos odos;į kairę pirštu rodanti ranka|į kairę pirštu rodanti ranka: rusvos odos|indeksas|pirštas|ranka|rodyti|rusvos odos
	👈🏾;į kairę pirštu rodanti ranka: tamsios odos;į kairę pirštu rodanti ranka|į kairę pirštu rodanti ranka: tamsios odos|indeksas|pirštas|ranka|rodyti|tamsios odos
	👈🏿;į kairę pirštu rodanti ranka: itin tamsios odos;į kairę pirštu rodanti ranka|į kairę pirštu rodanti ranka: itin tamsios odos|indeksas|itin tamsios odos|pirštas|ranka|rodyti
👉;į dešinę pirštu rodanti ranka;į dešinę pirštu rodanti ranka|indeksas|pirštas|ranka|rodyti
	👉🏻;į dešinę pirštu rodanti ranka: šviesios odos;į dešinę pirštu rodanti ranka|į dešinę pirštu rodanti ranka: šviesios odos|indeksas|pirštas|ranka|rodyti|šviesios odos
	👉🏼;į dešinę pirštu rodanti ranka: vidutinio gymio;į dešinę pirštu rodanti ranka|į dešinę pirštu rodanti ranka: vidutinio gymio|indeksas|pirštas|ranka|rodyti|vidutinio gymio
	👉🏽;į dešinę pirštu rodanti ranka: rusvos odos;į dešinę pirštu rodanti ranka|į dešinę pirštu rodanti ranka: rusvos odos|indeksas|pirštas|ranka|rodyti|rusvos odos
	👉🏾;į dešinę pirštu rodanti ranka: tamsios odos;į dešinę pirštu rodanti ranka|į dešinę pirštu rodanti ranka: tamsios odos|indeksas|pirštas|ranka|rodyti|tamsios odos
	👉🏿;į dešinę pirštu rodanti ranka: itin tamsios odos;į dešinę pirštu rodanti ranka|į dešinę pirštu rodanti ranka: itin tamsios odos|indeksas|itin tamsios odos|pirštas|ranka|rodyti
👆;delnu nusukta aukštyn pirštu rodanti ranka;delnu nusukta aukštyn pirštu rodanti ranka|į viršų|indeksas|kūnas|pirštas|ranka|rodyti
	👆🏻;delnu nusukta aukštyn pirštu rodanti ranka: šviesios odos;delnu nusukta aukštyn pirštu rodanti ranka|delnu nusukta aukštyn pirštu rodanti ranka: šviesios odos|į viršų|indeksas|kūnas|pirštas|ranka|rodyti|šviesios odos
	👆🏼;delnu nusukta aukštyn pirštu rodanti ranka: vidutinio gymio;delnu nusukta aukštyn pirštu rodanti ranka|delnu nusukta aukštyn pirštu rodanti ranka: vidutinio gymio|į viršų|indeksas|kūnas|pirštas|ranka|rodyti|vidutinio gymio
	👆🏽;delnu nusukta aukštyn pirštu rodanti ranka: rusvos odos;delnu nusukta aukštyn pirštu rodanti ranka|delnu nusukta aukštyn pirštu rodanti ranka: rusvos odos|į viršų|indeksas|kūnas|pirštas|ranka|rodyti|rusvos odos
	👆🏾;delnu nusukta aukštyn pirštu rodanti ranka: tamsios odos;delnu nusukta aukštyn pirštu rodanti ranka|delnu nusukta aukštyn pirštu rodanti ranka: tamsios odos|į viršų|indeksas|kūnas|pirštas|ranka|rodyti|tamsios odos
	👆🏿;delnu nusukta aukštyn pirštu rodanti ranka: itin tamsios odos;delnu nusukta aukštyn pirštu rodanti ranka|delnu nusukta aukštyn pirštu rodanti ranka: itin tamsios odos|į viršų|indeksas|itin tamsios odos|kūnas|pirštas|ranka|rodyti
🖕;vidurinis pirštas;pirštas|ranka|vidurinis pirštas
	🖕🏻;vidurinis pirštas: šviesios odos;pirštas|ranka|šviesios odos|vidurinis pirštas|vidurinis pirštas: šviesios odos
	🖕🏼;vidurinis pirštas: vidutinio gymio;pirštas|ranka|vidurinis pirštas|vidurinis pirštas: vidutinio gymio|vidutinio gymio
	🖕🏽;vidurinis pirštas: rusvos odos;pirštas|ranka|rusvos odos|vidurinis pirštas|vidurinis pirštas: rusvos odos
	🖕🏾;vidurinis pirštas: tamsios odos;pirštas|ranka|tamsios odos|vidurinis pirštas|vidurinis pirštas: tamsios odos
	🖕🏿;vidurinis pirštas: itin tamsios odos;itin tamsios odos|pirštas|ranka|vidurinis pirštas|vidurinis pirštas: itin tamsios odos
👇;delnu nusukta žemyn pirštu rodanti ranka;delnu nusukta žemyn pirštu rodanti ranka|į apačią|indeksas|pirštas|ranka|rodyti
	👇🏻;delnu nusukta žemyn pirštu rodanti ranka: šviesios odos;delnu nusukta žemyn pirštu rodanti ranka|delnu nusukta žemyn pirštu rodanti ranka: šviesios odos|į apačią|indeksas|pirštas|ranka|rodyti|šviesios odos
	👇🏼;delnu nusukta žemyn pirštu rodanti ranka: vidutinio gymio;delnu nusukta žemyn pirštu rodanti ranka|delnu nusukta žemyn pirštu rodanti ranka: vidutinio gymio|į apačią|indeksas|pirštas|ranka|rodyti|vidutinio gymio
	👇🏽;delnu nusukta žemyn pirštu rodanti ranka: rusvos odos;delnu nusukta žemyn pirštu rodanti ranka|delnu nusukta žemyn pirštu rodanti ranka: rusvos odos|į apačią|indeksas|pirštas|ranka|rodyti|rusvos odos
	👇🏾;delnu nusukta žemyn pirštu rodanti ranka: tamsios odos;delnu nusukta žemyn pirštu rodanti ranka|delnu nusukta žemyn pirštu rodanti ranka: tamsios odos|į apačią|indeksas|pirštas|ranka|rodyti|tamsios odos
	👇🏿;delnu nusukta žemyn pirštu rodanti ranka: itin tamsios odos;delnu nusukta žemyn pirštu rodanti ranka|delnu nusukta žemyn pirštu rodanti ranka: itin tamsios odos|į apačią|indeksas|itin tamsios odos|pirštas|ranka|rodyti
☝️;delnu atsukta aukštyn pirštu rodanti ranka;delnu atsukta aukštyn pirštu rodanti ranka|į viršų|indeksas|pirštas|ranka|rodyti
	☝🏻;delnu atsukta aukštyn pirštu rodanti ranka: šviesios odos;delnu atsukta aukštyn pirštu rodanti ranka|delnu atsukta aukštyn pirštu rodanti ranka: šviesios odos|į viršų|indeksas|pirštas|ranka|rodyti|šviesios odos
	☝🏼;delnu atsukta aukštyn pirštu rodanti ranka: vidutinio gymio;delnu atsukta aukštyn pirštu rodanti ranka|delnu atsukta aukštyn pirštu rodanti ranka: vidutinio gymio|į viršų|indeksas|pirštas|ranka|rodyti|vidutinio gymio
	☝🏽;delnu atsukta aukštyn pirštu rodanti ranka: rusvos odos;delnu atsukta aukštyn pirštu rodanti ranka|delnu atsukta aukštyn pirštu rodanti ranka: rusvos odos|į viršų|indeksas|pirštas|ranka|rodyti|rusvos odos
	☝🏾;delnu atsukta aukštyn pirštu rodanti ranka: tamsios odos;delnu atsukta aukštyn pirštu rodanti ranka|delnu atsukta aukštyn pirštu rodanti ranka: tamsios odos|į viršų|indeksas|pirštas|ranka|rodyti|tamsios odos
	☝🏿;delnu atsukta aukštyn pirštu rodanti ranka: itin tamsios odos;delnu atsukta aukštyn pirštu rodanti ranka|delnu atsukta aukštyn pirštu rodanti ranka: itin tamsios odos|į viršų|indeksas|itin tamsios odos|pirštas|ranka|rodyti
🫵;į žiūrovą rodantis smilius;į žiūrovą rodantis smilius|rodyti|tu
	🫵🏻;į žiūrovą rodantis smilius: šviesios odos;į žiūrovą rodantis smilius|į žiūrovą rodantis smilius: šviesios odos|rodyti|šviesios odos|tu
	🫵🏼;į žiūrovą rodantis smilius: vidutinio gymio;į žiūrovą rodantis smilius|į žiūrovą rodantis smilius: vidutinio gymio|rodyti|tu|vidutinio gymio
	🫵🏽;į žiūrovą rodantis smilius: rusvos odos;į žiūrovą rodantis smilius|į žiūrovą rodantis smilius: rusvos odos|rodyti|rusvos odos|tu
	🫵🏾;į žiūrovą rodantis smilius: tamsios odos;į žiūrovą rodantis smilius|į žiūrovą rodantis smilius: tamsios odos|rodyti|tamsios odos|tu
	🫵🏿;į žiūrovą rodantis smilius: itin tamsios odos;į žiūrovą rodantis smilius|į žiūrovą rodantis smilius: itin tamsios odos|itin tamsios odos|rodyti|tu
👍;nykštys į viršų;į viršų|liuks|nykštys|nykštys į viršų|ranka
	👍🏻;nykštys į viršų: šviesios odos;į viršų|liuks|nykštys|nykštys į viršų|nykštys į viršų: šviesios odos|ranka|šviesios odos
	👍🏼;nykštys į viršų: vidutinio gymio;į viršų|liuks|nykštys|nykštys į viršų|nykštys į viršų: vidutinio gymio|ranka|vidutinio gymio
	👍🏽;nykštys į viršų: rusvos odos;į viršų|liuks|nykštys|nykštys į viršų|nykštys į viršų: rusvos odos|ranka|rusvos odos
	👍🏾;nykštys į viršų: tamsios odos;į viršų|liuks|nykštys|nykštys į viršų|nykštys į viršų: tamsios odos|ranka|tamsios odos
	👍🏿;nykštys į viršų: itin tamsios odos;į viršų|itin tamsios odos|liuks|nykštys|nykštys į viršų|nykštys į viršų: itin tamsios odos|ranka
👎;nykštys į apačią;blogai|nykštys|nykštys į apačią|ranka
	👎🏻;nykštys į apačią: šviesios odos;blogai|nykštys|nykštys į apačią|nykštys į apačią: šviesios odos|ranka|šviesios odos
	👎🏼;nykštys į apačią: vidutinio gymio;blogai|nykštys|nykštys į apačią|nykštys į apačią: vidutinio gymio|ranka|vidutinio gymio
	👎🏽;nykštys į apačią: rusvos odos;blogai|nykštys|nykštys į apačią|nykštys į apačią: rusvos odos|ranka|rusvos odos
	👎🏾;nykštys į apačią: tamsios odos;blogai|nykštys|nykštys į apačią|nykštys į apačią: tamsios odos|ranka|tamsios odos
	👎🏿;nykštys į apačią: itin tamsios odos;blogai|itin tamsios odos|nykštys|nykštys į apačią|nykštys į apačią: itin tamsios odos|ranka
✊;iškeltas kumštis;iškeltas kumštis|kumštis|ranka|smūgis|sugniaužta
	✊🏻;iškeltas kumštis: šviesios odos;iškeltas kumštis|iškeltas kumštis: šviesios odos|kumštis|ranka|smūgis|sugniaužta|šviesios odos
	✊🏼;iškeltas kumštis: vidutinio gymio;iškeltas kumštis|iškeltas kumštis: vidutinio gymio|kumštis|ranka|smūgis|sugniaužta|vidutinio gymio
	✊🏽;iškeltas kumštis: rusvos odos;iškeltas kumštis|iškeltas kumštis: rusvos odos|kumštis|ranka|rusvos odos|smūgis|sugniaužta
	✊🏾;iškeltas kumštis: tamsios odos;iškeltas kumštis|iškeltas kumštis: tamsios odos|kumštis|ranka|smūgis|sugniaužta|tamsios odos
	✊🏿;iškeltas kumštis: itin tamsios odos;iškeltas kumštis|iškeltas kumštis: itin tamsios odos|itin tamsios odos|kumštis|ranka|smūgis|sugniaužta
👊;artėjantis kumštis;artėjantis kumštis|kumštis|ranka|smūgis|sugniaužtas
	👊🏻;artėjantis kumštis: šviesios odos;artėjantis kumštis|artėjantis kumštis: šviesios odos|kumštis|ranka|smūgis|sugniaužtas|šviesios odos
	👊🏼;artėjantis kumštis: vidutinio gymio;artėjantis kumštis|artėjantis kumštis: vidutinio gymio|kumštis|ranka|smūgis|sugniaužtas|vidutinio gymio
	👊🏽;artėjantis kumštis: rusvos odos;artėjantis kumštis|artėjantis kumštis: rusvos odos|kumštis|ranka|rusvos odos|smūgis|sugniaužtas
	👊🏾;artėjantis kumštis: tamsios odos;artėjantis kumštis|artėjantis kumštis: tamsios odos|kumštis|ranka|smūgis|sugniaužtas|tamsios odos
	👊🏿;artėjantis kumštis: itin tamsios odos;artėjantis kumštis|artėjantis kumštis: itin tamsios odos|itin tamsios odos|kumštis|ranka|smūgis|sugniaužtas
🤛;į kairę nukreiptas kumštis;į kairę nukreiptas kumštis|kairėn|kumštis
	🤛🏻;į kairę nukreiptas kumštis: šviesios odos;į kairę nukreiptas kumštis|į kairę nukreiptas kumštis: šviesios odos|kairėn|kumštis|šviesios odos
	🤛🏼;į kairę nukreiptas kumštis: vidutinio gymio;į kairę nukreiptas kumštis|į kairę nukreiptas kumštis: vidutinio gymio|kairėn|kumštis|vidutinio gymio
	🤛🏽;į kairę nukreiptas kumštis: rusvos odos;į kairę nukreiptas kumštis|į kairę nukreiptas kumštis: rusvos odos|kairėn|kumštis|rusvos odos
	🤛🏾;į kairę nukreiptas kumštis: tamsios odos;į kairę nukreiptas kumštis|į kairę nukreiptas kumštis: tamsios odos|kairėn|kumštis|tamsios odos
	🤛🏿;į kairę nukreiptas kumštis: itin tamsios odos;į kairę nukreiptas kumštis|į kairę nukreiptas kumštis: itin tamsios odos|itin tamsios odos|kairėn|kumštis
🤜;į dešinę nukreiptas kumštis;dešinėn|į dešinę nukreiptas kumštis|kumštis
	🤜🏻;į dešinę nukreiptas kumštis: šviesios odos;dešinėn|į dešinę nukreiptas kumštis|į dešinę nukreiptas kumštis: šviesios odos|kumštis|šviesios odos
	🤜🏼;į dešinę nukreiptas kumštis: vidutinio gymio;dešinėn|į dešinę nukreiptas kumštis|į dešinę nukreiptas kumštis: vidutinio gymio|kumštis|vidutinio gymio
	🤜🏽;į dešinę nukreiptas kumštis: rusvos odos;dešinėn|į dešinę nukreiptas kumštis|į dešinę nukreiptas kumštis: rusvos odos|kumštis|rusvos odos
	🤜🏾;į dešinę nukreiptas kumštis: tamsios odos;dešinėn|į dešinę nukreiptas kumštis|į dešinę nukreiptas kumštis: tamsios odos|kumštis|tamsios odos
	🤜🏿;į dešinę nukreiptas kumštis: itin tamsios odos;dešinėn|į dešinę nukreiptas kumštis|į dešinę nukreiptas kumštis: itin tamsios odos|itin tamsios odos|kumštis
👏;plojančios rankos;plojančios rankos|ploti|rankos
	👏🏻;plojančios rankos: šviesios odos;plojančios rankos|plojančios rankos: šviesios odos|ploti|rankos|šviesios odos
	👏🏼;plojančios rankos: vidutinio gymio;plojančios rankos|plojančios rankos: vidutinio gymio|ploti|rankos|vidutinio gymio
	👏🏽;plojančios rankos: rusvos odos;plojančios rankos|plojančios rankos: rusvos odos|ploti|rankos|rusvos odos
	👏🏾;plojančios rankos: tamsios odos;plojančios rankos|plojančios rankos: tamsios odos|ploti|rankos|tamsios odos
	👏🏿;plojančios rankos: itin tamsios odos;itin tamsios odos|plojančios rankos|plojančios rankos: itin tamsios odos|ploti|rankos
