[smileys_emotion]
😀;инээсэн царай;инээсэн царай|инээх|царай
	🤌🏽;гарын хуруунуудаа нийлүүлж чимхэх: дунд зэргийн;байцаалт|гарын зангаа|гарын хуруунуудаа нийлүүлж чимхэх|гарын хуруунуудаа нийлүүлж чимхэх: дунд зэргийн|дунд зэргийн|ёжтой|хуруунууд|чимхэх
	🤌🏾;гарын хуруунуудаа нийлүүлж чимхэх: бордуу;байцаалт|бордуу|гарын зангаа|гарын хуруунуудаа нийлүүлж чимхэх|гарын хуруунуудаа нийлүүлж чимхэх: бордуу|ёжтой|хуруунууд|чимхэх
	🤌🏿;гарын хуруунуудаа нийлүүлж чимхэх: бор;байцаалт|бор|гарын зангаа|гарын хуруунуудаа нийлүүлж чимхэх|гарын хуруунуудаа нийлүүлж чимхэх: бор|ёжтой|хуруунууд|чимхэх
🤏;чимхэж буй гар;бага зэрэг|чимхэж буй гар
	🤏🏻;чимхэж буй гар: цайвар;бага зэрэг|цайвар|чимхэж буй гар|чимхэж буй гар: цайвар
	🤏🏼;чимхэж буй гар: бага зэргийн цайвар;бага зэргийн цайвар|бага зэрэг|чимхэж буй гар|чимхэж буй гар: бага зэргийн цайвар
	🤏🏽;чимхэж буй гар: дунд зэргийн;бага зэрэг|дунд зэргийн|чимхэж буй гар|чимхэж буй гар: дунд зэргийн
	🤏🏾;чимхэж буй гар: бордуу;бага зэрэг|бордуу|чимхэж буй гар|чимхэж буй гар: бордуу
	🤏🏿;чимхэж буй гар: бор;бага зэрэг|бор|чимхэж буй гар|чимхэж буй гар: бор
✌️;амжилт хүссэн гар;v|амжилт хүссэн гар|гар|ялалт
	✌🏻;амжилт хүссэн гар: цайвар;v|амжилт хүссэн гар|амжилт хүссэн гар: цайвар|гар|цайвар|ялалт
	✌🏼;амжилт хүссэн гар: бага зэргийн цайвар;v|амжилт хүссэн гар|амжилт хүссэн гар: бага зэргийн цайвар|бага зэргийн цайвар|гар|ялалт
	✌🏽;амжилт хүссэн гар: дунд зэргийн;v|амжилт хүссэн гар|амжилт хүссэн гар: дунд зэргийн|гар|дунд зэргийн|ялалт
	✌🏾;амжилт хүссэн гар: бордуу;v|амжилт хүссэн гар|амжилт хүссэн гар: бордуу|бордуу|гар|ялалт
	✌🏿;амжилт хүссэн гар: бор;v|амжилт хүссэн гар|амжилт хүссэн гар: бор|бор|гар|ялалт
🤞;солбисон хуруу;солбисон|хуруу
	🤞🏻;солбисон хуруу: цайвар;солбисон|солбисон хуруу: цайвар|хуруу|цайвар
	🤞🏼;солбисон хуруу: бага зэргийн цайвар;бага зэргийн цайвар|солбисон|солбисон хуруу: бага зэргийн цайвар|хуруу
	🤞🏽;солбисон хуруу: дунд зэргийн;дунд зэргийн|солбисон|солбисон хуруу: дунд зэргийн|хуруу
	🤞🏾;солбисон хуруу: бордуу;бордуу|солбисон|солбисон хуруу: бордуу|хуруу
	🤞🏿;солбисон хуруу: бор;бор|солбисон|солбисон хуруу: бор|хуруу
🫰;долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар;долоовор хуруу|долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар|зүрх|мөнгө|үнэтэй|хайр|эрхий хуруугаа зөрүүлж барьсан гар
	🫰🏻;долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар: цайвар;долоовор хуруу|долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар|долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар: цайвар|зүрх|мөнгө|үнэтэй|хайр|цайвар|эрхий хуруугаа зөрүүлж барьсан гар
	🫰🏼;долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар: бага зэргийн цайвар;бага зэргийн цайвар|долоовор хуруу|долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар|долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар: бага зэргийн цайвар|зүрх|мөнгө|үнэтэй|хайр|эрхий хуруугаа зөрүүлж барьсан гар
	🫰🏽;долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар: дунд зэргийн;долоовор хуруу|долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар|долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар: дунд зэргийн|дунд зэргийн|зүрх|мөнгө|үнэтэй|хайр|эрхий хуруугаа зөрүүлж барьсан гар
	🫰🏾;долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар: бордуу;бордуу|долоовор хуруу|долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар|долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар: бордуу|зүрх|мөнгө|үнэтэй|хайр|эрхий хуруугаа зөрүүлж барьсан гар
	🫰🏿;долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар: бор;бор|долоовор хуруу|долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар|долоовор хуруу, эрхий хуруугаа зөрүүлж барьсан гар: бор|зүрх|мөнгө|үнэтэй|хайр|эрхий хуруугаа зөрүүлж барьсан гар
🤟;хайртай гэсэн дохио;БЧХ|гар|хайртай гэсэн дохио
	🤟🏻;хайртай гэсэн дохио: цайвар;БЧХ|гар|хайртай гэсэн дохио|хайртай гэсэн дохио: цайвар|цайвар
	🤟🏼;хайртай гэсэн дохио: бага зэргийн цайвар;бага зэргийн цайвар|БЧХ|гар|хайртай гэсэн дохио|хайртай гэсэн дохио: бага зэргийн цайвар
	🤟🏽;хайртай гэсэн дохио: дунд зэргийн;БЧХ|гар|дунд зэргийн|хайртай гэсэн дохио|хайртай гэсэн дохио: дунд зэргийн
	🤟🏾;хайртай гэсэн дохио: бордуу;бордуу|БЧХ|гар|хайртай гэсэн дохио|хайртай гэсэн дохио: бордуу
	🤟🏿;хайртай гэсэн дохио: бор;бор|БЧХ|гар|хайртай гэсэн дохио|хайртай гэсэн дохио: бор
🤘;эвэрний тэмдэг;гар|рок|хуруу|эвэр|эвэрний тэмдэг
	🤘🏻;эвэрний тэмдэг: цайвар;гар|рок|хуруу|цайвар|эвэр|эвэрний тэмдэг|эвэрний тэмдэг: цайвар
