[smileys_emotion]
😀;Grinsgesiicht;Gesiicht|Grinsen|Grinsgesiicht
	👉🏿;no riets weisende Fanger vun hanne gesinn: däischter Hautfaarf;däischter Hautfaarf|Fanger|Hand|no riets weisende Fanger vun hanne gesinn|no riets weisende Fanger vun hanne gesinn: däischter Hautfaarf|Réckhand|weisen|Zeigefanger
👆;no uewe weisende Fanger vun hanne gesinn;Fanger|Hand|no uewe weisende Fanger vun hanne gesinn|no uewen|Réckhand|weisen|Zeigefanger
	👆🏻;no uewe weisende Fanger vun hanne gesinn: hell Hautfaarf;Fanger|Hand|hell Hautfaarf|no uewe weisende Fanger vun hanne gesinn|no uewe weisende Fanger vun hanne gesinn: hell Hautfaarf|no uewen|Réckhand|weisen|Zeigefanger
	👆🏼;no uewe weisende Fanger vun hanne gesinn: mëttelhell Hautfaarf;Fanger|Hand|mëttelhell Hautfaarf|no uewe weisende Fanger vun hanne gesinn|no uewe weisende Fanger vun hanne gesinn: mëttelhell Hautfaarf|no uewen|Réckhand|weisen|Zeigefanger
	👆🏽;no uewe weisende Fanger vun hanne gesinn: mëttel Hautfaarf;Fanger|Hand|mëttel Hautfaarf|no uewe weisende Fanger vun hanne gesinn|no uewe weisende Fanger vun hanne gesinn: mëttel Hautfaarf|no uewen|Réckhand|weisen|Zeigefanger
	👆🏾;no uewe weisende Fanger vun hanne gesinn: mëtteldäischter Hautfaarf;Fanger|Hand|mëtteldäischter Hautfaarf|no uewe weisende Fanger vun hanne gesinn|no uewe weisende Fanger vun hanne gesinn: mëtteldäischter Hautfaarf|no uewen|Réckhand|weisen|Zeigefanger
	👆🏿;no uewe weisende Fanger vun hanne gesinn: däischter Hautfaarf;däischter Hautfaarf|Fanger|Hand|no uewe weisende Fanger vun hanne gesinn|no uewe weisende Fanger vun hanne gesinn: däischter Hautfaarf|no uewen|Réckhand|weisen|Zeigefanger
🖕;Mëttelfanger;Fanger|Hand|Mëttelfanger
	🖕🏻;Mëttelfanger: hell Hautfaarf;Fanger|Hand|hell Hautfaarf|Mëttelfanger|Mëttelfanger: hell Hautfaarf
	🖕🏼;Mëttelfanger: mëttelhell Hautfaarf;Fanger|Hand|Mëttelfanger|Mëttelfanger: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	🖕🏽;Mëttelfanger: mëttel Hautfaarf;Fanger|Hand|mëttel Hautfaarf|Mëttelfanger|Mëttelfanger: mëttel Hautfaarf
	🖕🏾;Mëttelfanger: mëtteldäischter Hautfaarf;Fanger|Hand|mëtteldäischter Hautfaarf|Mëttelfanger|Mëttelfanger: mëtteldäischter Hautfaarf
	🖕🏿;Mëttelfanger: däischter Hautfaarf;däischter Hautfaarf|Fanger|Hand|Mëttelfanger|Mëttelfanger: däischter Hautfaarf
👇;no ënne weisende Fanger vun hanne gesinn;Fanger|Hand|no ënne weisende Fanger vun hanne gesinn|no ënnen|Réckhand|weisen|Zeigefanger
	👇🏻;no ënne weisende Fanger vun hanne gesinn: hell Hautfaarf;Fanger|Hand|hell Hautfaarf|no ënne weisende Fanger vun hanne gesinn|no ënne weisende Fanger vun hanne gesinn: hell Hautfaarf|no ënnen|Réckhand|weisen|Zeigefanger
	👇🏼;no ënne weisende Fanger vun hanne gesinn: mëttelhell Hautfaarf;Fanger|Hand|mëttelhell Hautfaarf|no ënne weisende Fanger vun hanne gesinn|no ënne weisende Fanger vun hanne gesinn: mëttelhell Hautfaarf|no ënnen|Réckhand|weisen|Zeigefanger
	👇🏽;no ënne weisende Fanger vun hanne gesinn: mëttel Hautfaarf;Fanger|Hand|mëttel Hautfaarf|no ënne weisende Fanger vun hanne gesinn|no ënne weisende Fanger vun hanne gesinn: mëttel Hautfaarf|no ënnen|Réckhand|weisen|Zeigefanger
	👇🏾;no ënne weisende Fanger vun hanne gesinn: mëtteldäischter Hautfaarf;Fanger|Hand|mëtteldäischter Hautfaarf|no ënne weisende Fanger vun hanne gesinn|no ënne weisende Fanger vun hanne gesinn: mëtteldäischter Hautfaarf|no ënnen|Réckhand|weisen|Zeigefanger
	👇🏿;no ënne weisende Fanger vun hanne gesinn: däischter Hautfaarf;däischter Hautfaarf|Fanger|Hand|no ënne weisende Fanger vun hanne gesinn|no ënne weisende Fanger vun hanne gesinn: däischter Hautfaarf|no ënnen|Réckhand|weisen|Zeigefanger
☝️;no uewe weisende Fanger;Fanger|Hand|no uewe weisende Fanger|no uewen|weisen|Zeigefanger
	☝🏻;no uewe weisende Fanger: hell Hautfaarf;Fanger|Hand|hell Hautfaarf|no uewe weisende Fanger|no uewe weisende Fanger: hell Hautfaarf|no uewen|weisen|Zeigefanger
	☝🏼;no uewe weisende Fanger: mëttelhell Hautfaarf;Fanger|Hand|mëttelhell Hautfaarf|no uewe weisende Fanger|no uewe weisende Fanger: mëttelhell Hautfaarf|no uewen|weisen|Zeigefanger
	☝🏽;no uewe weisende Fanger: mëttel Hautfaarf;Fanger|Hand|mëttel Hautfaarf|no uewe weisende Fanger|no uewe weisende Fanger: mëttel Hautfaarf|no uewen|weisen|Zeigefanger
	☝🏾;no uewe weisende Fanger: mëtteldäischter Hautfaarf;Fanger|Hand|mëtteldäischter Hautfaarf|no uewe weisende Fanger|no uewe weisende Fanger: mëtteldäischter Hautfaarf|no uewen|weisen|Zeigefanger
	☝🏿;no uewe weisende Fanger: däischter Hautfaarf;däischter Hautfaarf|Fanger|Hand|no uewe weisende Fanger|no uewe weisende Fanger: däischter Hautfaarf|no uewen|weisen|Zeigefanger
🫵;;
	🫵🏻;;
	🫵🏼;;
	🫵🏽;;
	🫵🏾;;
	🫵🏿;;
👍;Daum no uewen;+1|Daum|Daum no uewen|Hand|no uewen
	👍🏻;Daum no uewen: hell Hautfaarf;+1|Daum|Daum no uewen|Daum no uewen: hell Hautfaarf|Hand|hell Hautfaarf|no uewen
	👍🏼;Daum no uewen: mëttelhell Hautfaarf;+1|Daum|Daum no uewen|Daum no uewen: mëttelhell Hautfaarf|Hand|mëttelhell Hautfaarf|no uewen
	👍🏽;Daum no uewen: mëttel Hautfaarf;+1|Daum|Daum no uewen|Daum no uewen: mëttel Hautfaarf|Hand|mëttel Hautfaarf|no uewen
	👍🏾;Daum no uewen: mëtteldäischter Hautfaarf;+1|Daum|Daum no uewen|Daum no uewen: mëtteldäischter Hautfaarf|Hand|mëtteldäischter Hautfaarf|no uewen
	👍🏿;Daum no uewen: däischter Hautfaarf;+1|däischter Hautfaarf|Daum|Daum no uewen|Daum no uewen: däischter Hautfaarf|Hand|no uewen
👎;Daum no ënnen;-1|Daum|Daum no ënnen|Hand|no ënnen
	👎🏻;Daum no ënnen: hell Hautfaarf;-1|Daum|Daum no ënnen|Daum no ënnen: hell Hautfaarf|Hand|hell Hautfaarf|no ënnen
	👎🏼;Daum no ënnen: mëttelhell Hautfaarf;-1|Daum|Daum no ënnen|Daum no ënnen: mëttelhell Hautfaarf|Hand|mëttelhell Hautfaarf|no ënnen
	👎🏽;Daum no ënnen: mëttel Hautfaarf;-1|Daum|Daum no ënnen|Daum no ënnen: mëttel Hautfaarf|Hand|mëttel Hautfaarf|no ënnen
	👎🏾;Daum no ënnen: mëtteldäischter Hautfaarf;-1|Daum|Daum no ënnen|Daum no ënnen: mëtteldäischter Hautfaarf|Hand|mëtteldäischter Hautfaarf|no ënnen
	👎🏿;Daum no ënnen: däischter Hautfaarf;-1|däischter Hautfaarf|Daum|Daum no ënnen|Daum no ënnen: däischter Hautfaarf|Hand|no ënnen
✊;héichgehale Fauscht;boxen|Fauscht|Hand|héichgehale Fauscht|zouen
	✊🏻;héichgehale Fauscht: hell Hautfaarf;boxen|Fauscht|Hand|héichgehale Fauscht|héichgehale Fauscht: hell Hautfaarf|hell Hautfaarf|zouen
	✊🏼;héichgehale Fauscht: mëttelhell Hautfaarf;boxen|Fauscht|Hand|héichgehale Fauscht|héichgehale Fauscht: mëttelhell Hautfaarf|mëttelhell Hautfaarf|zouen
	✊🏽;héichgehale Fauscht: mëttel Hautfaarf;boxen|Fauscht|Hand|héichgehale Fauscht|héichgehale Fauscht: mëttel Hautfaarf|mëttel Hautfaarf|zouen
	✊🏾;héichgehale Fauscht: mëtteldäischter Hautfaarf;boxen|Fauscht|Hand|héichgehale Fauscht|héichgehale Fauscht: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf|zouen
	✊🏿;héichgehale Fauscht: däischter Hautfaarf;boxen|däischter Hautfaarf|Fauscht|Hand|héichgehale Fauscht|héichgehale Fauscht: däischter Hautfaarf|zouen
👊;entgéintkommend Fauscht;boxen|entgéintkommend Fauscht|Fauscht|Hand|zouen
	👊🏻;entgéintkommend Fauscht: hell Hautfaarf;boxen|entgéintkommend Fauscht|entgéintkommend Fauscht: hell Hautfaarf|Fauscht|Hand|hell Hautfaarf|zouen
	👊🏼;entgéintkommend Fauscht: mëttelhell Hautfaarf;boxen|entgéintkommend Fauscht|entgéintkommend Fauscht: mëttelhell Hautfaarf|Fauscht|Hand|mëttelhell Hautfaarf|zouen
	👊🏽;entgéintkommend Fauscht: mëttel Hautfaarf;boxen|entgéintkommend Fauscht|entgéintkommend Fauscht: mëttel Hautfaarf|Fauscht|Hand|mëttel Hautfaarf|zouen
	👊🏾;entgéintkommend Fauscht: mëtteldäischter Hautfaarf;boxen|entgéintkommend Fauscht|entgéintkommend Fauscht: mëtteldäischter Hautfaarf|Fauscht|Hand|mëtteldäischter Hautfaarf|zouen
	👊🏿;entgéintkommend Fauscht: däischter Hautfaarf;boxen|däischter Hautfaarf|entgéintkommend Fauscht|entgéintkommend Fauscht: däischter Hautfaarf|Fauscht|Hand|zouen
🤛;lénksgeriicht Fauscht;Fauscht|lénksgeriicht
	🤛🏻;lénksgeriicht Fauscht: hell Hautfaarf;Fauscht|hell Hautfaarf|lénksgeriicht|lénksgeriicht Fauscht: hell Hautfaarf
	🤛🏼;lénksgeriicht Fauscht: mëttelhell Hautfaarf;Fauscht|lénksgeriicht|lénksgeriicht Fauscht: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	🤛🏽;lénksgeriicht Fauscht: mëttel Hautfaarf;Fauscht|lénksgeriicht|lénksgeriicht Fauscht: mëttel Hautfaarf|mëttel Hautfaarf
	🤛🏾;lénksgeriicht Fauscht: mëtteldäischter Hautfaarf;Fauscht|lénksgeriicht|lénksgeriicht Fauscht: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	🤛🏿;lénksgeriicht Fauscht: däischter Hautfaarf;däischter Hautfaarf|Fauscht|lénksgeriicht|lénksgeriicht Fauscht: däischter Hautfaarf
🤜;rietsgeriicht Fauscht;Fauscht|rietsgeriicht
	🤜🏻;rietsgeriicht Fauscht: hell Hautfaarf;Fauscht|hell Hautfaarf|rietsgeriicht|rietsgeriicht Fauscht: hell Hautfaarf
	🤜🏼;rietsgeriicht Fauscht: mëttelhell Hautfaarf;Fauscht|mëttelhell Hautfaarf|rietsgeriicht|rietsgeriicht Fauscht: mëttelhell Hautfaarf
	🤜🏽;rietsgeriicht Fauscht: mëttel Hautfaarf;Fauscht|mëttel Hautfaarf|rietsgeriicht|rietsgeriicht Fauscht: mëttel Hautfaarf
	🤜🏾;rietsgeriicht Fauscht: mëtteldäischter Hautfaarf;Fauscht|mëtteldäischter Hautfaarf|rietsgeriicht|rietsgeriicht Fauscht: mëtteldäischter Hautfaarf
	🤜🏿;rietsgeriicht Fauscht: däischter Hautfaarf;däischter Hautfaarf|Fauscht|rietsgeriicht|rietsgeriicht Fauscht: däischter Hautfaarf
👏;klappend Hänn;Hand|klappen|klappend Hänn
	👏🏻;klappend Hänn: hell Hautfaarf;Hand|hell Hautfaarf|klappen|klappend Hänn|klappend Hänn: hell Hautfaarf
	👏🏼;klappend Hänn: mëttelhell Hautfaarf;Hand|klappen|klappend Hänn|klappend Hänn: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	👏🏽;klappend Hänn: mëttel Hautfaarf;Hand|klappen|klappend Hänn|klappend Hänn: mëttel Hautfaarf|mëttel Hautfaarf
	👏🏾;klappend Hänn: mëtteldäischter Hautfaarf;Hand|klappen|klappend Hänn|klappend Hänn: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	👏🏿;klappend Hänn: däischter Hautfaarf;däischter Hautfaarf|Hand|klappen|klappend Hänn|klappend Hänn: däischter Hautfaarf
🙌;Hänn an d’Luucht;an der Luucht|Feier|Geste|Hand|Hänn an d’Luucht|hurra
	🙌🏻;Hänn an d’Luucht: hell Hautfaarf;an der Luucht|Feier|Geste|Hand|Hänn an d’Luucht|Hänn an d’Luucht: hell Hautfaarf|hell Hautfaarf|hurra
	🙌🏼;Hänn an d’Luucht: mëttelhell Hautfaarf;an der Luucht|Feier|Geste|Hand|Hänn an d’Luucht|Hänn an d’Luucht: mëttelhell Hautfaarf|hurra|mëttelhell Hautfaarf
	🙌🏽;Hänn an d’Luucht: mëttel Hautfaarf;an der Luucht|Feier|Geste|Hand|Hänn an d’Luucht|Hänn an d’Luucht: mëttel Hautfaarf|hurra|mëttel Hautfaarf
	🙌🏾;Hänn an d’Luucht: mëtteldäischter Hautfaarf;an der Luucht|Feier|Geste|Hand|Hänn an d’Luucht|Hänn an d’Luucht: mëtteldäischter Hautfaarf|hurra|mëtteldäischter Hautfaarf
	🙌🏿;Hänn an d’Luucht: däischter Hautfaarf;an der Luucht|däischter Hautfaarf|Feier|Geste|Hand|Hänn an d’Luucht|Hänn an d’Luucht: däischter Hautfaarf|hurra
🫶;;
	🫶🏻;;
	🫶🏼;;
	🫶🏽;;
	🫶🏾;;
	🫶🏿;;
👐;oppen Hänn;Hand|oppen|oppen Hänn
	👐🏻;oppen Hänn: hell Hautfaarf;Hand|hell Hautfaarf|oppen|oppen Hänn|oppen Hänn: hell Hautfaarf
	👐🏼;oppen Hänn: mëttelhell Hautfaarf;Hand|mëttelhell Hautfaarf|oppen|oppen Hänn|oppen Hänn: mëttelhell Hautfaarf
	👐🏽;oppen Hänn: mëttel Hautfaarf;Hand|mëttel Hautfaarf|oppen|oppen Hänn|oppen Hänn: mëttel Hautfaarf
	👐🏾;oppen Hänn: mëtteldäischter Hautfaarf;Hand|mëtteldäischter Hautfaarf|oppen|oppen Hänn|oppen Hänn: mëtteldäischter Hautfaarf
	👐🏿;oppen Hänn: däischter Hautfaarf;däischter Hautfaarf|Hand|oppen|oppen Hänn|oppen Hänn: däischter Hautfaarf
🤲;zesummegefaalten Hänn;Gebiet|zesummegefaalten Hänn
	🤲🏻;zesummegefaalten Hänn: hell Hautfaarf;Gebiet|hell Hautfaarf|zesummegefaalten Hänn|zesummegefaalten Hänn: hell Hautfaarf
	🤲🏼;zesummegefaalten Hänn: mëttelhell Hautfaarf;Gebiet|mëttelhell Hautfaarf|zesummegefaalten Hänn|zesummegefaalten Hänn: mëttelhell Hautfaarf
	🤲🏽;zesummegefaalten Hänn: mëttel Hautfaarf;Gebiet|mëttel Hautfaarf|zesummegefaalten Hänn|zesummegefaalten Hänn: mëttel Hautfaarf
	🤲🏾;zesummegefaalten Hänn: mëtteldäischter Hautfaarf;Gebiet|mëtteldäischter Hautfaarf|zesummegefaalten Hänn|zesummegefaalten Hänn: mëtteldäischter Hautfaarf
	🤲🏿;zesummegefaalten Hänn: däischter Hautfaarf;däischter Hautfaarf|Gebiet|zesummegefaalten Hänn|zesummegefaalten Hänn: däischter Hautfaarf
🤝;Handdrock;drécken|Hand|Handdrock|Ofkommes|Reunioun
	🤝🏻;Handdrock: hell Hautfaarf;drécken|Hand|Handdrock|Handdrock: hell Hautfaarf|hell Hautfaarf|Ofkommes|Reunioun
	🤝🏼;Handdrock: mëttelhell Hautfaarf;drécken|Hand|Handdrock|Handdrock: mëttelhell Hautfaarf|mëttelhell Hautfaarf|Ofkommes|Reunioun
	🤝🏽;Handdrock: mëttel Hautfaarf;drécken|Hand|Handdrock|Handdrock: mëttel Hautfaarf|mëttel Hautfaarf|Ofkommes|Reunioun
	🤝🏾;Handdrock: mëtteldäischter Hautfaarf;drécken|Hand|Handdrock|Handdrock: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf|Ofkommes|Reunioun
	🤝🏿;Handdrock: däischter Hautfaarf;däischter Hautfaarf|drécken|Hand|Handdrock|Handdrock: däischter Hautfaarf|Ofkommes|Reunioun
	🫱🏻‍🫲🏼;Handdrock: hell Hautfaarf, mëttelhell Hautfaarf;drécken|Hand|Handdrock|Handdrock: hell Hautfaarf, mëttelhell Hautfaarf|hell Hautfaarf|mëttelhell Hautfaarf|Ofkommes|Reunioun
	🫱🏻‍🫲🏽;Handdrock: hell Hautfaarf, mëttel Hautfaarf;drécken|Hand|Handdrock|Handdrock: hell Hautfaarf, mëttel Hautfaarf|hell Hautfaarf|mëttel Hautfaarf|Ofkommes|Reunioun
	🫱🏻‍🫲🏾;Handdrock: hell Hautfaarf, mëtteldäischter Hautfaarf;drécken|Hand|Handdrock|Handdrock: hell Hautfaarf, mëtteldäischter Hautfaarf|hell Hautfaarf|mëtteldäischter Hautfaarf|Ofkommes|Reunioun
	🫱🏻‍🫲🏿;Handdrock: hell Hautfaarf, däischter Hautfaarf;däischter Hautfaarf|drécken|Hand|Handdrock|Handdrock: hell Hautfaarf, däischter Hautfaarf|hell Hautfaarf|Ofkommes|Reunioun
	🫱🏼‍🫲🏻;Handdrock: mëttelhell Hautfaarf, hell Hautfaarf;drécken|Hand|Handdrock|Handdrock: mëttelhell Hautfaarf, hell Hautfaarf|hell Hautfaarf|mëttelhell Hautfaarf|Ofkommes|Reunioun
	🫱🏼‍🫲🏽;Handdrock: mëttelhell Hautfaarf, mëttel Hautfaarf;drécken|Hand|Handdrock|Handdrock: mëttelhell Hautfaarf, mëttel Hautfaarf|mëttel Hautfaarf|mëttelhell Hautfaarf|Ofkommes|Reunioun
	🫱🏼‍🫲🏾;Handdrock: mëttelhell Hautfaarf, mëtteldäischter Hautfaarf;drécken|Hand|Handdrock|Handdrock: mëttelhell Hautfaarf, mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf|mëttelhell Hautfaarf|Ofkommes|Reunioun
	🫱🏼‍🫲🏿;Handdrock: mëttelhell Hautfaarf, däischter Hautfaarf;däischter Hautfaarf|drécken|Hand|Handdrock|Handdrock: mëttelhell Hautfaarf, däischter Hautfaarf|mëttelhell Hautfaarf|Ofkommes|Reunioun
	🫱🏽‍🫲🏻;Handdrock: mëttel Hautfaarf, hell Hautfaarf;drécken|Hand|Handdrock|Handdrock: mëttel Hautfaarf, hell Hautfaarf|hell Hautfaarf|mëttel Hautfaarf|Ofkommes|Reunioun
	🫱🏽‍🫲🏼;Handdrock: mëttel Hautfaarf, mëttelhell Hautfaarf;drécken|Hand|Handdrock|Handdrock: mëttel Hautfaarf, mëttelhell Hautfaarf|mëttel Hautfaarf|mëttelhell Hautfaarf|Ofkommes|Reunioun
	🫱🏽‍🫲🏾;Handdrock: mëttel Hautfaarf, mëtteldäischter Hautfaarf;drécken|Hand|Handdrock|Handdrock: mëttel Hautfaarf, mëtteldäischter Hautfaarf|mëttel Hautfaarf|mëtteldäischter Hautfaarf|Ofkommes|Reunioun
	🫱🏽‍🫲🏿;Handdrock: mëttel Hautfaarf, däischter Hautfaarf;däischter Hautfaarf|drécken|Hand|Handdrock|Handdrock: mëttel Hautfaarf, däischter Hautfaarf|mëttel Hautfaarf|Ofkommes|Reunioun
	🫱🏾‍🫲🏻;Handdrock: mëtteldäischter Hautfaarf, hell Hautfaarf;drécken|Hand|Handdrock|Handdrock: mëtteldäischter Hautfaarf, hell Hautfaarf|hell Hautfaarf|mëtteldäischter Hautfaarf|Ofkommes|Reunioun
	🫱🏾‍🫲🏼;Handdrock: mëtteldäischter Hautfaarf, mëttelhell Hautfaarf;drécken|Hand|Handdrock|Handdrock: mëtteldäischter Hautfaarf, mëttelhell Hautfaarf|mëtteldäischter Hautfaarf|mëttelhell Hautfaarf|Ofkommes|Reunioun
	🫱🏾‍🫲🏽;Handdrock: mëtteldäischter Hautfaarf, mëttel Hautfaarf;drécken|Hand|Handdrock|Handdrock: mëtteldäischter Hautfaarf, mëttel Hautfaarf|mëttel Hautfaarf|mëtteldäischter Hautfaarf|Ofkommes|Reunioun
	🫱🏾‍🫲🏿;Handdrock: mëtteldäischter Hautfaarf, däischter Hautfaarf;däischter Hautfaarf|drécken|Hand|Handdrock|Handdrock: mëtteldäischter Hautfaarf, däischter Hautfaarf|mëtteldäischter Hautfaarf|Ofkommes|Reunioun
	🫱🏿‍🫲🏻;Handdrock: däischter Hautfaarf, hell Hautfaarf;däischter Hautfaarf|drécken|Hand|Handdrock|Handdrock: däischter Hautfaarf, hell Hautfaarf|hell Hautfaarf|Ofkommes|Reunioun
	🫱🏿‍🫲🏼;Handdrock: däischter Hautfaarf, mëttelhell Hautfaarf;däischter Hautfaarf|drécken|Hand|Handdrock|Handdrock: däischter Hautfaarf, mëttelhell Hautfaarf|mëttelhell Hautfaarf|Ofkommes|Reunioun
	🫱🏿‍🫲🏽;Handdrock: däischter Hautfaarf, mëttel Hautfaarf;däischter Hautfaarf|drécken|Hand|Handdrock|Handdrock: däischter Hautfaarf, mëttel Hautfaarf|mëttel Hautfaarf|Ofkommes|Reunioun
	🫱🏿‍🫲🏾;Handdrock: däischter Hautfaarf, mëtteldäischter Hautfaarf;däischter Hautfaarf|drécken|Hand|Handdrock|Handdrock: däischter Hautfaarf, mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf|Ofkommes|Reunioun
🙏;gefaalten Hänn;bieden|froen|gefaalt|gefaalten Hänn|Geste|Hand|Merci|vernäipen|wann ech gelift
	🙏🏻;gefaalten Hänn: hell Hautfaarf;bieden|froen|gefaalt|gefaalten Hänn|gefaalten Hänn: hell Hautfaarf|Geste|Hand|hell Hautfaarf|Merci|vernäipen|wann ech gelift
	🙏🏼;gefaalten Hänn: mëttelhell Hautfaarf;bieden|froen|gefaalt|gefaalten Hänn|gefaalten Hänn: mëttelhell Hautfaarf|Geste|Hand|Merci|mëttelhell Hautfaarf|vernäipen|wann ech gelift
	🙏🏽;gefaalten Hänn: mëttel Hautfaarf;bieden|froen|gefaalt|gefaalten Hänn|gefaalten Hänn: mëttel Hautfaarf|Geste|Hand|Merci|mëttel Hautfaarf|vernäipen|wann ech gelift
	🙏🏾;gefaalten Hänn: mëtteldäischter Hautfaarf;bieden|froen|gefaalt|gefaalten Hänn|gefaalten Hänn: mëtteldäischter Hautfaarf|Geste|Hand|Merci|mëtteldäischter Hautfaarf|vernäipen|wann ech gelift
	🙏🏿;gefaalten Hänn: däischter Hautfaarf;bieden|däischter Hautfaarf|froen|gefaalt|gefaalten Hänn|gefaalten Hänn: däischter Hautfaarf|Geste|Hand|Merci|vernäipen|wann ech gelift
✍️;schreiwend Hand;Hand|schreiwen|schreiwend Hand
	✍🏻;schreiwend Hand: hell Hautfaarf;Hand|hell Hautfaarf|schreiwen|schreiwend Hand|schreiwend Hand: hell Hautfaarf
	✍🏼;schreiwend Hand: mëttelhell Hautfaarf;Hand|mëttelhell Hautfaarf|schreiwen|schreiwend Hand|schreiwend Hand: mëttelhell Hautfaarf
	✍🏽;schreiwend Hand: mëttel Hautfaarf;Hand|mëttel Hautfaarf|schreiwen|schreiwend Hand|schreiwend Hand: mëttel Hautfaarf
	✍🏾;schreiwend Hand: mëtteldäischter Hautfaarf;Hand|mëtteldäischter Hautfaarf|schreiwen|schreiwend Hand|schreiwend Hand: mëtteldäischter Hautfaarf
	✍🏿;schreiwend Hand: däischter Hautfaarf;däischter Hautfaarf|Hand|schreiwen|schreiwend Hand|schreiwend Hand: däischter Hautfaarf
💅;Neellack;fleegen|Kosmetik|Lack|Manikür|Neel|Neellack
	💅🏻;Neellack: hell Hautfaarf;fleegen|hell Hautfaarf|Kosmetik|Lack|Manikür|Neel|Neellack|Neellack: hell Hautfaarf
	💅🏼;Neellack: mëttelhell Hautfaarf;fleegen|Kosmetik|Lack|Manikür|mëttelhell Hautfaarf|Neel|Neellack|Neellack: mëttelhell Hautfaarf
	💅🏽;Neellack: mëttel Hautfaarf;fleegen|Kosmetik|Lack|Manikür|mëttel Hautfaarf|Neel|Neellack|Neellack: mëttel Hautfaarf
	💅🏾;Neellack: mëtteldäischter Hautfaarf;fleegen|Kosmetik|Lack|Manikür|mëtteldäischter Hautfaarf|Neel|Neellack|Neellack: mëtteldäischter Hautfaarf
	💅🏿;Neellack: däischter Hautfaarf;däischter Hautfaarf|fleegen|Kosmetik|Lack|Manikür|Neel|Neellack|Neellack: däischter Hautfaarf
🤳;Selfie;Handy|Kamera|Selfie
	🤳🏻;Selfie: hell Hautfaarf;Handy|hell Hautfaarf|Kamera|Selfie|Selfie: hell Hautfaarf
	🤳🏼;Selfie: mëttelhell Hautfaarf;Handy|Kamera|mëttelhell Hautfaarf|Selfie|Selfie: mëttelhell Hautfaarf
	🤳🏽;Selfie: mëttel Hautfaarf;Handy|Kamera|mëttel Hautfaarf|Selfie|Selfie: mëttel Hautfaarf
	🤳🏾;Selfie: mëtteldäischter Hautfaarf;Handy|Kamera|mëtteldäischter Hautfaarf|Selfie|Selfie: mëtteldäischter Hautfaarf
	🤳🏿;Selfie: däischter Hautfaarf;däischter Hautfaarf|Handy|Kamera|Selfie|Selfie: däischter Hautfaarf
💪;ugespaante Bizeps;Bizeps|Comic|Muskel|ugespaante Bizeps|uspanen
	💪🏻;ugespaante Bizeps: hell Hautfaarf;Bizeps|Comic|hell Hautfaarf|Muskel|ugespaante Bizeps|ugespaante Bizeps: hell Hautfaarf|uspanen
	💪🏼;ugespaante Bizeps: mëttelhell Hautfaarf;Bizeps|Comic|mëttelhell Hautfaarf|Muskel|ugespaante Bizeps|ugespaante Bizeps: mëttelhell Hautfaarf|uspanen
	💪🏽;ugespaante Bizeps: mëttel Hautfaarf;Bizeps|Comic|mëttel Hautfaarf|Muskel|ugespaante Bizeps|ugespaante Bizeps: mëttel Hautfaarf|uspanen
	💪🏾;ugespaante Bizeps: mëtteldäischter Hautfaarf;Bizeps|Comic|mëtteldäischter Hautfaarf|Muskel|ugespaante Bizeps|ugespaante Bizeps: mëtteldäischter Hautfaarf|uspanen
	💪🏿;ugespaante Bizeps: däischter Hautfaarf;Bizeps|Comic|däischter Hautfaarf|Muskel|ugespaante Bizeps|ugespaante Bizeps: däischter Hautfaarf|uspanen
🦾;;
🦿;;
🦵;;
	🦵🏻;;
	🦵🏼;;
	🦵🏽;;
	🦵🏾;;
	🦵🏿;;
🦶;;
	🦶🏻;;
	🦶🏼;;
	🦶🏽;;
	🦶🏾;;
	🦶🏿;;
👂;Ouer;Kierper|Ouer
	👂🏻;Ouer: hell Hautfaarf;hell Hautfaarf|Kierper|Ouer|Ouer: hell Hautfaarf
	👂🏼;Ouer: mëttelhell Hautfaarf;Kierper|mëttelhell Hautfaarf|Ouer|Ouer: mëttelhell Hautfaarf
	👂🏽;Ouer: mëttel Hautfaarf;Kierper|mëttel Hautfaarf|Ouer|Ouer: mëttel Hautfaarf
	👂🏾;Ouer: mëtteldäischter Hautfaarf;Kierper|mëtteldäischter Hautfaarf|Ouer|Ouer: mëtteldäischter Hautfaarf
	👂🏿;Ouer: däischter Hautfaarf;däischter Hautfaarf|Kierper|Ouer|Ouer: däischter Hautfaarf
